number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.3931,2025-08-14 18:14:07.772153,2025-08-14 18:14:25.089229,0 days 00:00:17.317076,tanh,128,32,1,0.5,0.001,1,L2,0,0.85,max,True,1e-06,0.5375964354088836,COMPLETE,0.5375964354088836
1,0.4144,2025-08-14 18:14:25.091228,2025-08-14 18:14:55.884946,0 days 00:00:30.793718,gelu,512,16,1,0.5,0.001,1,minmax,0,,max,False,0.0,0.047854098361853954,COMPLETE,0.047854098361853954
2,0.2176,2025-08-14 18:14:55.885946,2025-08-14 18:15:08.362533,0 days 00:00:12.476587,tanh,128,64,2,0.5,1e-05,3,L2,3,0.95,mean,True,0.0001,1.0011271732796427,COMPLETE,1.0011271732796427
3,0.2516,2025-08-14 18:15:08.363534,2025-08-14 18:15:30.100225,0 days 00:00:21.736691,gelu,128,32,3,0.4,1e-05,3,minmax,3,0.8,mean,True,0.0,0.9847090719597132,COMPLETE,0.9847090719597132
4,0.2176,2025-08-14 18:15:30.101224,2025-08-14 18:15:49.360339,0 days 00:00:19.259115,leakyrelu,512,32,2,0.1,1e-05,2,L2,0,,max,False,0.0001,1.0041003710204,COMPLETE,1.0041003710204
5,0.407,2025-08-14 18:15:49.361339,2025-08-14 18:16:22.365788,0 days 00:00:33.004449,leakyrelu,128,16,0,0.5,0.0001,1,minmax,1,,max,False,1e-05,0.012054982562205033,COMPLETE,0.012054982562205033
6,0.2176,2025-08-14 18:16:22.366788,2025-08-14 18:16:30.653015,0 days 00:00:08.286227,tanh,256,128,2,0.1,1e-05,2,L2,2,,max,False,1e-06,1.0024057952537413,COMPLETE,1.0024057952537413
7,0.3336,2025-08-14 18:16:30.654015,2025-08-14 18:16:41.307691,0 days 00:00:10.653676,leakyrelu,128,64,1,0.4,0.0001,1,L2,1,0.75,mean,True,0.0001,0.7857511882996636,COMPLETE,0.7857511882996636
8,0.3956,2025-08-14 18:16:41.308690,2025-08-14 18:17:17.571817,0 days 00:00:36.263127,relu,256,16,1,0.4,0.001,2,L2,0,0.9,max,True,1e-06,0.0014144363983420482,COMPLETE,0.0014144363983420482
9,0.4091,2025-08-14 18:17:17.572818,2025-08-14 18:17:47.735206,0 days 00:00:30.162388,tanh,256,16,0,0.5,0.001,1,minmax,0,,max,False,1e-06,0.002429112664744306,COMPLETE,0.002429112664744306
10,0.3832,2025-08-14 18:17:47.737208,2025-08-14 18:17:54.502832,0 days 00:00:06.765624,gelu,512,128,0,0.2,0.001,1,minmax,0,,mean,False,0.0,0.21367844948814613,COMPLETE,0.21367844948814613
11,0.4164,2025-08-14 18:17:54.504833,2025-08-14 18:18:23.792613,0 days 00:00:29.287780,elu,256,16,0,0.3,0.001,1,minmax,0,,max,False,0.0,0.0050565021618275375,COMPLETE,0.0050565021618275375
12,0.4161,2025-08-14 18:18:23.793613,2025-08-14 18:18:53.127963,0 days 00:00:29.334350,elu,512,16,0,0.3,0.001,1,minmax,0,,max,False,0.0,0.0019258831049707925,COMPLETE,0.0019258831049707925
13,0.4245,2025-08-14 18:18:53.128964,2025-08-14 18:19:29.462120,0 days 00:00:36.333156,elu,256,16,0,0.3,0.001,2,minmax,1,,max,False,0.0,3.417976357516686e-05,COMPLETE,3.417976357516686e-05
14,0.4224,2025-08-14 18:19:29.463119,2025-08-14 18:20:05.842558,0 days 00:00:36.379439,elu,256,16,0,0.3,0.001,2,minmax,1,,max,False,0.0,3.843676136773667e-05,COMPLETE,3.843676136773667e-05
15,0.4102,2025-08-14 18:20:05.843559,2025-08-14 18:20:43.124123,0 days 00:00:37.280564,elu,256,16,0,0.3,0.001,2,minmax,1,,max,False,1e-05,4.7160835408023936e-05,COMPLETE,4.7160835408023936e-05
16,0.4304,2025-08-14 18:20:43.126124,2025-08-14 18:21:25.100573,0 days 00:00:41.974449,elu,256,16,3,0.3,0.0001,3,minmax,2,,max,False,0.0,0.0017793389930767143,COMPLETE,0.0017793389930767143
17,0.438,2025-08-14 18:21:25.101573,2025-08-14 18:21:37.617362,0 days 00:00:12.515789,elu,256,64,3,0.3,0.0001,3,minmax,2,,max,False,0.0,0.01025434796641494,COMPLETE,0.01025434796641494
18,0.3725,2025-08-14 18:21:37.618363,2025-08-14 18:21:50.217139,0 days 00:00:12.598776,relu,256,64,3,0.2,0.0001,3,minmax,2,,mean,False,0.0,0.004907269882774908,COMPLETE,0.004907269882774908
19,0.4154,2025-08-14 18:21:50.219140,2025-08-14 18:22:02.895566,0 days 00:00:12.676426,elu,256,64,3,0.3,0.0001,3,minmax,2,,max,False,1e-05,0.009493142824584072,COMPLETE,0.009493142824584072
