number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.4313,2025-08-14 18:33:35.604437,2025-08-14 18:34:16.374667,0 days 00:00:40.770230,elu,256,16,1,0.2,0.0001,2,minmax,2,,mean,False,1e-06,0.12371691730819714,COMPLETE,0.12371691730819714
1,0.3944,2025-08-14 18:34:16.375668,2025-08-14 18:34:50.530307,0 days 00:00:34.154639,gelu,256,16,0,0.3,1e-05,1,L2,1,,mean,False,0.0,0.5668424341072991,COMPLETE,0.5668424341072991
2,0.3227,2025-08-14 18:34:50.531308,2025-08-14 18:35:04.034932,0 days 00:00:13.503624,leakyrelu,256,64,3,0.3,1e-05,3,minmax,2,,mean,False,0.0001,0.861832289067112,COMPLETE,0.861832289067112
3,0.2446,2025-08-14 18:35:04.035931,2025-08-14 18:35:11.434586,0 days 00:00:07.398655,relu,512,128,0,0.2,1e-05,1,L2,1,0.7,mean,True,1e-06,0.9887282202481457,COMPLETE,0.9887282202481457
4,0.396,2025-08-14 18:35:11.435587,2025-08-14 18:35:48.521261,0 days 00:00:37.085674,relu,128,16,2,0.1,0.001,2,minmax,0,0.85,mean,True,0.0001,0.0007850227793648695,COMPLETE,0.0007850227793648695
5,0.4166,2025-08-14 18:35:48.522261,2025-08-14 18:35:59.979066,0 days 00:00:11.456805,leakyrelu,128,64,1,0.2,0.001,2,minmax,0,0.85,mean,True,1e-06,0.006530409816568688,COMPLETE,0.006530409816568688
6,0.3397,2025-08-14 18:35:59.980066,2025-08-14 18:36:21.758296,0 days 00:00:21.778230,gelu,256,32,2,0.2,0.001,2,minmax,2,,max,False,0.0001,0.0006339144598209027,COMPLETE,0.0006339144598209027
7,0.356,2025-08-14 18:36:21.759296,2025-08-14 18:36:44.050713,0 days 00:00:22.291417,gelu,128,32,1,0.2,0.0001,3,L2,0,,mean,False,0.0001,0.8727495507412019,COMPLETE,0.8727495507412019
8,0.3442,2025-08-14 18:36:44.051714,2025-08-14 18:37:07.778000,0 days 00:00:23.726286,relu,128,32,3,0.2,0.001,3,minmax,3,,max,False,0.0001,0.0014318967413253052,COMPLETE,0.0014318967413253052
9,0.4093,2025-08-14 18:37:07.779000,2025-08-14 18:37:42.105706,0 days 00:00:34.326706,leakyrelu,128,16,0,0.4,0.001,1,L2,0,0.85,mean,True,1e-05,0.056070127227969495,COMPLETE,0.056070127227969495
10,0.3286,2025-08-14 18:37:42.106706,2025-08-14 18:37:50.396574,0 days 00:00:08.289868,elu,512,128,1,0.5,0.0001,2,minmax,2,,max,False,1e-06,0.3406237510431234,COMPLETE,0.3406237510431234
11,0.3908,2025-08-14 18:37:50.397575,2025-08-14 18:38:02.654161,0 days 00:00:12.256586,tanh,256,64,1,0.2,0.0001,2,minmax,1,0.75,mean,True,1e-06,0.5254955809216024,COMPLETE,0.5254955809216024
12,0.3925,2025-08-14 18:38:02.655164,2025-08-14 18:38:14.192559,0 days 00:00:11.537395,elu,128,64,1,0.1,0.0001,2,minmax,0,0.95,mean,True,1e-06,0.5916914694562219,COMPLETE,0.5916914694562219
13,0.3711,2025-08-14 18:38:14.193560,2025-08-14 18:38:26.720905,0 days 00:00:12.527345,elu,256,64,1,0.4,0.001,2,minmax,2,0.8,mean,True,1e-06,0.0399753335755546,COMPLETE,0.0399753335755546
14,0.3676,2025-08-14 18:38:26.722905,2025-08-14 18:39:07.099237,0 days 00:00:40.376332,leakyrelu,512,16,2,0.5,0.0001,3,minmax,3,,max,False,0.0,0.0011386788417240814,COMPLETE,0.0011386788417240814
