number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.3615,2025-08-14 18:43:39.413750,2025-08-14 18:44:19.829875,0 days 00:00:40.416125,tanh,256,16,1,0.1,0.001,2,L2,1,,max,False,1e-06,0.5516628115123491,COMPLETE,0.5516628115123491
1,0.31,2025-08-14 18:44:19.830875,2025-08-14 18:44:51.057761,0 days 00:00:31.226886,tanh,128,16,0,0.2,0.001,1,minmax,0,,mean,False,1e-05,0.06112145184512307,COMPLETE,0.06112145184512307
2,0.3386,2025-08-14 18:44:51.059762,2025-08-14 18:44:59.828781,0 days 00:00:08.769019,gelu,256,128,0,0.1,0.001,2,minmax,2,,mean,False,1e-05,0.0017105177998650591,COMPLETE,0.0017105177998650591
3,0.2974,2025-08-14 18:44:59.829780,2025-08-14 18:45:20.029985,0 days 00:00:20.200205,gelu,128,32,2,0.2,0.001,2,L2,0,,mean,False,1e-06,0.1160095646450374,COMPLETE,0.1160095646450374
4,0.3707,2025-08-14 18:45:20.030985,2025-08-14 18:45:41.762281,0 days 00:00:21.731296,elu,256,32,1,0.1,0.001,2,minmax,1,,max,False,0.0001,0.0004841340566316015,COMPLETE,0.0004841340566316015
5,0.4005,2025-08-14 18:45:41.763281,2025-08-14 18:46:25.616300,0 days 00:00:43.853019,relu,256,16,1,0.4,0.0001,3,L2,1,0.75,max,True,0.0,0.1782576070792997,COMPLETE,0.1782576070792997
6,0.218,2025-08-14 18:46:25.618301,2025-08-14 18:46:33.609605,0 days 00:00:07.991304,leakyrelu,512,128,1,0.1,1e-05,1,L2,1,0.8,max,True,1e-06,1.0100428264624053,COMPLETE,1.0100428264624053
7,0.2551,2025-08-14 18:46:33.610605,2025-08-14 18:46:40.655376,0 days 00:00:07.044771,leakyrelu,256,128,0,0.3,1e-05,1,minmax,0,0.75,max,True,0.0001,1.0424628989872826,COMPLETE,1.0424628989872826
8,0.2176,2025-08-14 18:46:40.656377,2025-08-14 18:46:52.111548,0 days 00:00:11.455171,leakyrelu,128,64,0,0.3,1e-05,2,L2,1,0.9,mean,True,0.0,0.9805375809071532,COMPLETE,0.9805375809071532
9,0.2176,2025-08-14 18:46:52.112549,2025-08-14 18:47:11.699504,0 days 00:00:19.586955,gelu,512,32,0,0.1,1e-05,3,L2,0,0.85,max,True,0.0,1.0016585243476548,COMPLETE,1.0016585243476548
10,0.3675,2025-08-14 18:47:11.700505,2025-08-14 18:47:55.813640,0 days 00:00:44.113135,relu,256,16,3,0.4,0.0001,3,L2,3,0.75,max,True,0.0,0.255588889169923,COMPLETE,0.255588889169923
11,0.3598,2025-08-14 18:47:55.814641,2025-08-14 18:48:19.398409,0 days 00:00:23.583768,elu,256,32,2,0.5,0.0001,3,minmax,2,,max,False,0.0001,0.03996129688534323,COMPLETE,0.03996129688534323
12,0.3814,2025-08-14 18:48:19.399410,2025-08-14 18:48:32.593365,0 days 00:00:13.193955,relu,256,64,1,0.4,0.0001,3,minmax,2,0.95,max,True,0.0001,0.012875381506787811,COMPLETE,0.012875381506787811
13,0.3647,2025-08-14 18:48:32.594365,2025-08-14 18:48:45.572867,0 days 00:00:12.978502,relu,256,64,2,0.4,0.0001,3,minmax,3,0.95,max,True,0.0,0.011088860236180173,COMPLETE,0.011088860236180173
14,0.3614,2025-08-14 18:48:45.574868,2025-08-14 18:48:58.855923,0 days 00:00:13.281055,relu,256,64,1,0.4,0.0001,3,L2,2,0.7,max,True,0.0001,0.7718511041720963,COMPLETE,0.7718511041720963
