number,value,datetime_start,datetime_complete,duration,params_activation,params_base_dim,params_batch_size,params_do_layer,params_dropout_rate,params_lr,params_n_layers,params_norm,params_norm_layer,params_pca_frac,params_pooling,params_use_pca,params_wd,user_attrs_final_train_loss,state,final_train_loss
0,0.3967,2025-08-14 19:20:35.255392,2025-08-14 19:20:47.222182,0 days 00:00:11.966790,relu,128,64,1,0.4,0.0001,2,minmax,1,0.9,max,True,0.0,0.2327391686355186,COMPLETE,0.2327391686355186
1,0.4062,2025-08-14 19:20:47.223181,2025-08-14 19:21:06.224666,0 days 00:00:19.001485,leakyrelu,512,32,1,0.2,0.001,1,minmax,1,0.7,mean,True,0.0001,0.0033896186642073264,COMPLETE,0.0033896186642073264
2,0.4008,2025-08-14 19:21:06.225666,2025-08-14 19:21:45.639962,0 days 00:00:39.414296,gelu,128,16,1,0.5,0.001,2,L2,2,0.75,mean,True,1e-05,0.052374023686603335,COMPLETE,0.052374023686603335
3,0.2326,2025-08-14 19:21:45.640963,2025-08-14 19:21:56.443411,0 days 00:00:10.802448,leakyrelu,512,64,2,0.5,1e-05,2,minmax,0,,max,False,1e-05,0.9587178153623722,COMPLETE,0.9587178153623722
4,0.4003,2025-08-14 19:21:56.444411,2025-08-14 19:22:04.400906,0 days 00:00:07.956495,leakyrelu,128,128,0,0.4,0.0001,2,minmax,1,0.75,mean,True,1e-06,0.46014416562782606,COMPLETE,0.46014416562782606
5,0.2714,2025-08-14 19:22:04.401906,2025-08-14 19:22:16.826501,0 days 00:00:12.424595,relu,128,64,1,0.4,0.0001,2,L2,2,,max,False,0.0001,0.9670280028386131,COMPLETE,0.9670280028386131
6,0.3835,2025-08-14 19:22:16.827501,2025-08-14 19:22:25.331409,0 days 00:00:08.503908,tanh,256,128,0,0.5,0.0001,2,L2,1,0.85,mean,True,1e-05,0.5361989944502472,COMPLETE,0.5361989944502472
7,0.2176,2025-08-14 19:22:25.332409,2025-08-14 19:22:33.357699,0 days 00:00:08.025290,tanh,512,128,3,0.2,1e-05,3,L2,0,,mean,False,0.0,0.9937921701136893,COMPLETE,0.9937921701136893
8,0.3827,2025-08-14 19:22:33.358699,2025-08-14 19:22:53.155897,0 days 00:00:19.797198,relu,512,32,2,0.2,0.0001,2,minmax,2,,mean,False,0.0001,0.0025059022151616515,COMPLETE,0.0025059022151616515
9,0.4052,2025-08-14 19:22:53.156897,2025-08-14 19:23:11.938750,0 days 00:00:18.781853,gelu,128,32,1,0.4,0.0001,1,L2,1,,mean,False,1e-06,0.08641845471797649,COMPLETE,0.08641845471797649
10,0.3646,2025-08-14 19:23:11.940751,2025-08-14 19:23:28.732015,0 days 00:00:16.791264,elu,256,32,0,0.3,0.001,1,minmax,0,0.7,max,True,0.0001,0.5334393171252162,COMPLETE,0.5334393171252162
11,0.3924,2025-08-14 19:23:28.733014,2025-08-14 19:23:47.677768,0 days 00:00:18.944754,gelu,512,32,1,0.1,0.001,1,L2,1,,mean,False,1e-06,0.00021479859204372913,COMPLETE,0.00021479859204372913
12,0.3949,2025-08-14 19:23:47.678768,2025-08-14 19:24:06.458949,0 days 00:00:18.780181,gelu,128,32,1,0.2,0.001,1,minmax,1,,mean,False,1e-06,0.0016245306112018932,COMPLETE,0.0016245306112018932
