embedding,best_f1_cv,batch_size,pooling,norm,lr,wd,n_layers,base_dim,activation,dropout_rate,use_pca,pca_frac,norm_layer,do_layer
baseline_CASIAB.csv,0.4189,32,max,minmax,1e-05,0.0,3,512,gelu,0.4,True,0.75,2,3
baseline_OUMVLP.csv,0.4527,16,mean,minmax,0.001,0.0,3,256,leakyrelu,0.2,False,,3,3
gaitgl.csv,0.3976,16,mean,minmax,0.0001,0.0,3,128,relu,0.1,True,0.75,2,0
gaitgl_GREW.csv,0.4197,64,max,L2,0.001,0.0001,3,128,relu,0.3,True,0.9,1,0
gaitgl_GREW_BNNeck.csv,0.402,16,mean,minmax,0.0001,1e-05,3,512,tanh,0.5,True,0.9,3,2
gaitgl_OUMVLP.csv,0.3939,64,mean,minmax,0.0001,0.0,3,512,tanh,0.1,True,0.9,3,3
gaitpart.csv,0.3577,16,max,L2,0.0001,1e-06,3,256,elu,0.1,False,,2,0
gaitpart_GREW.csv,0.438,64,max,minmax,0.0001,0.0,3,256,elu,0.3,False,,2,3
gaitpart_OUMVLP.csv,0.4653,32,mean,minmax,0.001,1e-05,3,256,leakyrelu,0.5,True,0.85,3,2
gaitset.csv,0.4313,16,mean,minmax,0.0001,1e-06,2,256,elu,0.2,False,,2,1
gaitset_GREW.csv,0.4005,16,max,L2,0.0001,0.0,3,256,relu,0.4,True,0.75,1,1
gaitset_OUMVLP.csv,0.4285,128,mean,minmax,0.001,1e-06,1,512,relu,0.5,True,0.7,1,0
gln_phase1.csv,0.4531,32,mean,L2,0.0001,0.0001,3,512,gelu,0.1,True,0.7,2,2
gln_phase2.csv,0.4447,16,max,L2,0.001,1e-06,3,512,leakyrelu,0.1,True,0.7,2,3
