id,timestamp,target_embedding,source_params,model,seed,pooling,norm,batch_size,n_layers,base_dim,activation,dropout_rate,learning_rate,weight_decay,use_pca,pca_frac,norm_layer,do_layer,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss
1,20250824_194700,baseline_CASIAB.csv,baseline_CASIAB.csv,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,0.0001,1e-06,False,,2,2,0.00403,0.5,301,0.35054,0.39506,84,0.19004
2,20250824_194700,baseline_OUMVLP.csv,baseline_CASIAB.csv,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,0.0001,1e-06,False,,2,2,0.00435,0.47727,370,0.404,0.47784,226,0.01929
3,20250824_194700,gaitgl.csv,baseline_CASIAB.csv,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,0.0001,1e-06,False,,2,2,0.00443,0.45455,331,0.38911,0.42831,159,0.03833
4,20250824_194700,gaitgl_GREW.csv,baseline_CASIAB.csv,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,0.0001,1e-06,False,,2,2,0.00447,0.40909,454,0.31196,0.38642,294,0.03203
5,20250824_194700,gaitgl_GREW_BNNeck.csv,baseline_CASIAB.csv,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,0.0001,1e-06,False,,2,2,0.0043,0.36364,271,0.25524,0.34571,70,0.19568
6,20250824_194700,gaitgl_OUMVLP.csv,baseline_CASIAB.csv,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,0.0001,1e-06,False,,2,2,0.00435,0.52273,1301,0.50594,0.56124,777,0.16447
7,20250824_194700,gaitpart.csv,baseline_CASIAB.csv,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,0.0001,1e-06,False,,2,2,0.00368,0.16667,643,0.11111,0.11111,160,0.19265
8,20250824_194700,gaitpart_GREW.csv,baseline_CASIAB.csv,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,0.0001,1e-06,False,,2,2,0.00482,0.52273,347,0.47078,0.5303,174,0.03455
9,20250824_194700,gaitpart_OUMVLP.csv,baseline_CASIAB.csv,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,0.0001,1e-06,False,,2,2,0.00474,0.5,808,0.43056,0.5151,495,0.06842
10,20250824_194700,gaitset.csv,baseline_CASIAB.csv,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,0.0001,1e-06,False,,2,2,0.00454,0.40909,273,0.34857,0.40278,100,0.07424
11,20250824_194700,gaitset_GREW.csv,baseline_CASIAB.csv,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,0.0001,1e-06,False,,2,2,0.00452,0.52273,312,0.38388,0.4127,112,0.10151
12,20250824_194700,gaitset_OUMVLP.csv,baseline_CASIAB.csv,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,0.0001,1e-06,False,,2,2,0.00456,0.52273,709,0.46429,0.49926,339,0.16634
13,20250824_194700,gln_phase1.csv,baseline_CASIAB.csv,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,0.0001,1e-06,False,,2,2,0.00431,0.47727,291,0.34935,0.52206,176,0.02245
