id,timestamp,target_embedding,source_params,model,seed,input_dim,hidden_layers,pca_frac,norm_layers,dropout_layers,dropout_rate,pooling,norm,batch_size,num_layers,base_dim,activation,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,epochs_trained,best_epoch,train_loss_best_state,test_loss_best_state,training
1,20251127_184926,baseline_CASIAB.csv,baseline_CASIAB.csv,MLP,42,256,"[160, 320, 640]",,[2],"[1, 2]",0.2,mean,L2,128,3,640,relu,AdamW,,0.0002,1e-07,False,0.07776,2.86633,0.61364,0.55722,"[0.69388, 0.44444, 0.53333]",0.61364,0.55722,"[0.69388, 0.44444, 0.53333]",330,330,0.07776,2.86633,COMPLETED
2,20251127_184926,baseline_OUMVLP.csv,baseline_CASIAB.csv,MLP,42,256,"[160, 320, 640]",,[2],"[1, 2]",0.2,mean,L2,128,3,640,relu,AdamW,,0.0002,1e-07,False,0.06335,3.27536,0.45455,0.38958,"[0.46154, 0.16667, 0.54054]",0.52273,0.49238,"[0.53659, 0.4, 0.54054]",441,160,0.67343,1.26884,COMPLETED
3,20251127_184926,gaitgl.csv,baseline_CASIAB.csv,MLP,42,128,"[160, 320, 640]",,[2],"[1, 2]",0.2,mean,L2,128,3,640,relu,AdamW,,0.0002,1e-07,False,0.08341,3.18536,0.45455,0.31161,"[0.61224, 0.0, 0.32258]",0.5,0.43338,"[0.52632, 0.25, 0.52381]",379,133,0.58182,1.39043,COMPLETED
4,20251127_184926,gaitgl_GREW.csv,baseline_CASIAB.csv,MLP,42,256,"[160, 320, 640]",,[2],"[1, 2]",0.2,mean,L2,128,3,640,relu,AdamW,,0.0002,1e-07,False,0.07563,2.60993,0.47727,0.35748,"[0.55814, 0.0, 0.51429]",0.61364,0.50256,"[0.69231, 0.2, 0.61538]",802,559,0.38048,1.80581,COMPLETED
5,20251127_184926,gaitgl_GREW_BNNeck.csv,baseline_CASIAB.csv,MLP,42,256,"[160, 320, 640]",,[2],"[1, 2]",0.2,mean,L2,128,3,640,relu,AdamW,,0.0002,1e-07,False,0.05356,3.43097,0.40909,0.3306,"[0.54167, 0.15385, 0.2963]",0.56818,0.47328,"[0.65217, 0.22222, 0.54545]",219,111,0.60136,1.49694,COMPLETED
6,20251127_184926,gaitgl_OUMVLP.csv,baseline_CASIAB.csv,MLP,42,256,"[160, 320, 640]",,[2],"[1, 2]",0.2,mean,L2,128,3,640,relu,AdamW,,0.0002,1e-07,False,1.03818,1.06109,0.47727,0.21538,"[0.64615, 0.0, 0.0]",0.47727,0.21538,"[0.64615, 0.0, 0.0]",103,103,1.03818,1.06109,STOPPED
7,20251127_184926,gaitpart_GREW.csv,baseline_CASIAB.csv,MLP,42,256,"[160, 320, 640]",,[2],"[1, 2]",0.2,mean,L2,128,3,640,relu,AdamW,,0.0002,1e-07,False,0.06173,2.53313,0.5,0.43928,"[0.65116, 0.22222, 0.44444]",0.56818,0.50899,"[0.66667, 0.23529, 0.625]",494,469,0.19833,2.11666,COMPLETED
8,20251127_184926,gaitpart_OUMVLP.csv,baseline_CASIAB.csv,MLP,42,256,"[160, 320, 640]",,[2],"[1, 2]",0.2,mean,L2,128,3,640,relu,AdamW,,0.0002,1e-07,False,0.53805,1.45753,0.56818,0.47972,"[0.58537, 0.22222, 0.63158]",0.63636,0.64327,"[0.63158, 0.66667, 0.63158]",1040,750,0.6589,1.2331,STOPPED
9,20251127_184926,gaitset.csv,baseline_CASIAB.csv,MLP,42,256,"[160, 320, 640]",,[2],"[1, 2]",0.2,mean,L2,128,3,640,relu,AdamW,,0.0002,1e-07,False,0.07817,3.14021,0.45455,0.37788,"[0.55319, 0.16667, 0.41379]",0.52273,0.43761,"[0.64151, 0.30769, 0.36364]",295,120,0.58285,1.48377,COMPLETED
10,20251127_184926,gaitset_GREW.csv,baseline_CASIAB.csv,MLP,42,256,"[160, 320, 640]",,[2],"[1, 2]",0.2,mean,L2,128,3,640,relu,AdamW,,0.0002,1e-07,False,0.07673,2.45726,0.54545,0.40349,"[0.62222, 0.0, 0.58824]",0.61364,0.49739,"[0.7037, 0.25, 0.53846]",393,224,0.49639,1.49491,COMPLETED
11,20251127_184926,gaitset_OUMVLP.csv,baseline_CASIAB.csv,MLP,42,256,"[160, 320, 640]",,[2],"[1, 2]",0.2,mean,L2,128,3,640,relu,AdamW,,0.0002,1e-07,False,0.44333,1.55854,0.5,0.44434,"[0.61224, 0.36364, 0.35714]",0.59091,0.58776,"[0.65217, 0.66667, 0.44444]",1342,758,0.57048,1.36584,STOPPED
12,20251127_184926,gln_phase1.csv,baseline_CASIAB.csv,MLP,42,256,"[160, 320, 640]",,[2],"[1, 2]",0.2,mean,L2,128,3,640,relu,AdamW,,0.0002,1e-07,False,0.07606,2.73466,0.47727,0.40113,"[0.57778, 0.14286, 0.48276]",0.63636,0.62595,"[0.68182, 0.61538, 0.58065]",323,136,0.47068,1.29257,COMPLETED
13,20251127_184926,gln_phase2.csv,baseline_CASIAB.csv,MLP,42,256,"[160, 320, 640]",,[2],"[1, 2]",0.2,mean,L2,128,3,640,relu,AdamW,,0.0002,1e-07,False,0.07273,2.90462,0.52273,0.44247,"[0.59091, 0.22222, 0.51429]",0.59091,0.54298,"[0.65, 0.4, 0.57895]",299,188,0.24013,1.99848,COMPLETED

14,20251127_185242,baseline_CASIAB.csv,baseline_OUMVLP.csv,MLP,42,256,"[512, 256, 128, 64]",,[2],"[1, 3]",0.3,mean,minmax,32,4,512,gelu,RMSprop,,0.0001,1e-07,False,0.03009,2.46099,0.59091,0.53737,"[0.66667, 0.4, 0.54545]",0.59091,0.53737,"[0.66667, 0.4, 0.54545]",136,136,0.03009,2.46099,COMPLETED
15,20251127_185242,baseline_OUMVLP.csv,baseline_OUMVLP.csv,MLP,42,256,"[512, 256, 128, 64]",,[2],"[1, 3]",0.3,mean,minmax,32,4,512,gelu,RMSprop,,0.0001,1e-07,False,0.09613,2.57237,0.47727,0.40914,"[0.42424, 0.25, 0.55319]",0.56818,0.51932,"[0.57895, 0.36364, 0.61538]",114,99,0.13139,1.62667,COMPLETED
