id,timestamp,target_embedding,source_params,model,seed,input_dim,hidden_layers,pooling,norm,batch_size,num_layers,base_dim,activation,dropout_rate,optimizer,learning_rate,weight_decay,use_pca,pca_frac,norm_layer,do_layer,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training

1,20250826_192433,baseline_CASIAB.csv,baseline_CASIAB.csv,MLP,42,256,"[512, 256]",mean,L2,64,2,512,leakyrelu,0.4,Adam,0.0001,1e-06,False,,[2],[2],0.00443,0.54545,298,0.38538,0.47306,115,0.05668,COMPLETED
2,20250826_192433,baseline_OUMVLP.csv,baseline_CASIAB.csv,MLP,42,256,"[512, 256]",mean,L2,64,2,512,leakyrelu,0.4,Adam,0.0001,1e-06,False,,[2],[2],0.00497,0.5,365,0.42487,0.47816,166,0.05863,COMPLETED
3,20250826_192433,gaitgl.csv,baseline_CASIAB.csv,MLP,42,128,"[512, 256]",mean,L2,64,2,512,leakyrelu,0.4,Adam,0.0001,1e-06,False,,[2],[2],0.00446,0.47727,350,0.39899,0.4582,163,0.03607,COMPLETED
4,20250826_192433,gaitgl_GREW.csv,baseline_CASIAB.csv,MLP,42,256,"[512, 256]",mean,L2,64,2,512,leakyrelu,0.4,Adam,0.0001,1e-06,False,,[2],[2],0.0044,0.47727,429,0.40322,0.40404,299,0.01354,COMPLETED
5,20250826_192433,gaitgl_GREW_BNNeck.csv,baseline_CASIAB.csv,MLP,42,256,"[512, 256]",mean,L2,64,2,512,leakyrelu,0.4,Adam,0.0001,1e-06,False,,[2],[2],0.00488,0.40909,258,0.33524,0.43932,82,0.12209,COMPLETED
6,20250826_192433,gaitgl_OUMVLP.csv,baseline_CASIAB.csv,MLP,42,256,"[512, 256]",mean,L2,64,2,512,leakyrelu,0.4,Adam,0.0001,1e-06,False,,[2],[2],0.00959,0.5,1387,0.46412,0.53954,810,0.17827,STOPPED
7,20250826_192433,gaitpart_GREW.csv,baseline_CASIAB.csv,MLP,42,256,"[512, 256]",mean,L2,64,2,512,leakyrelu,0.4,Adam,0.0001,1e-06,False,,[2],[2],0.00454,0.52273,386,0.435,0.48673,341,0.00985,COMPLETED
8,20250826_192433,gaitpart_OUMVLP.csv,baseline_CASIAB.csv,MLP,42,256,"[512, 256]",mean,L2,64,2,512,leakyrelu,0.4,Adam,0.0001,1e-06,False,,[2],[2],0.00455,0.56818,826,0.47635,0.60616,454,0.1484,COMPLETED
9,20250826_192433,gaitset.csv,baseline_CASIAB.csv,MLP,42,256,"[512, 256]",mean,L2,64,2,512,leakyrelu,0.4,Adam,0.0001,1e-06,False,,[2],[2],0.00488,0.40909,257,0.28798,0.30571,82,0.1304,COMPLETED
