id,timestamp,target_embedding,source_params,model,seed,pooling,norm,batch_size,num_layers,base_dim,activation,dropout_rate,optimizer,learning_rate,weight_decay,use_pca,pca_frac,momentum_sgd,norm_layer,do_layer,hidden_layers,input_dim,label_smoothing,clip_grad_norm,class_weights,train_loss,test_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training,duration_sec

1,20251017_165003,baseline_CASIAB.csv,Best_configs_v3,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,Adam,0.0001,1e-06,False,,,[2],[2],"[512, 256]",256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14404,1.41188,0.5,119,0.35887,0.48953,119,0.15136,STOPPED,9.981
2,20251017_165003,baseline_OUMVLP.csv,Best_configs_v3,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,Adam,0.0001,1e-06,False,,,[2],[2],"[512, 256]",256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1457,1.51867,0.45455,215,0.41667,0.47691,215,0.14911,STOPPED,9.91
3,20251017_165003,gaitgl.csv,Best_configs_v3,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,Adam,0.0001,1e-06,False,,,[2],[2],"[512, 256]",128,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14599,1.71828,0.45455,367,0.39457,0.39457,367,0.14599,STOPPED,10.037
4,20251017_165003,gaitgl_GREW.csv,Best_configs_v3,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,Adam,0.0001,1e-06,False,,,[2],[2],"[512, 256]",256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14394,1.43758,0.43182,115,0.36564,0.4205,115,0.28118,STOPPED,14.018
5,20251017_165003,gaitgl_GREW_BNNeck.csv,Best_configs_v3,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,Adam,0.0001,1e-06,False,,,[2],[2],"[512, 256]",256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14566,1.60116,0.38636,109,0.30952,0.36667,109,0.15092,STOPPED,9.489
6,20251017_165003,gaitgl_OUMVLP.csv,Best_configs_v3,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,Adam,0.0001,1e-06,False,,,[2],[2],"[512, 256]",256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14936,1.6052,0.47727,982,0.46115,0.54058,982,0.15536,STOPPED,32.401
7,20251017_165003,gaitpart_GREW.csv,Best_configs_v3,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,Adam,0.0001,1e-06,False,,,[2],[2],"[512, 256]",256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14517,1.29401,0.47727,86,0.39471,0.44635,86,0.27145,STOPPED,10.834
8,20251017_165003,gaitpart_OUMVLP.csv,Best_configs_v3,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,Adam,0.0001,1e-06,False,,,[2],[2],"[512, 256]",256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14763,1.55843,0.43182,674,0.38605,0.60568,674,0.14929,STOPPED,24.133
9,20251017_165003,gaitset.csv,Best_configs_v3,MLP,42,mean,L2,64,2,512,leakyrelu,0.4,Adam,0.0001,1e-06,False,,,[2],[2],"[512, 256]",256,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14468,1.7443,0.36364,101,0.31049,0.40277,101,0.15414,STOPPED,11.304
