id,timestamp,target_embedding,source_params,model,seed,input_dim,hidden_layers,pooling,norm,batch_size,num_layers,base_dim,activation,dropout_rate,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,pca_frac,norm_layers,dropout_layers,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
1,20251218_135234,baseline_31steps_concat.csv,Preset_1,MLP,42,73,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10216,1.57617,0.56818,0.52546,"[0.59574, 0.4, 0.58065]",527,0.10696,1.45757,0.65909,0.5959,"[0.68182, 0.4, 0.70588]",379,STOPPED,22.327
2,20251218_135234,gaitgl_64steps_concat.csv,Preset_1,MLP,42,98,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10173,2.02271,0.52273,0.47078,"[0.60465, 0.30769, 0.5]",625,0.10219,2.13777,0.52273,0.47158,"[0.59091, 0.30769, 0.51613]",430,STOPPED,23.97
3,20251218_135234,gaitpart_16steps_concat.csv,Preset_1,MLP,42,95,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10233,1.37213,0.59091,0.52145,"[0.69767, 0.26667, 0.6]",435,0.13486,1.4051,0.65909,0.62418,"[0.66667, 0.5, 0.70588]",67,STOPPED,16.883
4,20251218_135234,gaitset_62steps_concat.csv,Preset_1,MLP,42,101,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10271,1.80665,0.54545,0.4,"[0.66667, 0.0, 0.53333]",396,0.11309,1.98581,0.54545,0.48775,"[0.62222, 0.30769, 0.53333]",111,STOPPED,15.368
5,20251218_135234,gln_93steps_concat.csv,Preset_1,MLP,42,65,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10426,2.12412,0.5,0.36427,"[0.62222, 0.0, 0.47059]",536,0.71793,1.10051,0.5,0.49073,"[0.55, 0.47059, 0.45161]",10,STOPPED,20.373

6,20251218_135234,baseline_31steps_concat.csv,Preset_2,MLP,42,52,"[640, 640, 640, 640]",mean,,96,4,640,leakyrelu,0.45,AdamW,,0.0003,1e-05,True,0.75,"[1, 2, 3, 4]","[1, 2, 3]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12171,1.92806,0.54545,0.45445,"[0.625, 0.22222, 0.51613]",495,0.11362,1.65308,0.63636,0.59855,"[0.69565, 0.5, 0.6]",373,STOPPED,16.521
7,20251218_135234,gaitgl_64steps_concat.csv,Preset_2,MLP,42,48,"[640, 640, 640, 640]",mean,,96,4,640,leakyrelu,0.45,AdamW,,0.0003,1e-05,True,0.75,"[1, 2, 3, 4]","[1, 2, 3]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.109,2.31211,0.5,0.36092,"[0.6, 0.0, 0.48276]",689,0.42595,2.04563,0.52273,0.44233,"[0.57143, 0.2, 0.55556]",77,STOPPED,22.428
8,20251218_135234,gaitpart_16steps_concat.csv,Preset_2,MLP,42,63,"[640, 640, 640, 640]",mean,,96,4,640,leakyrelu,0.45,AdamW,,0.0003,1e-05,True,0.75,"[1, 2, 3, 4]","[1, 2, 3]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10321,1.84601,0.63636,0.59861,"[0.7027, 0.46154, 0.63158]",424,0.1153,1.4411,0.70455,0.66517,"[0.74419, 0.54545, 0.70588]",160,STOPPED,14.011
9,20251218_135234,gaitset_62steps_concat.csv,Preset_2,MLP,42,67,"[640, 640, 640, 640]",mean,,96,4,640,leakyrelu,0.45,AdamW,,0.0003,1e-05,True,0.75,"[1, 2, 3, 4]","[1, 2, 3]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11296,2.44231,0.47727,0.32858,"[0.61538, 0.0, 0.37037]",403,0.6427,1.68505,0.45455,0.44969,"[0.51429, 0.43478, 0.4]",65,STOPPED,13.253
