id,timestamp,target_embedding,source_params,model,seed,input_dim,hidden_layers,pooling,norm,batch_size,num_layers,base_dim,activation,dropout_rate,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,pca_frac,norm_layers,dropout_layers,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
1,20251222_211050,GREW_concat.csv,Preset_1,MLP,42,121,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10868,2.15495,0.47727,0.34626,"[0.625, 0.0, 0.41379]",125,0.167,2.3631,0.5,0.41521,"[0.65116, 0.14286, 0.45161]",41,COMPLETED,6.037
2,20251222_211050,GREW_mean.csv,Preset_1,MLP,42,69,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10709,2.07919,0.5,0.38282,"[0.61905, 0.0, 0.52941]",250,0.11606,2.38181,0.5,0.42409,"[0.6, 0.14286, 0.52941]",153,COMPLETED,11.721
3,20251222_211050,OUMVLP_concat.csv,Preset_1,MLP,42,98,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10739,1.31603,0.61364,0.44444,"[0.70833, 0.0, 0.625]",186,0.11811,1.3212,0.70455,0.62778,"[0.75, 0.4, 0.73333]",94,COMPLETED,9.256
4,20251222_211050,OUMVLP_mean.csv,Preset_1,MLP,42,46,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10776,1.6538,0.61364,0.55086,"[0.73913, 0.375, 0.53846]",398,0.24874,1.56243,0.63636,0.61195,"[0.68182, 0.53333, 0.62069]",84,COMPLETED,20.293

5,20251222_211050,GREW_concat.csv,Preset_2,MLP,42,47,"[640, 640, 640, 640]",mean,,96,4,640,leakyrelu,0.45,AdamW,,0.0003,1e-05,True,0.75,"[1, 2, 3, 4]","[1, 2, 3]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10655,1.99778,0.56818,0.42512,"[0.6087, 0.0, 0.66667]",429,0.26858,1.95765,0.59091,0.43961,"[0.65217, 0.0, 0.66667]",134,COMPLETED,17.102
6,20251222_211050,GREW_mean.csv,Preset_2,MLP,42,47,"[640, 640, 640, 640]",mean,,96,4,640,leakyrelu,0.45,AdamW,,0.0003,1e-05,True,0.75,"[1, 2, 3, 4]","[1, 2, 3]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10909,2.09949,0.52273,0.3804,"[0.59574, 0.0, 0.54545]",464,0.48635,1.79499,0.52273,0.43939,"[0.59091, 0.18182, 0.54545]",78,COMPLETED,19.746
7,20251222_211050,OUMVLP_concat.csv,Preset_2,MLP,42,27,"[640, 640, 640, 640]",mean,,96,4,640,leakyrelu,0.45,AdamW,,0.0003,1e-05,True,0.75,"[1, 2, 3, 4]","[1, 2, 3]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12617,2.12894,0.47727,0.40067,"[0.57778, 0.2, 0.42424]",614,0.14515,1.93932,0.56818,0.4733,"[0.66667, 0.18182, 0.57143]",486,STOPPED,26.225
8,20251222_211050,OUMVLP_mean.csv,Preset_2,MLP,42,23,"[640, 640, 640, 640]",mean,,96,4,640,leakyrelu,0.45,AdamW,,0.0003,1e-05,True,0.75,"[1, 2, 3, 4]","[1, 2, 3]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11812,1.96627,0.54545,0.44343,"[0.68085, 0.16667, 0.48276]",971,0.13623,1.99252,0.56818,0.50538,"[0.66667, 0.33333, 0.51613]",778,STOPPED,40.373

9,20251222_211050,GREW_concat.csv,Preset_3,MLP,42,103,"[1280, 896, 512, 256]",mean,L2,64,4,1280,silu,0.5,Adam,,0.0001,1e-07,True,0.85,"[1, 2, 3, 4]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10618,2.25588,0.38636,0.30686,"[0.45, 0.0, 0.47059]",429,0.32142,1.76594,0.5,0.4579,"[0.53659, 0.30769, 0.52941]",277,COMPLETED,25.271
10,20251222_211050,GREW_mean.csv,Preset_3,MLP,42,102,"[1280, 896, 512, 256]",mean,L2,64,4,1280,silu,0.5,Adam,,0.0001,1e-07,True,0.85,"[1, 2, 3, 4]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10833,2.53632,0.38636,0.30623,"[0.46154, 0.0, 0.45714]",429,0.21164,2.22584,0.45455,0.37989,"[0.57778, 0.13333, 0.42857]",324,COMPLETED,23.993
11,20251222_211050,OUMVLP_concat.csv,Preset_3,MLP,42,100,"[1280, 896, 512, 256]",mean,L2,64,4,1280,silu,0.5,Adam,,0.0001,1e-07,True,0.85,"[1, 2, 3, 4]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10514,2.45938,0.47727,0.39879,"[0.59091, 0.15385, 0.45161]",905,0.18304,2.41649,0.52273,0.43512,"[0.66667, 0.15385, 0.48485]",703,COMPLETED,50.254
12,20251222_211050,OUMVLP_mean.csv,Preset_3,MLP,42,77,"[1280, 896, 512, 256]",mean,L2,64,4,1280,silu,0.5,Adam,,0.0001,1e-07,True,0.85,"[1, 2, 3, 4]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1074,2.39789,0.45455,0.39564,"[0.47368, 0.125, 0.58824]",1039,0.17006,2.52402,0.5,0.4548,"[0.52632, 0.26667, 0.57143]",839,COMPLETED,55.858

13,20251222_211050,GREW_concat.csv,Preset_4,MLP,42,121,"[768, 768, 768, 768]",mean,minmax,128,4,768,gelu,0.4,AdamW,,0.00025,5e-06,True,0.8,"[1, 2, 3, 4]","[1, 3, 4]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10768,2.08873,0.47727,0.35344,"[0.6087, 0.0, 0.45161]",97,0.11971,1.79204,0.56818,0.42543,"[0.69565, 0.0, 0.58065]",71,COMPLETED,3.381
14,20251222_211050,GREW_mean.csv,Preset_4,MLP,42,69,"[768, 768, 768, 768]",mean,minmax,128,4,768,gelu,0.4,AdamW,,0.00025,5e-06,True,0.8,"[1, 2, 3, 4]","[1, 3, 4]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10668,1.99424,0.56818,0.47374,"[0.65116, 0.18182, 0.58824]",169,0.10721,1.95253,0.56818,0.47374,"[0.65116, 0.18182, 0.58824]",168,COMPLETED,5.716
15,20251222_211050,OUMVLP_concat.csv,Preset_4,MLP,42,98,"[768, 768, 768, 768]",mean,minmax,128,4,768,gelu,0.4,AdamW,,0.00025,5e-06,True,0.8,"[1, 2, 3, 4]","[1, 3, 4]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10629,1.40249,0.61364,0.51087,"[0.68182, 0.22222, 0.62857]",115,0.11343,1.38297,0.65909,0.58155,"[0.72727, 0.30769, 0.70968]",101,COMPLETED,4.58
16,20251222_211050,OUMVLP_mean.csv,Preset_4,MLP,42,46,"[768, 768, 768, 768]",mean,minmax,128,4,768,gelu,0.4,AdamW,,0.00025,5e-06,True,0.8,"[1, 2, 3, 4]","[1, 3, 4]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10831,1.94437,0.54545,0.50379,"[0.63636, 0.375, 0.5]",162,0.11295,1.67413,0.61364,0.56522,"[0.69565, 0.42857, 0.57143]",134,COMPLETED,5.821

17,20251222_211050,GREW_concat.csv,Preset_5,MLP,42,84,"[1024, 784, 512, 256]",mean,L2,64,4,1024,leakyrelu,0.5,Adam,,0.0002,1e-06,True,0.8,"[2, 3]","[1, 2, 3]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10858,2.91897,0.36364,0.28055,"[0.45455, 0.0, 0.3871]",388,0.55983,2.05468,0.43182,0.39746,"[0.48649, 0.23529, 0.47059]",102,COMPLETED,20.115
18,20251222_211050,GREW_mean.csv,Preset_5,MLP,42,84,"[1024, 784, 512, 256]",mean,L2,64,4,1024,leakyrelu,0.5,Adam,,0.0002,1e-06,True,0.8,"[2, 3]","[1, 2, 3]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10763,2.66501,0.40909,0.30814,"[0.51064, 0.0, 0.41379]",410,0.52483,1.83281,0.43182,0.40226,"[0.42105, 0.28571, 0.5]",104,COMPLETED,20.432
19,20251222_211050,OUMVLP_concat.csv,Preset_5,MLP,42,74,"[1024, 784, 512, 256]",mean,L2,64,4,1024,leakyrelu,0.5,Adam,,0.0002,1e-06,True,0.8,"[2, 3]","[1, 2, 3]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10985,1.44344,0.65909,0.5754,"[0.75, 0.33333, 0.64286]",749,0.14835,1.65385,0.68182,0.64806,"[0.74419, 0.53333, 0.66667]",497,COMPLETED,38.927
20,20251222_211050,OUMVLP_mean.csv,Preset_5,MLP,42,58,"[1024, 784, 512, 256]",mean,L2,64,4,1024,leakyrelu,0.5,Adam,,0.0002,1e-06,True,0.8,"[2, 3]","[1, 2, 3]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10949,1.81961,0.61364,0.58374,"[0.7, 0.47059, 0.58065]",922,0.11596,1.85286,0.61364,0.58786,"[0.68293, 0.5, 0.58065]",822,STOPPED,45.929

21,20251222_211050,GREW_concat.csv,Preset_6,MLP,42,103,"[1024, 1024, 512]",mean,L2,128,3,1024,silu,0.5,AdamW,,0.0002,5e-06,True,0.85,"[1, 3]",[2],[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1071,2.3032,0.38636,0.28783,"[0.57778, 0.0, 0.28571]",203,0.63482,1.4322,0.5,0.45141,"[0.57143, 0.26667, 0.51613]",93,COMPLETED,6.289
22,20251222_211050,GREW_mean.csv,Preset_6,MLP,42,102,"[1024, 1024, 512]",mean,L2,128,3,1024,silu,0.5,AdamW,,0.0002,5e-06,True,0.85,"[1, 3]",[2],[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10723,2.80283,0.38636,0.27964,"[0.55319, 0.0, 0.28571]",212,0.5249,1.81667,0.45455,0.41856,"[0.51282, 0.28571, 0.45714]",102,COMPLETED,6.149
23,20251222_211050,OUMVLP_concat.csv,Preset_6,MLP,42,100,"[1024, 1024, 512]",mean,L2,128,3,1024,silu,0.5,AdamW,,0.0002,5e-06,True,0.85,"[1, 3]",[2],[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10935,2.35701,0.45455,0.39076,"[0.47619, 0.18182, 0.51429]",524,0.34579,1.67418,0.52273,0.44373,"[0.53659, 0.2, 0.59459]",318,COMPLETED,16.401
