id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,hidden_layers,norm_layers,dropout_layers,dropout_rate,activation,base_dim,batch_size,num_layers,pooling,norm,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,pca_frac,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
1,20260111_181512,baseline_CASIAB_LOW70.csv,70%,Preset_38,MLP,42,256,"[1024, 768, 384, 192]",[2],"[1, 3]",0.55,leakyrelu,1024,80,4,mean,minmax,SGD,0.9,0.002,1e-05,False,,0.11828,2.01699,0.54545,0.40381,"[0.64, 0.0, 0.57143]",1147,0.12877,2.09494,0.59091,0.48381,"[0.68, 0.2, 0.57143]",943,COMPLETED,39.755
2,20260111_181512,baseline_OUMVLP_LOW70.csv,70%,Preset_38,MLP,42,256,"[1024, 768, 384, 192]",[2],"[1, 3]",0.55,leakyrelu,1024,80,4,mean,minmax,SGD,0.9,0.002,1e-05,False,,0.1156,2.00635,0.47727,0.41084,"[0.52381, 0.22222, 0.48649]",1058,0.12397,1.94337,0.54545,0.54587,"[0.53659, 0.54545, 0.55556]",985,COMPLETED,36.756
3,20260111_181512,gaitgl_GREW_BNNeck_LOW70.csv,70%,Preset_38,MLP,42,256,"[1024, 768, 384, 192]",[2],"[1, 3]",0.55,leakyrelu,1024,80,4,mean,minmax,SGD,0.9,0.002,1e-05,False,,0.12291,2.19221,0.47727,0.3282,"[0.62745, 0.0, 0.35714]",1006,0.19247,2.24856,0.54545,0.46152,"[0.59091, 0.22222, 0.57143]",596,STOPPED,34.164
4,20260111_181512,gaitgl_GREW_LOW70.csv,70%,Preset_38,MLP,42,256,"[1024, 768, 384, 192]",[2],"[1, 3]",0.55,leakyrelu,1024,80,4,mean,minmax,SGD,0.9,0.002,1e-05,False,,0.12038,2.32691,0.40909,0.29592,"[0.53061, 0.0, 0.35714]",1001,0.56494,1.53552,0.45455,0.39076,"[0.5, 0.14286, 0.52941]",334,STOPPED,30.328
5,20260111_181512,gaitgl_LOW70.csv,70%,Preset_38,MLP,42,128,"[1024, 768, 384, 192]",[2],"[1, 3]",0.55,leakyrelu,1024,80,4,mean,minmax,SGD,0.9,0.002,1e-05,False,,0.12012,2.72028,0.40909,0.30019,"[0.46154, 0.0, 0.43902]",1550,0.16954,2.66716,0.5,0.42837,"[0.52632, 0.22222, 0.53659]",1084,STOPPED,46.439
6,20260111_181512,gaitgl_OUMVLP_LOW70.csv,70%,Preset_38,MLP,42,256,"[1024, 768, 384, 192]",[2],"[1, 3]",0.55,leakyrelu,1024,80,4,mean,minmax,SGD,0.9,0.002,1e-05,False,,0.13193,2.13245,0.45455,0.38387,"[0.53333, 0.16667, 0.45161]",1327,0.7108,1.36038,0.52273,0.45,"[0.55, 0.13333, 0.66667]",328,STOPPED,39.917
7,20260111_181512,gaitpart_GREW_LOW70.csv,70%,Preset_38,MLP,42,256,"[1024, 768, 384, 192]",[2],"[1, 3]",0.55,leakyrelu,1024,80,4,mean,minmax,SGD,0.9,0.002,1e-05,False,,0.11771,1.78506,0.52273,0.42853,"[0.65217, 0.18182, 0.45161]",1006,0.14117,1.89275,0.61364,0.53278,"[0.73469, 0.36364, 0.5]",766,STOPPED,30.629
8,20260111_181512,gaitpart_OUMVLP_LOW70.csv,70%,Preset_38,MLP,42,256,"[1024, 768, 384, 192]",[2],"[1, 3]",0.55,leakyrelu,1024,80,4,mean,minmax,SGD,0.9,0.002,1e-05,False,,0.11866,1.7159,0.54545,0.44311,"[0.68085, 0.18182, 0.46667]",1076,0.13986,1.9057,0.56818,0.47071,"[0.66667, 0.2, 0.54545]",910,COMPLETED,31.889
9,20260111_181512,gaitset_GREW_LOW70.csv,70%,Preset_38,MLP,42,256,"[1024, 768, 384, 192]",[2],"[1, 3]",0.55,leakyrelu,1024,80,4,mean,minmax,SGD,0.9,0.002,1e-05,False,,0.1214,1.82171,0.5,0.35528,"[0.6087, 0.0, 0.45714]",980,0.24964,1.6158,0.56818,0.50435,"[0.66667, 0.36364, 0.48276]",537,STOPPED,30.008
10,20260111_181512,gaitset_LOW70.csv,70%,Preset_38,MLP,42,256,"[1024, 768, 384, 192]",[2],"[1, 3]",0.55,leakyrelu,1024,80,4,mean,minmax,SGD,0.9,0.002,1e-05,False,,0.11585,2.51768,0.40909,0.28086,"[0.52, 0.0, 0.32258]",1159,0.13513,2.56661,0.5,0.46174,"[0.57143, 0.4, 0.41379]",971,COMPLETED,37.149
