id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,hidden_layers,pooling,norm,batch_size,num_layers,base_dim,activation,dropout_rate,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,pca_frac,norm_layers,dropout_layers,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
222,20251229_131525,baseline_CASIAB_TOP30.csv,30%,Preset_1,MLP,42,35,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12635,2.13479,0.54545,0.53361,"[0.57143, 0.5, 0.52941]",226,0.13652,2.22256,0.56818,0.57441,"[0.57778, 0.6, 0.54545]",172,COMPLETED,13.211
223,20251229_131525,baseline_OUMVLP_TOP30.csv,30%,Preset_1,MLP,42,35,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12035,2.17592,0.5,0.47388,"[0.53659, 0.33333, 0.55172]",215,0.31983,1.57073,0.54545,0.5375,"[0.55, 0.5, 0.5625]",53,COMPLETED,9.999
226,20251229_131525,gaitgl_GREW_BNNeck_TOP30.csv,30%,Preset_1,MLP,42,53,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12723,2.63775,0.45455,0.33611,"[0.54167, 0.0, 0.46667]",158,0.38414,1.92944,0.52273,0.47053,"[0.61905, 0.30769, 0.48485]",34,COMPLETED,6.564
225,20251229_131525,gaitgl_GREW_TOP30.csv,30%,Preset_1,MLP,42,75,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1245,2.16137,0.43182,0.33488,"[0.60465, 0.0, 0.4]",126,0.2039,2.17415,0.5,0.3891,"[0.65116, 0.0, 0.51613]",56,COMPLETED,5.227
227,20251229_131525,gaitgl_OUMVLP_TOP30.csv,30%,Preset_1,MLP,42,51,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12676,2.83599,0.45455,0.40277,"[0.57778, 0.28571, 0.34483]",169,0.39569,1.86595,0.5,0.48942,"[0.57778, 0.53333, 0.35714]",44,COMPLETED,6.942
224,20251229_131525,gaitgl_TOP30.csv,30%,Preset_1,MLP,42,40,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12674,2.64269,0.36364,0.32049,"[0.4186, 0.2, 0.34286]",203,0.19556,2.47052,0.45455,0.44021,"[0.47619, 0.4, 0.44444]",95,COMPLETED,8.238
228,20251229_131525,gaitpart_GREW_TOP30.csv,30%,Preset_1,MLP,42,53,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12862,2.00593,0.47727,0.39957,"[0.61538, 0.33333, 0.25]",128,0.27107,1.60192,0.59091,0.54611,"[0.69388, 0.5, 0.44444]",39,COMPLETED,5.224
229,20251229_131525,gaitpart_OUMVLP_TOP30.csv,30%,Preset_1,MLP,42,41,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12617,2.17128,0.59091,0.49483,"[0.65116, 0.22222, 0.61111]",161,0.12453,2.21932,0.59091,0.49483,"[0.65116, 0.22222, 0.61111]",160,COMPLETED,6.702
231,20251229_131525,gaitset_GREW_TOP30.csv,30%,Preset_1,MLP,42,63,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12527,2.24218,0.5,0.41549,"[0.62222, 0.2, 0.42424]",103,0.16172,2.33537,0.54545,0.46627,"[0.70833, 0.33333, 0.35714]",64,COMPLETED,4.329
232,20251229_131525,gaitset_OUMVLP_TOP30.csv,30%,Preset_1,MLP,42,45,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12727,2.14604,0.5,0.37344,"[0.59091, 0.0, 0.52941]",169,0.15164,2.21051,0.56818,0.43245,"[0.65217, 0.0, 0.64516]",105,COMPLETED,7.115
