id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,hidden_layers,pooling,norm,batch_size,num_layers,base_dim,activation,dropout_rate,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,pca_frac,norm_layers,dropout_layers,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
1,20260108_002650,baseline_CASIAB_TOP50.csv,50%,Preset_1,MLP,42,41,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11774,1.79304,0.54545,0.49615,"[0.6087, 0.36364, 0.51613]",236,0.16967,1.94227,0.61364,0.54839,"[0.66667, 0.33333, 0.64516]",115,COMPLETED,11.627
2,20260108_002650,baseline_OUMVLP_TOP50.csv,50%,Preset_1,MLP,42,41,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11807,1.30334,0.56818,0.54396,"[0.55814, 0.42857, 0.64516]",235,0.12751,1.3426,0.65909,0.63781,"[0.61538, 0.53333, 0.76471]",167,COMPLETED,11.571
3,20260108_002650,gaitgl_GREW_BNNeck_TOP50.csv,50%,Preset_1,MLP,42,58,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11465,2.42123,0.40909,0.27824,"[0.54902, 0.0, 0.28571]",167,0.5013,1.49782,0.47727,0.40337,"[0.57143, 0.15385, 0.48485]",22,COMPLETED,7.931
4,20260108_002650,gaitgl_GREW_TOP50.csv,50%,Preset_1,MLP,42,74,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11518,2.24922,0.52273,0.44156,"[0.57143, 0.18182, 0.57143]",143,0.14116,2.26159,0.59091,0.53202,"[0.63415, 0.33333, 0.62857]",86,COMPLETED,8.101
5,20260108_002650,gaitgl_OUMVLP_TOP50.csv,50%,Preset_1,MLP,42,47,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11776,2.20039,0.52273,0.49716,"[0.55814, 0.4, 0.53333]",262,0.15631,2.02285,0.56818,0.54734,"[0.6087, 0.5, 0.53333]",123,COMPLETED,12.822
6,20260108_002650,gaitgl_TOP50.csv,50%,Preset_1,MLP,42,40,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11101,2.09881,0.40909,0.35892,"[0.45455, 0.22222, 0.4]",247,0.15081,2.16862,0.5,0.45507,"[0.56522, 0.33333, 0.46667]",137,COMPLETED,12.98
7,20260108_002650,gaitpart_GREW_TOP50.csv,50%,Preset_1,MLP,42,61,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11465,1.65752,0.59091,0.52077,"[0.69565, 0.33333, 0.53333]",139,0.13261,1.73842,0.63636,0.61989,"[0.7, 0.57143, 0.58824]",122,COMPLETED,6.598
8,20260108_002650,gaitpart_OUMVLP_TOP50.csv,50%,Preset_1,MLP,42,48,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11915,1.90193,0.54545,0.46234,"[0.55814, 0.18182, 0.64706]",182,0.48294,1.23823,0.56818,0.53584,"[0.57895, 0.4, 0.62857]",24,COMPLETED,8.926
9,20260108_002650,gaitset_GREW_TOP50.csv,50%,Preset_1,MLP,42,65,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11763,2.06352,0.54545,0.45316,"[0.66667, 0.22222, 0.47059]",143,0.15603,2.16933,0.61364,0.54104,"[0.72727, 0.33333, 0.5625]",58,COMPLETED,7.389
10,20260108_002650,gaitset_OUMVLP_TOP50.csv,50%,Preset_1,MLP,42,52,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11769,1.83456,0.5,0.37407,"[0.62222, 0.0, 0.5]",193,0.37613,1.7766,0.5,0.45456,"[0.57895, 0.22222, 0.5625]",36,COMPLETED,9.328
11,20260108_002650,gaitset_TOP50.csv,50%,Preset_1,MLP,42,34,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11624,2.2292,0.47727,0.40476,"[0.57143, 0.14286, 0.5]",305,0.16676,2.17163,0.54545,0.49221,"[0.59091, 0.28571, 0.6]",154,COMPLETED,15.187
12,20260108_002650,gln_phase1_TOP50.csv,50%,Preset_1,MLP,42,47,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11416,1.87695,0.54545,0.4845,"[0.68293, 0.28571, 0.48485]",184,0.1796,1.73875,0.59091,0.57626,"[0.65, 0.53333, 0.54545]",83,COMPLETED,9.129
13,20260108_002650,gln_phase2_TOP50.csv,50%,Preset_1,MLP,42,51,"[768, 512, 256]",mean,minmax,64,3,768,silu,0.4,Adam,,0.0002,1e-07,True,0.8,"[1, 2, 3]","[1, 2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11795,2.32789,0.45455,0.36275,"[0.5, 0.0, 0.58824]",187,0.61775,1.22451,0.54545,0.52685,"[0.55556, 0.4, 0.625]",17,COMPLETED,9.466

14,20260108_002650,baseline_CASIAB_TOP50.csv,50%,Preset_2,MLP,42,30,"[640, 640, 640, 640]",mean,,96,4,640,leakyrelu,0.45,AdamW,,0.0003,1e-05,True,0.75,"[1, 2, 3, 4]","[1, 2, 3]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11547,2.13382,0.47727,0.3514,"[0.57143, 0.0, 0.48276]",623,0.32638,1.89489,0.61364,0.55072,"[0.65217, 0.33333, 0.66667]",148,COMPLETED,25.487
15,20260108_002650,baseline_OUMVLP_TOP50.csv,50%,Preset_2,MLP,42,28,"[640, 640, 640, 640]",mean,,96,4,640,leakyrelu,0.45,AdamW,,0.0003,1e-05,True,0.75,"[1, 2, 3, 4]","[1, 2, 3]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.14894,2.11442,0.5,0.42929,"[0.5, 0.18182, 0.60606]",434,0.479,1.54165,0.59091,0.55305,"[0.63415, 0.4, 0.625]",111,STOPPED,14.785
16,20260108_002650,gaitgl_GREW_BNNeck_TOP50.csv,50%,Preset_2,MLP,42,44,"[640, 640, 640, 640]",mean,,96,4,640,leakyrelu,0.45,AdamW,,0.0003,1e-05,True,0.75,"[1, 2, 3, 4]","[1, 2, 3]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11924,2.12917,0.54545,0.39111,"[0.64, 0.0, 0.53333]",526,0.12519,2.15247,0.54545,0.44667,"[0.64, 0.2, 0.5]",431,COMPLETED,17.567
