id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,hidden_layers,norm_layers,dropout_layers,dropout_rate,activation,base_dim,batch_size,num_layers,pooling,norm,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,pca_frac,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
1,20260111_181512,baseline_CASIAB_LOW30.csv,30%,Preset_27,MLP,42,49,"[896, 640, 384, 192]","[1, 2, 3]","[1, 2]",0.4,silu,896,64,4,mean,L2,Adam,,0.0001,0.0,True,0.85,0.11592,2.65367,0.43182,0.39748,"[0.5, 0.23529, 0.45714]",450,0.12715,2.65192,0.45455,0.41589,"[0.54054, 0.25, 0.45714]",407,COMPLETED,21.444
2,20260111_181512,baseline_OUMVLP_LOW30.csv,30%,Preset_27,MLP,42,52,"[896, 640, 384, 192]","[1, 2, 3]","[1, 2]",0.4,silu,896,64,4,mean,L2,Adam,,0.0001,0.0,True,0.85,0.11589,1.96493,0.54545,0.50877,"[0.6, 0.4, 0.52632]",485,0.15452,2.09082,0.63636,0.61045,"[0.69767, 0.54545, 0.58824]",371,COMPLETED,22.449
3,20260111_181512,gaitgl_GREW_BNNeck_LOW30.csv,30%,Preset_27,MLP,42,61,"[896, 640, 384, 192]","[1, 2, 3]","[1, 2]",0.4,silu,896,64,4,mean,L2,Adam,,0.0001,0.0,True,0.85,0.11547,2.41727,0.47727,0.45071,"[0.55319, 0.42857, 0.37037]",359,0.36058,2.11969,0.47727,0.46394,"[0.51163, 0.42857, 0.45161]",176,COMPLETED,17.059
4,20260111_181512,gaitgl_GREW_LOW30.csv,30%,Preset_27,MLP,42,104,"[896, 640, 384, 192]","[1, 2, 3]","[1, 2]",0.4,silu,896,64,4,mean,L2,Adam,,0.0001,0.0,True,0.85,0.11478,2.50348,0.54545,0.41094,"[0.65217, 0.0, 0.58065]",253,0.69036,1.60852,0.54545,0.46154,"[0.5641, 0.15385, 0.66667]",68,COMPLETED,11.754
5,20260111_181512,gaitgl_LOW30.csv,30%,Preset_27,MLP,42,56,"[896, 640, 384, 192]","[1, 2, 3]","[1, 2]",0.4,silu,896,64,4,mean,L2,Adam,,0.0001,0.0,True,0.85,0.11953,2.05536,0.54545,0.39546,"[0.65306, 0.0, 0.53333]",382,0.11996,2.0813,0.54545,0.44527,"[0.65306, 0.2, 0.48276]",359,COMPLETED,18.232
6,20260111_181512,gaitgl_OUMVLP_LOW30.csv,30%,Preset_27,MLP,42,78,"[896, 640, 384, 192]","[1, 2, 3]","[1, 2]",0.4,silu,896,64,4,mean,L2,Adam,,0.0001,0.0,True,0.85,0.11273,1.89261,0.52273,0.39316,"[0.66667, 0.0, 0.51282]",855,0.12901,1.95691,0.54545,0.41026,"[0.66667, 0.0, 0.5641]",802,COMPLETED,42.477
7,20260111_181512,gaitpart_GREW_LOW30.csv,30%,Preset_27,MLP,42,60,"[896, 640, 384, 192]","[1, 2, 3]","[1, 2]",0.4,silu,896,64,4,mean,L2,Adam,,0.0001,0.0,True,0.85,0.11938,2.09704,0.5,0.41401,"[0.6087, 0.16667, 0.46667]",455,0.37534,1.95474,0.5,0.4759,"[0.53659, 0.375, 0.51613]",291,COMPLETED,21.788
8,20260111_181512,gaitpart_OUMVLP_LOW30.csv,30%,Preset_27,MLP,42,51,"[896, 640, 384, 192]","[1, 2, 3]","[1, 2]",0.4,silu,896,64,4,mean,L2,Adam,,0.0001,0.0,True,0.85,0.11534,2.58023,0.36364,0.31548,"[0.42857, 0.14286, 0.375]",709,0.6903,1.50331,0.52273,0.49331,"[0.54054, 0.33333, 0.60606]",353,COMPLETED,31.873
9,20260111_181512,gaitset_GREW_LOW30.csv,30%,Preset_27,MLP,42,83,"[896, 640, 384, 192]","[1, 2, 3]","[1, 2]",0.4,silu,896,64,4,mean,L2,Adam,,0.0001,0.0,True,0.85,0.11547,1.85681,0.56818,0.51884,"[0.60465, 0.36364, 0.58824]",288,0.32123,1.97274,0.61364,0.5887,"[0.61905, 0.5, 0.64706]",169,COMPLETED,13.17
10,20260111_181512,gaitset_LOW30.csv,30%,Preset_27,MLP,42,46,"[896, 640, 384, 192]","[1, 2, 3]","[1, 2]",0.4,silu,896,64,4,mean,L2,Adam,,0.0001,0.0,True,0.85,0.11648,2.35786,0.43182,0.3233,"[0.55814, 0.0, 0.41176]",449,0.71403,1.44643,0.5,0.46759,"[0.51282, 0.36364, 0.52632]",86,COMPLETED,20.119
