id,embedding,best_f1_v1_v2,best_f1_v3,difference
1,baseline_CASIAB.csv,0.47306,0.48953,0.01647
2,baseline_OUMVLP.csv,0.47816,0.47691,-0.00125
3,gaitgl.csv,0.4582,0.39457,-0.06363
4,gaitgl_GREW.csv,0.40404,0.4205,0.01646
5,gaitgl_GREW_BNNeck.csv,0.43932,0.36667,-0.07265
6,gaitgl_OUMVLP.csv,0.53954,0.54058,0.00104
7,gaitpart_GREW.csv,0.48673,0.44635,-0.04038
8,gaitpart_OUMVLP.csv,0.60616,0.60568,-0.00048
9,gaitset.csv,0.30571,0.40277,0.09706
10,gaitset_GREW.csv,0.42204,0.47293,0.05089
11,gaitset_OUMVLP.csv,0.49167,0.41667,-0.075
12,gln_phase1.csv,0.60489,0.58952,-0.01537
13,gln_phase2.csv,0.45879,0.49671,0.03792
27,baseline_CASIAB.csv,0.55003,0.49757,-0.05246
28,baseline_OUMVLP.csv,0.6322,0.65278,0.02058
29,gaitgl.csv,0.46506,0.44162,-0.02344
30,gaitgl_GREW.csv,0.43871,0.39811,-0.0406
31,gaitgl_GREW_BNNeck.csv,0.37861,0.45512,0.07651
32,gaitgl_OUMVLP.csv,0.57978,0.5798,2e-05
33,gaitpart_GREW.csv,0.42929,0.43834,0.00905
34,gaitpart_OUMVLP.csv,0.57702,0.4735,-0.10352
35,gaitset.csv,0.42983,0.50979,0.07996
36,gaitset_GREW.csv,0.55405,0.4721,-0.08195
37,gaitset_OUMVLP.csv,0.49013,0.45,-0.04013
38,gln_phase1.csv,0.50899,0.58574,0.07675
39,gln_phase2.csv,0.43569,0.473,0.03731
144,baseline_CASIAB.csv,0.43571,0.42171,-0.014
145,baseline_OUMVLP.csv,0.60795,0.53492,-0.07303
146,gaitgl.csv,0.44103,0.46199,0.02096
147,gaitgl_GREW.csv,0.43554,0.39846,-0.03708
148,gaitgl_GREW_BNNeck.csv,0.42659,0.40269,-0.0239
149,gaitgl_OUMVLP.csv,0.4615,0.50231,0.04081
150,gaitpart_GREW.csv,0.36797,0.37936,0.01139
151,gaitpart_OUMVLP.csv,0.49495,0.51133,0.01638
152,gaitset.csv,0.48394,0.45812,-0.02582
153,gaitset_GREW.csv,0.45589,0.43838,-0.01751
154,gaitset_OUMVLP.csv,0.53361,0.56093,0.02732
155,gln_phase1.csv,0.57335,0.62372,0.05037
156,gln_phase2.csv,0.41395,0.43381,0.01986
170,baseline_CASIAB.csv,0.62584,0.40456,-0.22128
171,baseline_OUMVLP.csv,0.57497,0.39132,-0.18365
172,gaitgl.csv,0.32741,0.25189,-0.07552
173,gaitgl_GREW.csv,0.45717,0.34906,-0.10811
174,gaitgl_GREW_BNNeck.csv,0.45285,0.40486,-0.04799
175,gaitgl_OUMVLP.csv,0.39959,0.48272,0.08313
176,gaitpart_GREW.csv,0.57867,0.50656,-0.07211
177,gaitpart_OUMVLP.csv,0.48074,0.49192,0.01118
178,gaitset.csv,0.45845,0.40344,-0.05501
179,gaitset_GREW.csv,0.62283,0.53285,-0.08998
180,gaitset_OUMVLP.csv,0.33894,0.2876,-0.05134
181,gln_phase1.csv,0.49716,0.51852,0.02136
182,gln_phase2.csv,0.42667,0.34645,-0.08022
196,baseline_CASIAB.csv,0.53037,0.52397,-0.0064
197,baseline_OUMVLP.csv,0.56923,0.59905,0.02982
198,gaitgl.csv,0.55307,0.57192,0.01885
199,gaitgl_GREW.csv,0.39491,0.41919,0.02428
200,gaitgl_GREW_BNNeck.csv,0.50051,0.48421,-0.0163
201,gaitgl_OUMVLP.csv,0.61573,0.58413,-0.0316
202,gaitpart_GREW.csv,0.48384,0.59082,0.10698
203,gaitpart_OUMVLP.csv,0.54346,0.52818,-0.01528
204,gaitset.csv,0.42405,0.47998,0.05593
205,gaitset_GREW.csv,0.46877,0.55383,0.08506
206,gaitset_OUMVLP.csv,0.4743,0.52885,0.05455
207,gln_phase1.csv,0.52076,0.59458,0.07382
208,gln_phase2.csv,0.4205,0.45279,0.03229
209,baseline_CASIAB.csv,0.44314,0.44108,-0.00206
210,baseline_OUMVLP.csv,0.56931,0.55039,-0.01892
211,gaitgl.csv,0.44335,0.51637,0.07302
212,gaitgl_GREW.csv,0.30313,0.36919,0.06606
213,gaitgl_GREW_BNNeck.csv,0.34286,0.39394,0.05108
214,gaitgl_OUMVLP.csv,0.60504,0.51632,-0.08872
215,gaitpart_GREW.csv,0.52053,0.54147,0.02094
216,gaitpart_OUMVLP.csv,0.48356,0.51481,0.03125
217,gaitset.csv,0.46725,0.40476,-0.06249
218,gaitset_GREW.csv,0.38617,0.51333,0.12716
219,gaitset_OUMVLP.csv,0.2986,0.4862,0.1876
220,gln_phase1.csv,0.5,0.53215,0.03215
221,gln_phase2.csv,0.43651,0.44968,0.01317
235,baseline_CASIAB.csv,0.41411,0.55789,0.14378
236,baseline_OUMVLP.csv,0.56061,0.59418,0.03357
237,gaitgl.csv,0.3631,0.57534,0.21224
238,gaitgl_GREW.csv,0.37179,0.36852,-0.00327
239,gaitgl_GREW_BNNeck.csv,0.57429,0.52381,-0.05048
