hidden_layers,norm_layers,dropout_layers,dropout_rate,activation,base_dim,batch_size,num_layers,pooling,norm,optimizer,momentum_sgd,learning_rate,weight_decay,use_pca,pca_frac
"[64, 128, 512, 768]","[1, 2]","[2, 3]",0.45,gelu,768,96,4,mean,minmax,AdamW,0.0,0.0007,0.00001,True,0.6
"[896]","[]","[]",0.1,leakyrelu,896,16,1,mean,L2,RMSprop,0.0,0.0003,0.00001,True,0.8
"[64, 128, 128, 64]","[1, 2]","[1, 2]",0.25,relu,128,256,4,max,minmax,Adam,0.0,0.0005,0.00001,True,0.7
"[640, 320, 160]","[1, 2]","[2]",0.3,tanh,640,16,3,mean,minmax,RMSprop,0.0,0.0001,0.000001,True,0.7
"[96, 192, 384, 768]","[1, 2, 3]","[1, 2, 3]",0.35,silu,768,32,4,mean,minmax,Adam,0.0,0.0002,0.0,True,0.85
"[512, 256]","[1]","[]",0.0,elu,512,64,2,mean,L2,AdamW,0.0,0.0002,0.0001,True,0.9
"[224, 448, 896]","[1, 2]","[1, 2]",0.2,gelu,896,128,3,mean,minmax,AdamW,0.0,0.0005,0.00005,True,0.75
"[1024, 512, 256, 128]","[1, 2, 3]","[1, 2, 3]",0.25,silu,1024,64,4,mean,minmax,RMSprop,0.0,0.0004,0.00001,True,0.8
"[384]","[]","[]",0.0,relu,384,128,1,mean,minmax,AdamW,0.0,0.0003,0.0001,False,0.0
"[320, 320, 320, 320]","[1, 2, 3]","[1, 2, 3]",0.3,gelu,320,32,4,max,L2,Adam,0.0,0.0002,0.00001,True,0.7
"[128, 256, 1024, 512]","[1, 2, 3]","[1, 2]",0.35,elu,1024,96,4,mean,minmax,AdamW,0.0,0.0003,0.0002,True,0.8
"[768, 384, 192]","[1, 2]","[]",0.0,leakyrelu,768,64,3,mean,minmax,SGD,0.9,0.01,0.0001,True,0.7
"[256, 512]","[1]","[1]",0.15,silu,512,128,2,max,minmax,Adam,0.0,0.0008,0.0,True,0.85
"[640, 640, 640]","[1, 2]","[1, 2]",0.2,gelu,640,32,3,mean,L2,RMSprop,0.0,0.0002,0.00001,True,0.75
"[160, 320, 640, 640]","[1, 2]","[2, 3]",0.25,relu,640,48,4,mean,minmax,AdamW,0.0,0.0002,0.0001,True,0.9
"[1024]","[]","[]",0.2,silu,1024,32,1,mean,minmax,Adam,0.0,0.0003,0.00001,True,0.9
"[896, 448, 112, 64]","[1, 2, 3]","[1, 2, 3]",0.3,gelu,896,32,4,mean,L2,AdamW,0.0,0.0001,0.00005,True,0.8
"[192, 384, 768, 768]","[1, 2, 3]","[1, 2, 3]",0.4,elu,768,96,4,mean,minmax,RMSprop,0.0,0.0003,0.00001,True,0.7
"[448, 224, 112]","[1, 2]","[1, 2]",0.1,relu,448,192,3,max,L2,SGD,0.9,0.02,0.0,True,0.6
"[512, 512]","[1]","[1]",0.15,silu,512,64,2,mean,minmax,AdamW,0.0,0.0005,0.0002,False,0.0
"[256, 256, 512, 512]","[1, 2, 3]","[1, 2]",0.25,gelu,512,32,4,mean,L2,RMSprop,0.0,0.0006,0.00001,True,0.85
"[640, 320, 160, 80]","[1, 2, 3]","[1, 2, 3]",0.2,elu,640,64,4,mean,minmax,Adam,0.0,0.0002,0.00005,True,0.75
"[128]","[]","[]",0.0,tanh,128,256,1,mean,L2,Adam,0.0,0.001,0.0,True,0.7
"[320, 640, 640, 640]","[1, 2, 3]","[1, 2]",0.45,silu,640,32,4,mean,minmax,RMSprop,0.0,0.0004,0.000001,True,0.6
"[768, 768, 768, 768]","[1, 2, 3]","[1, 2, 3]",0.35,gelu,768,32,4,mean,minmax,AdamW,0.0,0.0002,0.0001,True,0.85
"[512, 256, 128]","[2]","[1]",0.1,leakyrelu,512,128,3,max,minmax,Adam,0.0,0.0005,0.0,False,0.0
"[96, 192, 384]","[1, 2]","[1, 2]",0.3,elu,384,96,3,mean,L2,RMSprop,0.0,0.0008,0.00001,True,0.9
"[1024, 1024, 512, 256]","[1, 2, 3]","[1, 2, 3]",0.25,relu,1024,64,4,mean,minmax,AdamW,0.0,0.0003,0.0002,True,0.8
"[384, 384, 96, 96]","[1, 2, 3]","[1, 2, 3]",0.2,gelu,384,128,4,mean,L2,SGD,0.9,0.005,0.0005,True,0.7
"[640, 640, 320]","[1, 2]","[]",0.0,silu,640,48,3,mean,minmax,Adam,0.0,0.0002,0.00001,True,0.75
"[224, 224, 224, 224]","[1, 2, 3]","[1, 2, 3]",0.4,elu,224,256,4,max,L2,AdamW,0.0,0.0001,0.0001,True,0.85
"[896, 448]","[1]","[1]",0.15,gelu,896,32,2,mean,minmax,RMSprop,0.0,0.0006,0.0,True,0.7
"[128, 256, 512, 1024]","[1, 2, 3]","[1, 2, 3]",0.35,silu,1024,64,4,mean,L2,Adam,0.0,0.0003,0.00001,True,0.8
"[512, 512, 256, 128]","[1, 2, 3]","[1, 2, 3]",0.3,relu,512,96,4,mean,minmax,AdamW,0.0,0.0002,0.00005,True,0.9
