arch,target_embedding,embedding_relpath,preset_rank,source_params,cfg_json,f1_mean,f1_std,f1_min,f1_max,n_seeds
LSTM,gln_phase1.csv,Gait_Embeddings_good/gln_phase1.csv,3,best_configs_v3,"{""norm"": ""L2"", ""num_layers"": 1, ""layer_sizes"": [448], ""bidirectional"": false, ""dropout"": 0.0, ""dropout_layers"": [], ""norm_layers"": [], ""pooling"": ""last"", ""fc_hidden"": 1024, ""activation"": ""silu"", ""norm_post_lstm"": true, ""native_mode"": true, ""batch_size"": 32, ""optimizer"": ""Adam"", ""learning_rate"": 0.001, ""weight_decay"": 1e-06, ""momentum_sgd"": null, ""epochs"": 5000}",0.562,0.0527,0.4671,0.6353,10
LSTM,gln_phase1.csv,Gait_Embeddings_good/gln_phase1.csv,4,best_configs_v3,"{""norm"": ""L2"", ""num_layers"": 1, ""layer_sizes"": [1024], ""bidirectional"": false, ""dropout"": 0.0, ""dropout_layers"": [], ""norm_layers"": [], ""pooling"": ""last"", ""fc_hidden"": 1024, ""activation"": ""silu"", ""norm_post_lstm"": true, ""native_mode"": true, ""batch_size"": 32, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0002, ""weight_decay"": 1e-06, ""momentum_sgd"": null, ""epochs"": 5000}",0.5568,0.0492,0.4598,0.6131,10
LSTM,gln_phase1.csv,Gait_Embeddings_good/gln_phase1.csv,7,best_configs_v3,"{""norm"": ""nan"", ""num_layers"": 4, ""layer_sizes"": [64, 160, 384, 896], ""bidirectional"": false, ""dropout"": 0.25, ""dropout_layers"": [1, 3], ""norm_layers"": [1, 2, 3], ""pooling"": ""last"", ""fc_hidden"": 256, ""activation"": ""gelu"", ""norm_post_lstm"": false, ""native_mode"": false, ""batch_size"": 64, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-06, ""momentum_sgd"": null, ""epochs"": 5000}",0.5525,0.0615,0.4658,0.6459,10
LSTM,gln_phase1_TOP70.csv,Gait_Embeddings_TopSteps/70%/gln_phase1_TOP70.csv,2,Preset_11,"{""norm"": ""minmax"", ""num_layers"": 1, ""layer_sizes"": [256], ""bidirectional"": false, ""dropout"": 0.0, ""dropout_layers"": [], ""norm_layers"": [], ""pooling"": ""last"", ""fc_hidden"": 128, ""activation"": ""gelu"", ""norm_post_lstm"": true, ""native_mode"": true, ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 0.0002, ""weight_decay"": 1e-06, ""momentum_sgd"": null, ""epochs"": 5000}",0.5442,0.0664,0.4357,0.6274,10
LSTM,gln_phase1_TOP50.csv,Gait_Embeddings_TopSteps/50%/gln_phase1_TOP50.csv,1,Preset_15,"{""norm"": ""L2"", ""num_layers"": 3, ""layer_sizes"": [128, 128, 128], ""bidirectional"": false, ""dropout"": 0.1, ""dropout_layers"": [1], ""norm_layers"": [1, 2], ""pooling"": ""last"", ""fc_hidden"": 64, ""activation"": ""tanh"", ""norm_post_lstm"": false, ""native_mode"": false, ""batch_size"": 64, ""optimizer"": ""AdamW"", ""learning_rate"": 0.001, ""weight_decay"": 0.0005, ""momentum_sgd"": null, ""epochs"": 5000}",0.5429,0.0536,0.4724,0.6263,10
LSTM,gln_phase1.csv,Gait_Embeddings_good/gln_phase1.csv,6,baseline_OUMVLP.csv,"{""norm"": ""minmax"", ""num_layers"": 1, ""layer_sizes"": [256], ""bidirectional"": false, ""dropout"": 0.0, ""dropout_layers"": [], ""norm_layers"": [], ""pooling"": ""last"", ""fc_hidden"": 256, ""activation"": ""relu"", ""norm_post_lstm"": true, ""native_mode"": true, ""batch_size"": 32, ""optimizer"": ""Adam"", ""learning_rate"": 0.0001, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}",0.5361,0.0759,0.4342,0.6331,10
LSTM,gln_phase1_TOP50.csv,Gait_Embeddings_TopSteps/50%/gln_phase1_TOP50.csv,8,Preset_18,"{""norm"": ""nan"", ""num_layers"": 1, ""layer_sizes"": [128], ""bidirectional"": false, ""dropout"": 0.0, ""dropout_layers"": [], ""norm_layers"": [], ""pooling"": ""last"", ""fc_hidden"": null, ""activation"": ""nan"", ""norm_post_lstm"": false, ""native_mode"": true, ""batch_size"": 64, ""optimizer"": ""Adam"", ""learning_rate"": 0.003, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}",0.5291,0.0625,0.4156,0.6234,10
LSTM,gln_phase1.csv,Gait_Embeddings_good/gln_phase1.csv,10,best_configs_v3,"{""norm"": ""nan"", ""num_layers"": 1, ""layer_sizes"": [256], ""bidirectional"": true, ""dropout"": 0.0, ""dropout_layers"": [], ""norm_layers"": [], ""pooling"": ""last"", ""fc_hidden"": null, ""activation"": ""nan"", ""norm_post_lstm"": false, ""native_mode"": true, ""batch_size"": 64, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0005, ""weight_decay"": 1e-05, ""momentum_sgd"": null, ""epochs"": 5000}",0.5031,0.0577,0.401,0.5967,10
LSTM,gln_phase2_TOP30.csv,Gait_Embeddings_TopSteps/30%/gln_phase2_TOP30.csv,5,Preset_21,"{""norm"": ""L2"", ""num_layers"": 3, ""layer_sizes"": [256, 256, 256], ""bidirectional"": false, ""dropout"": 0.0, ""dropout_layers"": [], ""norm_layers"": [], ""pooling"": ""last"", ""fc_hidden"": 256, ""activation"": ""silu"", ""norm_post_lstm"": true, ""native_mode"": true, ""batch_size"": 32, ""optimizer"": ""Adam"", ""learning_rate"": 0.001, ""weight_decay"": 1e-06, ""momentum_sgd"": null, ""epochs"": 5000}",0.433,0.1948,0.2154,0.6669,10
LSTM,gln_93steps_mean.csv,Gait_Embeddings_Combined/mean/gln_93steps_mean.csv,9,Preset_26,"{""norm"": ""minmax"", ""num_layers"": 2, ""layer_sizes"": [288, 576], ""bidirectional"": false, ""dropout"": 0.0, ""dropout_layers"": [], ""norm_layers"": [], ""pooling"": ""last"", ""fc_hidden"": 128, ""activation"": ""relu"", ""norm_post_lstm"": false, ""native_mode"": false, ""batch_size"": 16, ""optimizer"": ""RMSprop"", ""learning_rate"": 0.00045, ""weight_decay"": 1e-06, ""momentum_sgd"": null, ""epochs"": 5000}",0.3767,0.1446,0.2154,0.5519,10
