arch,target_embedding,embedding_relpath,preset_rank,source_params,cfg_json,f1_mean,f1_std,f1_min,f1_max,n_seeds
TCN,gln_phase1_TOP50.csv,Gait_Embeddings_TopSteps/50%/gln_phase1_TOP50.csv,5,Preset_31,"{""norm"": ""L2"", ""channels"": [256], ""dilations"": [1], ""kernel_size"": 7, ""convs_per_block"": 2, ""activation"": ""hardswish"", ""dropout"": [0.3], ""use_weight_norm"": false, ""wn_on_skip"": false, ""ln_block_end"": [false], ""pooling"": ""last"", ""fc_hidden"": 128, ""batch_size"": 16, ""optimizer"": ""AdamW"", ""learning_rate"": 0.001, ""weight_decay"": 1e-06, ""momentum_sgd"": null, ""epochs"": 5000}",0.5785,0.0519,0.5161,0.6712,10
TCN,gaitpart_OUMVLP_TOP30.csv,Gait_Embeddings_TopSteps/30%/gaitpart_OUMVLP_TOP30.csv,1,Preset_36,"{""norm"": ""nan"", ""channels"": [128, 160, 192, 224, 256], ""dilations"": [1, 2, 4, 8, 16], ""kernel_size"": 5, ""convs_per_block"": 2, ""activation"": ""gelu"", ""dropout"": [null, 0.05, 0.1, 0.1, 0.15], ""use_weight_norm"": true, ""wn_on_skip"": true, ""ln_block_end"": [true, true, true, true, true], ""pooling"": ""max"", ""fc_hidden"": 320, ""batch_size"": 96, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0002, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}",0.5697,0.0519,0.4798,0.6462,10
TCN,gaitpart_OUMVLP_TOP50.csv,Gait_Embeddings_TopSteps/50%/gaitpart_OUMVLP_TOP50.csv,8,Preset_38,"{""norm"": ""L2"", ""channels"": [64], ""dilations"": [1], ""kernel_size"": 3, ""convs_per_block"": 2, ""activation"": ""leakyrelu"", ""dropout"": [0.0], ""use_weight_norm"": true, ""wn_on_skip"": false, ""ln_block_end"": [true], ""pooling"": ""last"", ""fc_hidden"": null, ""batch_size"": 96, ""optimizer"": ""RMSprop"", ""learning_rate"": 0.0005, ""weight_decay"": 2e-06, ""momentum_sgd"": null, ""epochs"": 5000}",0.5627,0.0663,0.4701,0.6743,10
TCN,gaitpart_OUMVLP_TOP30.csv,Gait_Embeddings_TopSteps/30%/gaitpart_OUMVLP_TOP30.csv,9,Preset_42,"{""norm"": ""L2"", ""channels"": [384, 256, 192, 128], ""dilations"": [2, 4, 8, 16], ""kernel_size"": 3, ""convs_per_block"": 1, ""activation"": ""elu"", ""dropout"": [0.0, 0.1, 0.1, 0.0], ""use_weight_norm"": false, ""wn_on_skip"": false, ""ln_block_end"": [true, false, false, false], ""pooling"": ""max"", ""fc_hidden"": 256, ""batch_size"": 16, ""optimizer"": ""RMSprop"", ""learning_rate"": 1e-05, ""weight_decay"": 5e-07, ""momentum_sgd"": null, ""epochs"": 5000}",0.561,0.0603,0.457,0.6514,10
TCN,gaitpart_OUMVLP_TOP50.csv,Gait_Embeddings_TopSteps/50%/gaitpart_OUMVLP_TOP50.csv,6,Preset_26,"{""norm"": ""L2"", ""channels"": [256, 384, 512, 640], ""dilations"": [1, 2, 4, 8], ""kernel_size"": 5, ""convs_per_block"": 2, ""activation"": ""gelu"", ""dropout"": [0.05, 0.05, 0.1, 0.1], ""use_weight_norm"": true, ""wn_on_skip"": true, ""ln_block_end"": [true, true, true, true], ""pooling"": ""attention"", ""fc_hidden"": 384, ""batch_size"": 64, ""optimizer"": ""AdamW"", ""learning_rate"": 0.00015, ""weight_decay"": 0.0001, ""momentum_sgd"": null, ""epochs"": 5000}",0.5588,0.0767,0.4505,0.6937,10
TCN,gln_phase1.csv,Gait_Embeddings_good/gln_phase1.csv,4,Preset_v2_1,"{""norm"": ""minmax"", ""channels"": [896, 768, 640], ""dilations"": [3, 6, 9], ""kernel_size"": 2, ""convs_per_block"": 2, ""activation"": ""leakyrelu"", ""dropout"": [null, null, null], ""use_weight_norm"": false, ""wn_on_skip"": false, ""ln_block_end"": [false, true, true], ""pooling"": ""attention"", ""fc_hidden"": 64, ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 1e-05, ""weight_decay"": 2e-06, ""momentum_sgd"": null, ""epochs"": 5000}",0.5543,0.0692,0.4284,0.6574,10
TCN,gaitpart_OUMVLP_TOP30.csv,Gait_Embeddings_TopSteps/30%/gaitpart_OUMVLP_TOP30.csv,10,Preset_17,"{""norm"": ""L2"", ""channels"": [128, 128, 128, 128], ""dilations"": [1, 4, 7, 10], ""kernel_size"": 3, ""convs_per_block"": 2, ""activation"": ""prelu"", ""dropout"": [0.0, 0.0, 0.2, 0.0], ""use_weight_norm"": false, ""wn_on_skip"": true, ""ln_block_end"": [false, true, false, false], ""pooling"": ""mean"", ""fc_hidden"": 256, ""batch_size"": 16, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 0.0, ""momentum_sgd"": null, ""epochs"": 5000}",0.5511,0.0612,0.4409,0.6351,10
TCN,gln_phase2.csv,Gait_Embeddings_good/gln_phase2.csv,2,Best_configs_v3,"{""norm"": ""L2"", ""channels"": [512, 512, 512, 1024], ""dilations"": [1, 2, 4, 6], ""kernel_size"": 5, ""convs_per_block"": 2, ""activation"": ""leakyrelu"", ""dropout"": [0.1, 0.1, 0.1, 0.1], ""use_weight_norm"": true, ""wn_on_skip"": true, ""ln_block_end"": [true, true, true, true], ""pooling"": ""attention"", ""fc_hidden"": 512, ""batch_size"": 32, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}",0.5445,0.0515,0.4362,0.5947,10
TCN,gln_phase2.csv,Gait_Embeddings_good/gln_phase2.csv,3,Best_configs_v3,"{""norm"": ""L2"", ""channels"": [384, 384, 384, 512], ""dilations"": [1, 2, 3, 4], ""kernel_size"": 7, ""convs_per_block"": 2, ""activation"": ""gelu"", ""dropout"": [0.1, 0.1, 0.1, 0.1], ""use_weight_norm"": true, ""wn_on_skip"": false, ""ln_block_end"": [true, true, true, true], ""pooling"": ""attention"", ""fc_hidden"": 128, ""batch_size"": 128, ""optimizer"": ""AdamW"", ""learning_rate"": 0.0001, ""weight_decay"": 1e-05, ""momentum_sgd"": 0.0, ""epochs"": 5000}",0.532,0.069,0.4396,0.657,10
TCN,gln_93steps_mean.csv,Gait_Embeddings_Combined/mean/gln_93steps_mean.csv,7,Preset_38,"{""norm"": ""L2"", ""channels"": [64], ""dilations"": [1], ""kernel_size"": 3, ""convs_per_block"": 2, ""activation"": ""leakyrelu"", ""dropout"": [0.0], ""use_weight_norm"": true, ""wn_on_skip"": false, ""ln_block_end"": false, ""pooling"": ""last"", ""fc_hidden"": null, ""batch_size"": 96, ""optimizer"": ""RMSprop"", ""learning_rate"": 0.0005, ""weight_decay"": 2e-06, ""momentum_sgd"": null, ""epochs"": 5000}",0.5034,0.0722,0.3616,0.5864,10
