run_id,arch,preset_rank,source_params,target_embedding,embedding_relpath,split_seed,best_val_f1,best_epoch,best_f1_per_class,model_path,cfg_json
1,Transformer,1,Preset_11,gaitpart_16steps_concat.csv,Gait_Embeddings_Combined/concat/gaitpart_16steps_concat.csv,8,0.5475,567,"[0.6829, 0.25, 0.7097]",,"{""norm"": ""nan"", ""model_dims"": [256], ""num_heads"": 8, ""num_layers"": 1, ""dim_feedforward"": 512, ""dropout"": 0.0, ""activation"": ""leakyrelu"", ""norm_type"": ""postnorm"", ""pos_encoding"": ""learned"", ""pooling"": ""max"", ""use_cls_token"": false, ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 6e-05, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
2,Transformer,1,Preset_11,gaitpart_16steps_concat.csv,Gait_Embeddings_Combined/concat/gaitpart_16steps_concat.csv,24,0.6479,258,"[0.7317, 0.5455, 0.6667]",,"{""norm"": ""nan"", ""model_dims"": [256], ""num_heads"": 8, ""num_layers"": 1, ""dim_feedforward"": 512, ""dropout"": 0.0, ""activation"": ""leakyrelu"", ""norm_type"": ""postnorm"", ""pos_encoding"": ""learned"", ""pooling"": ""max"", ""use_cls_token"": false, ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 6e-05, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
3,Transformer,1,Preset_11,gaitpart_16steps_concat.csv,Gait_Embeddings_Combined/concat/gaitpart_16steps_concat.csv,33,0.6212,451,"[0.7727, 0.3636, 0.7273]",,"{""norm"": ""nan"", ""model_dims"": [256], ""num_heads"": 8, ""num_layers"": 1, ""dim_feedforward"": 512, ""dropout"": 0.0, ""activation"": ""leakyrelu"", ""norm_type"": ""postnorm"", ""pos_encoding"": ""learned"", ""pooling"": ""max"", ""use_cls_token"": false, ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 6e-05, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
4,Transformer,1,Preset_11,gaitpart_16steps_concat.csv,Gait_Embeddings_Combined/concat/gaitpart_16steps_concat.csv,888,0.3973,516,"[0.6364, 0.0, 0.5556]",,"{""norm"": ""nan"", ""model_dims"": [256], ""num_heads"": 8, ""num_layers"": 1, ""dim_feedforward"": 512, ""dropout"": 0.0, ""activation"": ""leakyrelu"", ""norm_type"": ""postnorm"", ""pos_encoding"": ""learned"", ""pooling"": ""max"", ""use_cls_token"": false, ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 6e-05, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
5,Transformer,1,Preset_11,gaitpart_16steps_concat.csv,Gait_Embeddings_Combined/concat/gaitpart_16steps_concat.csv,800,0.7109,201,"[0.7826, 0.6, 0.75]",saved_models/MODELS_EVALUATION/Transformer\transformer_gaitpart_16steps_concat_rank1_seed800_run5.pth,"{""norm"": ""nan"", ""model_dims"": [256], ""num_heads"": 8, ""num_layers"": 1, ""dim_feedforward"": 512, ""dropout"": 0.0, ""activation"": ""leakyrelu"", ""norm_type"": ""postnorm"", ""pos_encoding"": ""learned"", ""pooling"": ""max"", ""use_cls_token"": false, ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 6e-05, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
6,Transformer,1,Preset_11,gaitpart_16steps_concat.csv,Gait_Embeddings_Combined/concat/gaitpart_16steps_concat.csv,123,0.6685,752,"[0.8182, 0.4444, 0.7429]",,"{""norm"": ""nan"", ""model_dims"": [256], ""num_heads"": 8, ""num_layers"": 1, ""dim_feedforward"": 512, ""dropout"": 0.0, ""activation"": ""leakyrelu"", ""norm_type"": ""postnorm"", ""pos_encoding"": ""learned"", ""pooling"": ""max"", ""use_cls_token"": false, ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 6e-05, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
7,Transformer,1,Preset_11,gaitpart_16steps_concat.csv,Gait_Embeddings_Combined/concat/gaitpart_16steps_concat.csv,111,0.5896,200,"[0.7222, 0.3636, 0.6829]",,"{""norm"": ""nan"", ""model_dims"": [256], ""num_heads"": 8, ""num_layers"": 1, ""dim_feedforward"": 512, ""dropout"": 0.0, ""activation"": ""leakyrelu"", ""norm_type"": ""postnorm"", ""pos_encoding"": ""learned"", ""pooling"": ""max"", ""use_cls_token"": false, ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 6e-05, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
8,Transformer,1,Preset_11,gaitpart_16steps_concat.csv,Gait_Embeddings_Combined/concat/gaitpart_16steps_concat.csv,425,0.4931,206,"[0.6667, 0.25, 0.5625]",,"{""norm"": ""nan"", ""model_dims"": [256], ""num_heads"": 8, ""num_layers"": 1, ""dim_feedforward"": 512, ""dropout"": 0.0, ""activation"": ""leakyrelu"", ""norm_type"": ""postnorm"", ""pos_encoding"": ""learned"", ""pooling"": ""max"", ""use_cls_token"": false, ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 6e-05, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
9,Transformer,1,Preset_11,gaitpart_16steps_concat.csv,Gait_Embeddings_Combined/concat/gaitpart_16steps_concat.csv,672,0.6344,293,"[0.7111, 0.5714, 0.6207]",,"{""norm"": ""nan"", ""model_dims"": [256], ""num_heads"": 8, ""num_layers"": 1, ""dim_feedforward"": 512, ""dropout"": 0.0, ""activation"": ""leakyrelu"", ""norm_type"": ""postnorm"", ""pos_encoding"": ""learned"", ""pooling"": ""max"", ""use_cls_token"": false, ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 6e-05, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
10,Transformer,1,Preset_11,gaitpart_16steps_concat.csv,Gait_Embeddings_Combined/concat/gaitpart_16steps_concat.csv,69,0.6628,186,"[0.7556, 0.5455, 0.6875]",,"{""norm"": ""nan"", ""model_dims"": [256], ""num_heads"": 8, ""num_layers"": 1, ""dim_feedforward"": 512, ""dropout"": 0.0, ""activation"": ""leakyrelu"", ""norm_type"": ""postnorm"", ""pos_encoding"": ""learned"", ""pooling"": ""max"", ""use_cls_token"": false, ""batch_size"": 96, ""optimizer"": ""Adam"", ""learning_rate"": 6e-05, ""weight_decay"": 1e-06, ""momentum_sgd"": 0.0, ""epochs"": 5000}"
