number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_blocks,dropout_blocks,dr_p,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
0,0.2624887879322299,COMPLETE,2025-10-08 23:48:51.300960,2025-10-08 23:49:24.928814,0 days 00:00:33.627854,"[256, 256, 256]","[2, 5, 8]",[1],"[0, 1]",0.1,leakyrelu,96,uniform,2,linear,,5,1e-05,,minmax,3,AdamW,max,True,0.0,False
1,0.1770244821092278,PRUNED,2025-10-08 23:49:24.931317,2025-10-08 23:49:56.667106,0 days 00:00:31.735789,"[640, 512]","[1, 4]",[],"[0, 1]",0.2,hardswish,16,decreasing,3,linear,256.0,5,0.0001,0.3,minmax,2,SGD,mean,True,1e-05,True
2,0.414646251564307,COMPLETE,2025-10-08 23:49:56.668112,2025-10-08 23:50:47.500462,0 days 00:00:50.832350,"[192, 256]","[3, 4]",[1],[1],0.3,gelu,16,increasing,2,linear,64.0,7,0.0002,,L2,2,RMSprop,max,True,5e-07,True
3,0.2164048865619546,PRUNED,2025-10-08 23:50:47.502966,2025-10-08 23:51:26.252864,0 days 00:00:38.749898,"[64, 96, 128, 192, 256, 384]","[2, 4, 8, 16, 32, 64]","[1, 4, 5]","[0, 1, 3, 5]",0.2,prelu,96,increasing,2,pow2,256.0,7,0.001,0.6000000000000001,L2,6,SGD,max,False,0.0,False
4,0.2943462542788797,COMPLETE,2025-10-08 23:51:26.254866,2025-10-08 23:52:10.219530,0 days 00:00:43.964664,"[384, 256, 192, 128, 96]","[3, 5, 7, 9, 11]","[1, 2]","[0, 1, 2, 3, 4]",0.3,mish,64,decreasing,1,linear,,7,1e-05,,minmax,5,Adam,last,False,1e-05,True
5,0.2164048865619546,PRUNED,2025-10-08 23:52:10.222786,2025-10-08 23:53:44.906508,0 days 00:01:34.683722,"[256, 384, 512, 640]","[2, 4, 8, 16]",[3],[],0.0,prelu,32,increasing,2,pow2,128.0,7,0.001,,L2,4,Adam,max,False,1e-05,True
6,0.2176165803108808,PRUNED,2025-10-08 23:53:44.908508,2025-10-08 23:53:50.049078,0 days 00:00:05.140570,[256],[1],[],[],0.0,silu,128,decreasing,3,pow2,128.0,5,1e-05,,L2,1,RMSprop,attention,True,0.0,False
7,0.178030303030303,PRUNED,2025-10-08 23:53:50.050079,2025-10-08 23:55:35.840554,0 days 00:01:45.790475,"[768, 768, 768, 768, 768]","[1, 2, 4, 8, 16]","[0, 1, 2, 3, 4]",[],0.0,elu,96,uniform,2,pow2,256.0,7,0.0002,,L2,5,AdamW,max,False,2e-06,False
8,0.178030303030303,PRUNED,2025-10-08 23:55:35.842060,2025-10-08 23:55:49.930352,0 days 00:00:14.088292,"[384, 256, 192, 128, 96, 64]","[2, 4, 6, 8, 10, 12]","[1, 2, 3, 4, 5]",[],0.0,prelu,64,decreasing,2,linear,512.0,2,0.001,,L2,6,RMSprop,attention,True,1e-05,False
9,0.0855855855855855,PRUNED,2025-10-08 23:55:49.931855,2025-10-08 23:56:22.626004,0 days 00:00:32.694149,"[640, 512]","[3, 6]",[0],[],0.0,prelu,32,decreasing,1,linear,64.0,5,1e-05,0.9,L2,2,SGD,max,False,1e-06,False
10,0.333155895627045,COMPLETE,2025-10-08 23:56:22.627031,2025-10-08 23:57:04.338273,0 days 00:00:41.711242,[64],[3],[0],[],0.0,gelu,16,increasing,3,linear,64.0,3,0.0002,,minmax,1,RMSprop,last,True,5e-07,True
11,0.3406129261960771,COMPLETE,2025-10-08 23:57:04.340309,2025-10-08 23:57:41.932351,0 days 00:00:37.592042,[64],[3],[0],[],0.0,gelu,16,increasing,3,linear,64.0,3,0.0002,,minmax,1,RMSprop,last,True,5e-07,True
12,0.2555847953758313,COMPLETE,2025-10-08 23:57:41.935391,2025-10-08 23:58:36.712240,0 days 00:00:54.776849,"[128, 192]","[3, 4]","[0, 1]",[1],0.3,gelu,16,increasing,3,linear,64.0,3,0.0002,,minmax,2,RMSprop,last,True,5e-07,True
