number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_blocks,dropout_blocks,dr_p,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
0,0.2175904889576118,COMPLETE,2025-10-09 01:50:52.120115,2025-10-09 01:51:32.538541,0 days 00:00:40.418426,"[96, 96, 96]","[1, 2, 4]",[2],"[0, 2]",0.1,leakyrelu,16,uniform,3,pow2,64.0,3,0.0001,0.1,L2,3,SGD,attention,False,0.0,False
1,0.2175904889576118,COMPLETE,2025-10-09 01:51:32.539764,2025-10-09 01:51:57.716888,0 days 00:00:25.177124,"[128, 192, 256, 384, 512]","[2, 3, 4, 5, 6]","[0, 3]","[0, 3, 4]",0.3,leakyrelu,64,increasing,1,linear,64.0,9,0.0005,,L2,5,AdamW,attention,True,2e-07,False
2,0.2195060576087987,COMPLETE,2025-10-09 01:51:57.718894,2025-10-09 01:52:08.698296,0 days 00:00:10.979402,"[512, 640]","[2, 4]",[0],[],0.0,hardswish,128,increasing,1,linear,128.0,2,0.0005,,L2,2,AdamW,max,True,2e-06,False
3,0.4090700955355597,COMPLETE,2025-10-09 01:52:08.700321,2025-10-09 01:52:50.521626,0 days 00:00:41.821305,"[768, 896]","[2, 4]",[1],[],0.0,prelu,64,increasing,2,linear,,3,0.001,0.0,minmax,2,SGD,max,True,2e-06,False
4,0.2175904889576118,COMPLETE,2025-10-09 01:52:50.528960,2025-10-09 01:52:59.935805,0 days 00:00:09.406845,[512],[2],[0],[0],0.2,mish,96,increasing,2,pow2,64.0,3,0.0001,0.5,minmax,1,SGD,max,True,2e-06,True
5,0.2176165803108808,PRUNED,2025-10-09 01:52:59.937810,2025-10-09 01:53:07.968855,0 days 00:00:08.031045,"[896, 896, 896]","[3, 4, 5]",[2],[2],0.3,gelu,96,uniform,1,linear,512.0,7,0.0005,,minmax,3,Adam,max,True,2e-06,False
6,0.0855855855855855,PRUNED,2025-10-09 01:53:07.968855,2025-10-09 01:53:16.467827,0 days 00:00:08.498972,[768],[2],[],[],0.0,leakyrelu,32,increasing,2,pow2,128.0,7,0.0001,0.5,L2,1,SGD,last,False,2e-06,True
7,0.2176165803108808,PRUNED,2025-10-09 01:53:16.469828,2025-10-09 01:53:52.435577,0 days 00:00:35.965749,"[768, 768, 768, 768, 768, 768]","[1, 2, 4, 8, 16, 32]","[0, 3, 5]","[2, 4, 5]",0.2,mish,64,uniform,3,pow2,256.0,7,1e-05,,minmax,6,RMSprop,attention,True,2e-07,False
8,0.2175904889576118,COMPLETE,2025-10-09 01:53:52.436580,2025-10-09 01:54:03.532288,0 days 00:00:11.095708,"[96, 96, 96, 96]","[1, 2, 4, 8]","[0, 2]","[1, 2, 3]",0.2,hardswish,96,uniform,2,pow2,512.0,2,0.0002,,minmax,4,RMSprop,attention,False,2e-07,False
9,0.3362620071257154,COMPLETE,2025-10-09 01:54:03.532288,2025-10-09 01:54:48.545375,0 days 00:00:45.013087,"[96, 96, 96, 96, 96, 96]","[2, 4, 8, 16, 32, 64]","[0, 2]","[2, 3, 4]",0.1,prelu,16,uniform,1,pow2,,9,0.0005,0.2,minmax,6,SGD,last,True,5e-07,False
10,0.178030303030303,PRUNED,2025-10-09 01:54:48.545375,2025-10-09 01:55:18.764434,0 days 00:00:30.219059,"[896, 768]","[1, 4]",[1],[],0.0,elu,64,decreasing,3,linear,,3,0.001,,minmax,2,Adam,mean,False,1e-05,True
11,0.178030303030303,PRUNED,2025-10-09 01:55:18.764434,2025-10-09 01:55:38.232878,0 days 00:00:19.468444,"[640, 512, 384, 256, 192, 128]","[1, 4, 7, 10, 13, 16]","[1, 2, 4]","[0, 3]",0.1,prelu,16,decreasing,1,linear,,5,0.002,0.0,minmax,6,SGD,last,True,5e-07,False
12,0.3324663353662547,COMPLETE,2025-10-09 01:55:38.232878,2025-10-09 01:56:36.223935,0 days 00:00:57.991057,"[256, 256, 256, 256]","[2, 4, 8, 16]","[1, 2]",[],0.0,prelu,16,uniform,2,pow2,,9,0.001,0.2,minmax,4,SGD,last,True,1e-07,False
13,0.2175904889576118,COMPLETE,2025-10-09 01:56:36.226643,2025-10-09 01:56:46.395190,0 days 00:00:10.168547,"[64, 96, 128, 192, 256]","[3, 5, 7, 9, 11]","[0, 1]","[1, 3, 4]",0.1,silu,128,increasing,1,linear,,9,0.001,0.9,minmax,5,SGD,mean,True,5e-07,False
14,0.21875,PRUNED,2025-10-09 01:56:46.395190,2025-10-09 01:56:52.334236,0 days 00:00:05.939046,"[256, 192]","[2, 4]","[0, 1]",[],0.0,prelu,32,decreasing,2,pow2,,5,1e-05,0.3,minmax,2,SGD,last,True,5e-07,True
15,0.3014832278201733,COMPLETE,2025-10-09 01:56:52.335253,2025-10-09 01:57:09.905355,0 days 00:00:17.570102,"[256, 256, 256, 256, 256]","[2, 4, 6, 8, 10]","[1, 2, 4]","[0, 2, 3]",0.1,relu,64,uniform,1,linear,256.0,9,0.0002,0.0,minmax,5,SGD,max,True,1e-06,False
