number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_blocks,dropout_blocks,dr_p,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
0,0.3923990402934518,COMPLETE,2025-10-09 02:16:22.551450,2025-10-09 02:19:06.973715,0 days 00:02:44.422265,"[896, 896, 896, 896]","[2, 4, 8, 16]","[0, 2, 3]","[0, 1, 3]",0.0,leakyrelu,16,uniform,2,pow2,64.0,3,0.002,0.3,L2,4,SGD,last,False,1e-06,True
1,0.2175904889576118,COMPLETE,2025-10-09 02:19:06.975717,2025-10-09 02:20:07.374876,0 days 00:01:00.399159,"[640, 512, 384, 256, 192, 128]","[1, 2, 3, 4, 5, 6]","[1, 3, 4, 5]","[0, 1, 2, 5]",0.2,elu,128,decreasing,2,linear,256.0,3,0.002,,L2,6,AdamW,mean,False,2e-06,True
2,0.178030303030303,PRUNED,2025-10-09 02:20:07.376885,2025-10-09 02:20:17.782026,0 days 00:00:10.405141,"[192, 256, 384, 512]","[1, 2, 4, 8]","[0, 1, 3]","[0, 2]",0.3,elu,96,increasing,1,pow2,64.0,5,0.0005,,L2,4,Adam,last,True,2e-07,False
3,0.2176165803108808,PRUNED,2025-10-09 02:20:17.783028,2025-10-09 02:20:30.338286,0 days 00:00:12.555258,"[384, 512, 640]","[2, 3, 4]",[2],[1],0.3,relu,96,increasing,3,linear,512.0,3,0.002,,L2,3,Adam,mean,False,2e-07,False
4,0.2176165803108808,PRUNED,2025-10-09 02:20:30.339289,2025-10-09 02:20:38.512230,0 days 00:00:08.172941,"[256, 256, 256, 256, 256, 256]","[2, 4, 8, 16, 32, 64]","[2, 3]","[2, 3, 5]",0.0,mish,64,uniform,1,pow2,512.0,9,1e-05,,minmax,6,AdamW,last,False,5e-07,True
5,0.2175904889576118,COMPLETE,2025-10-09 02:20:38.513233,2025-10-09 02:24:40.575814,0 days 00:04:02.062581,"[896, 768, 640, 512, 384, 256]","[3, 6, 9, 12, 15, 18]","[0, 1, 2, 3, 4]","[0, 2, 3, 4, 5]",0.3,hardswish,32,decreasing,2,linear,512.0,5,0.0005,,minmax,6,AdamW,mean,False,1e-07,True
6,0.3701393421921877,COMPLETE,2025-10-09 02:24:40.577830,2025-10-09 02:25:49.361604,0 days 00:01:08.783774,"[512, 512, 512, 512, 512, 512]","[2, 5, 8, 11, 14, 17]","[0, 1, 2, 3]","[0, 2, 3, 5]",0.2,silu,32,uniform,1,linear,512.0,2,0.0005,0.8,L2,6,SGD,mean,False,1e-06,False
7,0.4507590478084973,COMPLETE,2025-10-09 02:25:49.364635,2025-10-09 02:26:36.383498,0 days 00:00:47.018863,"[128, 128, 128, 128]","[1, 4, 7, 10]",[1],[2],0.2,prelu,16,uniform,2,linear,256.0,3,0.0001,,L2,4,AdamW,mean,False,0.0,True
8,0.2176165803108808,PRUNED,2025-10-09 02:26:36.385511,2025-10-09 02:26:46.070525,0 days 00:00:09.685014,"[96, 128, 192, 256]","[1, 2, 3, 4]",[2],"[0, 1, 2]",0.1,elu,16,increasing,1,linear,256.0,7,0.0002,,minmax,4,Adam,attention,False,5e-07,True
9,0.2175904889576118,COMPLETE,2025-10-09 02:26:46.071551,2025-10-09 02:27:15.343522,0 days 00:00:29.271971,"[128, 192, 256, 384]","[3, 6, 9, 12]","[0, 1, 2]","[0, 1, 2, 3]",0.0,prelu,128,increasing,2,linear,256.0,2,0.002,,L2,4,RMSprop,attention,False,5e-07,False
10,0.3869936503820504,COMPLETE,2025-10-09 02:27:15.345523,2025-10-09 02:27:56.077482,0 days 00:00:40.731959,[64],[1],[],[],0.1,prelu,16,uniform,3,pow2,128.0,7,0.0001,,minmax,1,RMSprop,max,True,0.0,True
