number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_blocks,dropout_blocks,dr_p,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
0,0.2175904889576118,COMPLETE,2025-10-09 05:48:30.232124,2025-10-09 05:48:51.040422,0 days 00:00:20.808298,"[64, 64]","[2, 3]",[],"[0, 1]",0.2,silu,128,uniform,2,linear,128.0,7,0.001,,minmax,2,Adam,mean,False,1e-06,True
1,0.2175904889576118,COMPLETE,2025-10-09 05:48:51.042439,2025-10-09 05:55:38.183995,0 days 00:06:47.141556,"[384, 512, 640, 768, 896]","[2, 4, 8, 16, 32]","[0, 1, 2, 3, 4]","[0, 1, 4]",0.3,elu,96,increasing,3,pow2,256.0,5,1e-05,,minmax,5,RMSprop,attention,False,2e-06,True
2,0.4005200793748582,COMPLETE,2025-10-09 05:55:38.186522,2025-10-09 05:56:02.160077,0 days 00:00:23.973555,"[64, 96]","[2, 3]",[0],[],0.3,gelu,128,increasing,2,linear,512.0,3,0.0002,,L2,2,Adam,last,True,5e-07,True
3,0.2175904889576118,COMPLETE,2025-10-09 05:56:02.162078,2025-10-09 05:57:05.157225,0 days 00:01:02.995147,"[64, 96, 128, 192, 256]","[1, 2, 4, 8, 16]","[0, 1, 2, 3]","[3, 4]",0.1,prelu,16,increasing,1,pow2,256.0,2,0.0005,0.5,L2,5,SGD,attention,False,2e-07,False
4,0.2996041641401285,COMPLETE,2025-10-09 05:57:05.159248,2025-10-09 05:58:25.769790,0 days 00:01:20.610542,"[384, 384, 384, 384]","[2, 4, 8, 16]","[0, 1, 2, 3]","[1, 3]",0.2,elu,128,uniform,2,pow2,512.0,3,1e-05,,L2,4,AdamW,mean,True,0.0,False
5,0.1770244821092278,PRUNED,2025-10-09 05:58:25.771790,2025-10-09 05:58:35.779574,0 days 00:00:10.007784,"[256, 192, 128, 96, 64]","[3, 6, 9, 12, 15]","[1, 3]","[0, 1]",0.0,hardswish,128,decreasing,3,linear,256.0,3,0.0005,,minmax,5,Adam,attention,False,1e-06,False
6,0.178030303030303,PRUNED,2025-10-09 05:58:35.781584,2025-10-09 05:58:45.779910,0 days 00:00:09.998326,"[64, 64, 64]","[2, 5, 8]","[0, 2]","[0, 1, 2]",0.3,silu,64,uniform,1,linear,512.0,3,0.0002,,minmax,3,RMSprop,max,True,5e-07,True
7,0.178030303030303,PRUNED,2025-10-09 05:58:45.781931,2025-10-09 05:59:06.108120,0 days 00:00:20.326189,"[256, 256, 256, 256]","[3, 5, 7, 9]","[0, 1, 2]",[1],0.2,prelu,64,uniform,2,linear,128.0,5,0.002,0.0,minmax,4,SGD,last,True,0.0,True
8,0.2175904889576118,COMPLETE,2025-10-09 05:59:06.110129,2025-10-09 05:59:44.159680,0 days 00:00:38.049551,"[192, 192, 192]","[1, 2, 4]","[0, 2]",[2],0.3,mish,64,uniform,3,pow2,512.0,3,0.002,0.7000000000000001,L2,3,SGD,mean,False,2e-07,True
9,0.178030303030303,PRUNED,2025-10-09 05:59:44.161696,2025-10-09 06:00:21.469748,0 days 00:00:37.308052,"[640, 512, 384, 256, 192]","[1, 2, 4, 8, 16]",[1],"[0, 2, 3, 4]",0.2,hardswish,32,decreasing,1,pow2,64.0,5,0.002,0.2,L2,5,SGD,max,True,2e-07,False
