number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
0,0.4515327470034121,COMPLETE,2025-10-08 21:14:29.291946,2025-10-08 21:16:12.686049,0 days 00:01:43.394103,leakyrelu,16,,9.0,uniform,2,,pow2,2.0,,0.0,True,True,False,True,,,64.0,3,True,False,True,True,,,0.002,0.30000000000000004,L2,4,SGD,last,False,1e-06,True,"[896, 896, 896, 896]","[2, 4, 8, 16]","[True, True, False, True]",0.0,"[True, False, True, True]"
1,0.21759048895761182,COMPLETE,2025-10-08 21:16:12.688051,2025-10-08 21:16:47.488388,0 days 00:00:34.800337,elu,128,7.0,,decreasing,2,1.0,linear,,1.0,0.2,True,True,True,False,False,True,256.0,3,False,True,False,True,True,True,0.002,,L2,6,AdamW,mean,False,2e-06,True,"[640, 512, 384, 256, 192, 128]","[1, 2, 3, 4, 5, 6]","[True, True, True, False, False, True]",0.2,"[False, True, False, True, True, True]"
2,0.2304432231427556,PRUNED,2025-10-08 21:16:47.488388,2025-10-08 21:16:51.462752,0 days 00:00:03.974364,elu,96,3.0,,increasing,1,,pow2,1.0,,0.3,True,False,True,False,,,64.0,5,True,True,False,True,,,0.0005,,L2,4,Adam,last,True,2e-07,False,"[192, 256, 384, 512]","[1, 2, 4, 8]","[True, False, True, False]",0.3,"[True, True, False, True]"
3,0.21761658031088082,PRUNED,2025-10-08 21:16:51.463755,2025-10-08 21:16:59.309478,0 days 00:00:07.845723,relu,96,5.0,,increasing,3,2.0,linear,,1.0,0.3,False,True,False,,,,512.0,3,False,False,True,,,,0.002,,L2,3,Adam,mean,False,2e-07,False,"[384, 512, 640]","[2, 3, 4]","[False, True, False]",0.3,"[False, False, True]"
4,0.4124520414534583,COMPLETE,2025-10-08 21:16:59.310481,2025-10-08 21:17:36.863548,0 days 00:00:37.553067,mish,64,,4.0,uniform,1,,pow2,2.0,,0.0,False,False,True,True,False,True,512.0,9,False,False,True,True,False,False,1e-05,,minmax,6,AdamW,last,False,5e-07,True,"[256, 256, 256, 256, 256, 256]","[2, 4, 8, 16, 32, 64]","[False, False, True, True, False, True]",0.0,"[False, False, True, True, False, False]"
5,0.21759048895761182,COMPLETE,2025-10-08 21:17:36.863548,2025-10-08 21:19:38.613306,0 days 00:02:01.749758,hardswish,32,9.0,,decreasing,2,3.0,linear,,3.0,0.3,True,False,True,True,True,True,512.0,5,True,True,True,True,True,False,0.0005,,minmax,6,AdamW,mean,False,1e-07,True,"[896, 768, 640, 512, 384, 256]","[3, 6, 9, 12, 15, 18]","[True, False, True, True, True, True]",0.3,"[True, True, True, True, True, False]"
6,0.21761658031088082,PRUNED,2025-10-08 21:19:38.615426,2025-10-08 21:19:45.250875,0 days 00:00:06.635449,silu,32,,6.0,uniform,1,2.0,linear,,3.0,0.2,True,False,True,True,False,True,512.0,2,True,True,True,True,False,False,0.0005,0.8,L2,6,SGD,mean,False,1e-06,False,"[512, 512, 512, 512, 512, 512]","[2, 5, 8, 11, 14, 17]","[True, False, True, True, False, True]",0.2,"[True, True, True, True, False, False]"
7,0.4780653567121191,COMPLETE,2025-10-08 21:19:45.250875,2025-10-08 21:20:33.311044,0 days 00:00:48.060169,prelu,16,,2.0,uniform,2,1.0,linear,,3.0,0.2,False,False,True,False,,,256.0,3,False,True,False,False,,,0.0001,,L2,4,AdamW,mean,False,0.0,True,"[128, 128, 128, 128]","[1, 4, 7, 10]","[False, False, True, False]",0.2,"[False, True, False, False]"
8,0.21759048895761182,COMPLETE,2025-10-08 21:20:33.313285,2025-10-08 21:21:07.275118,0 days 00:00:33.961833,elu,16,1.0,,increasing,1,1.0,linear,,1.0,0.1,True,True,True,False,,,256.0,7,False,False,True,False,,,0.0002,,minmax,4,Adam,attention,False,5e-07,True,"[96, 128, 192, 256]","[1, 2, 3, 4]","[True, True, True, False]",0.1,"[False, False, True, False]"
9,0.21759048895761182,COMPLETE,2025-10-08 21:21:07.277120,2025-10-08 21:21:22.879242,0 days 00:00:15.602122,prelu,128,2.0,,increasing,2,3.0,linear,,3.0,0.0,True,True,True,True,,,256.0,2,True,True,True,False,,,0.002,,L2,4,RMSprop,attention,False,5e-07,False,"[128, 192, 256, 384]","[3, 6, 9, 12]","[True, True, True, True]",0.0,"[True, True, True, False]"
10,0.41378012935798414,COMPLETE,2025-10-08 21:21:22.879242,2025-10-08 21:21:57.197144,0 days 00:00:34.317902,prelu,16,,0.0,uniform,3,,pow2,1.0,,0.1,False,,,,,,,7,False,,,,,,0.0001,,minmax,1,RMSprop,max,True,0.0,True,[64],[1],[False],0.1,[False]
11,0.2226018812399465,COMPLETE,2025-10-08 21:21:57.199149,2025-10-08 21:23:07.839186,0 days 00:01:10.640037,leakyrelu,16,,9.0,uniform,2,,pow2,2.0,,0.1,False,False,False,,,,128.0,3,True,False,False,,,,0.0001,0.1,L2,3,SGD,last,True,0.0,True,"[896, 896, 896]","[2, 4, 8]","[False, False, False]",0.1,"[True, False, False]"
12,0.17702448210922786,PRUNED,2025-10-08 21:23:07.842195,2025-10-08 21:23:13.414010,0 days 00:00:05.571815,leakyrelu,16,,2.0,uniform,3,,pow2,2.0,,0.2,False,True,,,,,64.0,3,True,False,,,,,0.001,0.30000000000000004,L2,2,SGD,max,False,1e-05,True,"[128, 128]","[2, 4]","[False, True]",0.2,"[True, False]"
13,0.38911347812467817,COMPLETE,2025-10-08 21:23:13.415013,2025-10-08 21:26:44.616042,0 days 00:03:31.201029,gelu,16,,9.0,uniform,2,,pow2,2.0,,0.0,False,True,False,False,True,,64.0,3,False,True,False,False,True,,0.0001,0.6000000000000001,L2,5,SGD,last,False,1e-06,True,"[896, 896, 896, 896, 896]","[2, 4, 8, 16, 32]","[False, True, False, False, True]",0.0,"[False, True, False, False, True]"
14,0.21761658031088082,PRUNED,2025-10-08 21:26:44.618042,2025-10-08 21:26:59.759280,0 days 00:00:15.141238,leakyrelu,64,,5.0,uniform,2,1.0,linear,,2.0,0.1,True,False,False,False,True,,128.0,9,True,False,False,False,False,,1e-05,,L2,5,AdamW,mean,True,1e-06,True,"[384, 384, 384, 384, 384]","[1, 3, 5, 7, 9]","[True, False, False, False, True]",0.1,"[True, False, False, False, False]"
15,0.3347250457458864,COMPLETE,2025-10-08 21:26:59.760283,2025-10-08 21:27:26.506395,0 days 00:00:26.746112,prelu,16,,2.0,uniform,3,,pow2,2.0,,0.2,False,False,,,,,,3,False,True,,,,,0.0002,0.0,L2,2,SGD,last,False,0.0,True,"[128, 128]","[2, 4]","[False, False]",0.2,"[False, True]"
16,0.21640488656195464,PRUNED,2025-10-08 21:27:26.508425,2025-10-08 21:28:30.566294,0 days 00:01:04.057869,hardswish,16,9.0,,decreasing,2,1.0,linear,,2.0,0.0,False,True,False,True,True,,256.0,3,True,False,False,False,False,,0.001,,L2,5,AdamW,attention,False,2e-06,True,"[896, 768, 640, 512, 384]","[1, 3, 5, 7, 9]","[False, True, False, True, True]",0.0,"[True, False, False, False, False]"
17,0.4489369172480691,COMPLETE,2025-10-08 21:28:30.582307,2025-10-08 21:29:51.926285,0 days 00:01:21.343978,silu,16,,7.0,uniform,3,,pow2,1.0,,0.1,True,False,False,,,,64.0,3,False,True,True,,,,0.0001,,L2,3,RMSprop,max,False,1e-07,True,"[640, 640, 640]","[1, 2, 4]","[True, False, False]",0.1,"[False, True, True]"
18,0.23519730666917812,COMPLETE,2025-10-08 21:29:51.928380,2025-10-08 21:30:11.850724,0 days 00:00:19.922344,gelu,64,,3.0,uniform,2,2.0,linear,,3.0,0.2,False,True,False,True,,,256.0,7,True,False,False,True,,,0.002,0.4,minmax,4,SGD,mean,True,1e-05,False,"[192, 192, 192, 192]","[2, 5, 8, 11]","[False, True, False, True]",0.2,"[True, False, False, True]"
