number,value,state,datetime_start,datetime_complete,duration,params_activation,params_attention_proj,params_batch_size,params_causal,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
0,0.21759048895761182,COMPLETE,2025-09-30 23:56:10.157375,2025-09-30 23:57:50.151973,0 days 00:01:39.994598,tanh,True,32,True,7.0,,increasing,2,1.0,linear,,3.0,0.0,True,False,,,,,512.0,5,False,False,,,,,1e-05,,minmax,2,RMSprop,attention,True,2e-06,False,"[640, 768]","[1, 4]","[True, False]",0.0,"[False, False]"
1,0.3877813091104887,COMPLETE,2025-09-30 23:57:50.153973,2025-09-30 23:58:30.766782,0 days 00:00:40.612809,leakyrelu,False,96,True,5.0,,decreasing,3,,pow2,2.0,,0.3,False,,,,,,512.0,9,True,,,,,,0.001,,L2,1,AdamW,mean,False,1e-05,True,[384],[2],[False],0.3,[True]
2,0.22736842105263158,PRUNED,2025-09-30 23:58:30.766782,2025-09-30 23:58:46.735940,0 days 00:00:15.969158,silu,True,96,True,9.0,,decreasing,2,,pow2,1.0,,0.25,False,False,False,,,,256.0,2,True,False,True,,,,1e-05,0.8,L2,3,SGD,max,False,5e-07,False,"[896, 768, 640]","[1, 2, 4]","[False, False, False]",0.25,"[True, False, True]"
3,0.21761658031088082,PRUNED,2025-09-30 23:58:46.736942,2025-09-30 23:58:54.796698,0 days 00:00:08.059756,relu,True,64,True,6.0,,decreasing,1,,pow2,2.0,,0.25,True,False,,,,,256.0,7,True,True,,,,,0.002,,minmax,2,AdamW,max,True,2e-06,False,"[512, 384]","[2, 4]","[True, False]",0.25,"[True, True]"
4,0.311174043463225,COMPLETE,2025-09-30 23:58:54.798704,2025-09-30 23:59:16.800387,0 days 00:00:22.001683,leakyrelu,True,128,False,,5.0,uniform,1,2.0,linear,,2.0,0.2,True,False,False,,,,256.0,2,False,True,True,,,,1e-05,,L2,3,RMSprop,last,False,1e-05,False,"[384, 384, 384]","[2, 4, 6]","[True, False, False]",0.2,"[False, True, True]"
5,0.1572192513368984,PRUNED,2025-09-30 23:59:16.802571,2025-09-30 23:59:26.183620,0 days 00:00:09.381049,silu,False,96,True,8.0,,decreasing,1,1.0,linear,,2.0,0.25,True,,,,,,128.0,5,False,,,,,,0.0002,0.30000000000000004,L2,1,SGD,last,True,2e-07,True,[768],[1],[True],0.25,[False]
6,0.21761658031088082,PRUNED,2025-09-30 23:59:26.183620,2025-09-30 23:59:45.158902,0 days 00:00:18.975282,leakyrelu,False,32,False,6.0,,decreasing,3,,pow2,2.0,,0.0,True,False,False,True,True,,256.0,5,True,False,True,False,True,,0.0005,,minmax,5,RMSprop,mean,False,2e-06,False,"[512, 384, 256, 192, 128]","[2, 4, 8, 16, 32]","[True, False, False, True, True]",0.0,"[True, False, True, False, True]"
7,0.178030303030303,PRUNED,2025-09-30 23:59:45.158902,2025-09-30 23:59:59.361357,0 days 00:00:14.202455,gelu,False,96,True,8.0,,increasing,1,,pow2,1.0,,0.1,False,,,,,,256.0,2,True,,,,,,0.0005,,L2,1,AdamW,max,True,2e-07,False,[768],[1],[False],0.1,[True]
8,0.21875,PRUNED,2025-09-30 23:59:59.362358,2025-10-01 00:00:04.666394,0 days 00:00:05.304036,leakyrelu,True,64,False,,2.0,uniform,2,3.0,linear,,3.0,0.15000000000000002,True,,,,,,128.0,2,False,,,,,,0.0001,,minmax,1,AdamW,attention,True,5e-07,True,[128],[3],[True],0.15000000000000002,[False]
9,0.21761658031088082,PRUNED,2025-10-01 00:00:04.668087,2025-10-01 00:00:29.577511,0 days 00:00:24.909424,tanh,True,16,False,8.0,,decreasing,2,,pow2,1.0,,0.15000000000000002,True,False,,,,,512.0,5,False,True,,,,,1e-05,,minmax,2,RMSprop,attention,True,1e-07,False,"[768, 640]","[1, 2]","[True, False]",0.15000000000000002,"[False, True]"
10,0.21759048895761182,COMPLETE,2025-10-01 00:00:29.578514,2025-10-01 00:05:19.139171,0 days 00:04:49.560657,elu,False,16,True,2.0,,increasing,3,,pow2,2.0,,0.3,False,True,True,False,False,False,64.0,9,True,False,False,True,False,True,0.001,,L2,6,Adam,mean,False,1e-05,True,"[128, 192, 256, 384, 512, 640]","[2, 4, 8, 16, 32, 64]","[False, True, True, False, False, False]",0.3,"[True, False, False, True, False, True]"
11,0.21759048895761182,COMPLETE,2025-10-01 00:05:19.141193,2025-10-01 00:07:38.845836,0 days 00:02:19.704643,mish,False,128,False,,8.0,uniform,3,3.0,linear,,1.0,0.3,False,True,False,False,,,,3,False,True,True,False,,,0.001,,L2,4,Adam,last,False,1e-05,True,"[768, 768, 768, 768]","[3, 4, 5, 6]","[False, True, False, False]",0.3,"[False, True, True, False]"
12,0.178030303030303,PRUNED,2025-10-01 00:07:38.848556,2025-10-01 00:08:37.278492,0 days 00:00:58.429936,leakyrelu,False,128,False,,6.0,uniform,3,2.0,linear,,1.0,0.2,False,True,True,True,,,512.0,9,False,True,False,True,,,0.001,,L2,4,AdamW,mean,False,1e-05,True,"[512, 512, 512, 512]","[2, 3, 4, 5]","[False, True, True, True]",0.2,"[False, True, False, True]"
13,0.0894854586129754,PRUNED,2025-10-01 00:08:37.280610,2025-10-01 00:08:52.880120,0 days 00:00:15.599510,leakyrelu,True,128,False,,3.0,uniform,1,2.0,linear,,2.0,0.1,False,False,False,,,,64.0,9,True,True,True,,,,0.0002,,L2,3,RMSprop,last,False,1e-06,True,"[192, 192, 192]","[2, 4, 6]","[False, False, False]",0.1,"[True, True, True]"
14,0.178030303030303,PRUNED,2025-10-01 00:08:52.880120,2025-10-01 00:09:00.068529,0 days 00:00:07.188409,leakyrelu,True,128,True,,0.0,uniform,2,,pow2,2.0,,0.2,True,True,False,True,False,,,7,False,True,True,True,True,,0.002,,L2,5,AdamW,last,False,0.0,False,"[64, 64, 64, 64, 64]","[2, 4, 8, 16, 32]","[True, True, False, True, False]",0.2,"[False, True, True, True, True]"
15,0.21875,PRUNED,2025-10-01 00:09:00.068529,2025-10-01 00:09:08.045587,0 days 00:00:07.977058,relu,False,96,False,3.0,,decreasing,3,2.0,linear,,2.0,0.3,False,False,True,,,,512.0,3,True,True,False,,,,0.0001,,L2,3,RMSprop,mean,False,1e-05,True,"[192, 128, 96]","[2, 4, 6]","[False, False, True]",0.3,"[True, True, False]"
16,0.32963830998638444,COMPLETE,2025-10-01 00:09:08.047593,2025-10-01 00:09:46.386908,0 days 00:00:38.339315,elu,False,128,False,,5.0,uniform,1,,pow2,2.0,,0.2,True,False,,,,,256.0,9,True,True,,,,,1e-05,0.0,L2,2,SGD,last,False,1e-05,False,"[384, 384]","[2, 4]","[True, False]",0.2,"[True, True]"
17,0.178030303030303,PRUNED,2025-10-01 00:09:46.387371,2025-10-01 00:11:54.869848,0 days 00:02:08.482477,elu,False,96,True,,9.0,uniform,2,,pow2,2.0,,0.1,False,True,,,,,512.0,9,True,False,,,,,0.001,0.0,L2,2,SGD,mean,False,0.0,True,"[896, 896]","[2, 4]","[False, True]",0.1,"[True, False]"
18,0.34594728956191984,COMPLETE,2025-10-01 00:11:54.871860,2025-10-01 00:12:18.552831,0 days 00:00:23.680971,elu,False,32,True,0.0,,decreasing,1,,pow2,2.0,,0.25,False,,,,,,64.0,9,True,,,,,,0.001,0.0,L2,1,SGD,last,False,1e-07,True,[64],[2],[False],0.25,[True]
19,0.21759048895761182,COMPLETE,2025-10-01 00:12:18.553975,2025-10-01 00:12:36.778884,0 days 00:00:18.224909,gelu,False,32,True,0.0,,decreasing,3,,pow2,2.0,,0.25,False,,,,,,64.0,9,True,,,,,,0.001,0.5,L2,1,SGD,mean,False,1e-07,True,[64],[2],[False],0.25,[True]
20,0.382360049845065,COMPLETE,2025-10-01 00:12:36.778884,2025-10-01 00:13:00.983586,0 days 00:00:24.204702,mish,False,32,True,4.0,,decreasing,2,,pow2,2.0,,0.3,False,,,,,,64.0,9,True,,,,,,0.001,,L2,1,Adam,last,False,1e-07,True,[256],[2],[False],0.3,[True]
21,0.21640488656195464,PRUNED,2025-10-01 00:13:00.983586,2025-10-01 00:13:18.112634,0 days 00:00:17.129048,mish,False,32,True,4.0,,decreasing,2,,pow2,2.0,,0.3,False,,,,,,64.0,9,True,,,,,,0.001,,L2,1,Adam,last,False,1e-07,True,[256],[2],[False],0.3,[True]
22,0.4019209243291046,COMPLETE,2025-10-01 00:13:18.113616,2025-10-01 00:13:40.751277,0 days 00:00:22.637661,mish,False,32,True,0.0,,decreasing,2,,pow2,2.0,,0.3,False,,,,,,64.0,9,True,,,,,,0.001,,L2,1,Adam,last,False,1e-07,True,[64],[2],[False],0.3,[True]
23,0.3954767771001359,COMPLETE,2025-10-01 00:13:40.754278,2025-10-01 00:14:23.237574,0 days 00:00:42.483296,mish,False,32,True,4.0,,decreasing,2,,pow2,2.0,,0.3,False,True,,,,,64.0,9,True,False,,,,,0.001,,L2,2,Adam,last,False,1e-07,True,"[256, 192]","[2, 4]","[False, True]",0.3,"[True, False]"
24,0.36544721081956183,COMPLETE,2025-10-01 00:14:23.240893,2025-10-01 00:14:46.644226,0 days 00:00:23.403333,mish,False,32,True,2.0,,decreasing,2,,pow2,2.0,,0.3,False,True,,,,,64.0,9,True,False,,,,,0.001,,L2,2,Adam,last,False,1e-06,True,"[128, 96]","[2, 4]","[False, True]",0.3,"[True, False]"
25,0.3803470256082231,COMPLETE,2025-10-01 00:14:46.644226,2025-10-01 00:15:49.305511,0 days 00:01:02.661285,mish,False,32,True,5.0,,decreasing,2,,pow2,2.0,,0.25,False,True,,,,,64.0,9,True,False,,,,,0.001,,L2,2,Adam,mean,False,1e-07,True,"[384, 256]","[2, 4]","[False, True]",0.25,"[True, False]"
