number,value,state,datetime_start,datetime_complete,duration,params_activation,params_attention_proj,params_batch_size,params_causal,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
0,0.2996001475815811,COMPLETE,2025-10-01 00:35:14.365382,2025-10-01 00:36:14.736170,0 days 00:01:00.370788,relu,False,16,True,2.0,,decreasing,1,,pow2,1.0,,0.0,False,False,False,,,,256.0,5,False,True,True,,,,0.0002,,minmax,3,AdamW,last,False,2e-07,True,"[128, 96, 64]","[1, 2, 4]","[False, False, False]",0.0,"[False, True, True]"
1,0.21759048895761182,COMPLETE,2025-10-01 00:36:14.738170,2025-10-01 00:36:39.549050,0 days 00:00:24.810880,tanh,True,64,True,,0.0,uniform,3,1.0,linear,,1.0,0.0,True,True,True,True,,,512.0,2,False,False,False,True,,,1e-05,,L2,4,RMSprop,max,True,1e-06,True,"[64, 64, 64, 64]","[1, 2, 3, 4]","[True, True, True, True]",0.0,"[False, False, False, True]"
2,0.0894854586129754,PRUNED,2025-10-01 00:36:39.551050,2025-10-01 00:37:24.129781,0 days 00:00:44.578731,silu,True,64,True,5.0,,increasing,3,,pow2,1.0,,0.0,False,False,False,,,,64.0,2,True,True,False,,,,1e-05,0.6000000000000001,L2,3,SGD,mean,True,1e-06,False,"[384, 512, 640]","[1, 2, 4]","[False, False, False]",0.0,"[True, True, False]"
3,0.21759048895761182,COMPLETE,2025-10-01 00:37:24.131781,2025-10-01 00:37:59.066229,0 days 00:00:34.934448,elu,True,16,False,1.0,,decreasing,1,,pow2,1.0,,0.15000000000000002,True,True,,,,,256.0,7,False,True,,,,,0.0001,0.5,L2,2,SGD,attention,True,1e-07,True,"[96, 64]","[1, 2]","[True, True]",0.15000000000000002,"[False, True]"
4,0.2457486938439173,COMPLETE,2025-10-01 00:37:59.068230,2025-10-01 00:39:03.533493,0 days 00:01:04.465263,relu,True,128,False,,4.0,uniform,2,1.0,linear,,1.0,0.1,False,True,True,False,,,256.0,9,False,True,True,False,,,0.0001,,L2,4,RMSprop,max,True,1e-06,True,"[256, 256, 256, 256]","[1, 2, 3, 4]","[False, True, True, False]",0.1,"[False, True, True, False]"
5,0.23323169016335155,COMPLETE,2025-10-01 00:39:03.537010,2025-10-01 00:39:29.959313,0 days 00:00:26.422303,relu,False,128,False,,1.0,uniform,2,,pow2,2.0,,0.25,True,True,True,False,False,True,64.0,7,False,True,False,True,False,True,0.002,0.8,minmax,6,SGD,last,False,1e-07,False,"[96, 96, 96, 96, 96, 96]","[2, 4, 8, 16, 32, 64]","[True, True, True, False, False, True]",0.25,"[False, True, False, True, False, True]"
6,0.21759048895761182,COMPLETE,2025-10-01 00:39:29.962313,2025-10-01 00:41:11.315062,0 days 00:01:41.352749,silu,False,64,True,7.0,,decreasing,2,,pow2,2.0,,0.15000000000000002,False,True,True,,,,128.0,5,False,True,True,,,,0.001,,minmax,3,Adam,mean,False,1e-07,False,"[640, 512, 384]","[2, 4, 8]","[False, True, True]",0.15000000000000002,"[False, True, True]"
7,0.178030303030303,PRUNED,2025-10-01 00:41:11.317105,2025-10-01 00:41:43.421253,0 days 00:00:32.104148,silu,True,64,False,1.0,,increasing,3,,pow2,2.0,,0.1,True,True,False,True,True,False,256.0,5,True,False,False,False,False,True,0.0005,,L2,6,RMSprop,mean,True,2e-07,False,"[96, 128, 192, 256, 384, 512]","[2, 4, 8, 16, 32, 64]","[True, True, False, True, True, False]",0.1,"[True, False, False, False, False, True]"
8,0.21759048895761182,COMPLETE,2025-10-01 00:41:43.422259,2025-10-01 00:43:19.459397,0 days 00:01:36.037138,mish,True,96,False,3.0,,increasing,1,,pow2,2.0,,0.1,True,True,False,True,True,False,64.0,7,True,False,True,False,True,False,0.002,,L2,6,AdamW,attention,False,1e-05,False,"[192, 256, 384, 512, 640, 768]","[2, 4, 8, 16, 32, 64]","[True, True, False, True, True, False]",0.1,"[True, False, True, False, True, False]"
9,0.24578012339724628,COMPLETE,2025-10-01 00:43:19.462408,2025-10-01 00:44:57.968450,0 days 00:01:38.506042,elu,False,32,True,,7.0,uniform,3,,pow2,2.0,,0.3,False,True,,,,,,3,True,False,,,,,0.0005,,minmax,2,AdamW,max,True,2e-07,True,"[640, 640]","[2, 4]","[False, True]",0.3,"[True, False]"
