number,value,state,datetime_start,datetime_complete,duration,params_activation,params_attention_proj,params_batch_size,params_causal,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
0,0.2677098264054786,COMPLETE,2025-10-01 01:22:11.389360,2025-10-01 01:22:23.288871,0 days 00:00:11.899511,elu,False,32,True,0.0,,increasing,3,1.0,linear,,3.0,0.3,True,False,False,False,True,,128.0,7,True,True,False,True,False,,0.001,0.4,minmax,5,SGD,max,True,2e-06,False,"[64, 96, 128, 192, 256]","[1, 4, 7, 10, 13]","[True, False, False, False, True]",0.3,"[True, True, False, True, False]"
1,0.2369230769230769,COMPLETE,2025-10-01 01:22:23.290872,2025-10-01 01:22:31.073827,0 days 00:00:07.782955,leakyrelu,True,16,False,,4.0,uniform,1,,pow2,1.0,,0.0,True,True,True,False,False,False,128.0,3,True,True,False,True,False,False,1e-05,,minmax,6,AdamW,mean,True,1e-05,True,"[256, 256, 256, 256, 256, 256]","[1, 2, 4, 8, 16, 32]","[True, True, True, False, False, False]",0.0,"[True, True, False, True, False, False]"
2,0.2457142857142857,COMPLETE,2025-10-01 01:22:31.075828,2025-10-01 01:22:43.434620,0 days 00:00:12.358792,relu,True,96,False,9.0,,decreasing,2,1.0,linear,,3.0,0.25,True,True,True,,,,,2,True,False,False,,,,0.002,,L2,3,RMSprop,last,True,1e-05,True,"[896, 768, 640]","[1, 4, 7]","[True, True, True]",0.25,"[True, False, False]"
3,0.0392156862745098,PRUNED,2025-10-01 01:22:43.437622,2025-10-01 01:22:49.983128,0 days 00:00:06.545506,mish,True,128,False,3.0,,increasing,1,,pow2,2.0,,0.3,True,True,False,True,False,,,9,False,False,True,False,False,,0.0002,0.30000000000000004,L2,5,SGD,max,True,1e-05,True,"[192, 256, 384, 512, 640]","[2, 4, 8, 16, 32]","[True, True, False, True, False]",0.3,"[False, False, True, False, False]"
4,0.1818181818181818,PRUNED,2025-10-01 01:22:49.984132,2025-10-01 01:22:53.781210,0 days 00:00:03.797078,tanh,False,16,True,,8.0,uniform,2,1.0,linear,,3.0,0.2,False,False,False,,,,64.0,2,False,True,False,,,,0.002,,L2,3,AdamW,mean,False,0.0,True,"[768, 768, 768]","[1, 4, 7]","[False, False, False]",0.2,"[False, True, False]"
5,0.2786928104575163,COMPLETE,2025-10-01 01:22:53.782715,2025-10-01 01:22:58.236166,0 days 00:00:04.453451,silu,True,96,True,3.0,,decreasing,2,3.0,linear,,1.0,0.05,False,False,True,,,,256.0,7,False,False,True,,,,0.0005,,minmax,3,RMSprop,max,True,2e-07,True,"[192, 128, 96]","[3, 4, 5]","[False, False, True]",0.05,"[False, False, True]"
6,0.25893365893365894,COMPLETE,2025-10-01 01:22:58.239205,2025-10-01 01:23:03.316756,0 days 00:00:05.077551,leakyrelu,True,32,False,2.0,,increasing,1,,pow2,2.0,,0.2,True,True,,,,,256.0,2,True,True,,,,,0.0001,,L2,2,Adam,max,True,1e-07,False,"[128, 192]","[2, 4]","[True, True]",0.2,"[True, True]"
7,0.2457142857142857,COMPLETE,2025-10-01 01:23:03.318775,2025-10-01 01:23:31.039048,0 days 00:00:27.720273,gelu,False,128,True,7.0,,decreasing,3,,pow2,1.0,,0.1,True,False,True,False,False,True,,7,True,True,True,True,False,True,0.0005,,minmax,6,RMSprop,mean,True,1e-05,True,"[640, 512, 384, 256, 192, 128]","[1, 2, 4, 8, 16, 32]","[True, False, True, False, False, True]",0.1,"[True, True, True, True, False, True]"
8,0.1818181818181818,PRUNED,2025-10-01 01:23:31.041476,2025-10-01 01:23:32.313336,0 days 00:00:01.271860,tanh,True,128,False,4.0,,increasing,1,,pow2,2.0,,0.1,True,False,False,,,,256.0,2,False,True,False,,,,0.0001,0.8,L2,3,SGD,max,False,2e-06,False,"[256, 384, 512]","[2, 4, 8]","[True, False, False]",0.1,"[False, True, False]"
9,0.2457142857142857,COMPLETE,2025-10-01 01:23:32.314341,2025-10-01 01:23:44.236038,0 days 00:00:11.921697,elu,False,128,False,0.0,,increasing,3,,pow2,1.0,,0.0,False,True,True,True,False,True,256.0,9,False,True,False,True,False,True,0.0002,,minmax,6,RMSprop,last,True,2e-06,False,"[64, 96, 128, 192, 256, 384]","[1, 2, 4, 8, 16, 32]","[False, True, True, True, False, True]",0.0,"[False, True, False, True, False, True]"
