number,value,state,datetime_start,datetime_complete,duration,params_activation,params_attention_proj,params_batch_size,params_causal,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
0,0.2615265570278318,COMPLETE,2025-10-01 10:53:16.616007,2025-10-01 10:53:34.790305,0 days 00:00:18.174298,elu,True,32,False,,1.0,uniform,3,,pow2,1.0,,0.1,True,False,,,,,3,True,True,,,,0.0002,,minmax,2,RMSprop,max,False,1e-07,True,"[96, 96]","[1, 2]","[True, False]",0.1,"[True, True]"
1,0.4304542234418587,COMPLETE,2025-10-01 10:53:34.790305,2025-10-01 10:54:20.287410,0 days 00:00:45.497105,gelu,False,16,True,,7.0,uniform,2,1.0,linear,,3.0,0.3,True,,,,,64.0,9,False,,,,,0.002,,L2,1,Adam,last,True,2e-06,True,[640],[1],[True],0.3,[False]
2,0.23113486527372726,COMPLETE,2025-10-01 10:54:20.291849,2025-10-01 10:54:34.536411,0 days 00:00:14.244562,silu,True,128,True,1.0,,increasing,1,2.0,linear,,1.0,0.15000000000000002,False,False,False,True,False,128.0,9,False,True,True,True,True,0.0005,,L2,5,AdamW,attention,False,2e-06,False,"[96, 128, 192, 256, 384]","[2, 3, 4, 5, 6]","[False, False, False, True, False]",0.15000000000000002,"[False, True, True, True, True]"
3,0.20405978955706083,COMPLETE,2025-10-01 10:54:34.536411,2025-10-01 10:54:57.463241,0 days 00:00:22.926830,silu,True,128,False,8.0,,increasing,2,2.0,linear,,2.0,0.2,False,False,,,,512.0,3,True,False,,,,0.0001,0.1,L2,2,SGD,mean,True,2e-07,True,"[768, 896]","[2, 4]","[False, False]",0.2,"[True, False]"
4,0.4488261440615247,COMPLETE,2025-10-01 10:54:57.464409,2025-10-01 10:55:34.130088,0 days 00:00:36.665679,gelu,True,16,False,,5.0,uniform,2,3.0,linear,,3.0,0.0,True,False,,,,,3,True,True,,,,0.0001,,minmax,2,RMSprop,last,True,0.0,True,"[384, 384]","[3, 6]","[True, False]",0.0,"[True, True]"
5,0.21759048895761182,COMPLETE,2025-10-01 10:55:34.131903,2025-10-01 10:56:06.392026,0 days 00:00:32.260123,leakyrelu,True,32,True,,6.0,uniform,3,3.0,linear,,1.0,0.3,False,,,,,512.0,9,False,,,,,0.002,,minmax,1,Adam,attention,True,1e-07,False,[512],[3],[False],0.3,[False]
6,0.178030303030303,PRUNED,2025-10-01 10:56:06.392026,2025-10-01 10:58:43.163601,0 days 00:02:36.771575,gelu,False,64,True,,9.0,uniform,3,,pow2,2.0,,0.3,False,True,True,False,False,512.0,7,True,True,True,True,True,0.0002,,L2,5,RMSprop,last,False,2e-06,True,"[896, 896, 896, 896, 896]","[2, 4, 8, 16, 32]","[False, True, True, False, False]",0.3,"[True, True, True, True, True]"
7,0.30494239620122854,COMPLETE,2025-10-01 10:58:43.164604,2025-10-01 10:58:59.487771,0 days 00:00:16.323167,tanh,True,64,True,,4.0,uniform,3,,pow2,2.0,,0.0,True,False,,,,512.0,2,True,True,,,,0.002,0.6000000000000001,L2,2,SGD,mean,True,1e-05,False,"[256, 256]","[2, 4]","[True, False]",0.0,"[True, True]"
8,0.21640488656195464,PRUNED,2025-10-01 10:58:59.489780,2025-10-01 10:59:08.133879,0 days 00:00:08.644099,leakyrelu,False,128,False,1.0,,increasing,1,1.0,linear,,1.0,0.05,True,True,False,True,True,512.0,9,False,True,False,False,False,0.001,,L2,5,RMSprop,last,True,1e-07,True,"[96, 128, 192, 256, 384]","[1, 2, 3, 4, 5]","[True, True, False, True, True]",0.05,"[False, True, False, False, False]"
9,0.21761658031088082,PRUNED,2025-10-01 10:59:08.134883,2025-10-01 10:59:15.229723,0 days 00:00:07.094840,silu,True,16,True,,1.0,uniform,1,2.0,linear,,2.0,0.0,True,True,False,True,True,128.0,2,False,False,True,True,False,0.001,0.1,minmax,5,SGD,mean,True,1e-06,True,"[96, 96, 96, 96, 96]","[2, 4, 6, 8, 10]","[True, True, False, True, True]",0.0,"[False, False, True, True, False]"
