number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_block_end,dropout,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
0,0.2175904889576118,COMPLETE,2025-10-09 01:21:33.427182,2025-10-09 01:22:05.627489,0 days 00:00:32.200307,"[768, 640, 512, 384]","[1, 4, 7, 10]","[False, True, False, False]","[0.0, 0.0, 0.0, 0.0]",relu,128,decreasing,2,linear,64.0,2,0.0001,,minmax,4,AdamW,attention,False,1e-05,True
1,0.27174520499842,COMPLETE,2025-10-09 01:22:05.629490,2025-10-09 01:22:47.973800,0 days 00:00:42.344310,"[640, 640]","[2, 3]","[False, False]","[0.0, 0.0]",leakyrelu,96,uniform,3,linear,128.0,5,0.0005,,minmax,2,RMSprop,max,False,1e-07,False
2,0.2323402267808807,COMPLETE,2025-10-09 01:22:47.976303,2025-10-09 01:22:59.032744,0 days 00:00:11.056441,"[192, 192, 192, 192]","[2, 3, 4, 5]","[True, False, False, True]","[0.3, 0.3, 0.0, 0.0]",prelu,128,uniform,1,linear,64.0,2,0.001,,minmax,4,Adam,max,False,0.0,False
3,0.4054488916462986,COMPLETE,2025-10-09 01:22:59.035807,2025-10-09 01:25:16.819249,0 days 00:02:17.783442,"[640, 768]","[1, 2]","[False, False]","[0.0, 0.0]",elu,32,increasing,3,linear,64.0,9,0.0002,,L2,2,AdamW,max,True,1e-05,False
4,0.2175904889576118,COMPLETE,2025-10-09 01:25:16.822249,2025-10-09 01:25:24.197783,0 days 00:00:07.375534,[192],[3],[True],[0.0],prelu,128,decreasing,1,linear,64.0,7,0.0005,0.2,minmax,1,SGD,mean,True,1e-05,False
5,0.2175904889576118,COMPLETE,2025-10-09 01:25:24.199783,2025-10-09 01:28:22.152281,0 days 00:02:57.952498,"[896, 896, 896, 896, 896]","[2, 5, 8, 11, 14]","[True, True, True, False, True]","[0.1, 0.1, 0.1, 0.0, 0.0]",prelu,128,uniform,2,linear,,9,0.002,,minmax,5,AdamW,max,False,1e-06,False
6,0.178030303030303,PRUNED,2025-10-09 01:28:22.154302,2025-10-09 01:28:37.194492,0 days 00:00:15.040190,"[384, 512, 640]","[1, 2, 3]","[False, False, True]","[0.1, 0.0, 0.1]",relu,96,increasing,2,linear,128.0,7,0.0002,,L2,3,Adam,last,False,1e-06,True
7,0.375216560941748,COMPLETE,2025-10-09 01:28:37.195492,2025-10-09 01:30:26.030767,0 days 00:01:48.835275,"[768, 640, 512, 384, 256, 192]","[1, 2, 3, 4, 5, 6]","[False, True, True, True, False, False]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",mish,32,decreasing,1,linear,64.0,9,0.001,0.9,minmax,6,SGD,mean,False,5e-07,True
8,0.178030303030303,PRUNED,2025-10-09 01:30:26.033071,2025-10-09 01:30:36.779718,0 days 00:00:10.746647,"[64, 64]","[3, 6]","[True, False]","[0.2, 0.0]",prelu,32,uniform,1,linear,128.0,3,1e-05,,L2,2,AdamW,mean,False,2e-07,False
9,0.2175904889576118,COMPLETE,2025-10-09 01:30:36.781737,2025-10-09 01:32:06.118776,0 days 00:01:29.337039,"[384, 256, 192, 128]","[3, 5, 7, 9]","[True, False, True, True]","[0.3, 0.0, 0.3, 0.0]",elu,16,decreasing,3,linear,64.0,9,0.001,,L2,4,AdamW,last,False,1e-06,False
10,0.2175904889576118,COMPLETE,2025-10-09 01:32:06.120777,2025-10-09 01:32:18.098456,0 days 00:00:11.977679,[96],[2],[False],[0.0],elu,64,increasing,3,pow2,256.0,3,0.0002,,L2,1,RMSprop,attention,True,2e-06,True
11,0.0855855855855855,PRUNED,2025-10-09 01:32:18.100457,2025-10-09 01:33:10.610937,0 days 00:00:52.510480,"[256, 384, 512, 640, 768, 896]","[1, 2, 4, 8, 16, 32]","[False, True, True, True, False, False]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",mish,32,increasing,2,pow2,512.0,9,0.0002,0.9,L2,6,SGD,mean,True,5e-07,True
12,0.2016303542315103,PRUNED,2025-10-09 01:33:10.611938,2025-10-09 01:35:57.318102,0 days 00:02:46.706164,"[896, 768, 640, 512, 384, 256]","[2, 4, 8, 16, 32, 64]","[False, True, True, True, False, True]","[0.0, 0.0, 0.0, 0.1, 0.1, 0.0]",mish,32,decreasing,3,pow2,64.0,9,0.001,0.9,minmax,6,SGD,max,True,5e-07,True
13,0.178030303030303,PRUNED,2025-10-09 01:35:57.320207,2025-10-09 01:36:14.868351,0 days 00:00:17.548144,"[512, 640, 768]","[1, 2, 3]","[False, True, False]","[0.0, 0.0, 0.0]",hardswish,32,increasing,1,linear,512.0,9,1e-05,0.6000000000000001,L2,3,SGD,mean,True,5e-07,True
14,0.0894854586129754,PRUNED,2025-10-09 01:36:14.869357,2025-10-09 01:36:46.066150,0 days 00:00:31.196793,"[640, 512]","[1, 2]","[False, True]","[0.0, 0.0]",gelu,32,decreasing,2,pow2,,5,0.002,,L2,2,AdamW,max,True,1e-05,False
15,0.2175904889576118,COMPLETE,2025-10-09 01:36:46.067151,2025-10-09 01:37:58.885287,0 days 00:01:12.818136,"[64, 96, 128, 192, 256]","[1, 3, 5, 7, 9]","[False, False, True, True, False]","[0.0, 0.2, 0.0, 0.2, 0.0]",silu,16,increasing,3,linear,256.0,9,0.0001,0.5,minmax,5,SGD,mean,True,0.0,True
16,0.178030303030303,PRUNED,2025-10-09 01:37:58.887353,2025-10-09 01:38:38.010131,0 days 00:00:39.122778,"[768, 640, 512, 384, 256]","[1, 2, 3, 4, 5]","[False, False, False, False, True]","[0.0, 0.0, 0.0, 0.0, 0.0]",elu,64,decreasing,1,linear,64.0,9,0.0002,,L2,5,RMSprop,last,True,1e-07,True
17,0.178030303030303,PRUNED,2025-10-09 01:38:38.012132,2025-10-09 01:39:10.508177,0 days 00:00:32.496045,"[512, 640, 768]","[1, 2, 3]","[False, True, True]","[0.0, 0.1, 0.0]",mish,32,increasing,2,linear,64.0,9,0.001,,minmax,3,Adam,attention,False,2e-07,False
18,0.2175904889576118,COMPLETE,2025-10-09 01:39:10.510178,2025-10-09 01:39:57.348793,0 days 00:00:46.838615,"[896, 768]","[1, 2]","[False, False]","[0.0, 0.0]",gelu,32,decreasing,2,pow2,64.0,5,0.001,0.0,L2,2,SGD,max,False,2e-06,False
19,0.178030303030303,PRUNED,2025-10-09 01:39:57.350794,2025-10-09 01:40:09.860682,0 days 00:00:12.509888,"[128, 192, 256, 384, 512, 640]","[2, 4, 6, 8, 10, 12]","[False, True, True, True, False, False]","[0.0, 0.1, 0.0, 0.1, 0.0, 0.1]",leakyrelu,32,increasing,1,linear,256.0,3,0.0002,,minmax,6,AdamW,mean,True,1e-05,True
20,0.178030303030303,PRUNED,2025-10-09 01:40:09.861682,2025-10-09 01:40:15.596396,0 days 00:00:05.734714,[640],[1],[False],[0.0],silu,64,decreasing,3,linear,,2,1e-05,,L2,1,AdamW,mean,True,5e-07,False
21,0.2581201816389438,COMPLETE,2025-10-09 01:40:15.598397,2025-10-09 01:41:07.449367,0 days 00:00:51.850970,"[768, 768]","[2, 3]","[False, False]","[0.0, 0.0]",leakyrelu,96,uniform,3,linear,128.0,5,0.0005,,minmax,2,RMSprop,max,False,1e-07,False
22,0.178030303030303,PRUNED,2025-10-09 01:41:07.450367,2025-10-09 01:41:25.730603,0 days 00:00:18.280236,"[512, 512]","[2, 3]","[False, False]","[0.0, 0.0]",leakyrelu,96,uniform,3,linear,128.0,5,0.0005,,minmax,2,RMSprop,max,False,1e-07,False
23,0.178030303030303,PRUNED,2025-10-09 01:41:25.732603,2025-10-09 01:41:40.998166,0 days 00:00:15.265563,"[384, 384, 384]","[1, 2, 3]","[False, False, False]","[0.0, 0.0, 0.3]",hardswish,96,uniform,3,linear,128.0,5,0.0005,,minmax,3,RMSprop,max,False,1e-07,False
24,0.2835348817187714,COMPLETE,2025-10-09 01:41:40.999170,2025-10-09 01:41:52.049496,0 days 00:00:11.050326,[192],[2],[False],[0.0],leakyrelu,96,uniform,3,linear,512.0,7,0.0005,,minmax,1,RMSprop,max,False,1e-05,False
