number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
0,0.21759048895761182,COMPLETE,2025-10-09 01:50:52.120115,2025-10-09 01:51:32.538541,0 days 00:00:40.418426,leakyrelu,16,,1.0,uniform,3,,pow2,1.0,,0.1,True,False,True,,,,64.0,3,False,False,True,,,,0.0001,0.1,L2,3,SGD,attention,False,0.0,False,"[96, 96, 96]","[1, 2, 4]","[True, False, True]",0.1,"[False, False, True]"
1,0.21759048895761182,COMPLETE,2025-10-09 01:51:32.539764,2025-10-09 01:51:57.716888,0 days 00:00:25.177124,leakyrelu,64,2.0,,increasing,1,2.0,linear,,1.0,0.3,True,False,False,True,True,,64.0,9,True,False,False,True,False,,0.0005,,L2,5,AdamW,attention,True,2e-07,False,"[128, 192, 256, 384, 512]","[2, 3, 4, 5, 6]","[True, False, False, True, True]",0.3,"[True, False, False, True, False]"
2,0.21950605760879874,COMPLETE,2025-10-09 01:51:57.718894,2025-10-09 01:52:08.698296,0 days 00:00:10.979402,hardswish,128,6.0,,increasing,1,2.0,linear,,2.0,0.0,False,False,,,,,128.0,2,True,False,,,,,0.0005,,L2,2,AdamW,max,True,2e-06,False,"[512, 640]","[2, 4]","[False, False]",0.0,"[True, False]"
3,0.4090700955355597,COMPLETE,2025-10-09 01:52:08.700321,2025-10-09 01:52:50.521626,0 days 00:00:41.821305,prelu,64,8.0,,increasing,2,2.0,linear,,2.0,0.0,True,False,,,,,,3,False,True,,,,,0.001,0.0,minmax,2,SGD,max,True,2e-06,False,"[768, 896]","[2, 4]","[True, False]",0.0,"[False, True]"
4,0.21759048895761182,COMPLETE,2025-10-09 01:52:50.528960,2025-10-09 01:52:59.935805,0 days 00:00:09.406845,mish,96,6.0,,increasing,2,,pow2,2.0,,0.2,True,,,,,,64.0,3,True,,,,,,0.0001,0.5,minmax,1,SGD,max,True,2e-06,True,[512],[2],[True],0.2,[True]
5,0.21761658031088082,PRUNED,2025-10-09 01:52:59.937810,2025-10-09 01:53:07.968855,0 days 00:00:08.031045,gelu,96,,9.0,uniform,1,3.0,linear,,1.0,0.3,False,False,True,,,,512.0,7,False,False,True,,,,0.0005,,minmax,3,Adam,max,True,2e-06,False,"[896, 896, 896]","[3, 4, 5]","[False, False, True]",0.3,"[False, False, True]"
6,0.08558558558558559,PRUNED,2025-10-09 01:53:07.968855,2025-10-09 01:53:16.467827,0 days 00:00:08.498972,leakyrelu,32,8.0,,increasing,2,,pow2,2.0,,0.3,False,,,,,,128.0,7,False,,,,,,0.0001,0.5,L2,1,SGD,last,False,2e-06,True,[768],[2],[False],0.3,[False]
7,0.21761658031088082,PRUNED,2025-10-09 01:53:16.469828,2025-10-09 01:53:52.435577,0 days 00:00:35.965749,mish,64,,8.0,uniform,3,,pow2,1.0,,0.2,False,False,True,False,True,True,256.0,7,True,False,False,True,False,True,1e-05,,minmax,6,RMSprop,attention,True,2e-07,False,"[768, 768, 768, 768, 768, 768]","[1, 2, 4, 8, 16, 32]","[False, False, True, False, True, True]",0.2,"[True, False, False, True, False, True]"
8,0.21759048895761182,COMPLETE,2025-10-09 01:53:52.436580,2025-10-09 01:54:03.532288,0 days 00:00:11.095708,hardswish,96,,1.0,uniform,2,,pow2,1.0,,0.2,False,True,True,True,,,512.0,2,True,False,True,False,,,0.0002,,minmax,4,RMSprop,attention,False,2e-07,False,"[96, 96, 96, 96]","[1, 2, 4, 8]","[False, True, True, True]",0.2,"[True, False, True, False]"
9,0.33626200712571547,COMPLETE,2025-10-09 01:54:03.532288,2025-10-09 01:54:48.545375,0 days 00:00:45.013087,prelu,16,,1.0,uniform,1,,pow2,2.0,,0.1,False,False,True,True,True,False,,9,True,False,True,False,False,False,0.0005,0.2,minmax,6,SGD,last,True,5e-07,False,"[96, 96, 96, 96, 96, 96]","[2, 4, 8, 16, 32, 64]","[False, False, True, True, True, False]",0.1,"[True, False, True, False, False, False]"
