number,value,state,datetime_start,datetime_complete,duration,params_activation,params_attention_proj,params_batch_size,params_causal,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
0,0.21759048895761182,COMPLETE,2025-10-01 11:38:38.939641,2025-10-01 11:38:56.580476,0 days 00:00:17.640835,tanh,False,96,True,,1.0,uniform,3,1.0,linear,,2.0,0.0,True,True,True,False,,128.0,7,True,False,False,False,,0.001,0.5,minmax,4,SGD,max,False,1e-05,True,"[96, 96, 96, 96]","[1, 3, 5, 7]","[True, True, True, False]",0.0,"[True, False, False, False]"
1,0.28440689661095314,COMPLETE,2025-10-01 11:38:56.582482,2025-10-01 11:40:01.513343,0 days 00:01:04.930861,leakyrelu,False,128,True,9.0,,decreasing,1,,pow2,1.0,,0.05,True,False,True,,,256.0,3,False,False,False,,,1e-05,,minmax,3,RMSprop,last,True,1e-07,False,"[896, 768, 640]","[1, 2, 4]","[True, False, True]",0.05,"[False, False, False]"
2,0.21759048895761182,COMPLETE,2025-10-01 11:40:01.519902,2025-10-01 11:40:18.483438,0 days 00:00:16.963536,leakyrelu,False,128,True,,3.0,uniform,1,1.0,linear,,1.0,0.15000000000000002,False,True,False,True,,64.0,5,False,True,True,True,,0.001,,minmax,4,AdamW,last,True,1e-06,True,"[192, 192, 192, 192]","[1, 2, 3, 4]","[False, True, False, True]",0.15000000000000002,"[False, True, True, True]"
3,0.17702448210922786,PRUNED,2025-10-01 11:40:18.485457,2025-10-01 11:40:51.640492,0 days 00:00:33.155035,silu,False,32,False,9.0,,decreasing,2,,pow2,2.0,,0.1,False,False,,,,512.0,7,True,True,,,,0.0001,,minmax,2,Adam,mean,False,2e-06,True,"[896, 768]","[2, 4]","[False, False]",0.1,"[True, True]"
4,0.178030303030303,PRUNED,2025-10-01 11:40:51.641495,2025-10-01 11:43:14.757546,0 days 00:02:23.116051,mish,True,32,False,9.0,,decreasing,2,,pow2,2.0,,0.2,True,False,,,,,9,False,True,,,,0.0001,,L2,2,Adam,attention,True,2e-06,True,"[896, 768]","[2, 4]","[True, False]",0.2,"[False, True]"
5,0.21759048895761182,COMPLETE,2025-10-01 11:43:14.758548,2025-10-01 11:44:58.230344,0 days 00:01:43.471796,gelu,True,128,False,9.0,,decreasing,1,,pow2,2.0,,0.0,True,True,False,False,True,512.0,5,False,True,True,True,False,0.0005,,minmax,5,Adam,max,False,0.0,False,"[896, 768, 640, 512, 384]","[2, 4, 8, 16, 32]","[True, True, False, False, True]",0.0,"[False, True, True, True, False]"
6,0.21759048895761182,COMPLETE,2025-10-01 11:44:58.231347,2025-10-01 11:45:35.044855,0 days 00:00:36.813508,gelu,False,128,False,5.0,,decreasing,3,1.0,linear,,1.0,0.3,False,True,True,False,False,128.0,3,True,False,False,False,False,0.0002,,minmax,5,Adam,mean,True,0.0,False,"[384, 256, 192, 128, 96]","[1, 2, 3, 4, 5]","[False, True, True, False, False]",0.3,"[True, False, False, False, False]"
7,0.178030303030303,PRUNED,2025-10-01 11:45:35.045296,2025-10-01 11:45:41.338637,0 days 00:00:06.293341,elu,True,64,False,5.0,,decreasing,2,,pow2,2.0,,0.05,True,,,,,256.0,3,False,,,,,1e-05,,minmax,1,RMSprop,mean,True,2e-06,True,[384],[2],[True],0.05,[False]
8,0.4069002150239638,COMPLETE,2025-10-01 11:45:41.339644,2025-10-01 11:47:25.345859,0 days 00:01:44.006215,silu,True,16,True,,7.0,uniform,2,,pow2,1.0,,0.25,True,True,False,,,128.0,3,False,True,True,,,1e-05,,L2,3,Adam,last,False,5e-07,True,"[640, 640, 640]","[1, 2, 4]","[True, True, False]",0.25,"[False, True, True]"
9,0.21759048895761182,COMPLETE,2025-10-01 11:47:25.347876,2025-10-01 11:47:43.216487,0 days 00:00:17.868611,tanh,False,32,False,2.0,,decreasing,3,1.0,linear,,3.0,0.15000000000000002,False,,,,,512.0,5,False,,,,,0.002,,minmax,1,Adam,attention,True,0.0,True,[128],[1],[False],0.15000000000000002,[False]
10,0.276723027661835,COMPLETE,2025-10-01 11:47:43.218493,2025-10-01 11:48:43.176178,0 days 00:00:59.957685,silu,True,16,True,0.0,,increasing,2,,pow2,1.0,,0.3,True,True,False,,,128.0,2,True,True,True,,,1e-05,,L2,3,AdamW,last,False,5e-07,False,"[64, 96, 128]","[1, 2, 4]","[True, True, False]",0.3,"[True, True, True]"
11,0.40194612894402937,COMPLETE,2025-10-01 11:48:43.178183,2025-10-01 11:50:12.379623,0 days 00:01:29.201440,leakyrelu,True,16,True,,9.0,uniform,1,,pow2,1.0,,0.25,True,False,True,,,256.0,3,False,False,False,,,1e-05,,L2,3,RMSprop,last,False,1e-07,False,"[896, 896, 896]","[1, 2, 4]","[True, False, True]",0.25,"[False, False, False]"
12,0.38948097848305935,COMPLETE,2025-10-01 11:50:12.382127,2025-10-01 11:51:47.623087,0 days 00:01:35.240960,relu,True,16,True,,9.0,uniform,1,,pow2,1.0,,0.25,True,False,,,,256.0,3,False,False,,,,1e-05,,L2,2,RMSprop,last,False,2e-07,False,"[896, 896]","[1, 2]","[True, False]",0.25,"[False, False]"
13,0.178030303030303,PRUNED,2025-10-01 11:51:47.625099,2025-10-01 11:53:11.920411,0 days 00:01:24.295312,silu,True,16,True,,8.0,uniform,1,,pow2,1.0,,0.25,True,False,True,True,,64.0,3,False,False,True,True,,1e-05,0.0,L2,4,SGD,last,False,5e-07,False,"[768, 768, 768, 768]","[1, 2, 4, 8]","[True, False, True, True]",0.25,"[False, False, True, True]"
14,0.40734698541639053,COMPLETE,2025-10-01 11:53:11.921914,2025-10-01 11:54:38.205281,0 days 00:01:26.283367,leakyrelu,True,16,True,,6.0,uniform,2,,pow2,1.0,,0.2,True,False,False,,,,2,False,True,False,,,0.0002,,L2,3,RMSprop,last,False,1e-07,True,"[512, 512, 512]","[1, 2, 4]","[True, False, False]",0.2,"[False, True, False]"
15,0.40828181245334827,COMPLETE,2025-10-01 11:54:38.207294,2025-10-01 11:55:35.586203,0 days 00:00:57.378909,mish,True,16,True,0.0,,increasing,2,,pow2,1.0,,0.2,True,True,False,True,,,2,False,True,True,False,,0.0002,,L2,4,RMSprop,last,False,5e-07,True,"[64, 96, 128, 192]","[1, 2, 4, 8]","[True, True, False, True]",0.2,"[False, True, True, False]"
16,0.30138147300618695,PRUNED,2025-10-01 11:55:35.588253,2025-10-01 11:55:40.693012,0 days 00:00:05.104759,mish,True,96,True,0.0,,increasing,2,,pow2,1.0,,0.2,True,True,False,True,,,2,False,True,False,False,,0.0002,,L2,4,RMSprop,last,False,1e-07,True,"[64, 96, 128, 192]","[1, 2, 4, 8]","[True, True, False, True]",0.2,"[False, True, False, False]"
17,0.178030303030303,PRUNED,2025-10-01 11:55:40.694014,2025-10-01 11:56:09.101947,0 days 00:00:28.407933,mish,True,64,True,1.0,,increasing,3,,pow2,1.0,,0.2,True,False,False,True,True,,2,False,True,True,False,True,0.0002,,L2,5,RMSprop,attention,False,1e-06,True,"[96, 128, 192, 256, 384]","[1, 2, 4, 8, 16]","[True, False, False, True, True]",0.2,"[False, True, True, False, True]"
18,0.178030303030303,PRUNED,2025-10-01 11:56:09.102966,2025-10-01 11:56:33.142433,0 days 00:00:24.039467,elu,True,16,True,3.0,,increasing,2,3.0,linear,,3.0,0.1,False,True,False,True,,,2,True,True,False,False,,0.0002,,L2,4,RMSprop,max,False,1e-05,True,"[192, 256, 384, 512]","[3, 6, 9, 12]","[False, True, False, True]",0.1,"[True, True, False, False]"
