number,value,state,datetime_start,datetime_complete,duration,params_activation,params_attention_proj,params_batch_size,params_causal,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
0,0.4396693869157245,COMPLETE,2025-10-01 12:26:14.796881,2025-10-01 12:26:34.821924,0 days 00:00:20.025043,tanh,True,96,True,,2.0,uniform,2,2.0,linear,,3.0,0.2,True,False,,,,64.0,5,True,True,,,,0.001,,L2,2,Adam,attention,False,2e-06,False,"[128, 128]","[2, 5]","[True, False]",0.2,"[True, True]"
1,0.21759048895761182,COMPLETE,2025-10-01 12:26:34.823926,2025-10-01 12:27:05.398445,0 days 00:00:30.574519,mish,False,96,False,4.0,,decreasing,2,,pow2,1.0,,0.2,False,False,False,,,512.0,7,True,True,True,,,0.0005,,minmax,3,Adam,attention,True,2e-06,False,"[256, 192, 128]","[1, 2, 4]","[False, False, False]",0.2,"[True, True, True]"
2,0.178030303030303,PRUNED,2025-10-01 12:27:05.400455,2025-10-01 12:27:27.548733,0 days 00:00:22.148278,elu,True,128,True,5.0,,decreasing,2,,pow2,1.0,,0.05,True,True,True,,,,3,False,False,True,,,0.002,,L2,3,AdamW,max,True,0.0,False,"[384, 256, 192]","[1, 2, 4]","[True, True, True]",0.05,"[False, False, True]"
3,0.21759048895761182,COMPLETE,2025-10-01 12:27:27.550247,2025-10-01 12:27:56.634880,0 days 00:00:29.084633,tanh,True,96,False,6.0,,decreasing,1,2.0,linear,,3.0,0.1,True,,,,,,7,False,,,,,1e-05,,minmax,1,RMSprop,attention,False,5e-07,False,[512],[2],[True],0.1,[False]
4,0.21640488656195464,PRUNED,2025-10-01 12:27:56.636891,2025-10-01 12:28:26.115641,0 days 00:00:29.478750,mish,False,16,False,3.0,,decreasing,2,3.0,linear,,2.0,0.1,False,True,True,,,256.0,3,False,True,True,,,1e-05,,L2,3,RMSprop,mean,True,1e-06,False,"[192, 128, 96]","[3, 5, 7]","[False, True, True]",0.1,"[False, True, True]"
5,0.21759048895761182,COMPLETE,2025-10-01 12:28:26.116641,2025-10-01 12:29:32.945778,0 days 00:01:06.829137,leakyrelu,True,128,False,,6.0,uniform,1,,pow2,2.0,,0.15000000000000002,False,False,False,,,256.0,9,True,False,False,,,0.002,,minmax,3,RMSprop,mean,True,2e-07,True,"[512, 512, 512]","[2, 4, 8]","[False, False, False]",0.15000000000000002,"[True, False, False]"
6,0.35005017709003233,PRUNED,2025-10-01 12:29:32.947807,2025-10-01 12:31:09.904677,0 days 00:01:36.956870,mish,True,16,True,2.0,,increasing,3,,pow2,2.0,,0.25,False,True,False,True,False,,5,False,True,False,False,True,0.0002,,L2,5,AdamW,max,True,5e-07,False,"[128, 192, 256, 384, 512]","[2, 4, 8, 16, 32]","[False, True, False, True, False]",0.25,"[False, True, False, False, True]"
7,0.178030303030303,PRUNED,2025-10-01 12:31:09.904677,2025-10-01 12:31:26.160279,0 days 00:00:16.255602,gelu,False,64,False,1.0,,increasing,1,,pow2,2.0,,0.05,True,False,False,True,True,256.0,3,True,True,False,False,True,0.002,,L2,5,RMSprop,last,True,5e-07,False,"[96, 128, 192, 256, 384]","[2, 4, 8, 16, 32]","[True, False, False, True, True]",0.05,"[True, True, False, False, True]"
8,0.0894854586129754,PRUNED,2025-10-01 12:31:26.161680,2025-10-01 12:31:52.011436,0 days 00:00:25.849756,leakyrelu,True,96,False,2.0,,increasing,3,,pow2,2.0,,0.25,False,True,True,,,256.0,7,False,True,True,,,0.0001,0.7000000000000001,minmax,3,SGD,max,True,1e-07,True,"[128, 192, 256]","[2, 4, 8]","[False, True, True]",0.25,"[False, True, True]"
9,0.21640488656195464,PRUNED,2025-10-01 12:31:52.012437,2025-10-01 12:33:15.499433,0 days 00:01:23.486996,mish,True,64,True,8.0,,increasing,1,3.0,linear,,3.0,0.1,True,True,,,,128.0,9,False,False,,,,0.0005,,minmax,2,AdamW,max,False,2e-07,True,"[768, 896]","[3, 6]","[True, True]",0.1,"[False, False]"
