number,value,state,datetime_start,datetime_complete,duration,channels,dilations,ln_block_end,dropout,activation,batch_size,channels_pattern,convs_per_block,dilation_mode,fc_hidden,kernel_size,lr,momentum_sgd,norm,num_blocks,optimizer,pooling,use_weight_norm,weight_decay,wn_on_skip
0,0.2175904889576118,COMPLETE,2025-10-09 03:56:23.293197,2025-10-09 03:56:58.892883,0 days 00:00:35.599686,"[512, 512]","[2, 5]","[True, False]","[0.0, 0.0]",elu,96,uniform,2,linear,64.0,3,0.0005,,L2,2,RMSprop,max,True,2e-07,False
1,0.2176165803108808,PRUNED,2025-10-09 03:56:58.894955,2025-10-09 03:57:21.897363,0 days 00:00:23.002408,"[96, 128, 192, 256, 384]","[2, 4, 8, 16, 32]","[True, False, False, True, False]","[0.1, 0.1, 0.1, 0.0, 0.0]",elu,32,increasing,3,pow2,256.0,2,0.0005,0.9,minmax,5,SGD,last,True,2e-06,True
2,0.2175904889576118,COMPLETE,2025-10-09 03:57:21.898866,2025-10-09 03:58:03.513070,0 days 00:00:41.614204,"[512, 384, 256, 192]","[3, 5, 7, 9]","[False, False, True, True]","[0.0, 0.3, 0.3, 0.3]",prelu,128,decreasing,2,linear,64.0,2,0.0002,0.9,L2,4,SGD,mean,True,2e-07,False
3,0.2175904889576118,COMPLETE,2025-10-09 03:58:03.515069,2025-10-09 03:59:18.135402,0 days 00:01:14.620333,"[640, 512]","[3, 5]","[False, True]","[0.1, 0.0]",hardswish,16,decreasing,3,linear,512.0,2,0.001,,L2,2,Adam,max,True,1e-05,False
4,0.2175904889576118,COMPLETE,2025-10-09 03:59:18.136409,2025-10-09 03:59:49.382413,0 days 00:00:31.246004,[384],[3],[True],[0.0],elu,64,uniform,3,linear,64.0,5,0.001,,minmax,1,AdamW,attention,False,1e-05,True
5,0.4690777736281743,COMPLETE,2025-10-09 03:59:49.384427,2025-10-09 04:01:01.557035,0 days 00:01:12.172608,[512],[1],[False],[0.1],relu,16,increasing,1,linear,256.0,7,0.0005,,L2,1,Adam,attention,False,1e-06,False
6,0.178030303030303,PRUNED,2025-10-09 04:01:01.558539,2025-10-09 04:01:57.648819,0 days 00:00:56.090280,"[512, 640, 768]","[1, 2, 4]","[True, True, True]","[0.0, 0.0, 0.0]",prelu,128,increasing,2,pow2,256.0,9,0.0002,,L2,3,Adam,max,True,5e-07,True
7,0.2175904889576118,COMPLETE,2025-10-09 04:01:57.651135,2025-10-09 04:02:22.826648,0 days 00:00:25.175513,"[256, 256, 256, 256]","[2, 4, 8, 16]","[True, False, False, False]","[0.1, 0.1, 0.0, 0.1]",gelu,32,uniform,1,pow2,64.0,3,0.002,,L2,4,RMSprop,last,False,1e-06,True
8,0.178030303030303,PRUNED,2025-10-09 04:02:22.829179,2025-10-09 04:04:28.831958,0 days 00:02:06.002779,"[896, 896, 896, 896, 896, 896]","[2, 4, 8, 16, 32, 64]","[True, True, False, False, False, True]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",leakyrelu,64,uniform,1,pow2,64.0,9,0.0002,,minmax,6,RMSprop,attention,True,1e-07,False
9,0.2164048865619546,PRUNED,2025-10-09 04:04:28.832969,2025-10-09 04:05:05.434448,0 days 00:00:36.601479,"[128, 192, 256, 384, 512]","[3, 5, 7, 9, 11]","[True, True, True, True, True]","[0.0, 0.1, 0.1, 0.1, 0.1]",mish,32,increasing,1,linear,64.0,7,0.0005,,minmax,5,Adam,last,True,5e-07,False
10,0.2175904889576118,COMPLETE,2025-10-09 04:05:05.435455,2025-10-09 04:06:19.009606,0 days 00:01:13.574151,[896],[1],[False],[0.0],relu,16,increasing,1,linear,128.0,7,1e-05,,L2,1,AdamW,attention,False,1e-06,False
11,0.2176165803108808,PRUNED,2025-10-09 04:06:19.011622,2025-10-09 04:06:23.872395,0 days 00:00:04.860773,"[64, 64]","[1, 4]","[False, False]","[0.2, 0.0]",relu,96,uniform,2,linear,,3,0.0005,,L2,2,RMSprop,max,False,2e-07,False
12,0.2175904889576118,COMPLETE,2025-10-09 04:06:23.873400,2025-10-09 04:06:45.208359,0 days 00:00:21.334959,"[256, 384]","[2, 5]","[False, False]","[0.2, 0.0]",silu,96,increasing,2,linear,256.0,3,0.0001,,L2,2,Adam,mean,False,0.0,False
13,0.429804653781501,COMPLETE,2025-10-09 04:06:45.210404,2025-10-09 04:07:54.091628,0 days 00:01:08.881224,[640],[2],[False],[0.0],relu,96,uniform,1,linear,512.0,7,0.0005,,L2,1,RMSprop,max,False,2e-07,False
14,0.178030303030303,PRUNED,2025-10-09 04:07:54.094647,2025-10-09 04:08:06.508672,0 days 00:00:12.414025,[192],[1],[False],[0.0],relu,16,decreasing,1,linear,512.0,7,0.0005,,L2,1,RMSprop,attention,False,1e-06,False
15,0.4508302893807095,COMPLETE,2025-10-09 04:08:06.509177,2025-10-09 04:11:39.314081,0 days 00:03:32.804904,"[896, 896, 896]","[2, 3, 4]","[False, True, True]","[0.0, 0.0, 0.0]",relu,96,uniform,1,linear,512.0,7,0.0001,,L2,3,Adam,max,False,2e-06,False
16,0.2176165803108808,PRUNED,2025-10-09 04:11:39.317099,2025-10-09 04:12:04.375271,0 days 00:00:25.058172,"[256, 384, 512]","[1, 2, 3]","[False, True, True]","[0.1, 0.1, 0.0]",relu,16,increasing,1,linear,128.0,7,0.0001,,L2,3,Adam,attention,False,2e-06,False
17,0.414935459301603,COMPLETE,2025-10-09 04:12:04.376272,2025-10-09 04:15:04.044784,0 days 00:02:59.668512,"[896, 896, 896]","[2, 3, 4]","[False, True, True]","[0.0, 0.0, 0.0]",gelu,96,uniform,1,linear,,5,0.0001,,L2,3,Adam,mean,False,2e-06,False
18,0.2943428684407275,COMPLETE,2025-10-09 04:15:04.046797,2025-10-09 04:15:57.813319,0 days 00:00:53.766522,"[64, 96, 128, 192]","[1, 2, 4, 8]","[False, True, True, False]","[0.0, 0.1, 0.0, 0.0]",leakyrelu,16,increasing,1,pow2,256.0,7,1e-05,,minmax,4,Adam,max,False,1e-07,True
19,0.2175904889576118,COMPLETE,2025-10-09 04:15:57.815354,2025-10-09 04:20:49.240782,0 days 00:04:51.425428,"[896, 768, 640, 512, 384, 256]","[1, 2, 3, 4, 5, 6]","[False, True, False, True, True, False]","[0.2, 0.2, 0.0, 0.0, 0.2, 0.0]",hardswish,64,decreasing,2,linear,512.0,7,0.002,,L2,6,Adam,attention,False,0.0,False
20,0.0855855855855855,PRUNED,2025-10-09 04:20:49.243816,2025-10-09 04:21:03.991324,0 days 00:00:14.747508,"[128, 192, 256, 384, 512]","[2, 4, 6, 8, 10]","[False, True, True, False, True]","[0.0, 0.0, 0.0, 0.0, 0.0]",silu,128,increasing,1,linear,512.0,7,0.0001,0.0,L2,5,SGD,attention,False,1e-06,False
21,0.450710555548782,COMPLETE,2025-10-09 04:21:03.992331,2025-10-09 04:21:48.166497,0 days 00:00:44.174166,[640],[2],[False],[0.0],relu,96,uniform,1,linear,512.0,7,0.0005,,L2,1,AdamW,max,False,2e-06,False
22,0.3214983971450493,COMPLETE,2025-10-09 04:21:48.169000,2025-10-09 04:23:20.778152,0 days 00:01:32.609152,"[768, 768]","[2, 4]","[False, True]","[0.0, 0.0]",relu,96,uniform,1,linear,512.0,7,0.0005,,L2,2,AdamW,max,False,2e-06,False
23,0.2320282186948853,PRUNED,2025-10-09 04:23:20.780657,2025-10-09 04:24:00.146453,0 days 00:00:39.365796,[640],[2],[False],[0.1],relu,96,uniform,1,linear,512.0,7,0.0001,,L2,1,AdamW,max,False,2e-06,False
24,0.4452634483605447,COMPLETE,2025-10-09 04:24:00.147478,2025-10-09 04:24:24.012565,0 days 00:00:23.865087,"[192, 192, 192]","[1, 4, 7]","[False, True, True]","[0.0, 0.0, 0.0]",mish,96,uniform,1,linear,256.0,7,0.0005,,L2,3,AdamW,max,False,2e-06,False
25,0.4162447912723067,COMPLETE,2025-10-09 04:24:24.014586,2025-10-09 04:27:25.992453,0 days 00:03:01.977867,[896],[2],[False],[0.1],relu,16,uniform,2,linear,512.0,9,0.002,,L2,1,AdamW,max,False,2e-06,False
26,0.178030303030303,PRUNED,2025-10-09 04:27:25.994886,2025-10-09 04:27:54.368408,0 days 00:00:28.373522,"[640, 640]","[1, 2]","[False, False]","[0.0, 0.0]",relu,96,uniform,1,pow2,,5,1e-05,,minmax,2,Adam,mean,False,1e-06,True
27,0.4348449250722428,COMPLETE,2025-10-09 04:27:54.369436,2025-10-09 04:28:08.269546,0 days 00:00:13.900110,[128],[1],[False],[0.0],relu,96,uniform,1,linear,128.0,7,0.001,,L2,1,Adam,max,False,2e-06,False
28,0.4432952289076243,COMPLETE,2025-10-09 04:28:08.271579,2025-10-09 04:31:30.130454,0 days 00:03:21.858875,"[640, 512]","[3, 6]","[False, True]","[0.1, 0.0]",relu,16,decreasing,2,linear,256.0,7,0.0001,,L2,2,AdamW,last,False,1e-07,False
29,0.178030303030303,PRUNED,2025-10-09 04:31:30.132454,2025-10-09 04:31:49.170379,0 days 00:00:19.037925,"[384, 512]","[2, 4]","[False, True]","[0.0, 0.0]",leakyrelu,96,increasing,2,linear,512.0,7,0.0005,0.2,L2,2,SGD,max,False,5e-07,False
30,0.2175904889576118,COMPLETE,2025-10-09 04:31:49.171385,2025-10-09 04:32:33.838653,0 days 00:00:44.667268,"[512, 512, 512]","[1, 3, 5]","[False, False, False]","[0.2, 0.0, 0.0]",mish,64,uniform,1,linear,512.0,5,0.0005,,L2,3,Adam,attention,False,0.0,False
31,0.4276254154464545,COMPLETE,2025-10-09 04:32:33.840684,2025-10-09 04:32:58.067852,0 days 00:00:24.227168,"[192, 192, 192]","[1, 4, 7]","[False, True, True]","[0.0, 0.0, 0.0]",mish,96,uniform,1,linear,256.0,7,0.0005,,L2,3,AdamW,max,False,2e-06,False
32,0.438299969458147,COMPLETE,2025-10-09 04:32:58.070380,2025-10-09 04:33:17.818165,0 days 00:00:19.747785,"[128, 128, 128, 128]","[1, 4, 7, 10]","[False, True, True, False]","[0.0, 0.0, 0.0, 0.0]",mish,96,uniform,1,linear,256.0,7,0.0005,,L2,4,AdamW,max,False,2e-06,False
