number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
0,0.35735025208709414,COMPLETE,2025-10-09 04:50:10.006782,2025-10-09 04:51:20.271049,0 days 00:01:10.264267,leakyrelu,96,,4.0,uniform,2,2.0,linear,,3.0,0.1,True,True,False,,,,,5,False,True,False,,,,1e-05,,minmax,3,AdamW,max,True,0.0,False,"[256, 256, 256]","[2, 5, 8]","[True, True, False]",0.1,"[False, True, False]"
1,0.20405978955706083,COMPLETE,2025-10-09 04:51:20.274099,2025-10-09 04:54:20.573664,0 days 00:03:00.299565,hardswish,16,7.0,,decreasing,3,1.0,linear,,3.0,0.2,True,True,,,,,256.0,5,False,False,,,,,0.0001,0.30000000000000004,minmax,2,SGD,mean,True,1e-05,True,"[640, 512]","[1, 4]","[True, True]",0.2,"[False, False]"
2,0.46957594629811666,COMPLETE,2025-10-09 04:54:20.575683,2025-10-09 04:55:22.178737,0 days 00:01:01.603054,gelu,16,3.0,,increasing,2,3.0,linear,,1.0,0.3,False,True,,,,,64.0,7,False,True,,,,,0.0002,,L2,2,RMSprop,max,True,5e-07,True,"[192, 256]","[3, 4]","[False, True]",0.3,"[False, True]"
3,0.24421129271953113,COMPLETE,2025-10-09 04:55:22.180738,2025-10-09 04:56:27.745051,0 days 00:01:05.564313,prelu,96,0.0,,increasing,2,,pow2,2.0,,0.2,True,True,False,True,False,True,256.0,7,False,True,False,False,True,True,0.001,0.6000000000000001,L2,6,SGD,max,False,0.0,False,"[64, 96, 128, 192, 256, 384]","[2, 4, 8, 16, 32, 64]","[True, True, False, True, False, True]",0.2,"[False, True, False, False, True, True]"
4,0.29036254173869336,COMPLETE,2025-10-09 04:56:27.747567,2025-10-09 04:57:28.816591,0 days 00:01:01.069024,mish,64,5.0,,decreasing,1,3.0,linear,,2.0,0.3,True,True,True,True,True,,,7,False,True,True,False,False,,1e-05,,minmax,5,Adam,last,False,1e-05,True,"[384, 256, 192, 128, 96]","[3, 5, 7, 9, 11]","[True, True, True, True, True]",0.3,"[False, True, True, False, False]"
5,0.21759048895761182,COMPLETE,2025-10-09 04:57:28.819095,2025-10-09 05:00:34.444839,0 days 00:03:05.625744,prelu,32,4.0,,increasing,2,,pow2,2.0,,0.0,True,False,False,True,,,128.0,7,False,False,False,True,,,0.001,,L2,4,Adam,max,False,1e-05,True,"[256, 384, 512, 640]","[2, 4, 8, 16]","[True, False, False, True]",0.0,"[False, False, False, True]"
6,0.21759048895761182,COMPLETE,2025-10-09 05:00:34.446854,2025-10-09 05:01:00.174142,0 days 00:00:25.727288,silu,128,4.0,,decreasing,3,,pow2,1.0,,0.0,False,,,,,,128.0,5,False,,,,,,1e-05,,L2,1,RMSprop,attention,True,0.0,False,[256],[1],[False],0.0,[False]
7,0.21759048895761182,COMPLETE,2025-10-09 05:01:00.176692,2025-10-09 05:08:12.207508,0 days 00:07:12.030816,elu,96,,8.0,uniform,2,,pow2,1.0,,0.0,True,True,False,True,False,,256.0,7,True,True,True,True,True,,0.0002,,L2,5,AdamW,max,False,2e-06,False,"[768, 768, 768, 768, 768]","[1, 2, 4, 8, 16]","[True, True, False, True, False]",0.0,"[True, True, True, True, True]"
8,0.21761658031088082,PRUNED,2025-10-09 05:08:12.210041,2025-10-09 05:08:24.079720,0 days 00:00:11.869679,prelu,64,5.0,,decreasing,2,2.0,linear,,2.0,0.2,False,False,False,False,False,False,512.0,2,False,True,True,True,True,True,0.001,,L2,6,RMSprop,attention,True,1e-05,False,"[384, 256, 192, 128, 96, 64]","[2, 4, 6, 8, 10, 12]","[False, False, False, False, False, False]",0.2,"[False, True, True, True, True, True]"
9,0.08558558558558559,PRUNED,2025-10-09 05:08:24.080793,2025-10-09 05:08:57.476099,0 days 00:00:33.395306,prelu,32,7.0,,decreasing,1,3.0,linear,,3.0,0.0,True,False,,,,,64.0,5,True,False,,,,,1e-05,0.9,L2,2,SGD,max,False,1e-06,False,"[640, 512]","[3, 6]","[True, False]",0.0,"[True, False]"
10,0.21761658031088082,PRUNED,2025-10-09 05:08:57.477603,2025-10-09 05:09:05.324316,0 days 00:00:07.846713,gelu,16,1.0,,increasing,1,3.0,linear,,1.0,0.3,False,,,,,,64.0,3,True,,,,,,0.0002,,minmax,1,RMSprop,mean,True,5e-07,True,[96],[3],[False],0.3,[True]
11,0.21875,PRUNED,2025-10-09 05:09:05.325322,2025-10-09 05:09:26.857779,0 days 00:00:21.532457,leakyrelu,16,,1.0,uniform,3,2.0,linear,,1.0,0.1,False,True,True,,,,,9,False,True,False,,,,0.002,,minmax,3,AdamW,max,True,2e-07,True,"[96, 96, 96]","[2, 3, 4]","[False, True, True]",0.1,"[False, True, False]"
12,0.4496366393806828,COMPLETE,2025-10-09 05:09:26.858798,2025-10-09 05:10:11.863946,0 days 00:00:45.005148,gelu,96,,4.0,uniform,2,1.0,linear,,3.0,0.1,False,True,False,,,,,2,False,True,False,,,,0.0005,,minmax,3,AdamW,last,True,1e-07,False,"[256, 256, 256]","[1, 4, 7]","[False, True, False]",0.1,"[False, True, False]"
13,0.21759048895761182,COMPLETE,2025-10-09 05:10:11.865947,2025-10-09 05:10:35.520961,0 days 00:00:23.655014,gelu,128,2.0,,increasing,2,1.0,linear,,1.0,0.1,False,True,,,,,64.0,2,False,True,,,,,0.0005,,minmax,2,AdamW,last,True,1e-07,True,"[128, 192]","[1, 2]","[False, True]",0.1,"[False, True]"
14,0.43738245381340884,COMPLETE,2025-10-09 05:10:35.521961,2025-10-09 05:12:29.534986,0 days 00:01:54.013025,gelu,16,,5.0,uniform,3,1.0,linear,,2.0,0.3,False,True,True,False,,,512.0,2,True,True,False,False,,,0.0005,,L2,4,RMSprop,last,True,5e-07,False,"[384, 384, 384, 384]","[1, 3, 5, 7]","[False, True, True, False]",0.3,"[True, True, False, False]"
15,0.4460871223270062,COMPLETE,2025-10-09 05:12:29.535986,2025-10-09 05:13:10.606376,0 days 00:00:41.070390,relu,96,2.0,,increasing,1,2.0,linear,,2.0,0.2,False,True,False,,,,64.0,9,False,True,False,,,,0.0005,,minmax,3,AdamW,last,True,1e-07,True,"[128, 192, 256]","[2, 4, 6]","[False, True, False]",0.2,"[False, True, False]"
16,0.4140705935600166,COMPLETE,2025-10-09 05:13:10.609881,2025-10-09 05:13:51.569746,0 days 00:00:40.959865,gelu,96,,0.0,uniform,2,1.0,linear,,1.0,0.1,False,False,,,,,,3,False,False,,,,,0.0002,,minmax,2,RMSprop,last,True,1e-07,True,"[64, 64]","[1, 2]","[False, False]",0.1,"[False, False]"
17,0.21875,PRUNED,2025-10-09 05:13:51.572853,2025-10-09 05:14:03.433083,0 days 00:00:11.860230,gelu,16,,4.0,uniform,1,3.0,linear,,3.0,0.3,False,,,,,,64.0,2,False,,,,,,0.0001,,L2,1,Adam,mean,True,5e-07,False,[256],[3],[False],0.3,[False]
18,0.178030303030303,PRUNED,2025-10-09 05:14:03.434105,2025-10-09 05:14:55.005595,0 days 00:00:51.571490,silu,128,3.0,,increasing,3,,pow2,2.0,,0.2,False,True,True,False,,,,2,True,True,True,True,,,0.002,,L2,4,RMSprop,attention,True,1e-06,True,"[192, 256, 384, 512]","[2, 4, 8, 16]","[False, True, True, False]",0.2,"[True, True, True, True]"
19,0.21759048895761182,COMPLETE,2025-10-09 05:14:55.007601,2025-10-09 05:23:09.649757,0 days 00:08:14.642156,mish,32,,9.0,uniform,2,2.0,linear,,2.0,0.1,False,True,False,,,,128.0,7,False,True,False,,,,0.0002,,minmax,3,AdamW,last,True,2e-06,False,"[896, 896, 896]","[2, 4, 6]","[False, True, False]",0.1,"[False, True, False]"
20,0.21759048895761182,COMPLETE,2025-10-09 05:23:09.651769,2025-10-09 05:27:59.949586,0 days 00:04:50.297817,relu,64,8.0,,increasing,2,3.0,linear,,3.0,0.3,False,True,,,,,512.0,9,False,True,,,,,0.0005,,minmax,2,AdamW,max,True,2e-07,False,"[768, 896]","[3, 6]","[False, True]",0.3,"[False, True]"
21,0.45919963568617844,COMPLETE,2025-10-09 05:27:59.952152,2025-10-09 05:28:38.663955,0 days 00:00:38.711803,relu,96,2.0,,increasing,1,2.0,linear,,2.0,0.2,False,True,False,,,,64.0,9,False,True,False,,,,0.0005,,minmax,3,AdamW,last,True,1e-07,True,"[128, 192, 256]","[2, 4, 6]","[False, True, False]",0.2,"[False, True, False]"
22,0.4725861833011881,COMPLETE,2025-10-09 05:28:38.665956,2025-10-09 05:29:18.878388,0 days 00:00:40.212432,relu,96,2.0,,increasing,1,1.0,linear,,1.0,0.2,False,True,False,,,,64.0,9,False,True,False,,,,0.0005,,minmax,3,AdamW,last,True,1e-07,True,"[128, 192, 256]","[1, 2, 3]","[False, True, False]",0.2,"[False, True, False]"
23,0.28770463253221873,PRUNED,2025-10-09 05:29:18.880989,2025-10-09 05:29:24.743354,0 days 00:00:05.862365,relu,96,2.0,,increasing,1,2.0,linear,,1.0,0.2,False,True,,,,,64.0,9,False,True,,,,,0.0005,,minmax,2,AdamW,last,True,1e-07,True,"[128, 192]","[2, 3]","[False, True]",0.2,"[False, True]"
24,0.21761658031088082,PRUNED,2025-10-09 05:29:24.744661,2025-10-09 05:29:38.165344,0 days 00:00:13.420683,relu,96,3.0,,increasing,1,3.0,linear,,1.0,0.3,False,True,False,False,,,64.0,9,False,True,False,False,,,0.0005,,minmax,4,AdamW,last,True,5e-07,True,"[192, 256, 384, 512]","[3, 4, 5, 6]","[False, True, False, False]",0.3,"[False, True, False, False]"
25,0.435756054647167,COMPLETE,2025-10-09 05:29:38.166353,2025-10-09 05:30:33.585389,0 days 00:00:55.419036,relu,16,1.0,,increasing,1,1.0,linear,,1.0,0.2,False,False,False,,,,64.0,9,False,False,False,,,,0.0002,,minmax,3,RMSprop,last,True,1e-07,True,"[96, 128, 192]","[1, 2, 3]","[False, False, False]",0.2,"[False, False, False]"
26,0.21761658031088082,PRUNED,2025-10-09 05:30:33.586895,2025-10-09 05:30:43.662095,0 days 00:00:10.075200,hardswish,96,1.0,,increasing,1,,pow2,1.0,,0.2,False,True,False,False,True,,64.0,9,True,True,False,False,False,,0.0005,0.1,L2,5,SGD,mean,False,1e-07,True,"[96, 128, 192, 256, 384]","[1, 2, 4, 8, 16]","[False, True, False, False, True]",0.2,"[True, True, False, False, False]"
27,0.21875,PRUNED,2025-10-09 05:30:43.664124,2025-10-09 05:30:50.564632,0 days 00:00:06.900508,elu,96,0.0,,increasing,1,2.0,linear,,2.0,0.3,False,,,,,,64.0,9,False,,,,,,0.0001,,minmax,1,Adam,attention,True,5e-07,True,[64],[2],[False],0.3,[False]
28,0.178030303030303,PRUNED,2025-10-09 05:30:50.565670,2025-10-09 05:31:18.239612,0 days 00:00:27.673942,relu,16,3.0,,increasing,1,3.0,linear,,1.0,0.2,False,True,,,,,64.0,3,False,True,,,,,0.002,,L2,2,AdamW,last,True,1e-07,True,"[192, 256]","[3, 4]","[False, True]",0.2,"[False, True]"
29,0.31611893583724565,PRUNED,2025-10-09 05:31:18.240612,2025-10-09 05:31:28.762175,0 days 00:00:10.521563,leakyrelu,96,2.0,,increasing,1,1.0,linear,,2.0,0.3,False,True,False,,,,64.0,7,False,True,False,,,,0.0002,,minmax,3,AdamW,max,True,2e-06,True,"[128, 192, 256]","[1, 3, 5]","[False, True, False]",0.3,"[False, True, False]"
30,0.17702448210922786,PRUNED,2025-10-09 05:31:28.763178,2025-10-09 05:31:38.561549,0 days 00:00:09.798371,relu,64,3.0,,increasing,1,2.0,linear,,1.0,0.2,False,False,True,,,,64.0,9,False,False,True,,,,0.0005,,minmax,3,RMSprop,max,True,2e-07,True,"[192, 256, 384]","[2, 3, 4]","[False, False, True]",0.2,"[False, False, True]"
31,0.178030303030303,PRUNED,2025-10-09 05:31:38.562553,2025-10-09 05:32:19.459504,0 days 00:00:40.896951,gelu,96,,6.0,uniform,2,1.0,linear,,2.0,0.1,False,True,False,True,,,,2,False,True,False,True,,,0.0005,,minmax,4,AdamW,last,True,1e-07,True,"[512, 512, 512, 512]","[1, 3, 5, 7]","[False, True, False, True]",0.1,"[False, True, False, True]"
32,0.21875,PRUNED,2025-10-09 05:32:19.460509,2025-10-09 05:32:30.424409,0 days 00:00:10.963900,gelu,96,,2.0,uniform,2,1.0,linear,,3.0,0.1,False,True,False,,,,,5,False,True,False,,,,0.0005,,minmax,3,AdamW,last,True,1e-07,False,"[128, 128, 128]","[1, 4, 7]","[False, True, False]",0.1,"[False, True, False]"
33,0.4758500491467377,COMPLETE,2025-10-09 05:32:30.425416,2025-10-09 05:34:32.954000,0 days 00:02:02.528584,hardswish,96,4.0,,increasing,2,1.0,linear,,1.0,0.1,False,True,False,,,,256.0,7,False,True,False,,,,0.0005,,minmax,3,AdamW,last,True,1e-07,True,"[256, 384, 512]","[1, 2, 3]","[False, True, False]",0.1,"[False, True, False]"
34,0.21759048895761182,COMPLETE,2025-10-09 05:34:32.957054,2025-10-09 05:36:19.661309,0 days 00:01:46.704255,hardswish,96,5.0,,increasing,3,1.0,linear,,1.0,0.2,True,True,,,,,256.0,7,False,True,,,,,0.0001,0.9,minmax,2,SGD,last,True,0.0,True,"[384, 512]","[1, 2]","[True, True]",0.2,"[False, True]"
35,0.21640488656195464,PRUNED,2025-10-09 05:36:19.663766,2025-10-09 05:37:58.866883,0 days 00:01:39.203117,hardswish,96,4.0,,increasing,2,2.0,linear,,1.0,0.2,True,True,False,False,,,256.0,7,False,True,False,False,,,0.001,,minmax,4,AdamW,last,False,1e-07,True,"[256, 384, 512, 640]","[2, 3, 4, 5]","[True, True, False, False]",0.2,"[False, True, False, False]"
36,0.178030303030303,PRUNED,2025-10-09 05:37:58.867901,2025-10-09 05:38:33.379658,0 days 00:00:34.511757,hardswish,32,2.0,,increasing,2,,pow2,1.0,,0.1,False,True,False,,,,256.0,7,False,True,False,,,,0.0005,,minmax,3,Adam,mean,True,1e-06,True,"[128, 192, 256]","[1, 2, 4]","[False, True, False]",0.1,"[False, True, False]"
37,0.295241801176609,COMPLETE,2025-10-09 05:38:33.380659,2025-10-09 05:39:36.610188,0 days 00:01:03.229529,mish,128,3.0,,increasing,3,1.0,linear,,1.0,0.2,True,True,,,,,256.0,7,False,True,,,,,1e-05,,L2,2,AdamW,max,False,0.0,True,"[192, 256]","[1, 2]","[True, True]",0.2,"[False, True]"
38,0.21759048895761182,COMPLETE,2025-10-09 05:39:36.612540,2025-10-09 05:42:05.791519,0 days 00:02:29.178979,hardswish,16,6.0,,decreasing,2,,pow2,2.0,,0.0,False,True,False,True,True,,128.0,7,False,True,False,True,False,,0.0005,0.0,L2,5,SGD,last,True,1e-05,True,"[512, 384, 256, 192, 128]","[2, 4, 8, 16, 32]","[False, True, False, True, True]",0.0,"[False, True, False, True, False]"
39,0.178030303030303,PRUNED,2025-10-09 05:42:05.793548,2025-10-09 05:42:35.511637,0 days 00:00:29.718089,silu,96,4.0,,increasing,1,1.0,linear,,1.0,0.3,False,True,False,False,,,256.0,7,True,False,False,False,,,0.001,,minmax,4,AdamW,attention,False,5e-07,True,"[256, 384, 512, 640]","[1, 2, 3, 4]","[False, True, False, False]",0.3,"[True, False, False, False]"
