number,value,state,datetime_start,datetime_complete,duration,params_activation,params_attention_proj,params_batch_size,params_causal,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
0,0.21759048895761182,COMPLETE,2025-10-01 14:27:01.898646,2025-10-01 14:27:33.286387,0 days 00:00:31.387741,silu,False,32,False,,6.0,uniform,1,,pow2,1.0,,0.15000000000000002,True,False,,,,64.0,3,True,True,,,,0.0001,0.6000000000000001,L2,2,SGD,mean,False,5e-07,False,"[512, 512]","[1, 2]","[True, False]",0.15000000000000002,"[True, True]"
1,0.21759048895761182,COMPLETE,2025-10-01 14:27:33.288395,2025-10-01 14:29:56.040202,0 days 00:02:22.751807,mish,True,96,True,8.0,,decreasing,1,,pow2,1.0,,0.05,False,True,False,False,True,,7,False,False,False,False,True,0.0002,,minmax,5,AdamW,mean,False,5e-07,False,"[768, 640, 512, 384, 256]","[1, 2, 4, 8, 16]","[False, True, False, False, True]",0.05,"[False, False, False, False, True]"
2,0.4749974471528852,COMPLETE,2025-10-01 14:29:56.042207,2025-10-01 14:31:16.289787,0 days 00:01:20.247580,silu,True,16,False,,6.0,uniform,3,3.0,linear,,1.0,0.1,True,False,,,,,3,False,True,,,,0.0001,,minmax,2,AdamW,last,False,2e-06,True,"[512, 512]","[3, 4]","[True, False]",0.1,"[False, True]"
3,0.21759048895761182,COMPLETE,2025-10-01 14:31:16.289787,2025-10-01 14:31:42.318802,0 days 00:00:26.029015,elu,True,128,True,5.0,,decreasing,2,1.0,linear,,1.0,0.05,False,False,,,,128.0,2,True,True,,,,0.0001,,minmax,2,RMSprop,mean,False,2e-06,False,"[384, 256]","[1, 2]","[False, False]",0.05,"[True, True]"
4,0.475147951998135,COMPLETE,2025-10-01 14:31:42.320802,2025-10-01 14:32:28.739569,0 days 00:00:46.418767,mish,False,64,False,1.0,,increasing,2,,pow2,1.0,,0.3,True,False,False,False,,128.0,9,True,False,False,True,,0.0001,,L2,4,Adam,last,False,2e-06,False,"[96, 128, 192, 256]","[1, 2, 4, 8]","[True, False, False, False]",0.3,"[True, False, False, True]"
5,0.21759048895761182,COMPLETE,2025-10-01 14:32:28.741764,2025-10-01 14:32:56.220147,0 days 00:00:27.478383,mish,False,16,False,,1.0,uniform,1,,pow2,2.0,,0.15000000000000002,True,True,True,,,256.0,3,False,True,True,,,1e-05,,L2,3,AdamW,mean,False,1e-05,False,"[96, 96, 96]","[2, 4, 8]","[True, True, True]",0.15000000000000002,"[False, True, True]"
6,0.178030303030303,PRUNED,2025-10-01 14:32:56.223149,2025-10-01 14:33:06.589310,0 days 00:00:10.366161,elu,True,32,False,2.0,,decreasing,1,2.0,linear,,2.0,0.05,True,False,,,,64.0,5,True,True,,,,1e-05,,minmax,2,AdamW,max,True,1e-05,False,"[128, 96]","[2, 4]","[True, False]",0.05,"[True, True]"
7,0.178030303030303,PRUNED,2025-10-01 14:33:06.591409,2025-10-01 14:35:29.147243,0 days 00:02:22.555834,tanh,False,128,False,,9.0,uniform,3,,pow2,2.0,,0.05,False,False,,,,128.0,9,True,True,,,,0.0001,0.30000000000000004,L2,2,SGD,mean,False,2e-06,True,"[896, 896]","[2, 4]","[False, False]",0.05,"[True, True]"
8,0.21835382189081096,COMPLETE,2025-10-01 14:35:29.148255,2025-10-01 14:35:59.093942,0 days 00:00:29.945687,silu,False,64,True,0.0,,increasing,2,,pow2,2.0,,0.1,True,True,True,False,True,256.0,3,True,False,False,True,False,0.0001,0.2,L2,5,SGD,max,True,2e-06,True,"[64, 96, 128, 192, 256]","[2, 4, 8, 16, 32]","[True, True, True, False, True]",0.1,"[True, False, False, True, False]"
9,0.178030303030303,PRUNED,2025-10-01 14:35:59.095943,2025-10-01 14:36:12.813825,0 days 00:00:13.717882,gelu,True,16,True,1.0,,increasing,1,,pow2,2.0,,0.0,True,True,False,True,True,64.0,3,True,False,False,False,True,0.0005,,minmax,5,AdamW,last,False,0.0,True,"[96, 128, 192, 256, 384]","[2, 4, 8, 16, 32]","[True, True, False, True, True]",0.0,"[True, False, False, False, True]"
10,0.21759048895761182,COMPLETE,2025-10-01 14:36:12.814828,2025-10-01 14:38:56.913511,0 days 00:02:44.098683,leakyrelu,False,64,False,4.0,,increasing,2,3.0,linear,,3.0,0.3,False,False,False,False,,512.0,9,False,False,True,True,,0.002,,L2,4,Adam,attention,True,1e-06,False,"[256, 384, 512, 640]","[3, 6, 9, 12]","[False, False, False, False]",0.3,"[False, False, True, True]"
11,0.4393937203839915,COMPLETE,2025-10-01 14:38:56.915521,2025-10-01 14:40:54.063930,0 days 00:01:57.148409,relu,True,16,False,,5.0,uniform,3,3.0,linear,,1.0,0.3,True,,,,,,9,False,,,,,0.0001,,minmax,1,Adam,last,False,1e-07,True,[384],[3],[True],0.3,[False]
12,0.21759048895761182,COMPLETE,2025-10-01 14:40:54.065931,2025-10-01 14:41:24.071230,0 days 00:00:30.005299,silu,True,64,False,0.0,,increasing,3,3.0,linear,,1.0,0.2,True,False,False,True,,128.0,7,False,False,False,True,,0.001,,minmax,4,Adam,last,False,2e-07,True,"[64, 96, 128, 192]","[3, 4, 5, 6]","[True, False, False, True]",0.2,"[False, False, False, True]"
13,0.178030303030303,PRUNED,2025-10-01 14:41:24.072734,2025-10-01 14:41:51.450872,0 days 00:00:27.378138,mish,False,96,False,3.0,,increasing,3,2.0,linear,,2.0,0.25,True,False,False,,,,5,False,True,False,,,0.0002,,L2,3,RMSprop,last,False,2e-06,True,"[192, 256, 384]","[2, 4, 6]","[True, False, False]",0.25,"[False, True, False]"
14,0.47108073133457057,COMPLETE,2025-10-01 14:41:51.451874,2025-10-01 14:42:17.543753,0 days 00:00:26.091879,gelu,False,64,False,,2.0,uniform,2,,pow2,1.0,,0.2,True,False,True,False,,512.0,2,True,False,True,True,,0.0005,,L2,4,Adam,last,True,2e-06,False,"[128, 128, 128, 128]","[1, 2, 4, 8]","[True, False, True, False]",0.2,"[True, False, True, True]"
15,0.21759048895761182,COMPLETE,2025-10-01 14:42:17.545780,2025-10-01 14:44:14.970838,0 days 00:01:57.425058,tanh,True,16,False,,8.0,uniform,2,1.0,linear,,3.0,0.2,True,,,,,128.0,9,False,,,,,0.002,,minmax,1,AdamW,attention,False,0.0,True,[768],[1],[True],0.2,[False]
16,0.21759048895761182,COMPLETE,2025-10-01 14:44:14.971841,2025-10-01 14:46:24.235366,0 days 00:02:09.263525,relu,False,64,False,6.0,,increasing,3,,pow2,1.0,,0.1,True,False,False,,,,3,False,True,False,,,0.001,,minmax,3,Adam,last,False,2e-07,True,"[512, 640, 768]","[1, 2, 4]","[True, False, False]",0.1,"[False, True, False]"
17,0.4593968151964131,COMPLETE,2025-10-01 14:46:24.237425,2025-10-01 14:47:46.452965,0 days 00:01:22.215540,leakyrelu,True,16,False,2.0,,increasing,2,3.0,linear,,1.0,0.25,True,False,True,False,,128.0,9,True,False,True,True,,0.0001,,L2,4,RMSprop,last,False,1e-07,False,"[128, 192, 256, 384]","[3, 4, 5, 6]","[True, False, True, False]",0.25,"[True, False, True, True]"
18,0.08558558558558559,PRUNED,2025-10-01 14:47:46.454967,2025-10-01 14:47:55.250426,0 days 00:00:08.795459,silu,True,128,True,,3.0,uniform,3,,pow2,1.0,,0.1,False,False,False,,,,2,False,False,False,,,0.0001,,minmax,3,AdamW,last,True,1e-06,True,"[192, 192, 192]","[1, 2, 4]","[False, False, False]",0.1,"[False, False, False]"
19,0.21640488656195464,PRUNED,2025-10-01 14:47:55.251464,2025-10-01 14:49:25.587133,0 days 00:01:30.335669,mish,False,96,False,9.0,,decreasing,2,2.0,linear,,2.0,0.25,True,,,,,256.0,5,True,,,,,0.0001,,L2,1,Adam,attention,False,2e-06,False,[896],[2],[True],0.25,[True]
20,0.178030303030303,PRUNED,2025-10-01 14:49:25.588136,2025-10-01 14:50:52.769412,0 days 00:01:27.181276,mish,True,32,False,,7.0,uniform,2,3.0,linear,,1.0,0.15000000000000002,True,False,,,,512.0,7,False,True,,,,0.0005,,minmax,2,AdamW,max,False,2e-06,True,"[640, 640]","[3, 4]","[True, False]",0.15000000000000002,"[False, True]"
21,0.18946428571428572,PRUNED,2025-10-01 14:50:52.770428,2025-10-01 14:51:02.172192,0 days 00:00:09.401764,gelu,False,64,False,,3.0,uniform,2,,pow2,1.0,,0.2,True,False,True,False,,512.0,2,True,False,True,True,,0.0005,,L2,4,Adam,last,True,2e-06,False,"[192, 192, 192, 192]","[1, 2, 4, 8]","[True, False, True, False]",0.2,"[True, False, True, True]"
22,0.4716001100210447,COMPLETE,2025-10-01 14:51:02.173202,2025-10-01 14:51:40.027081,0 days 00:00:37.853879,gelu,False,64,False,,0.0,uniform,2,,pow2,1.0,,0.3,True,False,True,False,,512.0,2,True,False,True,True,,0.0005,,L2,4,Adam,last,True,2e-06,False,"[64, 64, 64, 64]","[1, 2, 4, 8]","[True, False, True, False]",0.3,"[True, False, True, True]"
23,0.21875,PRUNED,2025-10-01 14:51:40.030095,2025-10-01 14:51:50.645251,0 days 00:00:10.615156,gelu,False,64,False,,0.0,uniform,2,,pow2,1.0,,0.3,True,False,True,,,512.0,2,True,False,True,,,0.0005,,L2,3,Adam,last,True,2e-06,False,"[64, 64, 64]","[1, 2, 4]","[True, False, True]",0.3,"[True, False, True]"
24,0.463486697973236,COMPLETE,2025-10-01 14:51:50.646254,2025-10-01 14:52:46.160959,0 days 00:00:55.514705,silu,False,64,False,,4.0,uniform,3,,pow2,1.0,,0.25,True,False,True,False,,512.0,2,True,False,True,True,,0.0002,,L2,4,Adam,last,True,2e-06,False,"[256, 256, 256, 256]","[1, 2, 4, 8]","[True, False, True, False]",0.25,"[True, False, True, True]"
25,0.08558558558558559,PRUNED,2025-10-01 14:52:46.163509,2025-10-01 14:53:17.600671,0 days 00:00:31.437162,gelu,False,16,False,1.0,,increasing,2,,pow2,1.0,,0.3,True,False,False,True,False,,9,True,False,False,False,False,0.002,,L2,5,Adam,last,True,2e-06,False,"[96, 128, 192, 256, 384]","[1, 2, 4, 8, 16]","[True, False, False, True, False]",0.3,"[True, False, False, False, False]"
26,0.21759048895761182,COMPLETE,2025-10-01 14:53:17.602174,2025-10-01 14:54:44.216177,0 days 00:01:26.614003,relu,False,64,True,,6.0,uniform,2,,pow2,1.0,,0.3,False,True,True,False,,128.0,3,True,True,True,True,,0.001,,L2,4,RMSprop,last,True,1e-07,False,"[512, 512, 512, 512]","[1, 2, 4, 8]","[False, True, True, False]",0.3,"[True, True, True, True]"
27,0.18752037942789387,PRUNED,2025-10-01 14:54:44.218191,2025-10-01 14:55:09.170141,0 days 00:00:24.951950,leakyrelu,False,64,False,,5.0,uniform,3,,pow2,1.0,,0.0,True,False,False,,,,3,True,False,True,,,1e-05,0.9,L2,3,SGD,last,False,0.0,False,"[384, 384, 384]","[1, 2, 4]","[True, False, False]",0.0,"[True, False, True]"
