number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
0,0.21759048895761182,COMPLETE,2025-10-08 21:52:20.959756,2025-10-08 21:53:34.552709,0 days 00:01:13.592953,prelu,96,7.0,,decreasing,2,1.0,linear,,1.0,0.2,False,False,False,True,,,512.0,5,True,False,True,False,,,0.002,,L2,4,AdamW,mean,True,1e-06,True,"[640, 512, 384, 256]","[1, 2, 3, 4]","[False, False, False, True]",0.2,"[True, False, True, False]"
1,0.27353282358699005,COMPLETE,2025-10-08 21:53:34.552709,2025-10-08 21:53:47.439483,0 days 00:00:12.886774,relu,128,,0.0,uniform,3,2.0,linear,,2.0,0.1,False,True,,,,,,9,True,True,,,,,0.0002,0.5,minmax,2,SGD,last,True,1e-05,False,"[64, 64]","[2, 4]","[False, True]",0.1,"[True, True]"
2,0.27136033045531227,COMPLETE,2025-10-08 21:53:47.441499,2025-10-08 21:56:40.218368,0 days 00:02:52.776869,hardswish,16,9.0,,decreasing,2,2.0,linear,,1.0,0.1,False,False,False,,,,128.0,5,False,False,False,,,,0.002,,L2,3,Adam,max,False,2e-06,False,"[896, 768, 640]","[2, 3, 4]","[False, False, False]",0.1,"[False, False, False]"
3,0.21759048895761182,COMPLETE,2025-10-08 21:56:40.220376,2025-10-08 22:02:27.444744,0 days 00:05:47.224368,silu,32,8.0,,decreasing,3,3.0,linear,,1.0,0.2,False,False,True,,,,512.0,9,False,True,True,,,,0.0001,,minmax,3,Adam,attention,False,2e-06,True,"[768, 640, 512]","[3, 4, 5]","[False, False, True]",0.2,"[False, True, True]"
4,0.4289890645727828,COMPLETE,2025-10-08 22:02:27.446777,2025-10-08 22:09:30.294255,0 days 00:07:02.847478,silu,128,9.0,,decreasing,2,,pow2,2.0,,0.2,False,True,False,,,,512.0,9,True,False,False,,,,1e-05,,L2,3,Adam,max,False,1e-06,False,"[896, 768, 640]","[2, 4, 8]","[False, True, False]",0.2,"[True, False, False]"
5,0.3874472871377224,COMPLETE,2025-10-08 22:09:30.296324,2025-10-08 22:11:24.031720,0 days 00:01:53.735396,elu,16,6.0,,decreasing,2,3.0,linear,,1.0,0.2,False,True,True,,,,128.0,3,False,True,True,,,,1e-05,,minmax,3,AdamW,max,False,5e-07,False,"[512, 384, 256]","[3, 4, 5]","[False, True, True]",0.2,"[False, True, True]"
6,0.21875,PRUNED,2025-10-08 22:11:24.034860,2025-10-08 22:11:54.434157,0 days 00:00:30.399297,gelu,64,8.0,,decreasing,2,1.0,linear,,3.0,0.3,True,True,False,False,False,,128.0,2,False,True,True,False,False,,0.0001,,minmax,5,AdamW,mean,True,1e-06,True,"[768, 640, 512, 384, 256]","[1, 4, 7, 10, 13]","[True, True, False, False, False]",0.3,"[False, True, True, False, False]"
7,0.08558558558558559,PRUNED,2025-10-08 22:11:54.436168,2025-10-08 22:12:00.501362,0 days 00:00:06.065194,gelu,96,5.0,,decreasing,1,3.0,linear,,3.0,0.0,False,False,,,,,128.0,3,False,False,,,,,0.0001,0.7000000000000001,minmax,2,SGD,attention,False,1e-05,True,"[384, 256]","[3, 6]","[False, False]",0.0,"[False, False]"
8,0.178030303030303,PRUNED,2025-10-08 22:12:00.502362,2025-10-08 22:13:05.522467,0 days 00:01:05.020105,gelu,64,3.0,,increasing,2,,pow2,2.0,,0.2,True,True,False,False,True,,128.0,5,False,True,True,True,False,,0.0005,,minmax,5,AdamW,mean,True,0.0,True,"[192, 256, 384, 512, 640]","[2, 4, 8, 16, 32]","[True, True, False, False, True]",0.2,"[False, True, True, True, False]"
9,0.21759048895761182,COMPLETE,2025-10-08 22:13:05.523473,2025-10-08 22:14:17.008014,0 days 00:01:11.484541,silu,32,0.0,,increasing,2,,pow2,1.0,,0.2,False,True,True,True,False,False,,9,True,True,True,True,False,True,0.0005,,minmax,6,RMSprop,attention,False,1e-07,False,"[64, 96, 128, 192, 256, 384]","[1, 2, 4, 8, 16, 32]","[False, True, True, True, False, False]",0.2,"[True, True, True, True, False, True]"
10,0.36613191543573614,COMPLETE,2025-10-08 22:14:17.009479,2025-10-08 22:15:07.467147,0 days 00:00:50.457668,leakyrelu,128,,9.0,uniform,1,,pow2,2.0,,0.3,True,,,,,,64.0,7,True,,,,,,1e-05,,L2,1,Adam,max,False,2e-07,False,[896],[2],[True],0.3,[True]
11,0.3972151458614477,COMPLETE,2025-10-08 22:15:07.469616,2025-10-08 22:15:46.564523,0 days 00:00:39.094907,elu,16,5.0,,decreasing,1,,pow2,2.0,,0.1,False,True,True,True,,,256.0,3,True,False,False,False,,,1e-05,,L2,4,RMSprop,max,False,5e-07,False,"[384, 256, 192, 128]","[2, 4, 8, 16]","[False, True, True, True]",0.1,"[True, False, False, False]"
12,0.178030303030303,PRUNED,2025-10-08 22:15:46.566526,2025-10-08 22:15:54.865347,0 days 00:00:08.298821,mish,128,5.0,,decreasing,1,,pow2,2.0,,0.0,False,True,True,True,,,256.0,3,True,False,False,False,,,1e-05,,L2,4,RMSprop,max,False,5e-07,False,"[384, 256, 192, 128]","[2, 4, 8, 16]","[False, True, True, True]",0.0,"[True, False, False, False]"
13,0.28087798385429225,COMPLETE,2025-10-08 22:15:54.867353,2025-10-08 22:16:47.507016,0 days 00:00:52.639663,elu,16,5.0,,decreasing,1,,pow2,2.0,,0.1,False,True,True,True,True,,256.0,7,True,False,False,False,True,,0.001,,L2,5,RMSprop,max,False,5e-07,False,"[384, 256, 192, 128, 96]","[2, 4, 8, 16, 32]","[False, True, True, True, True]",0.1,"[True, False, False, False, True]"
14,0.21164021164021163,PRUNED,2025-10-08 22:16:47.510600,2025-10-08 22:16:58.447677,0 days 00:00:10.937077,elu,128,,5.0,uniform,3,,pow2,2.0,,0.1,True,True,,,,,256.0,2,True,False,,,,,1e-05,,L2,2,Adam,last,False,1e-06,False,"[384, 384]","[2, 4]","[True, True]",0.1,"[True, False]"
15,0.21640488656195464,PRUNED,2025-10-08 22:16:58.448763,2025-10-08 22:17:15.585588,0 days 00:00:17.136825,silu,16,2.0,,increasing,1,,pow2,1.0,,0.0,False,True,False,True,,,512.0,9,True,False,False,False,,,1e-05,,L2,4,RMSprop,max,False,2e-07,False,"[128, 192, 256, 384]","[1, 2, 4, 8]","[False, True, False, True]",0.0,"[True, False, False, False]"
16,0.21759048895761182,COMPLETE,2025-10-08 22:17:15.585588,2025-10-08 22:18:55.648351,0 days 00:01:40.062763,prelu,16,9.0,,decreasing,1,,pow2,2.0,,0.3,False,True,False,False,False,True,64.0,3,True,False,False,True,True,False,0.001,,L2,6,Adam,max,False,0.0,False,"[896, 768, 640, 512, 384, 256]","[2, 4, 8, 16, 32, 64]","[False, True, False, False, False, True]",0.3,"[True, False, False, True, True, False]"
17,0.2077063383492932,PRUNED,2025-10-08 22:18:55.651453,2025-10-08 22:18:58.448874,0 days 00:00:02.797421,leakyrelu,128,3.0,,decreasing,3,,pow2,2.0,,0.1,False,,,,,,256.0,3,True,,,,,,0.0002,,L2,1,RMSprop,max,False,1e-07,False,[192],[2],[False],0.1,[True]
18,0.21875,PRUNED,2025-10-08 22:18:58.448874,2025-10-08 22:19:03.796293,0 days 00:00:05.347419,hardswish,64,1.0,,increasing,1,,pow2,1.0,,0.1,True,True,True,,,,512.0,9,True,False,False,,,,1e-05,0.0,L2,3,SGD,last,True,1e-06,False,"[96, 128, 192]","[1, 2, 4]","[True, True, True]",0.1,"[True, False, False]"
