number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
0,0.2803481577577041,COMPLETE,2025-10-08 23:05:29.107852,2025-10-08 23:06:12.311241,0 days 00:00:43.203389,elu,96,,6.0,uniform,2,2.0,linear,,3.0,0.0,True,False,,,,,64.0,3,True,False,,,,,0.0005,,L2,2,RMSprop,max,True,2e-07,False,"[512, 512]","[2, 5]","[True, False]",0.0,"[True, False]"
1,0.2750156936597615,PRUNED,2025-10-08 23:06:12.313638,2025-10-08 23:07:02.922209,0 days 00:00:50.608571,elu,32,1.0,,increasing,3,,pow2,2.0,,0.1,True,True,True,False,False,,256.0,2,True,False,False,True,False,,0.0005,0.9,minmax,5,SGD,last,True,2e-06,True,"[96, 128, 192, 256, 384]","[2, 4, 8, 16, 32]","[True, True, True, False, False]",0.1,"[True, False, False, True, False]"
2,0.2632580512078727,COMPLETE,2025-10-08 23:07:02.923714,2025-10-08 23:07:50.904760,0 days 00:00:47.981046,prelu,128,6.0,,decreasing,2,3.0,linear,,2.0,0.3,False,True,True,True,,,64.0,2,False,False,True,True,,,0.0002,0.9,L2,4,SGD,mean,True,2e-07,False,"[512, 384, 256, 192]","[3, 5, 7, 9]","[False, True, True, True]",0.3,"[False, False, True, True]"
3,0.3268263941565905,COMPLETE,2025-10-08 23:07:50.906839,2025-10-08 23:09:07.959316,0 days 00:01:17.052477,hardswish,16,7.0,,decreasing,3,3.0,linear,,2.0,0.1,True,False,,,,,512.0,2,False,True,,,,,0.001,,L2,2,Adam,max,True,1e-05,False,"[640, 512]","[3, 5]","[True, False]",0.1,"[False, True]"
4,0.21761658031088082,PRUNED,2025-10-08 23:09:07.961316,2025-10-08 23:09:15.296294,0 days 00:00:07.334978,elu,64,,5.0,uniform,3,3.0,linear,,1.0,0.0,True,,,,,,64.0,5,True,,,,,,0.001,,minmax,1,AdamW,attention,False,1e-05,True,[384],[3],[True],0.0,[True]
5,0.3932640642019594,COMPLETE,2025-10-08 23:09:15.297294,2025-10-08 23:09:59.217282,0 days 00:00:43.919988,relu,16,6.0,,increasing,1,1.0,linear,,3.0,0.1,True,,,,,,256.0,7,False,,,,,,0.0005,,L2,1,Adam,attention,False,1e-06,False,[512],[1],[True],0.1,[False]
6,0.21761658031088082,PRUNED,2025-10-08 23:09:59.219304,2025-10-08 23:10:34.402965,0 days 00:00:35.183661,prelu,128,6.0,,increasing,2,,pow2,1.0,,0.0,True,False,True,,,,256.0,9,True,True,True,,,,0.0002,,L2,3,Adam,max,True,5e-07,True,"[512, 640, 768]","[1, 2, 4]","[True, False, True]",0.0,"[True, True, True]"
7,0.178030303030303,PRUNED,2025-10-08 23:10:34.404966,2025-10-08 23:10:43.916422,0 days 00:00:09.511456,gelu,32,,4.0,uniform,1,,pow2,2.0,,0.1,True,True,False,True,,,64.0,3,True,False,False,False,,,0.002,,L2,4,RMSprop,last,False,1e-06,True,"[256, 256, 256, 256]","[2, 4, 8, 16]","[True, True, False, True]",0.1,"[True, False, False, False]"
8,0.21761658031088082,PRUNED,2025-10-08 23:10:43.917839,2025-10-08 23:12:02.624538,0 days 00:01:18.706699,leakyrelu,64,,9.0,uniform,1,,pow2,2.0,,0.0,True,False,True,True,False,True,64.0,9,True,True,False,False,False,True,0.0002,,minmax,6,RMSprop,attention,True,1e-07,False,"[896, 896, 896, 896, 896, 896]","[2, 4, 8, 16, 32, 64]","[True, False, True, True, False, True]",0.0,"[True, True, False, False, False, True]"
9,0.21759048895761182,COMPLETE,2025-10-08 23:12:02.626538,2025-10-08 23:12:57.002531,0 days 00:00:54.375993,mish,32,2.0,,increasing,1,3.0,linear,,2.0,0.1,False,True,True,True,True,,64.0,7,True,True,True,True,True,,0.0005,,minmax,5,Adam,last,True,5e-07,False,"[128, 192, 256, 384, 512]","[3, 5, 7, 9, 11]","[False, True, True, True, True]",0.1,"[True, True, True, True, True]"
