number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
0,0.2624887879322299,COMPLETE,2025-10-08 23:48:51.300960,2025-10-08 23:49:24.928814,0 days 00:00:33.627854,leakyrelu,96,,4.0,uniform,2,2.0,linear,,3.0,0.1,True,True,False,,,,,5,False,True,False,,,,1e-05,,minmax,3,AdamW,max,True,0.0,False,"[256, 256, 256]","[2, 5, 8]","[True, True, False]",0.1,"[False, True, False]"
1,0.17702448210922786,PRUNED,2025-10-08 23:49:24.931317,2025-10-08 23:49:56.667106,0 days 00:00:31.735789,hardswish,16,7.0,,decreasing,3,1.0,linear,,3.0,0.2,True,True,,,,,256.0,5,False,False,,,,,0.0001,0.30000000000000004,minmax,2,SGD,mean,True,1e-05,True,"[640, 512]","[1, 4]","[True, True]",0.2,"[False, False]"
2,0.41464625156430707,COMPLETE,2025-10-08 23:49:56.668112,2025-10-08 23:50:47.500462,0 days 00:00:50.832350,gelu,16,3.0,,increasing,2,3.0,linear,,1.0,0.3,False,True,,,,,64.0,7,False,True,,,,,0.0002,,L2,2,RMSprop,max,True,5e-07,True,"[192, 256]","[3, 4]","[False, True]",0.3,"[False, True]"
3,0.21640488656195464,PRUNED,2025-10-08 23:50:47.502966,2025-10-08 23:51:26.252864,0 days 00:00:38.749898,prelu,96,0.0,,increasing,2,,pow2,2.0,,0.2,True,True,False,True,False,True,256.0,7,False,True,False,False,True,True,0.001,0.6000000000000001,L2,6,SGD,max,False,0.0,False,"[64, 96, 128, 192, 256, 384]","[2, 4, 8, 16, 32, 64]","[True, True, False, True, False, True]",0.2,"[False, True, False, False, True, True]"
4,0.2943462542788797,COMPLETE,2025-10-08 23:51:26.254866,2025-10-08 23:52:10.219530,0 days 00:00:43.964664,mish,64,5.0,,decreasing,1,3.0,linear,,2.0,0.3,True,True,True,True,True,,,7,False,True,True,False,False,,1e-05,,minmax,5,Adam,last,False,1e-05,True,"[384, 256, 192, 128, 96]","[3, 5, 7, 9, 11]","[True, True, True, True, True]",0.3,"[False, True, True, False, False]"
5,0.21640488656195464,PRUNED,2025-10-08 23:52:10.222786,2025-10-08 23:53:44.906508,0 days 00:01:34.683722,prelu,32,4.0,,increasing,2,,pow2,2.0,,0.0,True,False,False,True,,,128.0,7,False,False,False,True,,,0.001,,L2,4,Adam,max,False,1e-05,True,"[256, 384, 512, 640]","[2, 4, 8, 16]","[True, False, False, True]",0.0,"[False, False, False, True]"
6,0.21761658031088082,PRUNED,2025-10-08 23:53:44.908508,2025-10-08 23:53:50.049078,0 days 00:00:05.140570,silu,128,4.0,,decreasing,3,,pow2,1.0,,0.0,False,,,,,,128.0,5,False,,,,,,1e-05,,L2,1,RMSprop,attention,True,0.0,False,[256],[1],[False],0.0,[False]
7,0.178030303030303,PRUNED,2025-10-08 23:53:50.050079,2025-10-08 23:55:35.840554,0 days 00:01:45.790475,elu,96,,8.0,uniform,2,,pow2,1.0,,0.0,True,True,False,True,False,,256.0,7,True,True,True,True,True,,0.0002,,L2,5,AdamW,max,False,2e-06,False,"[768, 768, 768, 768, 768]","[1, 2, 4, 8, 16]","[True, True, False, True, False]",0.0,"[True, True, True, True, True]"
8,0.178030303030303,PRUNED,2025-10-08 23:55:35.842060,2025-10-08 23:55:49.930352,0 days 00:00:14.088292,prelu,64,5.0,,decreasing,2,2.0,linear,,2.0,0.2,False,False,False,False,False,False,512.0,2,False,True,True,True,True,True,0.001,,L2,6,RMSprop,attention,True,1e-05,False,"[384, 256, 192, 128, 96, 64]","[2, 4, 6, 8, 10, 12]","[False, False, False, False, False, False]",0.2,"[False, True, True, True, True, True]"
9,0.08558558558558559,PRUNED,2025-10-08 23:55:49.931855,2025-10-08 23:56:22.626004,0 days 00:00:32.694149,prelu,32,7.0,,decreasing,1,3.0,linear,,3.0,0.0,True,False,,,,,64.0,5,True,False,,,,,1e-05,0.9,L2,2,SGD,max,False,1e-06,False,"[640, 512]","[3, 6]","[True, False]",0.0,"[True, False]"
