number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
0,0.21759048895761182,COMPLETE,2025-10-09 00:20:50.446456,2025-10-09 00:21:01.392237,0 days 00:00:10.945781,silu,128,,0.0,uniform,2,2.0,linear,,1.0,0.2,True,True,,,,,128.0,7,False,False,,,,,0.001,,minmax,2,Adam,mean,False,1e-06,True,"[64, 64]","[2, 3]","[True, True]",0.2,"[False, False]"
1,0.24007920664018337,COMPLETE,2025-10-09 00:21:01.392237,2025-10-09 00:24:49.830737,0 days 00:03:48.438500,elu,96,5.0,,increasing,3,,pow2,2.0,,0.3,True,True,False,False,True,,256.0,5,True,True,True,True,True,,1e-05,,minmax,5,RMSprop,attention,False,2e-06,True,"[384, 512, 640, 768, 896]","[2, 4, 8, 16, 32]","[True, True, False, False, True]",0.3,"[True, True, True, True, True]"
2,0.3591865285157656,COMPLETE,2025-10-09 00:24:49.832744,2025-10-09 00:25:07.005233,0 days 00:00:17.172489,gelu,128,0.0,,increasing,2,2.0,linear,,1.0,0.3,False,False,,,,,512.0,3,True,False,,,,,0.0002,,L2,2,Adam,last,True,5e-07,True,"[64, 96]","[2, 3]","[False, False]",0.3,"[True, False]"
3,0.21759048895761182,COMPLETE,2025-10-09 00:25:07.007804,2025-10-09 00:25:54.786906,0 days 00:00:47.779102,prelu,16,0.0,,increasing,1,,pow2,1.0,,0.1,False,False,False,True,True,,256.0,2,True,True,True,True,False,,0.0005,0.5,L2,5,SGD,attention,False,2e-07,False,"[64, 96, 128, 192, 256]","[1, 2, 4, 8, 16]","[False, False, False, True, True]",0.1,"[True, True, True, True, False]"
4,0.268425096500935,COMPLETE,2025-10-09 00:25:54.788038,2025-10-09 00:26:36.911217,0 days 00:00:42.123179,elu,128,,5.0,uniform,2,,pow2,2.0,,0.2,False,True,False,True,,,512.0,3,True,True,True,True,,,1e-05,,L2,4,AdamW,mean,True,0.0,False,"[384, 384, 384, 384]","[2, 4, 8, 16]","[False, True, False, True]",0.2,"[True, True, True, True]"
5,0.21759048895761182,COMPLETE,2025-10-09 00:26:36.911217,2025-10-09 00:27:02.852383,0 days 00:00:25.941166,hardswish,128,4.0,,decreasing,3,3.0,linear,,3.0,0.0,True,True,False,False,False,,256.0,3,False,True,False,True,False,,0.0005,,minmax,5,Adam,attention,False,1e-06,False,"[256, 192, 128, 96, 64]","[3, 6, 9, 12, 15]","[True, True, False, False, False]",0.0,"[False, True, False, True, False]"
6,0.2709621519956985,COMPLETE,2025-10-09 00:27:02.858860,2025-10-09 00:27:20.110467,0 days 00:00:17.251607,silu,64,,0.0,uniform,1,2.0,linear,,3.0,0.3,True,True,True,,,,512.0,3,True,False,True,,,,0.0002,,minmax,3,RMSprop,max,True,5e-07,True,"[64, 64, 64]","[2, 5, 8]","[True, True, True]",0.3,"[True, False, True]"
7,0.21761658031088082,PRUNED,2025-10-09 00:27:20.111691,2025-10-09 00:27:34.370788,0 days 00:00:14.259097,prelu,64,,4.0,uniform,2,3.0,linear,,2.0,0.2,False,True,False,False,,,128.0,5,True,True,True,False,,,0.002,0.0,minmax,4,SGD,last,True,0.0,True,"[256, 256, 256, 256]","[3, 5, 7, 9]","[False, True, False, False]",0.2,"[True, True, True, False]"
8,0.178030303030303,PRUNED,2025-10-09 00:27:34.372788,2025-10-09 00:27:49.420938,0 days 00:00:15.048150,mish,64,,3.0,uniform,3,,pow2,1.0,,0.3,False,False,True,,,,512.0,3,True,False,True,,,,0.002,0.7000000000000001,L2,3,SGD,mean,False,2e-07,True,"[192, 192, 192]","[1, 2, 4]","[False, False, True]",0.3,"[True, False, True]"
9,0.178030303030303,PRUNED,2025-10-09 00:27:49.422225,2025-10-09 00:28:11.257583,0 days 00:00:21.835358,hardswish,32,7.0,,decreasing,1,,pow2,1.0,,0.2,True,False,True,True,True,,64.0,5,False,True,False,False,False,,0.002,0.2,L2,5,SGD,max,True,2e-07,False,"[640, 512, 384, 256, 192]","[1, 2, 4, 8, 16]","[True, False, True, True, True]",0.2,"[False, True, False, False, False]"
