number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
0,0.21759048895761182,COMPLETE,2025-10-09 01:21:33.427182,2025-10-09 01:22:05.627489,0 days 00:00:32.200307,relu,128,8.0,,decreasing,2,1.0,linear,,3.0,0.0,False,True,False,True,,,64.0,2,False,True,False,False,,,0.0001,,minmax,4,AdamW,attention,False,1e-05,True,"[768, 640, 512, 384]","[1, 4, 7, 10]","[False, True, False, True]",0.0,"[False, True, False, False]"
1,0.27174520499842,COMPLETE,2025-10-09 01:22:05.629490,2025-10-09 01:22:47.973800,0 days 00:00:42.344310,leakyrelu,96,,7.0,uniform,3,2.0,linear,,1.0,0.3,False,False,,,,,128.0,5,False,False,,,,,0.0005,,minmax,2,RMSprop,max,False,1e-07,False,"[640, 640]","[2, 3]","[False, False]",0.3,"[False, False]"
2,0.2323402267808807,COMPLETE,2025-10-09 01:22:47.976303,2025-10-09 01:22:59.032744,0 days 00:00:11.056441,prelu,128,,3.0,uniform,1,2.0,linear,,1.0,0.3,True,True,False,False,,,64.0,2,True,False,False,True,,,0.001,,minmax,4,Adam,max,False,0.0,False,"[192, 192, 192, 192]","[2, 3, 4, 5]","[True, True, False, False]",0.3,"[True, False, False, True]"
3,0.4054488916462986,COMPLETE,2025-10-09 01:22:59.035807,2025-10-09 01:25:16.819249,0 days 00:02:17.783442,elu,32,7.0,,increasing,3,1.0,linear,,1.0,0.1,False,False,,,,,64.0,9,False,False,,,,,0.0002,,L2,2,AdamW,max,True,1e-05,False,"[640, 768]","[1, 2]","[False, False]",0.1,"[False, False]"
4,0.21759048895761182,COMPLETE,2025-10-09 01:25:16.822249,2025-10-09 01:25:24.197783,0 days 00:00:07.375534,prelu,128,3.0,,decreasing,1,3.0,linear,,2.0,0.0,True,,,,,,64.0,7,True,,,,,,0.0005,0.2,minmax,1,SGD,mean,True,1e-05,False,[192],[3],[True],0.0,[True]
5,0.21759048895761182,COMPLETE,2025-10-09 01:25:24.199783,2025-10-09 01:28:22.152281,0 days 00:02:57.952498,prelu,128,,9.0,uniform,2,2.0,linear,,3.0,0.1,True,True,True,False,False,,,9,True,True,True,False,True,,0.002,,minmax,5,AdamW,max,False,1e-06,False,"[896, 896, 896, 896, 896]","[2, 5, 8, 11, 14]","[True, True, True, False, False]",0.1,"[True, True, True, False, True]"
6,0.178030303030303,PRUNED,2025-10-09 01:28:22.154302,2025-10-09 01:28:37.194492,0 days 00:00:15.040190,relu,96,5.0,,increasing,2,1.0,linear,,1.0,0.1,True,False,True,,,,128.0,7,False,False,True,,,,0.0002,,L2,3,Adam,last,False,1e-06,True,"[384, 512, 640]","[1, 2, 3]","[True, False, True]",0.1,"[False, False, True]"
7,0.375216560941748,COMPLETE,2025-10-09 01:28:37.195492,2025-10-09 01:30:26.030767,0 days 00:01:48.835275,mish,32,8.0,,decreasing,1,1.0,linear,,1.0,0.0,False,True,False,True,False,False,64.0,9,False,True,True,True,False,False,0.001,0.9,minmax,6,SGD,mean,False,5e-07,True,"[768, 640, 512, 384, 256, 192]","[1, 2, 3, 4, 5, 6]","[False, True, False, True, False, False]",0.0,"[False, True, True, True, False, False]"
8,0.178030303030303,PRUNED,2025-10-09 01:30:26.033071,2025-10-09 01:30:36.779718,0 days 00:00:10.746647,prelu,32,,0.0,uniform,1,3.0,linear,,3.0,0.2,True,False,,,,,128.0,3,True,False,,,,,1e-05,,L2,2,AdamW,mean,False,2e-07,False,"[64, 64]","[3, 6]","[True, False]",0.2,"[True, False]"
9,0.21759048895761182,COMPLETE,2025-10-09 01:30:36.781737,2025-10-09 01:32:06.118776,0 days 00:01:29.337039,elu,16,5.0,,decreasing,3,3.0,linear,,2.0,0.3,True,False,True,False,,,64.0,9,True,False,True,True,,,0.001,,L2,4,AdamW,last,False,1e-06,False,"[384, 256, 192, 128]","[3, 5, 7, 9]","[True, False, True, False]",0.3,"[True, False, True, True]"
