number,value,state,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_ch_first_idx,params_ch_idx,params_channels_pattern,params_convs_per_block,params_dilation_d0,params_dilation_mode,params_dilation_start,params_dilation_step,params_dr_p,params_dr_use_b0,params_dr_use_b1,params_dr_use_b2,params_dr_use_b3,params_dr_use_b4,params_dr_use_b5,params_fc_hidden,params_kernel_size,params_ln_use_b0,params_ln_use_b1,params_ln_use_b2,params_ln_use_b3,params_ln_use_b4,params_ln_use_b5,params_lr,params_momentum_sgd,params_norm,params_num_blocks,params_optimizer,params_pooling,params_use_weight_norm,params_weight_decay,params_wn_on_skip,user_attrs_channels,user_attrs_dilations,user_attrs_dr_enable,user_attrs_dr_p,user_attrs_ln_enable
0,0.21759048895761182,COMPLETE,2025-10-09 03:56:23.293197,2025-10-09 03:56:58.892883,0 days 00:00:35.599686,elu,96,,6.0,uniform,2,2.0,linear,,3.0,0.0,True,False,,,,,64.0,3,True,False,,,,,0.0005,,L2,2,RMSprop,max,True,2e-07,False,"[512, 512]","[2, 5]","[True, False]",0.0,"[True, False]"
1,0.21761658031088082,PRUNED,2025-10-09 03:56:58.894955,2025-10-09 03:57:21.897363,0 days 00:00:23.002408,elu,32,1.0,,increasing,3,,pow2,2.0,,0.1,True,True,True,False,False,,256.0,2,True,False,False,True,False,,0.0005,0.9,minmax,5,SGD,last,True,2e-06,True,"[96, 128, 192, 256, 384]","[2, 4, 8, 16, 32]","[True, True, True, False, False]",0.1,"[True, False, False, True, False]"
2,0.21759048895761182,COMPLETE,2025-10-09 03:57:21.898866,2025-10-09 03:58:03.513070,0 days 00:00:41.614204,prelu,128,6.0,,decreasing,2,3.0,linear,,2.0,0.3,False,True,True,True,,,64.0,2,False,False,True,True,,,0.0002,0.9,L2,4,SGD,mean,True,2e-07,False,"[512, 384, 256, 192]","[3, 5, 7, 9]","[False, True, True, True]",0.3,"[False, False, True, True]"
3,0.21759048895761182,COMPLETE,2025-10-09 03:58:03.515069,2025-10-09 03:59:18.135402,0 days 00:01:14.620333,hardswish,16,7.0,,decreasing,3,3.0,linear,,2.0,0.1,True,False,,,,,512.0,2,False,True,,,,,0.001,,L2,2,Adam,max,True,1e-05,False,"[640, 512]","[3, 5]","[True, False]",0.1,"[False, True]"
4,0.21759048895761182,COMPLETE,2025-10-09 03:59:18.136409,2025-10-09 03:59:49.382413,0 days 00:00:31.246004,elu,64,,5.0,uniform,3,3.0,linear,,1.0,0.0,True,,,,,,64.0,5,True,,,,,,0.001,,minmax,1,AdamW,attention,False,1e-05,True,[384],[3],[True],0.0,[True]
5,0.4690777736281743,COMPLETE,2025-10-09 03:59:49.384427,2025-10-09 04:01:01.557035,0 days 00:01:12.172608,relu,16,6.0,,increasing,1,1.0,linear,,3.0,0.1,True,,,,,,256.0,7,False,,,,,,0.0005,,L2,1,Adam,attention,False,1e-06,False,[512],[1],[True],0.1,[False]
6,0.178030303030303,PRUNED,2025-10-09 04:01:01.558539,2025-10-09 04:01:57.648819,0 days 00:00:56.090280,prelu,128,6.0,,increasing,2,,pow2,1.0,,0.0,True,False,True,,,,256.0,9,True,True,True,,,,0.0002,,L2,3,Adam,max,True,5e-07,True,"[512, 640, 768]","[1, 2, 4]","[True, False, True]",0.0,"[True, True, True]"
7,0.21759048895761182,COMPLETE,2025-10-09 04:01:57.651135,2025-10-09 04:02:22.826648,0 days 00:00:25.175513,gelu,32,,4.0,uniform,1,,pow2,2.0,,0.1,True,True,False,True,,,64.0,3,True,False,False,False,,,0.002,,L2,4,RMSprop,last,False,1e-06,True,"[256, 256, 256, 256]","[2, 4, 8, 16]","[True, True, False, True]",0.1,"[True, False, False, False]"
8,0.178030303030303,PRUNED,2025-10-09 04:02:22.829179,2025-10-09 04:04:28.831958,0 days 00:02:06.002779,leakyrelu,64,,9.0,uniform,1,,pow2,2.0,,0.0,True,False,True,True,False,True,64.0,9,True,True,False,False,False,True,0.0002,,minmax,6,RMSprop,attention,True,1e-07,False,"[896, 896, 896, 896, 896, 896]","[2, 4, 8, 16, 32, 64]","[True, False, True, True, False, True]",0.0,"[True, True, False, False, False, True]"
9,0.21640488656195464,PRUNED,2025-10-09 04:04:28.832969,2025-10-09 04:05:05.434448,0 days 00:00:36.601479,mish,32,2.0,,increasing,1,3.0,linear,,2.0,0.1,False,True,True,True,True,,64.0,7,True,True,True,True,True,,0.0005,,minmax,5,Adam,last,True,5e-07,False,"[128, 192, 256, 384, 512]","[3, 5, 7, 9, 11]","[False, True, True, True, True]",0.1,"[True, True, True, True, True]"
10,0.21759048895761182,COMPLETE,2025-10-09 04:05:05.435455,2025-10-09 04:06:19.009606,0 days 00:01:13.574151,relu,16,9.0,,increasing,1,1.0,linear,,3.0,0.3,False,,,,,,128.0,7,False,,,,,,1e-05,,L2,1,AdamW,attention,False,1e-06,False,[896],[1],[False],0.3,[False]
11,0.21761658031088082,PRUNED,2025-10-09 04:06:19.011622,2025-10-09 04:06:23.872395,0 days 00:00:04.860773,relu,96,,0.0,uniform,2,1.0,linear,,3.0,0.2,True,False,,,,,,3,False,False,,,,,0.0005,,L2,2,RMSprop,max,False,2e-07,False,"[64, 64]","[1, 4]","[True, False]",0.2,"[False, False]"
12,0.21759048895761182,COMPLETE,2025-10-09 04:06:23.873400,2025-10-09 04:06:45.208359,0 days 00:00:21.334959,silu,96,4.0,,increasing,2,2.0,linear,,3.0,0.2,True,False,,,,,256.0,3,False,False,,,,,0.0001,,L2,2,Adam,mean,False,0.0,False,"[256, 384]","[2, 5]","[True, False]",0.2,"[False, False]"
13,0.429804653781501,COMPLETE,2025-10-09 04:06:45.210404,2025-10-09 04:07:54.091628,0 days 00:01:08.881224,relu,96,,7.0,uniform,1,2.0,linear,,3.0,0.0,True,,,,,,512.0,7,False,,,,,,0.0005,,L2,1,RMSprop,max,False,2e-07,False,[640],[2],[True],0.0,[False]
14,0.178030303030303,PRUNED,2025-10-09 04:07:54.094647,2025-10-09 04:08:06.508672,0 days 00:00:12.414025,relu,16,3.0,,decreasing,1,1.0,linear,,3.0,0.2,False,,,,,,512.0,7,False,,,,,,0.0005,,L2,1,RMSprop,attention,False,1e-06,False,[192],[1],[False],0.2,[False]
15,0.4508302893807095,COMPLETE,2025-10-09 04:08:06.509177,2025-10-09 04:11:39.314081,0 days 00:03:32.804904,relu,96,,9.0,uniform,1,2.0,linear,,1.0,0.0,True,True,False,,,,512.0,7,False,True,True,,,,0.0001,,L2,3,Adam,max,False,2e-06,False,"[896, 896, 896]","[2, 3, 4]","[True, True, False]",0.0,"[False, True, True]"
16,0.21761658031088082,PRUNED,2025-10-09 04:11:39.317099,2025-10-09 04:12:04.375271,0 days 00:00:25.058172,relu,16,4.0,,increasing,1,1.0,linear,,1.0,0.1,True,True,False,,,,128.0,7,False,True,True,,,,0.0001,,L2,3,Adam,attention,False,2e-06,False,"[256, 384, 512]","[1, 2, 3]","[True, True, False]",0.1,"[False, True, True]"
17,0.414935459301603,COMPLETE,2025-10-09 04:12:04.376272,2025-10-09 04:15:04.044784,0 days 00:02:59.668512,gelu,96,,9.0,uniform,1,2.0,linear,,1.0,0.0,True,True,False,,,,,5,False,True,True,,,,0.0001,,L2,3,Adam,mean,False,2e-06,False,"[896, 896, 896]","[2, 3, 4]","[True, True, False]",0.0,"[False, True, True]"
18,0.2943428684407275,COMPLETE,2025-10-09 04:15:04.046797,2025-10-09 04:15:57.813319,0 days 00:00:53.766522,leakyrelu,16,0.0,,increasing,1,,pow2,1.0,,0.1,False,True,False,False,,,256.0,7,False,True,True,False,,,1e-05,,minmax,4,Adam,max,False,1e-07,True,"[64, 96, 128, 192]","[1, 2, 4, 8]","[False, True, False, False]",0.1,"[False, True, True, False]"
19,0.21759048895761182,COMPLETE,2025-10-09 04:15:57.815354,2025-10-09 04:20:49.240782,0 days 00:04:51.425428,hardswish,64,9.0,,decreasing,2,1.0,linear,,1.0,0.2,True,True,False,False,True,False,512.0,7,False,True,False,True,True,False,0.002,,L2,6,Adam,attention,False,0.0,False,"[896, 768, 640, 512, 384, 256]","[1, 2, 3, 4, 5, 6]","[True, True, False, False, True, False]",0.2,"[False, True, False, True, True, False]"
20,0.08558558558558559,PRUNED,2025-10-09 04:20:49.243816,2025-10-09 04:21:03.991324,0 days 00:00:14.747508,silu,128,2.0,,increasing,1,2.0,linear,,2.0,0.0,True,True,False,False,True,,512.0,7,False,True,True,False,True,,0.0001,0.0,L2,5,SGD,attention,False,1e-06,False,"[128, 192, 256, 384, 512]","[2, 4, 6, 8, 10]","[True, True, False, False, True]",0.0,"[False, True, True, False, True]"
21,0.450710555548782,COMPLETE,2025-10-09 04:21:03.992331,2025-10-09 04:21:48.166497,0 days 00:00:44.174166,relu,96,,7.0,uniform,1,2.0,linear,,3.0,0.0,True,,,,,,512.0,7,False,,,,,,0.0005,,L2,1,AdamW,max,False,2e-06,False,[640],[2],[True],0.0,[False]
22,0.3214983971450493,COMPLETE,2025-10-09 04:21:48.169000,2025-10-09 04:23:20.778152,0 days 00:01:32.609152,relu,96,,8.0,uniform,1,2.0,linear,,2.0,0.0,True,True,,,,,512.0,7,False,True,,,,,0.0005,,L2,2,AdamW,max,False,2e-06,False,"[768, 768]","[2, 4]","[True, True]",0.0,"[False, True]"
