channels,dilations,dropout,ln_block_end,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,pooling,fc_hidden,batch_size,optimizer,lr,weight_decay,norm,momentum_sgd

"[192,256,320,384]","[1,2,4,8]","[0.0,0.1,0.1,0.2]","[True,True,True,True]",7,2,gelu,True,True,attention,256,96,AdamW,0.0002,0.00005,L2,
"[224,224,224]","[1,3,9]","[0.1,0.1,0.2]","[True,True,True]",9,2,silu,True,True,attention,256,96,AdamW,0.0003,0.00005,L2,
"[256,256,256,256]","[1,2,4,8]","[0.1,0.1,0.1,0.1]","[True,True,True,True]",9,3,gelu,True,True,max,128,128,AdamW,0.0002,0.00010,L2,
"[160,192,224,256,320,384]","[1,2,4,8,16,32]","[0.0,0.1,0.1,0.2,0.2,0.2]","[True,True,True,True,True,True]",5,2,gelu,True,True,attention,256,96,AdamW,0.0001,0.00001,L2,
"[320,320,384]","[1,2,4]","[0.1,0.2,0.2]","[True,True,False]",7,3,silu,True,True,mean,256,96,AdamW,0.0002,0.00005,L2,
"[192,256,320]","[1,2,8]","[0.1,0.2,0.2]","[True,True,True]",7,3,leakyrelu,True,True,attention,384,96,AdamW,0.0002,0.00005,L2,
"[256,320,384,448]","[1,3,5,9]","[0.1,0.1,0.2,0.2]","[True,True,True,True]",5,2,gelu,True,True,attention,192,128,AdamW,0.0003,0.00001,L2,
"[384,448]","[1,2]","[0.2,0.2]","[True,True]",11,2,silu,True,True,max,256,96,AdamW,0.0002,0.00005,L2,
"[128,160,192,224,256]","[1,2,4,8,16]","[0.0,0.1,0.1,0.1,0.1]","[True,True,True,False,False]",5,2,gelu,True,True,mean,128,128,AdamW,0.0001,0.00001,L2,
"[224,256,320,384]","[1,2,4,8]","[0.1,0.2,0.2,0.2]","[True,True,True,True]",7,2,gelu,True,True,attention,256,96,AdamW,0.0003,0.00005,minmax,
"[256,384]","[1,4]","[0.2,0.2]","[True,True]",9,3,gelu,True,True,attention,,96,AdamW,0.0002,0.00005,L2,
"[192,224,256,320]","[1,2,4,4]","[0.1,0.1,0.2,0.2]","[True,True,True,True]",9,2,gelu,True,True,last,256,96,AdamW,0.0002,0.00005,L2,

"[192,256,320,384]","[1,3,9,27]","[0.0,0.1,0.1,0.2]","[True,True,True,True]",7,1,prelu,True,True,last,256,96,AdamW,0.0002,0.00005,L2,
"[384,512,640]","[1,2,3]","[0.1,0.1,0.1]","[True,True,False]",11,1,silu,True,True,mean,,128,AdamW,0.0002,0.00005,L2,
"[160,192,224,256,320,384]","[1,2,3,4,6,9]","[0.0,0.1,0.1,0.1,0.2,0.2]","[True,True,True,True,True,True]",3,2,gelu,True,True,attention,256,96,AdamW,0.0001,0.00001,L2,
"[512,768]","[1,4]","[0.2,0.2]","[True,True]",9,3,leakyrelu,True,True,max,256,96,AdamW,0.0002,0.00005,L2,
"[224,224,256,256]","[1,2,5,10]","[0.1,0.1,0.1,0.2]","[True,True,True,True]",7,1,mish,True,True,last,128,128,AdamW,0.0003,0.00005,minmax,

"[224,256,320]","[1,2,4]","[0.0,0.1,0.2]","[True,True,True]",5,2,gelu,True,True,attention,256,96,AdamW,0.0002,0.00005,L2,
"[512,640]","[1,3]","[0.1,0.2]","[True,True]",7,2,leakyrelu,True,True,max,256,96,AdamW,0.0002,0.00005,L2,
"[192,256,320,384]","[1,2,4,8]","[0.0,0.1,0.1,0.2]","[True,True,True,False]",5,3,gelu,True,True,mean,192,128,AdamW,0.0001,0.00001,L2,
"[320,384]","[1,2]","[0.1,0.2]","[True,True]",11,2,silu,True,True,attention,256,96,AdamW,0.0002,0.00005,L2,
"[160,192,224,256,320]","[1,2,3,5,9]","[0.0,0.1,0.1,0.1,0.2]","[True,True,True,True,True]",3,2,gelu,True,True,attention,256,96,AdamW,0.0001,0.00005,L2,
"[256,256,256,256]","[1,2,4,8]","[0.1,0.1,0.1,0.1]","[True,True,True,True]",7,2,gelu,True,True,mean,128,128,AdamW,0.0002,0.00005,L2,

"[160,192]","[1,2]","[0.2,0.3]","[False,True]",7,1,gelu,False,True,max,,96,AdamW,0.0001,0.00005,L2,
"[192,224,256]","[1,2,4]","[0.1,0.1,0.2]","[False,True,True]",5,1,silu,False,True,mean,128,128,AdamW,0.0002,0.00005,L2,
"[128,160,192,224]","[1,2,3,5]","[0.0,0.1,0.1,0.2]","[False,False,True,True]",7,1,gelu,False,True,max,,96,AdamW,0.0002,0.00001,L2,
"[224,224]","[1,3]","[0.2,0.2]","[False,True]",9,1,prelu,False,True,mean,,96,AdamW,0.0001,0.00005,L2,
"[192,256,320]","[1,2,4]","[0.1,0.1,0.2]","[True,True,True]",9,2,gelu,True,True,attention,256,96,AdamW,0.0002,0.00005,L2,
"[128, 160, 192]","[1, 2, 4]","[0.1, 0.1, 0.2]","[False, True, True]",5,1,gelu,False,True,mean,128,128,AdamW,0.0003,0.00005,L2,
"[256, 320]","[1, 2]","[0.1, 0.2]","[False, True]",11,1,silu,False,True,max,,96,AdamW,0.0001,0.00005,L2,
"[160, 224, 288]","[1, 2, 4]","[0.0, 0.1, 0.2]","[False, True, True]",7,2,gelu,False,True,attention,256,96,AdamW,0.0002,0.00001,L2,
"[192, 192, 224, 224]","[1, 2, 5, 10]","[0.1, 0.1, 0.1, 0.2]","[False, False, True, True]",7,1,prelu,False,True,mean,,96,AdamW,0.0002,0.00005,L2,
"[224, 256, 320]","[1, 3, 9]","[0.1, 0.2, 0.2]","[False, True, True]",9,1,leakyrelu,False,True,max,,128,AdamW,0.0001,0.00005,L2,
