id,timestamp,target_embedding,source_params,model,seed,input_dim,num_blocks,channels,dilations,kernel_size,convs_per_block,activation,causal,use_weight_norm,wn_on_skip,pooling,fc_hidden,attention_proj,batch_size,optimizer,momentum_sgd,lr,weight_decay,norm,dropout,ln_block_end,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training,time_sec
662,20251005_205708,gaitgl_GREW.csv,Personalizado_v2,TCN,42,256,5,"[128, 160, 192, 224, 256]","[1, 2, 3, 6, 12]",5,3,silu,False,True,True,mean,256.0,False,64,AdamW,,0.0002,5e-05,L2,"[None, 0.1, 0.1, 0.1, 0.2]","[True, True, True, True, True]",0.00909,0.61364,33,0.61494,0.66704,31,0.016,COMPLETED,7.289
223,20251003_223527,gln_phase1.csv,Personalizado_v2,TCN,42,256,2,"[256, 384]","[1, 2]",7,1,relu,False,False,False,last,,False,16,AdamW,,0.0002,0.0,L2,"[None, 0.05]","[True, False]",0.02773,0.61364,33,0.50817,0.65591,27,0.12654,COMPLETED,5.274
51,20251001_230501,gaitpart_OUMVLP.csv,gaitgl_GREW.csv,TCN,42,256,5,"[64, 96, 128, 192, 256]","[1, 2, 4, 8, 16]",7,1,relu,False,False,False,last,512.0,False,16,AdamW,,0.0002,0.0,L2,"[0.2, 0.2, 0.2, 0.0, 0.2]","[True, True, True, False, True]",0.04714,0.5,240,0.48994,0.63211,178,0.34059,STOPPED,55.163
359,20251004_134426,gaitpart_OUMVLP.csv,Personalizado_v2,TCN,42,256,3,"[128, 192, 256]","[1, 2, 4]",5,2,gelu,True,True,False,attention,128.0,True,64,AdamW,,0.0002,1e-06,L2,"[None, 0.1, 0.2]","[True, True, True]",0.04052,0.59091,203,0.55251,0.62519,159,0.26266,COMPLETED,16.705
233,20251003_223527,gaitpart_OUMVLP.csv,Personalizado_v2,TCN,42,256,4,"[256, 384, 512, 512]","[1, 2, 4, 8]",5,1,gelu,False,False,False,attention,256.0,True,16,AdamW,,0.0002,0.0,L2,"[0.05, 0.05, 0.1, 0.1]","[True, True, True, True]",0.03769,0.59091,107,0.52978,0.62481,85,0.25018,COMPLETED,24.254
265,20251003_223527,gln_phase1.csv,Personalizado_v2,TCN,42,256,3,"[128, 192, 256]","[1, 2, 4]",3,2,silu,True,True,False,max,,False,64,AdamW,,0.0002,5e-07,L2,"[None, 0.05, 0.05]","[True, False, False]",0.06695,0.52273,63,0.50861,0.62308,46,0.30802,COMPLETED,7.516
83,20251001_231041,gln_phase1.csv,gaitgl_OUMVLP.csv,TCN,42,256,1,[512],[3],5,1,gelu,True,False,True,last,,False,16,AdamW,,0.0002,5e-07,minmax,[0.0],[False],0.07464,0.52273,162,0.46283,0.62146,157,0.10686,STOPPED,23.493
475,20251004_134426,gln_phase1.csv,Personalizado_v2,TCN,42,256,3,"[192, 256, 384]","[1, 2, 4]",5,1,leakyrelu,True,True,True,last,,False,64,AdamW,,0.00015,1e-06,L2,"[None, 0.1, 0.2]","[True, True, True]",0.04303,0.59091,51,0.53434,0.6208,39,0.25771,COMPLETED,6.417
19,20251001_225900,gaitgl_GREW_BNNeck.csv,baseline_OUMVLP.csv,TCN,42,256,3,"[96, 96, 96]","[1, 2, 4]",3,2,silu,False,True,False,attention,256.0,False,64,AdamW,,0.0002,5e-07,L2,"[0.0, 0.0, 0.0]","[True, False, False]",0.06624,0.47727,82,0.4721,0.61429,70,0.23268,STOPPED,5.896
121,20251002_030845,gaitpart_OUMVLP.csv,gaitpart_OUMVLP.csv,TCN,42,256,3,"[96, 128, 192]","[3, 4, 5]",3,1,mish,False,True,True,attention,128.0,False,16,AdamW,,0.0002,0.0,L2,"[0.2, 0.0, 0.2]","[True, False, True]",0.05801,0.52273,127,0.46212,0.61311,124,0.06705,STOPPED,26.71
