channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,lr,num_blocks,weight_decay,norm,dropout,ln_block_end,source_params
"[384, 576, 768]","[3, 6, 9]",3,2,silu,True,True,max,320.0,40,Adam,,3e-05,3,1e-05,L2,"[0.05, 0.1, 0.1]","[True, True, False]",tcn_results_v2 DEFINITIVO.csv
[768],[9],5,2,gelu,True,False,attention,384.0,32,AdamW,,2e-05,1,1e-05,L2,[0.05],[True],tcn_results_v2 DEFINITIVO.csv
"[256, 256]","[1, 4]",7,3,gelu,True,True,max,256.0,96,AdamW,,0.00015,2,5e-06,minmax,"[0.1, 0.1]","[True, True]",tcn_results_v2 DEFINITIVO.csv
"[768, 768, 768]","[1, 2, 4]",3,2,gelu,True,True,attention,256.0,96,Adam,,8e-05,3,1e-05,L2,"[0.1, 0.1, 0.1]","[True, True, True]",tcn_results_v2 DEFINITIVO.csv
"[256, 384, 512, 640]","[1, 2, 4, 8]",5,2,gelu,True,True,attention,384.0,64,AdamW,,0.00015,4,0.0001,L2,"[0.05, 0.05, 0.1, 0.1]","[True, True, True, True]",tcn_results_v2 DEFINITIVO.csv
"[512, 512]","[1, 2]",3,1,gelu,True,True,attention,320.0,48,AdamW,,2e-05,2,1e-05,L2,"[0.0, 0.1]","[True, True]",tcn_results_v2 DEFINITIVO.csv
"[192, 256, 384, 512]","[1, 2, 4, 8]",3,2,silu,True,True,max,256.0,96,AdamW,,0.00015,4,1e-05,minmax,"[None, 0.05, 0.05, 0.1]","[True, True, True, True]",tcn_results_v2 DEFINITIVO.csv
"[512, 512, 512, 512]","[1, 2, 4, 8]",3,2,gelu,True,True,max,256.0,128,AdamW,,0.00012,4,5e-06,minmax,"[0.05, 0.05, 0.1, 0.1]","[True, True, True, True]",tcn_results_v2 DEFINITIVO.csv
"[256, 384, 512]","[1, 2, 4]",5,3,leakyrelu,True,True,attention,256.0,96,Adam,,0.00012,3,1e-05,L2,"[None, 0.05, 0.1]","[True, True, True]",tcn_results_v2 DEFINITIVO.csv
[256],[1],7,2,hardswish,False,False,last,128.0,16,AdamW,,0.001,1,1e-06,L2,[0.3],[False],tcn_results_v1 DEFINITIVO.csv
"[512, 512, 512]","[1, 3, 9]",5,2,gelu,True,True,max,512.0,96,AdamW,,0.00012,3,1e-05,minmax,"[None, 0.05, 0.1]","[True, True, True]",tcn_results_v2 DEFINITIVO.csv
"[256, 384, 512, 512]","[1, 3, 5, 7]",3,2,leakyrelu,True,True,max,256.0,64,AdamW,,0.00015,4,1e-05,minmax,"[0.05, 0.05, 0.05, 0.05]","[True, True, True, True]",tcn_results_v2 DEFINITIVO.csv
"[320, 448, 576]","[1, 3, 5]",3,3,gelu,True,False,attention,256.0,56,AdamW,,2e-05,3,1e-06,minmax,"[0.0, 0.1, 0.2]","[True, True, True]",tcn_results_v2 DEFINITIVO.csv
"[256, 256]","[3, 6]",3,2,silu,True,True,attention,192.0,56,Adam,,5e-05,2,1e-05,minmax,"[0.0, 0.0]","[True, True]",tcn_results_v2 DEFINITIVO.csv
"[128, 160, 192, 224, 256]","[1, 2, 4, 8, 16]",5,2,gelu,True,True,max,320.0,96,AdamW,,0.0002,5,0.0,,"[None, 0.05, 0.1, 0.1, 0.15]","[True, True, True, True, True]",tcn_results_v2 DEFINITIVO.csv
"[160, 192]","[1, 2]",7,1,gelu,False,True,max,,96,AdamW,,0.0001,2,5e-05,L2,"[0.2, 0.3]","[False, True]",tcn_results_v2 DEFINITIVO.csv
[64],[1],3,2,leakyrelu,True,False,last,,96,RMSprop,,0.0005,1,2e-06,L2,[0.0],[True],tcn_results_v1 DEFINITIVO.csv
"[512, 640, 768]","[2, 4, 8]",3,2,mish,True,False,attention,256.0,96,Adam,,0.0001,3,1e-05,L2,"[0.05, 0.1, 0.1]","[True, True, True]",tcn_results_v2 DEFINITIVO.csv
"[256, 384, 512, 640]","[1, 2, 4, 8]",3,2,gelu,True,True,mean,256.0,96,Adam,,0.00012,4,1e-05,L2,"[0.05, 0.05, 0.05, 0.05]","[True, True, True, True]",tcn_results_v2 DEFINITIVO.csv
"[512, 640, 640]","[1, 2, 4]",7,2,gelu,True,True,attention,256.0,64,Adam,,8e-05,3,1e-05,L2,"[0.05, 0.1, 0.1]","[True, True, True]",tcn_results_v2 DEFINITIVO.csv
"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,max,256.0,16,RMSprop,,1e-05,4,5e-07,L2,"[0.0, 0.1, 0.1, 0.0]","[True, False, False, False]",tcn_results_v1 DEFINITIVO.csv
