channels,dilations,kernel_size,convs_per_block,activation,causal,use_weight_norm,wn_on_skip,pooling,fc_hidden,attention_proj,batch_size,optimizer,momentum_sgd,lr,weight_decay,norm,dropout,ln_block_end
"[96, 128]","[1, 2]",3,2,relu,True,True,True,max,,False,32,Adam,,0.0002,0.0,minmax,"[0.0, 0.05]","[True, True]"
"[256, 384]","[1, 2]",7,1,relu,False,False,False,last,,False,16,AdamW,,0.0002,0.0,L2,"[0.0, 0.05]","[True, False]"
"[256, 384, 512, 512]","[1, 2, 4, 8]",5,1,gelu,False,False,False,attention,256,True,16,AdamW,,0.0002,0.0,L2,"[0.05, 0.05, 0.1, 0.1]","[True, True, True, True]"
"[192, 256, 384, 512]","[1, 2, 4, 8]",5,2,leakyrelu,True,True,True,attention,256,True,64,AdamW,,0.0002,5e-07,L2,"[0.0, 0.05, 0.1, 0.1]","[True, True, False, False]"
"[128, 192, 256]","[1, 2, 4]",3,2,silu,True,True,False,max,,False,64,AdamW,,0.0002,5e-07,L2,"[0.0, 0.05, 0.05]","[True, False, False]"
"[192, 256, 384]","[1, 2, 4]",5,2,relu,True,True,True,attention,256,True,96,AdamW,,0.0001,1e-06,L2,"[0.05, 0.1, 0.1]","[True, True, True]"
"[256, 384]","[1, 2]",5,2,tanh,True,False,False,attention,128,True,96,Adam,,0.001,2e-06,L2,"[0.05, 0.1]","[True, True]"
"[192, 256, 384, 512]","[1, 2, 4, 8]",5,2,relu,True,True,False,max,,False,64,AdamW,,0.0002,5e-07,minmax,"[0.0, 0.05, 0.1, 0.1]","[True, True, True, True]"

"[384, 512, 640]","[1, 2, 4]",5,2,silu,True,True,True,attention,512,True,32,AdamW,,0.00015,5e-07,minmax,"[0.0, 0.1, 0.2]","[True, True, True]"
"[256, 384, 512, 768]","[1, 2, 4, 8]",5,2,gelu,True,True,False,attention,256,True,32,AdamW,,0.0002,1e-06,minmax,"[0.0, 0.1, 0.2, 0.2]","[True, True, True, True]"
"[224, 320, 448, 640]","[1, 2, 4, 8]",5,2,silu,True,True,True,attention,512,True,32,AdamW,,0.0002,5e-07,L2,"[0.0, 0.1, 0.2, 0.2]","[True, True, True, True]"
