channels,dilations,dropout,ln_block_end,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,pooling,fc_hidden,batch_size,optimizer,lr,weight_decay,norm,momentum_sgd
"[896, 768, 640]","[3, 6, 9]","[None, None, None]","[False, True, True]",2,2,leakyrelu,false,false,attention,64,96,Adam,1e-05,2e-06,minmax,
"[128, 128, 128, 128]","[1, 4, 7, 10]","[None, None, 0.2, None]","[False, True, False, False]",3,2,prelu,false,true,mean,256,16,AdamW,0.0001,0.0,L2,
"[96, 96, 96]","[1, 4, 7]","[0.1, 0.1, 0.1]","[True, True, False]",9,1,gelu,true,false,last,,96,AdamW,0.0002,2e-06,L2,
"[192, 192]","[1, 2]","[0.3, 0.3]","[False, True]",7,1,mish,false,true,max,,32,AdamW,0.0001,1e-06,L2,
[512],[3],[None],[False],7,2,mish,true,false,last,,32,AdamW,0.0002,2e-06,L2,
[512],[1],[0.1],[False],7,1,relu,false,false,attention,256,16,Adam,0.0005,1e-06,L2,
[256],[1],[0.3],[False],7,2,hardswish,false,false,last,128,16,AdamW,0.001,1e-06,L2,
"[256, 256]","[2, 3]","[None, 0.2]","[True, True]",9,1,relu,false,true,max,64,96,RMSprop,0.0001,1e-05,L2,
[64],[1],[None],[True],3,2,leakyrelu,true,false,last,,96,RMSprop,0.0005,2e-06,L2,
"[384, 256, 192, 128]","[2, 4, 8, 16]","[None, 0.1, 0.1, None]","[True, False, False, False]",3,1,elu,false,false,max,256,16,RMSprop,1e-05,5e-07,L2,
"[512, 512, 512]","[3, 6, 9]","[None, 0.1, 0.1]","[False, True, False]",5,1,hardswish,true,false,last,128,96,AdamW,0.0002,1e-06,minmax,
"[128, 192]","[3, 4]","[0.0, None]","[False, False]",9,1,elu,false,true,mean,,16,AdamW,0.0005,0.0,L2,
