channels,dilations,dropout,ln_block_end,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,pooling,fc_hidden,batch_size,optimizer,lr,weight_decay,norm,momentum_sgd
"[192,224,256]","[1,2,4]","[0.1,0.1,0.1]","[True,True,True]",7,2,prelu,True,True,max,128,64,RMSprop,0.0001,1e-05,minmax,
"[128,160,192,224]","[1,2,4,8]","[0.0,0.2,0.0,0.2]","[False,True,True,True]",9,1,silu,False,True,attention,256,128,Adam,5e-05,1e-06,L2,
"[224,224]","[1,2]","[0.0,0.3]","[True,True]",11,2,leakyrelu,True,True,last,384,96,AdamW,0.0003,0.0,minmax,
"[192,256,320]","[1,2,4]","[0.0,0.1,0.2]","[False,True,True]",5,1,relu,False,True,mean,,64,RMSprop,1e-05,5e-05,L2,
"[128,160,192]","[1,2,4]","[0.1,0.1,0.1]","[True,True,True]",7,2,mish,True,True,max,128,128,Adam,0.0002,1e-05,minmax,
"[256,320]","[1,2]","[0.0,0.2]","[False,True]",9,1,elu,False,True,attention,256,96,AdamW,0.0001,1e-06,L2,
"[160,224,288]","[1,2,4]","[0.0,0.0,0.3]","[True,True,True]",11,2,gelu,True,True,last,384,64,RMSprop,5e-05,0.0,minmax,
"[256,256,256]","[1,2,4]","[0.0,0.2,0.0]","[False,True,True]",9,1,leakyrelu,False,True,attention,256,64,RMSprop,0.0002,1e-06,L2,
"[256,256,256,256]","[1,2,4,8]","[0.0,0.0,0.0,0.3]","[True,True,True,True]",11,2,relu,True,True,last,384,128,Adam,0.0001,0.0,minmax,
"[320,384]","[1,2]","[0.0,0.2]","[False,True]",5,1,mish,False,True,mean,,96,AdamW,5e-05,5e-05,L2,
"[224,288,352]","[1,2,4]","[0.1,0.1,0.1]","[True,True,True]",7,2,elu,True,True,max,128,64,RMSprop,0.0003,1e-05,minmax,
"[192,256]","[1,2]","[0.0,0.2]","[False,True]",9,1,gelu,False,True,attention,256,128,Adam,1e-05,1e-06,L2,
"[160,192,224,256,320]","[1,2,4,8,16]","[0.0,0.0,0.0,0.0,0.3]","[True,True,True,True,True]",11,2,prelu,True,True,last,384,96,AdamW,0.0002,0.0,minmax,
"[320,320]","[1,2]","[0.0,0.2]","[False,True]",5,1,relu,False,True,mean,,128,Adam,5e-05,5e-05,L2,
"[160,192,224,320]","[1,2,4,8]","[0.1,0.1,0.1,0.1]","[True,True,True,True]",7,2,mish,True,True,max,128,96,AdamW,0.0003,1e-05,minmax,
"[224,256,320,384]","[1,2,4,8]","[0.0,0.2,0.0,0.2]","[False,True,True,True]",9,1,elu,False,True,attention,256,64,RMSprop,1e-05,1e-06,L2,
