id,timestamp,target_embedding,source_params,model,seed,channels,dilations,ln_block_end,dropout,num_blocks,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,lr,weight_decay,norm,input_dim,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,best_epoch,train_loss_best_state,test_loss_best_state,epochs_trained,training,duration_sec
170,20251204_015035,baseline_CASIAB.csv,Preset_v2_1,TCN,42,"[896, 768, 640]","[3, 6, 9]","[False, True, True]","[None, None, None]",3,2,2,leakyrelu,False,False,attention,64.0,96,Adam,,1e-05,2e-06,minmax,256,0.08469,2.09639,0.5,0.46347,"[0.51163, 0.33333, 0.54545]",0.52273,0.51774,"[0.52381, 0.5, 0.52941]",355,0.12684,2.00824,381,COMPLETED,51.078
171,20251204_015035,baseline_OUMVLP.csv,Preset_v2_1,TCN,42,"[896, 768, 640]","[3, 6, 9]","[False, True, True]","[None, None, None]",3,2,2,leakyrelu,False,False,attention,64.0,96,Adam,,1e-05,2e-06,minmax,256,0.09335,1.79774,0.43182,0.37944,"[0.43243, 0.11765, 0.58824]",0.54545,0.4596,"[0.59091, 0.18182, 0.60606]",294,0.26846,1.31925,446,COMPLETED,57.909
172,20251204_015035,gaitgl.csv,Preset_v2_1,TCN,42,"[896, 768, 640]","[3, 6, 9]","[False, True, True]","[None, None, None]",3,2,2,leakyrelu,False,False,attention,64.0,96,Adam,,1e-05,2e-06,minmax,128,0.08355,2.55261,0.36364,0.31018,"[0.46512, 0.14286, 0.32258]",0.45455,0.45589,"[0.43243, 0.46154, 0.47368]",226,0.26975,1.96721,302,COMPLETED,56.282
173,20251204_015035,gaitgl_GREW.csv,Preset_v2_1,TCN,42,"[896, 768, 640]","[3, 6, 9]","[False, True, True]","[None, None, None]",3,2,2,leakyrelu,False,False,attention,64.0,96,Adam,,1e-05,2e-06,minmax,256,0.09524,1.28081,0.5,0.49145,"[0.52632, 0.46154, 0.48649]",0.56818,0.562,"[0.54054, 0.54545, 0.6]",233,0.11362,1.27838,244,COMPLETED,48.168
174,20251204_015035,gaitgl_GREW_BNNeck.csv,Preset_v2_1,TCN,42,"[896, 768, 640]","[3, 6, 9]","[False, True, True]","[None, None, None]",3,2,2,leakyrelu,False,False,attention,64.0,96,Adam,,1e-05,2e-06,minmax,256,1.00676,1.01447,0.47727,0.21538,"[0.64615, 0.0, 0.0]",0.47727,0.21538,"[0.64615, 0.0, 0.0]",124,1.00676,1.01447,124,STOPPED,24.433
175,20251204_015035,gaitgl_OUMVLP.csv,Preset_v2_1,TCN,42,"[896, 768, 640]","[3, 6, 9]","[False, True, True]","[None, None, None]",3,2,2,leakyrelu,False,False,attention,64.0,96,Adam,,1e-05,2e-06,minmax,256,0.07787,2.48567,0.38636,0.33464,"[0.46512, 0.125, 0.41379]",0.45455,0.43232,"[0.36364, 0.4, 0.53333]",573,0.4696,1.73131,706,COMPLETED,139.236
176,20251204_015035,gaitpart_GREW.csv,Preset_v2_1,TCN,42,"[896, 768, 640]","[3, 6, 9]","[False, True, True]","[None, None, None]",3,2,2,leakyrelu,False,False,attention,64.0,96,Adam,,1e-05,2e-06,minmax,256,0.08771,1.82642,0.45455,0.40277,"[0.57778, 0.28571, 0.34483]",0.52273,0.49022,"[0.61905, 0.4, 0.45161]",281,0.19878,1.59904,371,COMPLETED,35.358
177,20251204_015035,gaitpart_OUMVLP.csv,Preset_v2_1,TCN,42,"[896, 768, 640]","[3, 6, 9]","[False, True, True]","[None, None, None]",3,2,2,leakyrelu,False,False,attention,64.0,96,Adam,,1e-05,2e-06,minmax,256,0.17937,2.14962,0.47727,0.45038,"[0.42424, 0.31579, 0.61111]",0.61364,0.56891,"[0.65116, 0.44444, 0.61111]",570,0.39381,1.2369,991,STOPPED,93.78
178,20251204_015035,gaitset.csv,Preset_v2_1,TCN,42,"[896, 768, 640]","[3, 6, 9]","[False, True, True]","[None, None, None]",3,2,2,leakyrelu,False,False,attention,64.0,96,Adam,,1e-05,2e-06,minmax,256,0.0958,1.97614,0.45455,0.34148,"[0.54167, 0.0, 0.48276]",0.54545,0.46528,"[0.58333, 0.25, 0.5625]",173,0.74259,1.07433,382,COMPLETED,73.588
179,20251204_015035,gaitset_GREW.csv,Preset_v2_1,TCN,42,"[896, 768, 640]","[3, 6, 9]","[False, True, True]","[None, None, None]",3,2,2,leakyrelu,False,False,attention,64.0,96,Adam,,1e-05,2e-06,minmax,256,0.08674,2.10692,0.38636,0.28873,"[0.4878, 0.0, 0.37838]",0.54545,0.44349,"[0.66667, 0.25, 0.41379]",374,0.18322,2.00636,389,COMPLETED,74.991
