id,timestamp,target_embedding,source_params,model,seed,input_dim,num_blocks,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,dropout,ln_block_end,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,lr,weight_decay,norm,train_loss,accuracy,epochs_trained,f1_macro,best_f1,best_epoch,best_state_loss,training,duration_sec

170,20251011_211257,baseline_CASIAB.csv,Personalizado_v2,TCN,42,256,4,"[256, 384, 512, 640]","[1, 2, 4, 8]",7,2,gelu,True,True,"[None, 0.1, 0.1, 0.2]","[True, True, True, True]",attention,256,96,AdamW,,0.0002,5e-05,L2,0.04928,0.56818,97,0.40404,0.51367,87,0.26409,COMPLETED,34.705
171,20251011_211257,baseline_OUMVLP.csv,Personalizado_v2,TCN,42,256,4,"[256, 384, 512, 640]","[1, 2, 4, 8]",7,2,gelu,True,True,"[None, 0.1, 0.1, 0.2]","[True, True, True, True]",attention,256,96,AdamW,,0.0002,5e-05,L2,0.03878,0.47727,138,0.3467,0.51245,137,0.05219,COMPLETED,41.51
172,20251011_211257,gaitgl.csv,Personalizado_v2,TCN,42,128,4,"[256, 384, 512, 640]","[1, 2, 4, 8]",7,2,gelu,True,True,"[None, 0.1, 0.1, 0.2]","[True, True, True, True]",attention,256,96,AdamW,,0.0002,5e-05,L2,0.0096,0.38636,25,0.33487,0.38571,18,0.22754,COMPLETED,12.052
173,20251011_211257,gaitgl_GREW.csv,Personalizado_v2,TCN,42,256,4,"[256, 384, 512, 640]","[1, 2, 4, 8]",7,2,gelu,True,True,"[None, 0.1, 0.1, 0.2]","[True, True, True, True]",attention,256,96,AdamW,,0.0002,5e-05,L2,0.00875,0.45455,42,0.33553,0.4556,33,0.1821,COMPLETED,20.39
174,20251011_211257,gaitgl_GREW_BNNeck.csv,Personalizado_v2,TCN,42,256,4,"[256, 384, 512, 640]","[1, 2, 4, 8]",7,2,gelu,True,True,"[None, 0.1, 0.1, 0.2]","[True, True, True, True]",attention,256,96,AdamW,,0.0002,5e-05,L2,0.01298,0.45455,77,0.38369,0.40833,72,0.16368,COMPLETED,37.342
175,20251011_211257,gaitgl_OUMVLP.csv,Personalizado_v2,TCN,42,256,4,"[256, 384, 512, 640]","[1, 2, 4, 8]",7,2,gelu,True,True,"[None, 0.1, 0.1, 0.2]","[True, True, True, True]",attention,256,96,AdamW,,0.0002,5e-05,L2,1.006,0.47727,180,0.21538,0.21538,180,,STOPPED,87.21
176,20251011_211257,gaitpart_GREW.csv,Personalizado_v2,TCN,42,256,4,"[256, 384, 512, 640]","[1, 2, 4, 8]",7,2,gelu,True,True,"[None, 0.1, 0.1, 0.2]","[True, True, True, True]",attention,256,96,AdamW,,0.0002,5e-05,L2,0.07509,0.43182,375,0.37585,0.44372,336,0.3018,COMPLETED,71.665
177,20251011_211257,gaitpart_OUMVLP.csv,Personalizado_v2,TCN,42,256,4,"[256, 384, 512, 640]","[1, 2, 4, 8]",7,2,gelu,True,True,"[None, 0.1, 0.1, 0.2]","[True, True, True, True]",attention,256,96,AdamW,,0.0002,5e-05,L2,1.00557,0.47727,295,0.21538,0.21538,295,,STOPPED,56.052
178,20251011_211257,gaitset.csv,Personalizado_v2,TCN,42,256,4,"[256, 384, 512, 640]","[1, 2, 4, 8]",7,2,gelu,True,True,"[None, 0.1, 0.1, 0.2]","[True, True, True, True]",attention,256,96,AdamW,,0.0002,5e-05,L2,0.03996,0.38636,57,0.3353,0.41567,48,0.31815,COMPLETED,27.324
179,20251011_211257,gaitset_GREW.csv,Personalizado_v2,TCN,42,256,4,"[256, 384, 512, 640]","[1, 2, 4, 8]",7,2,gelu,True,True,"[None, 0.1, 0.1, 0.2]","[True, True, True, True]",attention,256,96,AdamW,,0.0002,5e-05,L2,0.03088,0.36364,170,0.30331,0.378,169,0.04113,COMPLETED,81.744
180,20251011_211257,gaitset_OUMVLP.csv,Personalizado_v2,TCN,42,256,4,"[256, 384, 512, 640]","[1, 2, 4, 8]",7,2,gelu,True,True,"[None, 0.1, 0.1, 0.2]","[True, True, True, True]",attention,256,96,AdamW,,0.0002,5e-05,L2,1.00195,0.47727,273,0.21538,0.21538,273,,STOPPED,130.973
181,20251011_211257,gln_phase1.csv,Personalizado_v2,TCN,42,256,4,"[256, 384, 512, 640]","[1, 2, 4, 8]",7,2,gelu,True,True,"[None, 0.1, 0.1, 0.2]","[True, True, True, True]",attention,256,96,AdamW,,0.0002,5e-05,L2,0.01949,0.59091,66,0.48056,0.52628,65,0.02336,COMPLETED,44.228
182,20251011_211257,gln_phase2.csv,Personalizado_v2,TCN,42,256,4,"[256, 384, 512, 640]","[1, 2, 4, 8]",7,2,gelu,True,True,"[None, 0.1, 0.1, 0.2]","[True, True, True, True]",attention,256,96,AdamW,,0.0002,5e-05,L2,0.01518,0.45455,72,0.34197,0.50141,53,0.32827,COMPLETED,48.237

183,20251011_211257,baseline_CASIAB.csv,Personalizado_v2,TCN,42,256,3,"[320, 448, 576]","[1, 2, 5]",9,3,silu,True,True,"[0.1, 0.1, 0.2]","[True, True, False]",mean,256,128,AdamW,,0.0001,1e-05,minmax,1.00782,0.47727,233,0.21538,0.21538,233,,STOPPED,88.016
184,20251011_211257,baseline_OUMVLP.csv,Personalizado_v2,TCN,42,256,3,"[320, 448, 576]","[1, 2, 5]",9,3,silu,True,True,"[0.1, 0.1, 0.2]","[True, True, False]",mean,256,128,AdamW,,0.0001,1e-05,minmax,1.00564,0.47727,140,0.21538,0.21538,140,,STOPPED,52.857
185,20251011_211257,gaitgl.csv,Personalizado_v2,TCN,42,128,3,"[320, 448, 576]","[1, 2, 5]",9,3,silu,True,True,"[0.1, 0.1, 0.2]","[True, True, False]",mean,256,128,AdamW,,0.0001,1e-05,minmax,1.00651,0.47727,110,0.21538,0.21538,110,,STOPPED,68.261
186,20251011_211257,gaitgl_GREW.csv,Personalizado_v2,TCN,42,256,3,"[320, 448, 576]","[1, 2, 5]",9,3,silu,True,True,"[0.1, 0.1, 0.2]","[True, True, False]",mean,256,128,AdamW,,0.0001,1e-05,minmax,1.01362,0.47727,172,0.21538,0.21538,172,,STOPPED,107.587
187,20251011_211257,gaitgl_GREW_BNNeck.csv,Personalizado_v2,TCN,42,256,3,"[320, 448, 576]","[1, 2, 5]",9,3,silu,True,True,"[0.1, 0.1, 0.2]","[True, True, False]",mean,256,128,AdamW,,0.0001,1e-05,minmax,1.00514,0.47727,108,0.21538,0.21538,108,,STOPPED,67.714
188,20251011_211257,gaitgl_OUMVLP.csv,Personalizado_v2,TCN,42,256,3,"[320, 448, 576]","[1, 2, 5]",9,3,silu,True,True,"[0.1, 0.1, 0.2]","[True, True, False]",mean,256,128,AdamW,,0.0001,1e-05,minmax,1.00574,0.47727,165,0.21538,0.21538,165,,STOPPED,103.418
189,20251011_211257,gaitpart_GREW.csv,Personalizado_v2,TCN,42,256,3,"[320, 448, 576]","[1, 2, 5]",9,3,silu,True,True,"[0.1, 0.1, 0.2]","[True, True, False]",mean,256,128,AdamW,,0.0001,1e-05,minmax,1.00527,0.47727,169,0.21538,0.21538,169,,STOPPED,38.357
190,20251011_211257,gaitpart_OUMVLP.csv,Personalizado_v2,TCN,42,256,3,"[320, 448, 576]","[1, 2, 5]",9,3,silu,True,True,"[0.1, 0.1, 0.2]","[True, True, False]",mean,256,128,AdamW,,0.0001,1e-05,minmax,1.00586,0.47727,305,0.21538,0.21538,305,,STOPPED,69.389
191,20251011_211257,gaitset.csv,Personalizado_v2,TCN,42,256,3,"[320, 448, 576]","[1, 2, 5]",9,3,silu,True,True,"[0.1, 0.1, 0.2]","[True, True, False]",mean,256,128,AdamW,,0.0001,1e-05,minmax,1.00556,0.47727,124,0.21538,0.21538,124,,STOPPED,76.751
192,20251011_211257,gaitset_GREW.csv,Personalizado_v2,TCN,42,256,3,"[320, 448, 576]","[1, 2, 5]",9,3,silu,True,True,"[0.1, 0.1, 0.2]","[True, True, False]",mean,256,128,AdamW,,0.0001,1e-05,minmax,1.00604,0.47727,129,0.21538,0.21538,129,,STOPPED,79.85
193,20251011_211257,gaitset_OUMVLP.csv,Personalizado_v2,TCN,42,256,3,"[320, 448, 576]","[1, 2, 5]",9,3,silu,True,True,"[0.1, 0.1, 0.2]","[True, True, False]",mean,256,128,AdamW,,0.0001,1e-05,minmax,1.00908,0.47727,103,0.21538,0.21538,103,,STOPPED,63.746
