id,timestamp,target_embedding,source_params,model,seed,input_dim,num_blocks,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,dropout,ln_block_end,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,norm,label_smoothing,clip_grad_norm,class_weights,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,best_epoch,train_loss_best_state,test_loss_best_state,epochs_trained,training,duration_sec

27,20251206_021517,baseline_CASIAB.csv,Best_configs_v3,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64.0,96,Adam,0.0,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14552,1.7129,0.45455,0.44815,"[0.5, 0.44444, 0.4]",0.54545,0.51266,"[0.6087, 0.44444, 0.48485]",510.0,0.17937,1.6424,1097.0,STOPPED,191.28985
28,20251206_021730,baseline_OUMVLP.csv,Best_configs_v3,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64.0,96,Adam,0.0,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14083,1.72223,0.43182,0.40015,"[0.42105, 0.25, 0.52941]",0.59091,0.53856,"[0.58537, 0.36364, 0.66667]",392.0,0.18273,1.60371,755.0,STOPPED,131.94242
29,20251206_022103,gaitgl.csv,Best_configs_v3,TCN,42,128,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64.0,96,Adam,0.0,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.13957,1.88807,0.40909,0.35702,"[0.45, 0.2, 0.42105]",0.5,0.4518,"[0.45714, 0.26667, 0.63158]",350.0,0.21814,1.74417,868.0,STOPPED,212.4413
30,20251206_022242,gaitgl_GREW.csv,Best_configs_v3,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64.0,96,Adam,0.0,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1399,1.25762,0.5,0.43994,"[0.6087, 0.26667, 0.44444]",0.56818,0.49618,"[0.68085, 0.30769, 0.5]",221.0,0.14094,1.24502,381.0,STOPPED,97.75009
31,20251206_022854,gaitgl_GREW_BNNeck.csv,Best_configs_v3,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64.0,96,Adam,0.0,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14274,1.97196,0.40909,0.35475,"[0.43243, 0.18182, 0.45]",0.54545,0.51111,"[0.51429, 0.33333, 0.68571]",570.0,0.33703,1.97837,1448.0,STOPPED,370.323
32,20251206_023326,gaitgl_OUMVLP.csv,Best_configs_v3,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64.0,96,Adam,0.0,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.28195,2.43105,0.40909,0.35133,"[0.33333, 0.10526, 0.61538]",0.45455,0.41369,"[0.42424, 0.22222, 0.59459]",538.0,0.35935,2.00869,1053.0,STOPPED,270.75471
33,20251206_023451,gaitpart_GREW.csv,Best_configs_v3,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64.0,96,Adam,0.0,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14032,1.49519,0.54545,0.51679,"[0.57143, 0.4, 0.57895]",0.68182,0.66472,"[0.73171, 0.61538, 0.64706]",189.0,0.3931,0.99468,670.0,STOPPED,84.80952
34,20251206_023805,gaitpart_OUMVLP.csv,Best_configs_v3,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64.0,96,Adam,0.0,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14272,1.90852,0.36364,0.33371,"[0.45455, 0.26087, 0.28571]",0.59091,0.53357,"[0.62222, 0.33333, 0.64516]",1232.0,0.14744,1.35698,1535.0,STOPPED,193.37078
35,20251206_024116,gaitset.csv,Best_configs_v3,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64.0,96,Adam,0.0,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14047,1.52013,0.47727,0.4397,"[0.54167, 0.36364, 0.41379]",0.52273,0.52076,"[0.56522, 0.54545, 0.45161]",521.0,0.1411,1.51769,760.0,STOPPED,189.99793
