id,timestamp,target_embedding,source_params,model,seed,input_dim,num_blocks,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,dropout,ln_block_end,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,lr,weight_decay,norm,label_smoothing,clip_grad_norm,class_weights,train_loss,test_loss,accuracy,f1_macro,f1_per_class,best_accuracy,best_f1,best_f1_per_class,best_epoch,train_loss_best_state,test_loss_best_state,epochs_trained,training,duration_sec
170,20251206_013322,baseline_CASIAB.csv,Best_configs_v3,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64,96,Adam,0.0,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1397720985498625,1.8112983703613281,0.4090909090909091,0.35789473684210527,"[0.4, 0.2, 0.47368421052631576]",0.6136363636363636,0.49984438219732336,"[0.7058823529411765, 0.2222222222222222, 0.5714285714285714]",105,0.6778199058218101,1.0195701122283936,496,STOPPED,72.45116069999494
171,20251206_013504,baseline_OUMVLP.csv,Best_configs_v3,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64,96,Adam,0.0,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14132333915565432,1.6047953367233276,0.38636363636363635,0.3,"[0.5, 0.0, 0.4]",0.5,0.4505050505050505,"[0.48484848484848486, 0.26666666666666666, 0.6]",495,0.1431678797780853,1.733890175819397,742,STOPPED,101.19049670000095
172,20251206_013658,gaitgl.csv,Best_configs_v3,TCN,42,128,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64,96,Adam,0.0,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14018969007374085,1.463541865348816,0.5,0.44677812608847095,"[0.5909090909090909, 0.26666666666666666, 0.4827586206896552]",0.5,0.4838709677419355,"[0.5789473684210527, 0.42105263157894735, 0.45161290322580644]",274,0.15240780532974557,1.6041117906570435,586,STOPPED,112.63583389999985
173,20251206_013843,gaitgl_GREW.csv,Best_configs_v3,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64,96,Adam,0.0,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1395924754978455,1.4404720067977905,0.4090909090909091,0.35266955266955263,"[0.47619047619047616, 0.18181818181818182, 0.4]",0.5227272727272727,0.44353105523318287,"[0.5957446808510638, 0.25, 0.48484848484848486]",296,0.1582707232728447,1.3619023561477661,505,STOPPED,103.90747720000218
174,20251206_014237,gaitgl_GREW_BNNeck.csv,Best_configs_v3,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64,96,Adam,0.0,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14302441815740055,1.5358256101608276,0.4772727272727273,0.36830520909757886,"[0.5531914893617021, 0.0, 0.5517241379310345]",0.5227272727272727,0.4956043956043956,"[0.5714285714285714, 0.3, 0.6153846153846154]",838,0.15282058470027962,1.669999599456787,1147,STOPPED,232.7157309000031
175,20251206_014647,gaitgl_OUMVLP.csv,Best_configs_v3,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64,96,Adam,0.0,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14809550805804655,1.7979004383087158,0.36363636363636365,0.2661396574440053,"[0.43478260869565216, 0.0, 0.36363636363636365]",0.5227272727272727,0.36792452830188677,"[0.6037735849056604, 0.0, 0.5]",299,0.38877034678901595,1.679046630859375,1228,STOPPED,249.10283669999626
176,20251206_014759,gaitpart_GREW.csv,Best_configs_v3,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64,96,Adam,0.0,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.14010411347310567,1.3891733884811401,0.4318181818181818,0.41394663128409254,"[0.4117647058823529, 0.3157894736842105, 0.5142857142857142]",0.5681818181818182,0.5517948717948719,"[0.64, 0.6153846153846154, 0.4]",167,0.36354577602799404,1.1631900072097778,705,STOPPED,70.99205739999888
177,20251206_014925,gaitpart_OUMVLP.csv,Best_configs_v3,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64,96,Adam,0.0,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.32203651503803804,1.8048747777938843,0.4318181818181818,0.3965885541208354,"[0.4878048780487805, 0.23529411764705882, 0.4666666666666667]",0.5681818181818182,0.47444444444444445,"[0.5333333333333333, 0.25, 0.64]",766,0.3028379159489858,1.4946233034133911,844,STOPPED,85.309757300005
178,20251206_015157,gaitset.csv,Best_configs_v3,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64,96,Adam,0.0,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1407807443252544,1.3337024450302124,0.5227272727272727,0.4901411083076348,"[0.5853658536585366, 0.3333333333333333, 0.5517241379310345]",0.5227272727272727,0.5052366987850859,"[0.5714285714285714, 0.36363636363636365, 0.5806451612903226]",619,0.14030176070854836,1.387113094329834,760,STOPPED,150.56393100000423
179,20251206_015515,gaitset_GREW.csv,Best_configs_v3,TCN,42,256,3,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,"[None, None, None]","[False, True, True]",attention,64,96,Adam,0.0,1e-05,2e-06,minmax,0.03,1.0,"[1.0, 3.1864, 1.3333]",0.1402716479196991,1.4899417161941528,0.5,0.36606212215968315,"[0.5853658536585366, 0.0, 0.5128205128205128]",0.6136363636363636,0.5870870870870871,"[0.6666666666666666, 0.5, 0.5945945945945946]",430,0.16205360840276345,1.4564270973205566,863,STOPPED,196.63240919999953
