id,timestamp,target_embedding,source_params,model,seed,input_dim,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,ln_block_end,pooling,fc_hidden,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,norm,dropout,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
1,20251224_200545,GREW_concat.csv,Preset_1,TCN,42,768,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,False,attention,64,96,Adam,,1e-05,2e-06,minmax,"[0.0, 0.0, 0.0]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13442,2.28556,0.29545,0.21368,"[0.25806, 0.0, 0.38298]",383,0.56904,1.1064,0.45455,0.39905,"[0.58333, 0.35294, 0.26087]",144,COMPLETED,45.966
2,20251224_200545,GREW_mean.csv,Preset_1,TCN,42,256,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,False,attention,64,96,Adam,,1e-05,2e-06,minmax,"[0.0, 0.0, 0.0]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11512,1.46066,0.52273,0.38975,"[0.55814, 0.0, 0.61111]",212,0.11865,1.5502,0.54545,0.39111,"[0.64, 0.0, 0.53333]",211,COMPLETED,21.702
3,20251224_200545,OUMVLP_concat.csv,Preset_1,TCN,42,1024,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,False,attention,64,96,Adam,,1e-05,2e-06,minmax,"[0.0, 0.0, 0.0]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13367,1.32059,0.61364,0.55272,"[0.69565, 0.4, 0.5625]",676,0.14107,1.31575,0.70455,0.6526,"[0.79167, 0.54545, 0.62069]",634,COMPLETED,82.897
4,20251224_200545,OUMVLP_mean.csv,Preset_1,TCN,42,256,"[896, 768, 640]","[3, 6, 9]",2,2,leakyrelu,False,False,False,attention,64,96,Adam,,1e-05,2e-06,minmax,"[0.0, 0.0, 0.0]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13067,2.2121,0.38636,0.33329,"[0.35294, 0.18182, 0.46512]",674,0.31705,2.24108,0.47727,0.4647,"[0.3871, 0.46154, 0.54545]",499,COMPLETED,71.677

5,20251224_201217,GREW_concat.csv,Preset_1,TCN,42,768,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,96,AdamW,,0.0002,5e-05,L2,"[0.1, 0.1, 0.2, 0.2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10703,1.88281,0.5,0.45313,"[0.59574, 0.36364, 0.4]",48,0.65748,1.29921,0.54545,0.49923,"[0.60465, 0.36364, 0.52941]",28,COMPLETED,6.195
6,20251224_201217,GREW_mean.csv,Preset_1,TCN,42,256,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,96,AdamW,,0.0002,5e-05,L2,"[0.1, 0.1, 0.2, 0.2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10767,2.49731,0.40909,0.2963,"[0.48889, 0.0, 0.4]",51,0.35345,3.03974,0.45455,0.40864,"[0.41379, 0.26667, 0.54545]",42,COMPLETED,5.702
7,20251224_201217,OUMVLP_concat.csv,Preset_1,TCN,42,1024,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,96,AdamW,,0.0002,5e-05,L2,"[0.1, 0.1, 0.2, 0.2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11214,2.03933,0.52273,0.47486,"[0.57143, 0.30769, 0.54545]",396,0.24836,1.90151,0.56818,0.53175,"[0.5, 0.42857, 0.66667]",378,COMPLETED,50.073
8,20251224_201217,OUMVLP_mean.csv,Preset_1,TCN,42,256,"[256, 256, 384, 384]","[1, 2, 2, 4]",7,3,gelu,True,True,False,last,256,96,AdamW,,0.0002,5e-05,L2,"[0.1, 0.1, 0.2, 0.2]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11301,2.12958,0.43182,0.3376,"[0.52632, 0.0, 0.48649]",241,0.29356,1.93614,0.5,0.39756,"[0.5641, 0.0, 0.62857]",223,COMPLETED,26.529

9,20251224_201217,GREW_concat.csv,Preset_2,TCN,42,768,"[384, 512, 512, 512]","[1, 2, 4, 8]",5,3,gelu,True,True,False,max,512,96,AdamW,,0.00015,1e-05,minmax,"[None, 0.05, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10847,2.05223,0.43182,0.31258,"[0.46154, 0.0, 0.47619]",145,0.4462,1.81572,0.40909,0.38308,"[0.2963, 0.35294, 0.5]",123,COMPLETED,20.503
10,20251224_201217,GREW_mean.csv,Preset_2,TCN,42,256,"[384, 512, 512, 512]","[1, 2, 4, 8]",5,3,gelu,True,True,False,max,512,96,AdamW,,0.00015,1e-05,minmax,"[None, 0.05, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11355,2.08004,0.47727,0.35004,"[0.52632, 0.0, 0.52381]",74,0.24747,2.40924,0.5,0.3622,"[0.53659, 0.0, 0.55]",67,COMPLETED,9.691
11,20251224_201217,OUMVLP_concat.csv,Preset_2,TCN,42,1024,"[384, 512, 512, 512]","[1, 2, 4, 8]",5,3,gelu,True,True,False,max,512,96,AdamW,,0.00015,1e-05,minmax,"[None, 0.05, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,1.1049,1.09275,0.36364,0.17778,"[0.0, 0.0, 0.53333]",139,1.1049,1.09275,0.36364,0.17778,"[0.0, 0.0, 0.53333]",139,STOPPED,20.048
12,20251224_201217,OUMVLP_mean.csv,Preset_2,TCN,42,256,"[384, 512, 512, 512]","[1, 2, 4, 8]",5,3,gelu,True,True,False,max,512,96,AdamW,,0.00015,1e-05,minmax,"[None, 0.05, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12398,2.58651,0.47727,0.46366,"[0.48276, 0.32, 0.58824]",329,0.68913,1.57696,0.56818,0.526,"[0.48276, 0.42857, 0.66667]",107,COMPLETED,42.667

13,20251224_201217,GREW_concat.csv,Preset_3,TCN,42,768,"[384, 384, 384, 512]","[1, 2, 3, 4]",7,2,gelu,True,False,False,attention,128,128,AdamW,,0.0001,1e-05,L2,"[0.1, 0.1, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11782,1.82509,0.54545,0.46679,"[0.57895, 0.25, 0.57143]",208,0.13248,1.85952,0.59091,0.4968,"[0.58824, 0.25, 0.65217]",202,COMPLETED,21.81
14,20251224_201217,GREW_mean.csv,Preset_3,TCN,42,256,"[384, 384, 384, 512]","[1, 2, 3, 4]",7,2,gelu,True,False,False,attention,128,128,AdamW,,0.0001,1e-05,L2,"[0.1, 0.1, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11307,1.92276,0.54545,0.35952,"[0.67857, 0.0, 0.4]",188,0.17199,1.44892,0.59091,0.5538,"[0.58537, 0.44444, 0.63158]",176,COMPLETED,17.42
15,20251224_201217,OUMVLP_concat.csv,Preset_3,TCN,42,1024,"[384, 384, 384, 512]","[1, 2, 3, 4]",7,2,gelu,True,False,False,attention,128,128,AdamW,,0.0001,1e-05,L2,"[0.1, 0.1, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10982,2.54021,0.45455,0.34392,"[0.55556, 0.0, 0.47619]",594,0.40303,1.45523,0.5,0.42277,"[0.6, 0.18182, 0.48649]",469,COMPLETED,65.817
16,20251224_201217,OUMVLP_mean.csv,Preset_3,TCN,42,256,"[384, 384, 384, 512]","[1, 2, 3, 4]",7,2,gelu,True,False,False,attention,128,128,AdamW,,0.0001,1e-05,L2,"[0.1, 0.1, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,1.10474,1.09488,0.36364,0.17778,"[0.0, 0.0, 0.53333]",142,1.10474,1.09488,0.36364,0.17778,"[0.0, 0.0, 0.53333]",142,STOPPED,13.03

17,20251224_201217,GREW_concat.csv,Preset_4,TCN,42,768,"[384, 512, 640]","[1, 2, 4]",7,2,gelu,True,True,False,max,256,96,AdamW,,0.0001,1e-05,minmax,"[0.05, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11669,2.07626,0.45455,0.34545,"[0.58182, 0.18182, 0.27273]",154,0.13677,1.95877,0.52273,0.43167,"[0.61224, 0.2, 0.48276]",143,COMPLETED,17.506
18,20251224_201217,GREW_mean.csv,Preset_4,TCN,42,256,"[384, 512, 640]","[1, 2, 4]",7,2,gelu,True,True,False,max,256,96,AdamW,,0.0001,1e-05,minmax,"[0.05, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12578,1.8915,0.45455,0.32387,"[0.52, 0.0, 0.45161]",78,0.45121,1.23506,0.52273,0.4798,"[0.59091, 0.36364, 0.48485]",60,COMPLETED,7.801
19,20251224_201217,OUMVLP_concat.csv,Preset_4,TCN,42,1024,"[384, 512, 640]","[1, 2, 4]",7,2,gelu,True,True,False,max,256,96,AdamW,,0.0001,1e-05,minmax,"[0.05, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,1.10499,1.09035,0.36364,0.17778,"[0.0, 0.0, 0.53333]",143,1.10499,1.09035,0.36364,0.17778,"[0.0, 0.0, 0.53333]",143,STOPPED,16.698
20,20251224_201217,OUMVLP_mean.csv,Preset_4,TCN,42,256,"[384, 512, 640]","[1, 2, 4]",7,2,gelu,True,True,False,max,256,96,AdamW,,0.0001,1e-05,minmax,"[0.05, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11479,2.2903,0.38636,0.33375,"[0.375, 0.18182, 0.44444]",267,0.17971,2.16901,0.54545,0.46085,"[0.57143, 0.2, 0.61111]",237,COMPLETED,26.478

21,20251224_201217,GREW_concat.csv,Preset_5,TCN,42,768,"[192, 256]","[1, 3]",7,2,gelu,True,True,False,max,128,64,AdamW,,0.0001,5e-06,minmax,"[0.05, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11213,1.74076,0.5,0.35201,"[0.62745, 0.0, 0.42857]",123,0.12345,1.7119,0.54545,0.49448,"[0.60465, 0.33333, 0.54545]",116,COMPLETED,11.221
22,20251224_201217,GREW_mean.csv,Preset_5,TCN,42,256,"[192, 256]","[1, 3]",7,2,gelu,True,True,False,max,128,64,AdamW,,0.0001,5e-06,minmax,"[0.05, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12782,1.63926,0.47727,0.40725,"[0.52174, 0.16667, 0.53333]",108,0.13176,1.62453,0.5,0.45417,"[0.55, 0.25, 0.5625]",105,COMPLETED,8.59
23,20251224_201217,OUMVLP_concat.csv,Preset_5,TCN,42,1024,"[192, 256]","[1, 3]",7,2,gelu,True,True,False,max,128,64,AdamW,,0.0001,5e-06,minmax,"[0.05, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13562,2.40363,0.36364,0.32674,"[0.53659, 0.08, 0.36364]",309,0.39083,2.62092,0.54545,0.51493,"[0.52941, 0.4, 0.61538]",232,COMPLETED,29.386
24,20251224_201217,OUMVLP_mean.csv,Preset_5,TCN,42,256,"[192, 256]","[1, 3]",7,2,gelu,True,True,False,max,128,64,AdamW,,0.0001,5e-06,minmax,"[0.05, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.13283,2.01249,0.5,0.35462,"[0.61224, 0.0, 0.45161]",322,0.13447,2.16606,0.47727,0.41204,"[0.5, 0.125, 0.61111]",319,COMPLETED,25.684

25,20251224_201217,GREW_concat.csv,Preset_6,TCN,42,768,"[512, 512, 512]","[3, 6, 9]",5,1,hardswish,True,False,False,last,128,96,AdamW,,0.0002,1e-06,minmax,"[0.0, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12827,1.459,0.59091,0.42222,"[0.66667, 0.0, 0.6]",141,0.64247,1.80668,0.56818,0.52903,"[0.63415, 0.35294, 0.6]",96,COMPLETED,10.028
26,20251224_201217,GREW_mean.csv,Preset_6,TCN,42,256,"[512, 512, 512]","[3, 6, 9]",5,1,hardswish,True,False,False,last,128,96,AdamW,,0.0002,1e-06,minmax,"[0.0, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12773,2.09701,0.43182,0.34808,"[0.57143, 0.125, 0.34783]",71,0.34186,2.11273,0.43182,0.40825,"[0.52381, 0.32, 0.38095]",57,COMPLETED,4.218
27,20251224_201217,OUMVLP_concat.csv,Preset_6,TCN,42,1024,"[512, 512, 512]","[3, 6, 9]",5,1,hardswish,True,False,False,last,128,96,AdamW,,0.0002,1e-06,minmax,"[0.0, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.12268,2.50293,0.31818,0.31548,"[0.375, 0.14286, 0.42857]",442,0.56606,1.83501,0.56818,0.5098,"[0.52941, 0.33333, 0.66667]",213,COMPLETED,33.28
28,20251224_201217,OUMVLP_mean.csv,Preset_6,TCN,42,256,"[512, 512, 512]","[3, 6, 9]",5,1,hardswish,True,False,False,last,128,96,AdamW,,0.0002,1e-06,minmax,"[0.0, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1229,2.66609,0.40909,0.34902,"[0.57143, 0.10526, 0.37037]",285,0.2395,2.49352,0.5,0.42251,"[0.57143, 0.18182, 0.51429]",196,COMPLETED,17.234

29,20251224_202422,GREW_concat.csv,Preset_1,TCN,42,768,"[512, 512, 512, 512]","[1, 2, 4, 8]",5,2,gelu,True,True,False,max,256,96,AdamW,,0.00015,1e-05,minmax,"[None, 0.05, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10871,1.83673,0.45455,0.30505,"[0.58182, 0.0, 0.33333]",81,0.21841,1.88996,0.5,0.45424,"[0.57778, 0.33333, 0.45161]",55,COMPLETED,9.565
30,20251224_202422,GREW_mean.csv,Preset_1,TCN,42,256,"[512, 512, 512, 512]","[1, 2, 4, 8]",5,2,gelu,True,True,False,max,256,96,AdamW,,0.00015,1e-05,minmax,"[None, 0.05, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11583,2.05245,0.52273,0.3804,"[0.59574, 0.0, 0.54545]",65,0.13563,1.68959,0.54545,0.49529,"[0.62222, 0.36364, 0.5]",62,COMPLETED,6.975
31,20251224_202422,OUMVLP_concat.csv,Preset_1,TCN,42,1024,"[512, 512, 512, 512]","[1, 2, 4, 8]",5,2,gelu,True,True,False,max,256,96,AdamW,,0.00015,1e-05,minmax,"[None, 0.05, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11332,1.82503,0.5,0.3669,"[0.53659, 0.0, 0.5641]",246,0.32471,1.61898,0.5,0.48468,"[0.48485, 0.38095, 0.58824]",184,COMPLETED,29.979
32,20251224_202422,OUMVLP_mean.csv,Preset_1,TCN,42,256,"[512, 512, 512, 512]","[1, 2, 4, 8]",5,2,gelu,True,True,False,max,256,96,AdamW,,0.00015,1e-05,minmax,"[None, 0.05, 0.1, 0.1]",[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11291,2.08616,0.43182,0.34536,"[0.57895, 0.0, 0.45714]",177,0.19789,2.21068,0.59091,0.42303,"[0.58824, 0.0, 0.68085]",170,COMPLETED,17.989

