id,timestamp,target_embedding,top_variant,source_params,model,seed,input_dim,channels,dilations,kernel_size,convs_per_block,activation,use_weight_norm,wn_on_skip,ln_block_end,pooling,fc_hidden,norm,dropout,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,class_weights,label_smoothing,clip_grad_norm,train_loss,test_loss,accuracy,f1_macro,f1_per_class,epochs_trained,train_loss_best_state,test_loss_best_state,best_accuracy,best_f1,best_f1_per_class,best_epoch,training,duration_sec
1,20260111_162221,baseline_CASIAB_LOW30.csv,30%,Preset_36,TCN,42,256,"[128, 160, 192, 224, 256]","[1, 2, 4, 8, 16]",5,2,gelu,True,True,"[True, True, True, True, True]",max,320,nan,"[None, 0.05, 0.1, 0.1, 0.15]",96,AdamW,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10541,1.33618,0.5,0.34615,"[0.65385, 0.0, 0.38462]",27,0.10654,1.34219,0.5,0.46832,"[0.58537, 0.35294, 0.46667]",26,COMPLETED,3.366
2,20260111_162221,baseline_OUMVLP_LOW30.csv,30%,Preset_36,TCN,42,256,"[128, 160, 192, 224, 256]","[1, 2, 4, 8, 16]",5,2,gelu,True,True,"[True, True, True, True, True]",max,320,nan,"[None, 0.05, 0.1, 0.1, 0.15]",96,AdamW,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10658,1.36883,0.5,0.38018,"[0.6, 0.0, 0.54054]",36,0.25501,1.18342,0.54545,0.46667,"[0.66667, 0.33333, 0.4]",20,COMPLETED,4.355
3,20260111_162221,gaitgl_GREW_BNNeck_LOW30.csv,30%,Preset_36,TCN,42,256,"[128, 160, 192, 224, 256]","[1, 2, 4, 8, 16]",5,2,gelu,True,True,"[True, True, True, True, True]",max,320,nan,"[None, 0.05, 0.1, 0.1, 0.15]",96,AdamW,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10478,1.36703,0.40909,0.36637,"[0.53333, 0.31579, 0.25]",30,0.27014,1.1038,0.43182,0.42382,"[0.43902, 0.4, 0.43243]",18,COMPLETED,3.821
4,20260111_162221,gaitgl_GREW_LOW30.csv,30%,Preset_36,TCN,42,256,"[128, 160, 192, 224, 256]","[1, 2, 4, 8, 16]",5,2,gelu,True,True,"[True, True, True, True, True]",max,320,nan,"[None, 0.05, 0.1, 0.1, 0.15]",96,AdamW,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10291,1.06074,0.43182,0.28755,"[0.57692, 0.0, 0.28571]",18,0.67791,1.05568,0.45455,0.37728,"[0.59091, 0.15385, 0.3871]",5,COMPLETED,2.262
5,20260111_162221,gaitgl_LOW30.csv,30%,Preset_36,TCN,42,128,"[128, 160, 192, 224, 256]","[1, 2, 4, 8, 16]",5,2,gelu,True,True,"[True, True, True, True, True]",max,320,nan,"[None, 0.05, 0.1, 0.1, 0.15]",96,AdamW,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10327,1.13356,0.34091,0.2388,"[0.45833, 0.0, 0.25806]",20,0.68465,1.04356,0.40909,0.30019,"[0.46154, 0.0, 0.43902]",5,COMPLETED,2.427
6,20260111_162221,gaitgl_OUMVLP_LOW30.csv,30%,Preset_36,TCN,42,256,"[128, 160, 192, 224, 256]","[1, 2, 4, 8, 16]",5,2,gelu,True,True,"[True, True, True, True, True]",max,320,nan,"[None, 0.05, 0.1, 0.1, 0.15]",96,AdamW,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10715,1.30363,0.40909,0.29513,"[0.52174, 0.0, 0.36364]",52,0.13884,1.68653,0.56818,0.45636,"[0.68966, 0.36364, 0.31579]",46,COMPLETED,7.233
7,20260111_162221,gaitpart_GREW_LOW30.csv,30%,Preset_36,TCN,42,256,"[128, 160, 192, 224, 256]","[1, 2, 4, 8, 16]",5,2,gelu,True,True,"[True, True, True, True, True]",max,320,nan,"[None, 0.05, 0.1, 0.1, 0.15]",96,AdamW,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10971,1.28538,0.5,0.36054,"[0.65306, 0.0, 0.42857]",48,0.12949,1.24742,0.59091,0.55759,"[0.7, 0.42105, 0.55172]",41,COMPLETED,5.915
8,20260111_162221,gaitpart_OUMVLP_LOW30.csv,30%,Preset_36,TCN,42,256,"[128, 160, 192, 224, 256]","[1, 2, 4, 8, 16]",5,2,gelu,True,True,"[True, True, True, True, True]",max,320,nan,"[None, 0.05, 0.1, 0.1, 0.15]",96,AdamW,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11003,1.42059,0.43182,0.37934,"[0.55, 0.10526, 0.48276]",87,0.14426,1.65326,0.52273,0.49645,"[0.68421, 0.37037, 0.43478]",60,COMPLETED,11.031
9,20260111_162221,gaitset_GREW_LOW30.csv,30%,Preset_36,TCN,42,256,"[128, 160, 192, 224, 256]","[1, 2, 4, 8, 16]",5,2,gelu,True,True,"[True, True, True, True, True]",max,320,nan,"[None, 0.05, 0.1, 0.1, 0.15]",96,AdamW,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10573,1.18827,0.54545,0.4016,"[0.65306, 0.0, 0.55172]",34,0.10674,1.20753,0.54545,0.48084,"[0.6383, 0.28571, 0.51852]",33,COMPLETED,4.331
10,20260111_162221,gaitset_LOW30.csv,30%,Preset_36,TCN,42,256,"[128, 160, 192, 224, 256]","[1, 2, 4, 8, 16]",5,2,gelu,True,True,"[True, True, True, True, True]",max,320,nan,"[None, 0.05, 0.1, 0.1, 0.15]",96,AdamW,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10567,1.18783,0.45455,0.35476,"[0.55, 0.0, 0.51429]",24,0.12889,1.14009,0.52273,0.40505,"[0.68182, 0.0, 0.53333]",19,COMPLETED,3.086
11,20260111_162221,gaitset_OUMVLP_LOW30.csv,30%,Preset_36,TCN,42,256,"[128, 160, 192, 224, 256]","[1, 2, 4, 8, 16]",5,2,gelu,True,True,"[True, True, True, True, True]",max,320,nan,"[None, 0.05, 0.1, 0.1, 0.15]",96,AdamW,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11021,1.62641,0.47727,0.37827,"[0.59259, 0.22222, 0.32]",93,0.6904,1.21164,0.47727,0.43445,"[0.42424, 0.30769, 0.57143]",38,COMPLETED,12.192
12,20260111_162221,gln_phase1_LOW30.csv,30%,Preset_36,TCN,42,256,"[128, 160, 192, 224, 256]","[1, 2, 4, 8, 16]",5,2,gelu,True,True,"[True, True, True, True, True]",max,320,nan,"[None, 0.05, 0.1, 0.1, 0.15]",96,AdamW,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10864,1.11674,0.5,0.45198,"[0.58537, 0.28571, 0.48485]",29,0.11351,1.07348,0.54545,0.50635,"[0.61905, 0.4, 0.5]",25,COMPLETED,4.04
13,20260111_162221,gln_phase2_LOW30.csv,30%,Preset_36,TCN,42,256,"[128, 160, 192, 224, 256]","[1, 2, 4, 8, 16]",5,2,gelu,True,True,"[True, True, True, True, True]",max,320,nan,"[None, 0.05, 0.1, 0.1, 0.15]",96,AdamW,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.10532,1.19801,0.40909,0.33126,"[0.56522, 0.14286, 0.28571]",25,0.15513,1.12918,0.52273,0.42063,"[0.64151, 0.25, 0.37037]",18,COMPLETED,3.453
14,20260111_162221,baseline_CASIAB_LOW30.csv,30%,Preset_31,TCN,42,256,[256],[1],7,2,hardswish,False,False,[False],last,128,L2,[0.3],16,AdamW,,0.0001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11625,5.41117,0.40909,0.39583,"[0.5, 0.375, 0.3125]",522,0.58994,1.614,0.52273,0.49972,"[0.6, 0.42857, 0.47059]",114,COMPLETED,102.306
15,20260111_162221,baseline_OUMVLP_LOW30.csv,30%,Preset_31,TCN,42,256,[256],[1],7,2,hardswish,False,False,[False],last,128,L2,[0.3],16,AdamW,,0.0001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11876,2.56602,0.47727,0.37662,"[0.52381, 0.0, 0.60606]",437,0.65318,1.41339,0.59091,0.48677,"[0.66667, 0.22222, 0.57143]",105,COMPLETED,77.84
16,20260111_162221,gaitgl_GREW_BNNeck_LOW30.csv,30%,Preset_31,TCN,42,256,[256],[1],7,2,hardswish,False,False,[False],last,128,L2,[0.3],16,AdamW,,0.0001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11935,2.66905,0.34091,0.25308,"[0.46512, 0.0, 0.29412]",485,0.72985,1.43636,0.40909,0.37521,"[0.51064, 0.375, 0.24]",82,COMPLETED,87.894
17,20260111_162221,gaitgl_GREW_LOW30.csv,30%,Preset_31,TCN,42,256,[256],[1],7,2,hardswish,False,False,[False],last,128,L2,[0.3],16,AdamW,,0.0001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11638,1.96891,0.40909,0.34832,"[0.51163, 0.13333, 0.4]",84,0.61201,1.11567,0.43182,0.41534,"[0.48889, 0.4, 0.35714]",23,COMPLETED,14.649
18,20260111_162221,gaitgl_LOW30.csv,30%,Preset_31,TCN,42,128,[256],[1],7,2,hardswish,False,False,[False],last,128,L2,[0.3],16,AdamW,,0.0001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1183,3.03457,0.36364,0.31052,"[0.47619, 0.14286, 0.3125]",218,0.61218,1.29273,0.47727,0.44599,"[0.60465, 0.4, 0.33333]",38,COMPLETED,37.969
19,20260111_162221,gaitgl_OUMVLP_LOW30.csv,30%,Preset_31,TCN,42,256,[256],[1],7,2,hardswish,False,False,[False],last,128,L2,[0.3],16,AdamW,,0.0001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11667,2.56727,0.45455,0.34532,"[0.55319, 0.0, 0.48276]",263,0.36754,2.64436,0.54545,0.40492,"[0.6087, 0.0, 0.60606]",137,COMPLETED,47.389
20,20260111_162221,gaitpart_GREW_LOW30.csv,30%,Preset_31,TCN,42,256,[256],[1],7,2,hardswish,False,False,[False],last,128,L2,[0.3],16,AdamW,,0.0001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11652,4.46658,0.5,0.45323,"[0.63636, 0.35294, 0.37037]",455,0.11772,4.60005,0.5,0.47225,"[0.57895, 0.35294, 0.48485]",438,COMPLETED,68.402
21,20260111_162221,gaitpart_OUMVLP_LOW30.csv,30%,Preset_31,TCN,42,256,[256],[1],7,2,hardswish,False,False,[False],last,128,L2,[0.3],16,AdamW,,0.0001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11674,2.93649,0.45455,0.40713,"[0.41379, 0.22222, 0.58537]",734,0.287,1.97753,0.54545,0.48413,"[0.5, 0.28571, 0.66667]",416,COMPLETED,109.797
22,20260111_162221,gaitset_GREW_LOW30.csv,30%,Preset_31,TCN,42,256,[256],[1],7,2,hardswish,False,False,[False],last,128,L2,[0.3],16,AdamW,,0.0001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11852,2.73738,0.34091,0.27619,"[0.42857, 0.0, 0.4]",233,0.62419,1.50313,0.43182,0.36919,"[0.42424, 0.13333, 0.55]",64,COMPLETED,43.201
23,20260111_162221,gaitset_LOW30.csv,30%,Preset_31,TCN,42,256,[256],[1],7,2,hardswish,False,False,[False],last,128,L2,[0.3],16,AdamW,,0.0001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11965,3.43306,0.34091,0.25466,"[0.47826, 0.0, 0.28571]",508,0.31555,3.48251,0.45455,0.43826,"[0.53659, 0.42105, 0.35714]",245,COMPLETED,93.926
24,20260111_162221,gaitset_OUMVLP_LOW30.csv,30%,Preset_31,TCN,42,256,[256],[1],7,2,hardswish,False,False,[False],last,128,L2,[0.3],16,AdamW,,0.0001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11072,3.15242,0.38636,0.35811,"[0.45, 0.21053, 0.41379]",1009,0.39273,2.35006,0.47727,0.46604,"[0.52632, 0.33333, 0.53846]",450,COMPLETED,186.814
25,20260111_162221,gln_phase1_LOW30.csv,30%,Preset_31,TCN,42,256,[256],[1],7,2,hardswish,False,False,[False],last,128,L2,[0.3],16,AdamW,,0.0001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11596,2.38084,0.5,0.44578,"[0.61905, 0.26667, 0.45161]",477,0.13233,2.65153,0.52273,0.48692,"[0.63415, 0.375, 0.45161]",385,COMPLETED,93.15
26,20260111_162221,gln_phase2_LOW30.csv,30%,Preset_31,TCN,42,256,[256],[1],7,2,hardswish,False,False,[False],last,128,L2,[0.3],16,AdamW,,0.0001,1e-06,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11922,3.01504,0.47727,0.37143,"[0.6, 0.0, 0.51429]",295,0.73935,1.36559,0.43182,0.40986,"[0.5, 0.31579, 0.41379]",58,COMPLETED,55.164
27,20260111_162221,baseline_CASIAB_LOW30.csv,30%,Preset_42,TCN,42,256,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[True, False, False, False]",max,256,L2,"[0.0, 0.1, 0.1, 0.0]",16,RMSprop,,0.0001,5e-07,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11307,1.53503,0.47727,0.46446,"[0.52941, 0.34783, 0.51613]",60,0.1218,1.34108,0.59091,0.54245,"[0.68182, 0.35294, 0.59259]",55,COMPLETED,15.93
28,20260111_162221,baseline_OUMVLP_LOW30.csv,30%,Preset_42,TCN,42,256,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[True, False, False, False]",max,256,L2,"[0.0, 0.1, 0.1, 0.0]",16,RMSprop,,0.0001,5e-07,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11674,1.2899,0.54545,0.40212,"[0.57778, 0.0, 0.62857]",85,0.66032,1.21984,0.63636,0.52303,"[0.7037, 0.25, 0.61538]",33,COMPLETED,22.229
29,20260111_162221,gaitgl_GREW_BNNeck_LOW30.csv,30%,Preset_42,TCN,42,256,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[True, False, False, False]",max,256,L2,"[0.0, 0.1, 0.1, 0.0]",16,RMSprop,,0.0001,5e-07,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11407,1.65206,0.36364,0.32112,"[0.32432, 0.2, 0.43902]",57,0.12205,1.66979,0.5,0.40952,"[0.6, 0.2, 0.42857]",48,COMPLETED,15.628
30,20260111_162221,gaitgl_GREW_LOW30.csv,30%,Preset_42,TCN,42,256,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[True, False, False, False]",max,256,L2,"[0.0, 0.1, 0.1, 0.0]",16,RMSprop,,0.0001,5e-07,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11386,1.43309,0.54545,0.49327,"[0.54054, 0.30769, 0.63158]",23,0.11342,1.38704,0.59091,0.49664,"[0.61905, 0.22222, 0.64865]",22,COMPLETED,6.322
31,20260111_162221,gaitgl_LOW30.csv,30%,Preset_42,TCN,42,128,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[True, False, False, False]",max,256,L2,"[0.0, 0.1, 0.1, 0.0]",16,RMSprop,,0.0001,5e-07,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11283,1.30105,0.45455,0.32844,"[0.51163, 0.0, 0.47368]",24,0.12182,1.17601,0.5,0.42395,"[0.58537, 0.2, 0.48649]",17,COMPLETED,6.376
32,20260111_162221,gaitgl_OUMVLP_LOW30.csv,30%,Preset_42,TCN,42,256,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[True, False, False, False]",max,256,L2,"[0.0, 0.1, 0.1, 0.0]",16,RMSprop,,0.0001,5e-07,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11846,1.75369,0.36364,0.29163,"[0.4878, 0.0, 0.3871]",149,0.15141,1.969,0.5,0.36488,"[0.52941, 0.0, 0.56522]",108,COMPLETED,40.092
33,20260111_162221,gaitpart_GREW_LOW30.csv,30%,Preset_42,TCN,42,256,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[True, False, False, False]",max,256,L2,"[0.0, 0.1, 0.1, 0.0]",16,RMSprop,,0.0001,5e-07,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11286,1.67711,0.47727,0.40696,"[0.57143, 0.13333, 0.51613]",117,0.13128,1.74712,0.61364,0.5937,"[0.68421, 0.47619, 0.62069]",91,COMPLETED,26.244
34,20260111_162221,gaitpart_OUMVLP_LOW30.csv,30%,Preset_42,TCN,42,256,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[True, False, False, False]",max,256,L2,"[0.0, 0.1, 0.1, 0.0]",16,RMSprop,,0.0001,5e-07,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11641,1.72276,0.45455,0.33191,"[0.4, 0.0, 0.59574]",163,0.11966,1.32066,0.56818,0.53488,"[0.60465, 0.4, 0.6]",160,COMPLETED,36.542
35,20260111_162221,gaitset_GREW_LOW30.csv,30%,Preset_42,TCN,42,256,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[True, False, False, False]",max,256,L2,"[0.0, 0.1, 0.1, 0.0]",16,RMSprop,,0.0001,5e-07,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11321,2.02423,0.31818,0.30433,"[0.45714, 0.14815, 0.30769]",85,0.12305,1.76018,0.47727,0.41162,"[0.55814, 0.125, 0.55172]",68,COMPLETED,22.952
36,20260111_162221,gaitset_LOW30.csv,30%,Preset_42,TCN,42,256,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[True, False, False, False]",max,256,L2,"[0.0, 0.1, 0.1, 0.0]",16,RMSprop,,0.0001,5e-07,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11775,1.49064,0.43182,0.31907,"[0.54545, 0.0, 0.41176]",48,0.26397,1.42156,0.52273,0.48561,"[0.65116, 0.42105, 0.38462]",22,COMPLETED,12.89
37,20260111_162221,gaitset_OUMVLP_LOW30.csv,30%,Preset_42,TCN,42,256,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[True, False, False, False]",max,256,L2,"[0.0, 0.1, 0.1, 0.0]",16,RMSprop,,0.0001,5e-07,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11486,1.34078,0.5,0.41351,"[0.63636, 0.16667, 0.4375]",224,0.11434,1.39113,0.59091,0.49359,"[0.73077, 0.33333, 0.41667]",223,COMPLETED,60.568
38,20260111_162221,gln_phase1_LOW30.csv,30%,Preset_42,TCN,42,256,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[True, False, False, False]",max,256,L2,"[0.0, 0.1, 0.1, 0.0]",16,RMSprop,,0.0001,5e-07,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1186,1.31698,0.40909,0.30392,"[0.41176, 0.0, 0.5]",54,0.14488,1.47412,0.52273,0.45309,"[0.69565, 0.31579, 0.34783]",34,COMPLETED,14.906
39,20260111_162221,gln_phase2_LOW30.csv,30%,Preset_42,TCN,42,256,"[384, 256, 192, 128]","[2, 4, 8, 16]",3,1,elu,False,False,"[True, False, False, False]",max,256,L2,"[0.0, 0.1, 0.1, 0.0]",16,RMSprop,,0.0001,5e-07,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1138,1.51932,0.40909,0.37817,"[0.48649, 0.21053, 0.4375]",54,0.14927,1.58359,0.52273,0.48994,"[0.6087, 0.44444, 0.41667]",31,COMPLETED,14.65
40,20260111_162221,baseline_CASIAB_LOW30.csv,30%,Preset_17,TCN,42,256,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[False, True, False, False]",mean,256,L2,"[0.0, 0.0, 0.2, 0.0]",16,AdamW,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11424,2.12493,0.40909,0.30688,"[0.47619, 0.0, 0.44444]",68,0.67632,1.38181,0.45455,0.43238,"[0.52632, 0.33333, 0.4375]",27,COMPLETED,23.032
41,20260111_162221,baseline_OUMVLP_LOW30.csv,30%,Preset_17,TCN,42,256,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[False, True, False, False]",mean,256,L2,"[0.0, 0.0, 0.2, 0.0]",16,AdamW,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11805,1.70327,0.45455,0.4101,"[0.36364, 0.26667, 0.6]",98,0.40346,1.26675,0.54545,0.51505,"[0.5641, 0.375, 0.60606]",45,COMPLETED,33.283
42,20260111_162221,gaitgl_GREW_BNNeck_LOW30.csv,30%,Preset_17,TCN,42,256,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[False, True, False, False]",mean,256,L2,"[0.0, 0.0, 0.2, 0.0]",16,AdamW,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.1147,1.88611,0.40909,0.3804,"[0.42105, 0.23529, 0.48485]",80,0.13368,1.93579,0.5,0.45877,"[0.55814, 0.33333, 0.48485]",57,COMPLETED,27.406
43,20260111_162221,gaitgl_GREW_LOW30.csv,30%,Preset_17,TCN,42,256,"[128, 128, 128, 128]","[1, 4, 7, 10]",3,2,prelu,False,True,"[False, True, False, False]",mean,256,L2,"[0.0, 0.0, 0.2, 0.0]",16,AdamW,,0.0001,0.0,[0.68794326 2.1920904  0.91725768],0.02,1.0,0.11206,1.678,0.47727,0.40575,"[0.48649, 0.16667, 0.5641]",42,0.43289,1.28124,0.5,0.45507,"[0.46667, 0.33333, 0.56522]",22,COMPLETED,15.441
