id,embedding,best_f1_v1_v2,best_f1_v3,difference,f1_per_class_v1_v2_fmt,f1_per_class_v3_fmt,diff_f1_per_class
27,baseline_CASIAB.csv,0.48841,0.51266,0.02425,0.565 / 0.500 / 0.400,0.609 / 0.444 / 0.485,0.043 / -0.056 / 0.085
28,baseline_OUMVLP.csv,0.53695,0.53856,0.00161,0.622 / 0.364 / 0.625,0.585 / 0.364 / 0.667,-0.037 / 0.000 / 0.042
29,gaitgl.csv,0.37695,0.4518,0.07485,0.432 / 0.222 / 0.476,0.457 / 0.267 / 0.632,0.025 / 0.044 / 0.155
30,gaitgl_GREW.csv,0.52165,0.49618,-0.02547,0.636 / 0.500 / 0.429,0.681 / 0.308 / 0.500,0.044 / -0.192 / 0.071
31,gaitgl_GREW_BNNeck.csv,0.49043,0.51111,0.02068,0.578 / 0.375 / 0.519,0.514 / 0.333 / 0.686,-0.063 / -0.042 / 0.167
32,gaitgl_OUMVLP.csv,0.42342,0.41369,-0.00973,0.457 / 0.222 / 0.591,0.424 / 0.222 / 0.595,-0.033 / 0.000 / 0.004
33,gaitpart_GREW.csv,0.50907,0.66472,0.15565,0.609 / 0.400 / 0.519,0.732 / 0.615 / 0.647,0.123 / 0.215 / 0.129
34,gaitpart_OUMVLP.csv,0.60511,0.53357,-0.07154,0.649 / 0.500 / 0.667,0.622 / 0.333 / 0.645,-0.026 / -0.167 / -0.022
35,gaitset.csv,0.43288,0.52076,0.08788,0.560 / 0.375 / 0.364,0.565 / 0.545 / 0.452,0.005 / 0.170 / 0.088
36,gaitset_GREW.csv,0.43175,0.46645,0.0347,0.667 / 0.429 / 0.200,0.619 / 0.364 / 0.417,-0.048 / -0.065 / 0.217
37,gaitset_OUMVLP.csv,0.21538,0.57978,0.3644,0.646 / 0.000 / 0.000,0.694 / 0.545 / 0.500,0.048 / 0.545 / 0.500
38,gln_phase1.csv,0.68315,0.66966,-0.01349,0.632 / 0.769 / 0.649,0.735 / 0.714 / 0.560,0.103 / -0.055 / -0.089
39,gln_phase2.csv,0.5202,0.59931,0.07911,0.591 / 0.545 / 0.424,0.708 / 0.444 / 0.645,0.117 / -0.101 / 0.221
53,baseline_CASIAB.csv,0.50796,0.53606,0.0281,0.595 / 0.444 / 0.485,0.634 / 0.429 / 0.545,0.040 / -0.016 / 0.061
54,baseline_OUMVLP.csv,0.47475,0.55613,0.08138,0.636 / 0.182 / 0.606,0.619 / 0.364 / 0.686,-0.017 / 0.182 / 0.080
55,gaitgl.csv,0.42593,0.45904,0.03311,0.476 / 0.444 / 0.357,0.419 / 0.571 / 0.387,-0.058 / 0.127 / 0.030
56,gaitgl_GREW.csv,0.47795,0.49447,0.01652,0.585 / 0.182 / 0.667,0.636 / 0.200 / 0.647,0.051 / 0.018 / -0.020
57,gaitgl_GREW_BNNeck.csv,0.52735,0.55185,0.0245,0.537 / 0.545 / 0.500,0.622 / 0.533 / 0.500,0.086 / -0.012 / 0.000
58,gaitgl_OUMVLP.csv,0.37023,0.41604,0.04581,0.389 / 0.143 / 0.579,0.513 / 0.235 / 0.500,0.124 / 0.092 / -0.079
59,gaitpart_GREW.csv,0.43976,0.49815,0.05839,0.474 / 0.375 / 0.471,0.550 / 0.333 / 0.611,0.076 / -0.042 / 0.141
60,gaitpart_OUMVLP.csv,0.54677,0.59781,0.05104,0.667 / 0.353 / 0.621,0.773 / 0.400 / 0.621,0.106 / 0.047 / 0.000
61,gaitset.csv,0.45615,0.55362,0.09747,0.638 / 0.286 / 0.444,0.681 / 0.500 / 0.480,0.043 / 0.214 / 0.036
