target_embedding,mean_f1_v1_v2,max_f1_v1_v2,std_f1_v1_v2,mean_f1_v3,max_f1_v3,std_f1_v3,mean_diff,max_diff
gaitpart_OUMVLP.csv,0.4521,0.68608,0.15403,0.53296,0.63471,0.07773,0.08086,-0.05137
gaitgl_OUMVLP.csv,0.42915,0.58742,0.09621,0.4886,0.59305,0.08557,0.05945,0.00563
gaitset_OUMVLP.csv,0.42544,0.60877,0.15387,0.47292,0.65843,0.12715,0.04748,0.04966
gaitgl.csv,0.41319,0.5538,0.05884,0.4525,0.58696,0.05966,0.03931,0.03316
gaitpart_GREW.csv,0.49875,0.62018,0.07945,0.53687,0.63727,0.05011,0.03812,0.01709
gaitgl_GREW.csv,0.4262,0.60458,0.06069,0.46384,0.56852,0.04994,0.03765,-0.03606
baseline_CASIAB.csv,0.47856,0.58606,0.05645,0.51128,0.58742,0.05317,0.03272,0.00136
gaitset.csv,0.3873,0.53612,0.05626,0.41788,0.543,0.05904,0.03058,0.00688
gaitgl_GREW_BNNeck.csv,0.44209,0.59591,0.06796,0.47136,0.58757,0.04658,0.02927,-0.00834
gaitset_GREW.csv,0.43074,0.57227,0.0605,0.45573,0.57629,0.09375,0.02499,0.00402
gln_phase2.csv,0.49466,0.6385,0.0579,0.51858,0.65207,0.06719,0.02392,0.01357
gln_phase1.csv,0.48343,0.63665,0.08698,0.50039,0.62735,0.07352,0.01696,-0.0093
baseline_OUMVLP.csv,0.50818,0.58171,0.04446,0.50645,0.59931,0.07808,-0.00173,0.0176
