number,value,state,datetime_start,datetime_complete,duration,model_dims,activation,batch_size,dim_feedforward,dropout,lr,momentum_sgd,norm,norm_type,num_heads,num_layers,optimizer,pooling,pos_encoding,weight_decay
0,0.21758419036095988,COMPLETE,2025-11-24 13:32:34.445747,2025-11-24 13:32:58.929188,0 days 00:00:24.483441,[384],hardswish,128,384,0.3,1e-05,,minmax,postnorm,4,1,AdamW,max,sinusoidal,1e-06
1,0.21758419036095988,COMPLETE,2025-11-24 13:32:58.931194,2025-11-24 13:33:59.690407,0 days 00:01:00.759213,"[256, 256]",prelu,48,512,0.2,0.0001,0.0,minmax,postnorm,16,2,SGD,cls,learned,1e-05
2,0.41639215717546796,COMPLETE,2025-11-24 13:33:59.693189,2025-11-24 13:36:29.100876,0 days 00:02:29.407687,"[640, 512]",silu,48,128,0.2,5e-05,,L2,postnorm,16,2,AdamW,mean,learned,0.0
3,0.21758419036095988,COMPLETE,2025-11-24 13:36:29.103694,2025-11-24 13:37:54.350861,0 days 00:01:25.247167,[640],mish,16,384,0.3,0.0005,,minmax,postnorm,16,1,Adam,mean,learned,1e-05
4,0.08888888888888889,PRUNED,2025-11-24 13:37:54.357806,2025-11-24 13:38:13.517049,0 days 00:00:19.159243,"[640, 768]",leakyrelu,64,128,0.1,0.001,,minmax,postnorm,16,2,AdamW,mean,learned,0.0
5,0.1761006289308176,PRUNED,2025-11-24 13:38:13.518052,2025-11-24 13:38:26.633022,0 days 00:00:13.114970,"[128, 96]",leakyrelu,48,128,0.2,2e-05,,L2,prenorm,16,2,Adam,mean,sinusoidal,1e-07
6,0.08888888888888889,PRUNED,2025-11-24 13:38:26.633022,2025-11-24 13:38:35.383995,0 days 00:00:08.750973,"[64, 64, 64]",gelu,96,512,0.4,0.0001,0.0,minmax,prenorm,2,3,SGD,mean,sinusoidal,1e-05
7,0.22090314457386132,COMPLETE,2025-11-24 13:38:35.383995,2025-11-24 13:40:23.510625,0 days 00:01:48.126630,"[256, 256, 256, 256]",gelu,32,768,0.0,1e-05,,minmax,postnorm,4,4,RMSprop,cls,sinusoidal,1e-06
8,0.21758419036095988,COMPLETE,2025-11-24 13:40:23.510625,2025-11-24 13:40:50.069076,0 days 00:00:26.558451,[64],leakyrelu,64,384,0.0,2e-05,,L2,prenorm,2,1,RMSprop,mean,sinusoidal,1e-05
9,0.4306768135981203,COMPLETE,2025-11-24 13:40:50.071580,2025-11-24 13:42:13.768123,0 days 00:01:23.696543,"[640, 640]",relu,48,256,0.0,0.0001,,L2,postnorm,4,2,RMSprop,max,sinusoidal,1e-05
10,0.46680415957338506,COMPLETE,2025-11-24 13:42:13.775138,2025-11-24 13:45:53.863009,0 days 00:03:40.087871,"[64, 96, 128, 192]",relu,32,256,0.0,0.0002,,L2,prenorm,8,4,RMSprop,max,sinusoidal,1e-07
11,0.431660201772967,COMPLETE,2025-11-24 13:45:53.863009,2025-11-24 13:49:20.382268,0 days 00:03:26.519259,"[64, 96, 128, 192]",relu,32,256,0.0,0.0002,,L2,prenorm,8,4,RMSprop,max,sinusoidal,1e-07
12,0.41694211530514097,COMPLETE,2025-11-24 13:49:20.390344,2025-11-24 13:52:33.338889,0 days 00:03:12.948545,"[64, 96, 128, 192]",relu,32,256,0.0,0.0002,,L2,prenorm,8,4,RMSprop,max,sinusoidal,1e-07
13,0.21839080459770113,PRUNED,2025-11-24 13:52:33.341901,2025-11-24 13:53:52.935154,0 days 00:01:19.593253,"[96, 128, 192, 256]",elu,32,256,0.0,0.0002,,L2,prenorm,8,4,RMSprop,max,sinusoidal,1e-07
14,0.1761006289308176,PRUNED,2025-11-24 13:53:52.936162,2025-11-24 13:54:15.606098,0 days 00:00:22.669936,"[192, 256, 384]",relu,32,256,0.4,0.0002,,L2,prenorm,8,3,RMSprop,max,sinusoidal,1e-07
15,0.18238993710691823,PRUNED,2025-11-24 13:54:15.607106,2025-11-24 13:55:20.024659,0 days 00:01:04.417553,"[96, 128, 192]",relu,32,256,0.1,0.0002,,L2,prenorm,8,3,RMSprop,max,sinusoidal,1e-07
16,0.08888888888888889,PRUNED,2025-11-24 13:55:20.025666,2025-11-24 13:56:08.149912,0 days 00:00:48.124246,"[64, 96, 128, 192]",relu,128,768,0.0,0.0002,,L2,prenorm,8,4,RMSprop,max,sinusoidal,1e-07
17,0.21758419036095988,COMPLETE,2025-11-24 13:56:08.150920,2025-11-24 13:57:04.292591,0 days 00:00:56.141671,"[128, 192, 256]",silu,96,256,0.0,5e-05,0.8,L2,prenorm,8,3,SGD,max,sinusoidal,1e-07
18,0.21758419036095988,COMPLETE,2025-11-24 13:57:04.295100,2025-11-24 14:01:01.126187,0 days 00:03:56.831087,"[96, 128, 192, 256]",elu,16,256,0.0,0.001,,L2,prenorm,8,4,Adam,cls,learned,1e-07
19,0.08888888888888889,PRUNED,2025-11-24 14:01:01.129209,2025-11-24 14:01:59.722736,0 days 00:00:58.593527,"[192, 256, 384, 512]",mish,32,256,0.1,0.0005,,L2,prenorm,8,4,RMSprop,max,sinusoidal,1e-06
20,0.21839080459770113,PRUNED,2025-11-24 14:01:59.724252,2025-11-24 14:02:20.940368,0 days 00:00:21.216116,"[256, 384, 512]",prelu,32,512,0.3,0.0002,,L2,prenorm,2,3,RMSprop,max,sinusoidal,0.0
21,0.4226457996812222,COMPLETE,2025-11-24 14:02:20.941371,2025-11-24 14:04:21.680277,0 days 00:02:00.738906,"[768, 768]",relu,48,256,0.0,0.0001,,L2,postnorm,4,2,RMSprop,max,sinusoidal,1e-05
22,0.1761006289308176,PRUNED,2025-11-24 14:04:21.683832,2025-11-24 14:05:09.550373,0 days 00:00:47.866541,"[768, 768, 768]",relu,48,256,0.0,0.0001,,L2,postnorm,4,3,RMSprop,max,sinusoidal,1e-05
23,0.21839080459770113,PRUNED,2025-11-24 14:05:09.551380,2025-11-24 14:06:02.638608,0 days 00:00:53.087228,"[512, 512, 512, 512]",relu,32,256,0.0,0.0002,,L2,postnorm,4,4,RMSprop,max,sinusoidal,1e-07
24,0.21839080459770113,PRUNED,2025-11-24 14:06:02.639785,2025-11-24 14:06:28.667588,0 days 00:00:26.027803,"[96, 96, 96]",hardswish,96,768,0.0,0.0001,,L2,prenorm,4,3,RMSprop,max,sinusoidal,1e-07
25,0.21238938053097345,PRUNED,2025-11-24 14:06:28.669678,2025-11-24 14:07:28.527431,0 days 00:00:59.857753,"[384, 512]",relu,16,256,0.4,0.0002,,L2,prenorm,8,2,RMSprop,cls,sinusoidal,1e-05
26,0.08888888888888889,PRUNED,2025-11-24 14:07:28.528436,2025-11-24 14:07:48.531106,0 days 00:00:20.002670,"[512, 512, 512, 512]",relu,128,256,0.0,2e-05,,L2,postnorm,8,4,AdamW,max,learned,1e-06
27,0.08888888888888889,PRUNED,2025-11-24 14:07:48.532106,2025-11-24 14:08:01.399631,0 days 00:00:12.867525,[128],relu,64,256,0.0,1e-05,0.7,L2,prenorm,4,1,SGD,max,sinusoidal,0.0
28,0.20420420420420418,PRUNED,2025-11-24 14:08:01.400631,2025-11-24 14:08:18.789372,0 days 00:00:17.388741,"[64, 96, 128]",relu,48,256,0.0,5e-05,,L2,postnorm,2,3,Adam,max,sinusoidal,1e-07
