number,value,state,datetime_start,datetime_complete,duration,model_dims,activation,batch_size,dim_feedforward,dropout,lr,momentum_sgd,norm,norm_type,num_heads,num_layers,optimizer,pooling,pos_encoding,weight_decay
0,0.21758419036095988,COMPLETE,2025-11-24 20:49:14.688573,2025-11-24 20:50:00.119703,0 days 00:00:45.431130,"[64, 96]",prelu,96,768,0.2,0.0001,0.9,L2,prenorm,16,2,SGD,max,sinusoidal,0.0
1,0.21758419036095988,COMPLETE,2025-11-24 20:50:00.121709,2025-11-24 20:51:51.612478,0 days 00:01:51.490769,"[384, 512]",mish,16,128,0.0,5e-05,0.7,L2,prenorm,2,2,SGD,mean,sinusoidal,0.0
2,0.1761006289308176,PRUNED,2025-11-24 20:51:51.614547,2025-11-24 20:52:04.800596,0 days 00:00:13.186049,[128],gelu,64,256,0.3,2e-05,,minmax,prenorm,2,1,Adam,cls,sinusoidal,1e-07
3,0.21758419036095988,COMPLETE,2025-11-24 20:52:04.801676,2025-11-24 20:52:43.929764,0 days 00:00:39.128088,"[256, 384]",gelu,96,256,0.0,0.0005,0.7,minmax,postnorm,4,2,SGD,mean,learned,1e-07
4,0.18238993710691823,PRUNED,2025-11-24 20:52:43.931771,2025-11-24 20:53:16.142654,0 days 00:00:32.210883,"[192, 128]",hardswish,128,256,0.4,2e-05,,minmax,prenorm,8,2,Adam,max,learned,1e-07
5,0.21758419036095988,COMPLETE,2025-11-24 20:53:16.144381,2025-11-24 20:53:54.333940,0 days 00:00:38.189559,[64],mish,48,128,0.2,0.0001,0.8,L2,postnorm,4,1,SGD,cls,sinusoidal,1e-07
6,0.21758419036095988,COMPLETE,2025-11-24 20:53:54.335949,2025-11-24 20:55:57.790320,0 days 00:02:03.454371,"[128, 96]",prelu,16,384,0.3,2e-05,0.0,L2,prenorm,4,2,SGD,mean,sinusoidal,1e-06
7,0.21758419036095988,COMPLETE,2025-11-24 20:55:57.792320,2025-11-24 20:57:03.609806,0 days 00:01:05.817486,"[384, 384, 384]",elu,48,256,0.0,0.001,0.8,minmax,prenorm,4,3,SGD,mean,learned,1e-05
8,0.21758419036095988,COMPLETE,2025-11-24 20:57:03.612184,2025-11-24 20:59:22.017768,0 days 00:02:18.405584,"[256, 192, 128, 96]",silu,32,256,0.2,0.001,,L2,postnorm,16,4,AdamW,mean,sinusoidal,1e-06
9,0.2853405934604235,COMPLETE,2025-11-24 20:59:22.020412,2025-11-24 21:01:01.235074,0 days 00:01:39.214662,[640],silu,16,128,0.1,1e-05,,L2,prenorm,8,1,Adam,max,sinusoidal,1e-07
10,0.34288236944082306,COMPLETE,2025-11-24 21:01:01.235433,2025-11-24 21:03:02.197329,0 days 00:02:00.961896,[768],silu,16,512,0.1,1e-05,,L2,postnorm,8,1,RMSprop,max,learned,1e-05
11,0.18238993710691823,PRUNED,2025-11-24 21:03:02.200351,2025-11-24 21:04:00.180470,0 days 00:00:57.980119,[768],silu,16,512,0.1,1e-05,,L2,postnorm,8,1,RMSprop,max,learned,1e-05
12,0.30544283010734813,COMPLETE,2025-11-24 21:04:00.181473,2025-11-24 21:05:55.762006,0 days 00:01:55.580533,[768],silu,16,512,0.1,1e-05,,L2,postnorm,8,1,RMSprop,max,learned,1e-05
13,0.1761006289308176,PRUNED,2025-11-24 21:05:55.764016,2025-11-24 21:06:35.477346,0 days 00:00:39.713330,"[512, 640, 768]",leakyrelu,16,512,0.1,0.0002,,L2,postnorm,8,3,RMSprop,max,learned,1e-05
14,0.21758419036095988,COMPLETE,2025-11-24 21:06:35.478350,2025-11-24 21:07:19.773169,0 days 00:00:44.294819,[768],relu,64,512,0.1,1e-05,,L2,postnorm,8,1,RMSprop,max,learned,1e-05
15,0.18238993710691823,PRUNED,2025-11-24 21:07:19.776297,2025-11-24 21:09:07.391325,0 days 00:01:47.615028,"[768, 768, 768, 768]",silu,32,512,0.1,1e-05,,L2,postnorm,8,4,RMSprop,max,learned,1e-05
16,0.08888888888888889,PRUNED,2025-11-24 21:09:07.392094,2025-11-24 21:09:15.205995,0 days 00:00:07.813901,[512],silu,128,512,0.4,1e-05,,L2,postnorm,8,1,RMSprop,max,learned,1e-05
17,0.18238993710691823,PRUNED,2025-11-24 21:09:15.205995,2025-11-24 21:11:02.333869,0 days 00:01:47.127874,"[384, 512, 640]",leakyrelu,16,768,0.1,5e-05,,L2,postnorm,8,3,AdamW,cls,learned,1e-05
18,0.1761006289308176,PRUNED,2025-11-24 21:11:02.334872,2025-11-24 21:11:13.024789,0 days 00:00:10.689917,[768],relu,16,384,0.1,0.0002,,minmax,postnorm,16,1,RMSprop,max,learned,1e-05
19,0.2144927536231884,PRUNED,2025-11-24 21:11:13.026789,2025-11-24 21:11:40.843858,0 days 00:00:27.817069,"[64, 64]",hardswish,16,512,0.1,0.0005,,L2,postnorm,2,2,RMSprop,max,learned,0.0
20,0.21758419036095988,COMPLETE,2025-11-24 21:11:40.843858,2025-11-24 21:12:31.947465,0 days 00:00:51.103607,[640],elu,32,512,0.3,1e-05,,L2,postnorm,8,1,RMSprop,cls,learned,1e-06
21,0.18238993710691823,PRUNED,2025-11-24 21:12:31.949476,2025-11-24 21:13:22.906749,0 days 00:00:50.957273,[640],silu,16,128,0.1,1e-05,,L2,prenorm,8,1,Adam,max,sinusoidal,1e-07
22,0.21758419036095988,COMPLETE,2025-11-24 21:13:22.907750,2025-11-24 21:14:43.430992,0 days 00:01:20.523242,[640],silu,16,128,0.1,1e-05,,L2,prenorm,8,1,Adam,max,sinusoidal,1e-07
23,0.279306560578092,COMPLETE,2025-11-24 21:14:43.433008,2025-11-24 21:16:16.379848,0 days 00:01:32.946840,[768],silu,16,128,0.1,1e-05,,L2,prenorm,8,1,Adam,max,sinusoidal,1e-05
24,0.30071115544799754,COMPLETE,2025-11-24 21:16:16.381594,2025-11-24 21:18:41.089017,0 days 00:02:24.707423,"[512, 640]",silu,16,512,0.1,1e-05,,L2,postnorm,8,2,AdamW,max,learned,1e-05
25,0.08888888888888889,PRUNED,2025-11-24 21:18:41.089017,2025-11-24 21:18:53.632133,0 days 00:00:12.543116,"[512, 640]",silu,64,512,0.4,1e-05,,L2,postnorm,8,2,AdamW,max,learned,1e-05
26,0.318941762859663,COMPLETE,2025-11-24 21:18:53.632133,2025-11-24 21:20:48.204803,0 days 00:01:54.572670,"[384, 512, 640]",silu,48,512,0.1,1e-05,,minmax,postnorm,8,3,AdamW,max,learned,1e-05
27,0.1761006289308176,PRUNED,2025-11-24 21:20:48.207723,2025-11-24 21:21:16.971519,0 days 00:00:28.763796,"[128, 192, 256]",silu,48,512,0.1,0.001,,minmax,postnorm,2,3,AdamW,max,learned,1e-05
28,0.1761006289308176,PRUNED,2025-11-24 21:21:16.971519,2025-11-24 21:21:40.405288,0 days 00:00:23.433769,"[384, 256, 192, 128]",gelu,48,512,0.1,0.0002,,minmax,postnorm,16,4,AdamW,cls,learned,1e-05
29,0.21758419036095988,COMPLETE,2025-11-24 21:21:40.405288,2025-11-24 21:23:23.027804,0 days 00:01:42.622516,"[768, 768, 768]",prelu,96,768,0.2,0.0001,,minmax,postnorm,16,3,RMSprop,max,learned,0.0
30,0.1761006289308176,PRUNED,2025-11-24 21:23:23.030930,2025-11-24 21:23:55.187174,0 days 00:00:32.156244,"[96, 128, 192]",relu,48,384,0.0,0.0005,,minmax,postnorm,8,3,RMSprop,max,learned,1e-05
31,0.08888888888888889,PRUNED,2025-11-24 21:23:55.188178,2025-11-24 21:24:07.307459,0 days 00:00:12.119281,"[512, 640]",silu,128,512,0.1,1e-05,,L2,postnorm,8,2,AdamW,max,learned,1e-05
32,0.3337472656390389,COMPLETE,2025-11-24 21:24:07.308707,2025-11-24 21:25:05.392206,0 days 00:00:58.083499,"[384, 512]",mish,96,512,0.1,5e-05,,minmax,postnorm,8,2,AdamW,max,learned,1e-05
33,0.1761006289308176,PRUNED,2025-11-24 21:25:05.399961,2025-11-24 21:25:16.831295,0 days 00:00:11.431334,"[256, 384]",mish,96,512,0.1,5e-05,,minmax,postnorm,8,2,AdamW,max,learned,0.0
34,0.1761006289308176,PRUNED,2025-11-24 21:25:16.837876,2025-11-24 21:25:40.410869,0 days 00:00:23.572993,"[192, 256, 384]",mish,96,768,0.3,5e-05,,minmax,postnorm,2,3,AdamW,max,learned,1e-05
