embedding,best_f1_cv,model_dims,activation,batch_size,dim_feedforward,dropout,lr,momentum_sgd,norm,norm_type,num_heads,num_layers,optimizer,pooling,pos_encoding,weight_decay
baseline_CASIAB.csv,0.4237,"[768, 640]",silu,16,256,0.1,5e-05,,L2,postnorm,4,2,AdamW,mean,learned,1e-06
baseline_OUMVLP.csv,0.5002,[384],relu,16,512,0.0,0.0005,,L2,postnorm,8,1,AdamW,max,learned,0.0
gaitgl.csv,0.4715,[128],mish,32,768,0.0,0.0002,,L2,prenorm,2,1,RMSprop,cls,sinusoidal,1e-05
gaitgl_GREW.csv,0.4604,[768],hardswish,16,128,0.4,0.0002,,L2,prenorm,2,1,RMSprop,mean,learned,1e-07
gaitgl_GREW_BNNeck.csv,0.4477,"[128, 96]",hardswish,64,128,0.0,0.0005,,L2,postnorm,4,2,AdamW,mean,sinusoidal,1e-07
gaitgl_OUMVLP.csv,0.382,"[192, 128]",silu,32,128,0.0,0.0001,,L2,postnorm,16,2,RMSprop,max,sinusoidal,0.0
gaitpart_GREW.csv,0.4774,[512],gelu,32,256,0.1,0.0002,,L2,prenorm,8,1,AdamW,mean,sinusoidal,1e-07
gaitpart_OUMVLP.csv,0.4156,[192],leakyrelu,64,128,0.0,0.0002,,minmax,prenorm,4,1,Adam,max,sinusoidal,1e-07
gaitset.csv,0.4724,"[512, 512, 512]",hardswish,48,256,0.0,0.0002,,L2,prenorm,4,3,RMSprop,max,sinusoidal,1e-05
gaitset_GREW.csv,0.3429,[768],silu,16,512,0.1,1e-05,,L2,postnorm,8,1,RMSprop,max,learned,1e-05
gaitset_OUMVLP.csv,0.2783,[256],relu,64,128,0.0,0.0005,,L2,postnorm,4,1,AdamW,mean,sinusoidal,1e-07
gln_phase1.csv,0.486,[192],elu,48,256,0.0,0.0005,,L2,postnorm,2,1,Adam,cls,sinusoidal,1e-06
gln_phase2.csv,0.3976,"[640, 512]",silu,48,128,0.2,5e-05,,L2,postnorm,16,2,AdamW,mean,learned,0.0
