number,value,state,datetime_start,datetime_complete,duration,model_dims,activation,batch_size,dim_feedforward,dropout,lr,momentum_sgd,norm,norm_type,num_heads,num_layers,optimizer,pooling,pos_encoding,weight_decay
0,0.24870637017614797,COMPLETE,2025-11-24 12:00:18.225954,2025-11-24 12:00:38.197098,0 days 00:00:19.971144,[384],hardswish,128,384,0.3,1e-05,,minmax,postnorm,4,1,AdamW,max,sinusoidal,1e-06
1,0.21758419036095988,COMPLETE,2025-11-24 12:00:38.198098,2025-11-24 12:01:24.707651,0 days 00:00:46.509553,"[256, 256]",prelu,48,512,0.2,0.0001,0.0,minmax,postnorm,16,2,SGD,cls,learned,1e-05
2,0.34841385273596875,COMPLETE,2025-11-24 12:01:24.710758,2025-11-24 12:02:50.929673,0 days 00:01:26.218915,"[640, 512]",silu,48,128,0.2,5e-05,,L2,postnorm,16,2,AdamW,mean,learned,0.0
3,0.21758419036095988,COMPLETE,2025-11-24 12:02:50.931746,2025-11-24 12:04:01.830335,0 days 00:01:10.898589,[640],mish,16,384,0.3,0.0005,,minmax,postnorm,16,1,Adam,mean,learned,1e-05
4,0.08888888888888889,PRUNED,2025-11-24 12:04:01.832336,2025-11-24 12:04:10.515172,0 days 00:00:08.682836,"[640, 768]",leakyrelu,64,128,0.1,0.001,,minmax,postnorm,16,2,AdamW,mean,learned,0.0
5,0.21758419036095988,COMPLETE,2025-11-24 12:04:10.515172,2025-11-24 12:04:56.945000,0 days 00:00:46.429828,"[128, 96]",leakyrelu,48,128,0.2,2e-05,,L2,prenorm,16,2,Adam,mean,sinusoidal,1e-07
6,0.08888888888888889,PRUNED,2025-11-24 12:04:56.947023,2025-11-24 12:05:04.330056,0 days 00:00:07.383033,"[64, 64, 64]",gelu,96,512,0.4,0.0001,0.0,minmax,prenorm,2,3,SGD,mean,sinusoidal,1e-05
7,0.23267934024160614,COMPLETE,2025-11-24 12:05:04.331056,2025-11-24 12:06:39.373153,0 days 00:01:35.042097,"[256, 256, 256, 256]",gelu,32,768,0.0,1e-05,,minmax,postnorm,4,4,RMSprop,cls,sinusoidal,1e-06
8,0.1761006289308176,PRUNED,2025-11-24 12:06:39.376794,2025-11-24 12:06:49.764913,0 days 00:00:10.388119,[64],leakyrelu,64,384,0.0,2e-05,,L2,prenorm,2,1,RMSprop,mean,sinusoidal,1e-05
9,0.1761006289308176,PRUNED,2025-11-24 12:06:49.765883,2025-11-24 12:06:59.926024,0 days 00:00:10.160141,"[640, 640]",relu,48,256,0.0,0.0001,,L2,postnorm,4,2,RMSprop,max,sinusoidal,1e-05
