number,value,state,datetime_start,datetime_complete,duration,model_dims,activation,batch_size,dim_feedforward,dropout,lr,momentum_sgd,norm,norm_type,num_heads,num_layers,optimizer,pooling,pos_encoding,weight_decay
0,0.20335649279266182,COMPLETE,2025-11-24 12:43:02.942238,2025-11-24 12:43:36.569426,0 days 00:00:33.627188,"[64, 96]",prelu,96,768,0.2,0.0001,0.9,L2,prenorm,16,2,SGD,max,sinusoidal,0.0
1,0.21758419036095988,COMPLETE,2025-11-24 12:43:36.571492,2025-11-24 12:45:17.921657,0 days 00:01:41.350165,"[384, 512]",mish,16,128,0.0,5e-05,0.7,L2,prenorm,2,2,SGD,mean,sinusoidal,0.0
2,0.1761006289308176,PRUNED,2025-11-24 12:45:17.923658,2025-11-24 12:45:23.539727,0 days 00:00:05.616069,[128],gelu,64,256,0.3,2e-05,,minmax,prenorm,2,1,Adam,cls,sinusoidal,1e-07
3,0.1761006289308176,PRUNED,2025-11-24 12:45:23.540729,2025-11-24 12:45:29.960098,0 days 00:00:06.419369,"[256, 384]",gelu,96,256,0.0,0.0005,0.7,minmax,postnorm,4,2,SGD,mean,learned,1e-07
4,0.1761006289308176,PRUNED,2025-11-24 12:45:29.961310,2025-11-24 12:45:41.695946,0 days 00:00:11.734636,"[192, 128]",hardswish,128,256,0.4,2e-05,,minmax,prenorm,8,2,Adam,max,learned,1e-07
5,0.21758419036095988,COMPLETE,2025-11-24 12:45:41.697947,2025-11-24 12:46:11.953302,0 days 00:00:30.255355,[64],mish,48,128,0.2,0.0001,0.8,L2,postnorm,4,1,SGD,cls,sinusoidal,1e-07
6,0.08888888888888889,PRUNED,2025-11-24 12:46:11.955302,2025-11-24 12:46:34.491678,0 days 00:00:22.536376,"[128, 96]",prelu,16,384,0.3,2e-05,0.0,L2,prenorm,4,2,SGD,mean,sinusoidal,1e-06
7,0.21758419036095988,COMPLETE,2025-11-24 12:46:34.493096,2025-11-24 12:47:28.688924,0 days 00:00:54.195828,"[384, 384, 384]",elu,48,256,0.0,0.001,0.8,minmax,prenorm,4,3,SGD,mean,learned,1e-05
8,0.21758419036095988,COMPLETE,2025-11-24 12:47:28.690427,2025-11-24 12:49:12.288485,0 days 00:01:43.598058,"[256, 192, 128, 96]",silu,32,256,0.2,0.001,,L2,postnorm,16,4,AdamW,mean,sinusoidal,1e-06
9,0.27500016970239904,COMPLETE,2025-11-24 12:49:12.290499,2025-11-24 12:50:39.584906,0 days 00:01:27.294407,[640],silu,16,128,0.1,1e-05,,L2,prenorm,8,1,Adam,max,sinusoidal,1e-07
10,0.32179537426698895,COMPLETE,2025-11-24 12:50:39.586907,2025-11-24 12:52:27.545131,0 days 00:01:47.958224,[768],silu,16,512,0.1,1e-05,,L2,postnorm,8,1,RMSprop,max,learned,1e-05
