number,value,state,datetime_start,datetime_complete,duration,model_dims,activation,batch_size,dim_feedforward,dropout,lr,momentum_sgd,norm,norm_type,num_heads,num_layers,optimizer,pooling,pos_encoding,weight_decay
0,0.2384833704005697,COMPLETE,2025-11-24 16:40:34.088363,2025-11-24 16:44:41.532180,0 days 00:04:07.443817,"[768, 640, 512]",elu,16,256,0.1,2e-05,,minmax,prenorm,8,3,RMSprop,max,sinusoidal,0.0
1,0.21758419036095988,COMPLETE,2025-11-24 16:44:41.534194,2025-11-24 16:46:14.275795,0 days 00:01:32.741601,[512],leakyrelu,16,512,0.0,2e-05,,minmax,prenorm,8,1,Adam,cls,sinusoidal,0.0
2,0.21758419036095988,COMPLETE,2025-11-24 16:46:14.277822,2025-11-24 16:48:10.783857,0 days 00:01:56.506035,"[96, 96, 96, 96]",silu,32,768,0.0,0.0005,,L2,postnorm,2,4,AdamW,mean,learned,1e-07
3,0.21758419036095988,COMPLETE,2025-11-24 16:48:10.786385,2025-11-24 16:49:46.470199,0 days 00:01:35.683814,[64],gelu,16,384,0.4,0.0001,,L2,prenorm,16,1,RMSprop,mean,learned,1e-07
4,0.2115839243498818,PRUNED,2025-11-24 16:49:46.472212,2025-11-24 16:50:11.491455,0 days 00:00:25.019243,"[256, 256, 256, 256]",mish,32,512,0.2,0.0002,0.0,minmax,postnorm,4,4,SGD,max,sinusoidal,1e-06
5,0.1761006289308176,PRUNED,2025-11-24 16:50:11.493467,2025-11-24 16:50:21.462017,0 days 00:00:09.968550,"[96, 96]",relu,64,128,0.4,0.0005,0.7,L2,prenorm,2,2,SGD,mean,sinusoidal,1e-06
6,0.21758419036095988,COMPLETE,2025-11-24 16:50:21.463223,2025-11-24 16:52:10.372145,0 days 00:01:48.908922,"[640, 512, 384, 256]",elu,96,768,0.3,0.0005,0.8,minmax,postnorm,8,4,SGD,mean,learned,1e-06
7,0.21758419036095988,COMPLETE,2025-11-24 16:52:10.374647,2025-11-24 16:54:10.335655,0 days 00:01:59.961008,"[512, 640, 768]",silu,64,768,0.2,1e-05,,L2,postnorm,8,3,AdamW,cls,learned,1e-06
8,0.18238993710691823,PRUNED,2025-11-24 16:54:10.337689,2025-11-24 16:55:00.082296,0 days 00:00:49.744607,"[64, 96, 128, 192]",mish,64,768,0.4,0.0001,0.0,L2,postnorm,8,4,SGD,max,learned,0.0
9,0.21758419036095988,COMPLETE,2025-11-24 16:55:00.083296,2025-11-24 16:55:27.905995,0 days 00:00:27.822699,[64],hardswish,128,384,0.1,0.0005,,minmax,prenorm,4,1,Adam,mean,learned,1e-06
