number,value,state,datetime_start,datetime_complete,duration,model_dims,activation,batch_size,dim_feedforward,dropout,lr,momentum_sgd,norm,norm_type,num_heads,num_layers,optimizer,pooling,pos_encoding,weight_decay
0,0.21758419036095988,COMPLETE,2025-11-24 17:46:11.365795,2025-11-24 17:46:40.065222,0 days 00:00:28.699427,"[640, 512]",relu,128,512,0.0,0.0005,0.7,L2,prenorm,4,2,SGD,mean,learned,1e-07
1,0.38276489260379937,COMPLETE,2025-11-24 17:46:40.067249,2025-11-24 17:47:12.022204,0 days 00:00:31.954955,[64],mish,128,384,0.1,0.0005,,L2,prenorm,4,1,Adam,mean,learned,0.0
2,0.1761006289308176,PRUNED,2025-11-24 17:47:12.025234,2025-11-24 17:47:23.014190,0 days 00:00:10.988956,"[384, 256, 192]",silu,64,256,0.0,2e-05,0.7,minmax,prenorm,4,3,SGD,mean,learned,1e-07
3,0.08888888888888889,PRUNED,2025-11-24 17:47:23.015660,2025-11-24 17:47:45.422017,0 days 00:00:22.406357,"[640, 512, 384, 256]",leakyrelu,96,768,0.4,1e-05,0.9,L2,postnorm,2,4,SGD,cls,sinusoidal,1e-05
4,0.1761006289308176,PRUNED,2025-11-24 17:47:45.423031,2025-11-24 17:47:56.278729,0 days 00:00:10.855698,"[192, 128, 96, 64]",relu,96,128,0.4,0.0002,0.0,minmax,postnorm,16,4,SGD,max,sinusoidal,0.0
5,0.21839080459770113,PRUNED,2025-11-24 17:47:56.279756,2025-11-24 17:48:09.111652,0 days 00:00:12.831896,"[64, 64, 64, 64]",leakyrelu,64,768,0.0,2e-05,,minmax,postnorm,16,4,RMSprop,cls,sinusoidal,0.0
6,0.21758419036095988,COMPLETE,2025-11-24 17:48:09.112673,2025-11-24 17:50:07.691699,0 days 00:01:58.579026,"[256, 384, 512, 640]",gelu,32,384,0.1,0.001,,minmax,prenorm,4,4,RMSprop,cls,sinusoidal,1e-06
7,0.21758419036095988,COMPLETE,2025-11-24 17:50:07.695244,2025-11-24 17:50:43.089622,0 days 00:00:35.394378,"[256, 192, 128]",hardswish,128,256,0.4,2e-05,,L2,prenorm,4,3,Adam,cls,sinusoidal,1e-07
8,0.21839080459770113,PRUNED,2025-11-24 17:50:43.092623,2025-11-24 17:50:56.713893,0 days 00:00:13.621270,"[384, 384]",silu,96,384,0.2,0.0005,,L2,prenorm,4,2,Adam,mean,sinusoidal,1e-07
9,0.21839080459770113,PRUNED,2025-11-24 17:50:56.714959,2025-11-24 17:52:07.199294,0 days 00:01:10.484335,"[128, 192, 256]",leakyrelu,16,256,0.3,1e-05,,L2,postnorm,4,3,AdamW,cls,sinusoidal,1e-06
10,0.21758419036095988,COMPLETE,2025-11-24 17:52:07.201510,2025-11-24 17:52:42.233753,0 days 00:00:35.032243,[64],mish,48,384,0.1,0.0001,,L2,prenorm,8,1,Adam,max,learned,0.0
11,0.21052631578947367,PRUNED,2025-11-24 17:52:42.237257,2025-11-24 17:52:47.455477,0 days 00:00:05.218220,[768],mish,128,512,0.0,0.0005,,L2,prenorm,8,1,AdamW,mean,learned,1e-05
12,0.21758419036095988,COMPLETE,2025-11-24 17:52:47.456483,2025-11-24 17:53:18.202964,0 days 00:00:30.746481,"[768, 640]",prelu,128,512,0.1,0.0005,0.7,L2,prenorm,2,2,SGD,mean,learned,0.0
13,0.08333333333333333,PRUNED,2025-11-24 17:53:18.205391,2025-11-24 17:53:30.770226,0 days 00:00:12.564835,[192],relu,128,512,0.2,5e-05,,L2,prenorm,4,1,Adam,mean,learned,1e-07
14,0.2144927536231884,PRUNED,2025-11-24 17:53:30.772246,2025-11-24 17:53:37.101320,0 days 00:00:06.329074,"[64, 96]",elu,128,128,0.3,0.0005,,L2,prenorm,4,2,Adam,mean,learned,0.0
15,0.1761006289308176,PRUNED,2025-11-24 17:53:37.102333,2025-11-24 17:53:46.340559,0 days 00:00:09.238226,[512],mish,32,384,0.0,0.0005,0.8,L2,prenorm,4,1,SGD,mean,learned,1e-07
16,0.3286738472451498,COMPLETE,2025-11-24 17:53:46.341566,2025-11-24 17:54:59.963580,0 days 00:01:13.622014,"[192, 192]",relu,48,512,0.1,0.0002,,L2,prenorm,8,2,AdamW,mean,learned,1e-05
17,0.3566595384659833,COMPLETE,2025-11-24 17:54:59.965580,2025-11-24 17:55:54.175397,0 days 00:00:54.209817,[192],gelu,48,384,0.1,0.0002,,L2,prenorm,8,1,AdamW,max,learned,1e-05
18,0.3689948270199269,COMPLETE,2025-11-24 17:55:54.178939,2025-11-24 17:56:58.829228,0 days 00:01:04.650289,[128],gelu,48,384,0.1,0.0002,,minmax,postnorm,8,1,AdamW,max,learned,1e-05
19,0.2311435083325764,COMPLETE,2025-11-24 17:56:58.832044,2025-11-24 17:58:35.673157,0 days 00:01:36.841113,[96],gelu,16,384,0.1,5e-05,,minmax,postnorm,8,1,AdamW,max,learned,1e-05
20,0.1761006289308176,PRUNED,2025-11-24 17:58:35.676674,2025-11-24 17:58:50.227097,0 days 00:00:14.550423,[96],hardswish,48,384,0.1,0.001,,minmax,postnorm,16,1,RMSprop,max,learned,1e-06
21,0.3580609611294038,COMPLETE,2025-11-24 17:58:50.229098,2025-11-24 17:59:37.681807,0 days 00:00:47.452709,[192],gelu,48,384,0.1,0.0002,,minmax,postnorm,8,1,AdamW,max,learned,1e-05
22,0.3417704793356886,COMPLETE,2025-11-24 17:59:37.684862,2025-11-24 18:00:27.202698,0 days 00:00:49.517836,[128],gelu,48,384,0.1,0.0002,,minmax,postnorm,8,1,AdamW,max,learned,1e-05
23,0.1761006289308176,PRUNED,2025-11-24 18:00:27.204713,2025-11-24 18:00:42.162308,0 days 00:00:14.957595,"[384, 384]",gelu,48,384,0.1,0.0002,,minmax,postnorm,8,2,AdamW,max,learned,1e-05
24,0.08888888888888889,PRUNED,2025-11-24 18:00:42.163308,2025-11-24 18:00:52.460679,0 days 00:00:10.297371,[128],elu,48,384,0.1,0.0001,,minmax,postnorm,8,1,AdamW,max,learned,1e-05
25,0.21758419036095988,COMPLETE,2025-11-24 18:00:52.461697,2025-11-24 18:01:25.087031,0 days 00:00:32.625334,[384],prelu,48,768,0.3,0.0002,,minmax,postnorm,2,1,Adam,max,learned,0.0
26,0.41255797999884203,COMPLETE,2025-11-24 18:01:25.089216,2025-11-24 18:03:46.144570,0 days 00:02:21.055354,"[64, 96]",mish,32,128,0.1,0.0002,,minmax,postnorm,8,2,AdamW,max,learned,1e-05
27,0.18238993710691823,PRUNED,2025-11-24 18:03:46.148118,2025-11-24 18:04:55.249954,0 days 00:01:09.101836,"[64, 96]",mish,32,128,0.2,0.0002,,minmax,postnorm,8,2,AdamW,max,learned,1e-05
28,0.08888888888888889,PRUNED,2025-11-24 18:04:55.250954,2025-11-24 18:05:20.397281,0 days 00:00:25.146327,"[96, 128, 192]",mish,32,128,0.1,0.001,,minmax,postnorm,16,3,Adam,max,learned,0.0
29,0.3526544042999739,COMPLETE,2025-11-24 18:05:20.398301,2025-11-24 18:07:01.718870,0 days 00:01:41.320569,"[128, 192]",mish,32,128,0.1,0.0001,,minmax,postnorm,2,2,RMSprop,max,learned,1e-06
30,0.21839080459770113,PRUNED,2025-11-24 18:07:01.721870,2025-11-24 18:07:53.578976,0 days 00:00:51.857106,"[96, 128]",mish,16,128,0.1,1e-05,,minmax,postnorm,8,2,AdamW,mean,learned,1e-05
31,0.1761006289308176,PRUNED,2025-11-24 18:07:53.581091,2025-11-24 18:08:05.648891,0 days 00:00:12.067800,[96],gelu,64,384,0.1,0.0002,,minmax,postnorm,8,1,AdamW,max,learned,1e-05
32,0.3820731288822478,COMPLETE,2025-11-24 18:08:05.649914,2025-11-24 18:09:27.265719,0 days 00:01:21.615805,[256],gelu,32,384,0.1,0.0002,,minmax,postnorm,8,1,AdamW,max,learned,1e-05
33,0.2144927536231884,PRUNED,2025-11-24 18:09:27.268723,2025-11-24 18:09:37.699899,0 days 00:00:10.431176,[192],silu,32,256,0.1,0.0002,,minmax,postnorm,8,1,AdamW,max,learned,1e-05
34,0.1761006289308176,PRUNED,2025-11-24 18:09:37.700910,2025-11-24 18:10:06.629817,0 days 00:00:28.928907,"[640, 640]",mish,32,768,0.4,0.0002,,minmax,postnorm,8,2,AdamW,max,learned,1e-05
35,0.1761006289308176,PRUNED,2025-11-24 18:10:06.630837,2025-11-24 18:10:24.600420,0 days 00:00:17.969583,[256],gelu,32,128,0.1,5e-05,0.0,minmax,postnorm,8,1,SGD,max,learned,0.0
36,0.08888888888888889,PRUNED,2025-11-24 18:10:24.601432,2025-11-24 18:10:38.198378,0 days 00:00:13.596946,"[96, 128]",hardswish,96,384,0.0,2e-05,,minmax,postnorm,16,2,AdamW,cls,learned,1e-05
37,0.18238993710691823,PRUNED,2025-11-24 18:10:38.199401,2025-11-24 18:11:10.666298,0 days 00:00:32.466897,"[384, 256, 192]",leakyrelu,64,384,0.4,0.0002,,minmax,postnorm,4,3,Adam,mean,sinusoidal,0.0
38,0.21758419036095988,COMPLETE,2025-11-24 18:11:10.667304,2025-11-24 18:11:29.900200,0 days 00:00:19.232896,[64],prelu,128,256,0.2,0.0005,,minmax,postnorm,2,1,RMSprop,cls,sinusoidal,1e-05
39,0.1761006289308176,PRUNED,2025-11-24 18:11:29.903301,2025-11-24 18:11:49.288179,0 days 00:00:19.384878,"[64, 96, 128]",silu,32,768,0.3,1e-05,,minmax,prenorm,4,3,AdamW,max,learned,1e-06
40,0.08888888888888889,PRUNED,2025-11-24 18:11:49.289240,2025-11-24 18:11:54.595485,0 days 00:00:05.306245,[192],elu,96,128,0.1,2e-05,,L2,postnorm,8,1,Adam,max,sinusoidal,1e-07
41,0.37277215206290415,COMPLETE,2025-11-24 18:11:54.596489,2025-11-24 18:12:43.641510,0 days 00:00:49.045021,[256],gelu,48,384,0.1,0.0002,,minmax,postnorm,8,1,AdamW,max,learned,1e-05
42,0.41977479516161614,COMPLETE,2025-11-24 18:12:43.645462,2025-11-24 18:14:13.929913,0 days 00:01:30.284451,[256],gelu,32,384,0.1,0.0002,,minmax,postnorm,8,1,AdamW,max,learned,1e-05
43,0.4022627522649622,COMPLETE,2025-11-24 18:14:13.933002,2025-11-24 18:15:39.985701,0 days 00:01:26.052699,[512],gelu,32,384,0.1,0.0002,,minmax,postnorm,8,1,AdamW,max,learned,1e-05
44,0.18238993710691823,PRUNED,2025-11-24 18:15:39.988769,2025-11-24 18:16:49.328711,0 days 00:01:09.339942,"[512, 512, 512, 512]",gelu,32,384,0.1,0.0002,,minmax,postnorm,8,4,AdamW,cls,learned,1e-05
45,0.21839080459770113,PRUNED,2025-11-24 18:16:49.329716,2025-11-24 18:17:07.177690,0 days 00:00:17.847974,[512],mish,32,384,0.4,0.0005,0.8,L2,prenorm,4,1,SGD,mean,learned,0.0
46,0.1761006289308176,PRUNED,2025-11-24 18:17:07.179731,2025-11-24 18:17:37.856401,0 days 00:00:30.676670,"[768, 768]",relu,32,384,0.1,0.001,,minmax,postnorm,16,2,Adam,max,learned,1e-05
47,0.47737377792513697,COMPLETE,2025-11-24 18:17:37.858424,2025-11-24 18:18:57.626214,0 days 00:01:19.767790,[512],gelu,32,256,0.1,0.0002,,L2,prenorm,8,1,AdamW,mean,sinusoidal,1e-07
48,0.1761006289308176,PRUNED,2025-11-24 18:18:57.629504,2025-11-24 18:19:06.381533,0 days 00:00:08.752029,[128],leakyrelu,128,256,0.0,0.0005,,L2,prenorm,4,1,RMSprop,mean,sinusoidal,1e-07
49,0.1761006289308176,PRUNED,2025-11-24 18:19:06.382865,2025-11-24 18:19:24.620254,0 days 00:00:18.237389,[384],mish,32,256,0.2,0.0001,,L2,prenorm,8,1,AdamW,mean,sinusoidal,1e-07
