number,value,state,datetime_start,datetime_complete,duration,model_dims,activation,batch_size,dim_feedforward,dropout,lr,momentum_sgd,norm,norm_type,num_heads,num_layers,optimizer,pooling,pos_encoding,weight_decay
0,0.21758419036095988,COMPLETE,2025-11-24 22:36:26.887407,2025-11-24 22:37:05.034614,0 days 00:00:38.147207,[384],hardswish,128,384,0.3,1e-05,,minmax,postnorm,4,1,AdamW,max,sinusoidal,1e-06
1,0.21758419036095988,COMPLETE,2025-11-24 22:37:05.038144,2025-11-24 22:38:26.198166,0 days 00:01:21.160022,"[256, 256]",prelu,48,512,0.2,0.0001,0.0,minmax,postnorm,16,2,SGD,cls,learned,1e-05
2,0.4047544795498646,COMPLETE,2025-11-24 22:38:26.206249,2025-11-24 22:41:42.865551,0 days 00:03:16.659302,"[640, 512]",silu,48,128,0.2,5e-05,,L2,postnorm,16,2,AdamW,mean,learned,0.0
3,0.21758419036095988,COMPLETE,2025-11-24 22:41:42.868708,2025-11-24 22:43:21.074041,0 days 00:01:38.205333,[640],mish,16,384,0.3,0.0005,,minmax,postnorm,16,1,Adam,mean,learned,1e-05
4,0.21839080459770113,PRUNED,2025-11-24 22:43:21.076044,2025-11-24 22:43:45.063668,0 days 00:00:23.987624,"[640, 768]",leakyrelu,64,128,0.1,0.001,,minmax,postnorm,16,2,AdamW,mean,learned,0.0
5,0.21758419036095988,COMPLETE,2025-11-24 22:43:45.064671,2025-11-24 22:45:09.604803,0 days 00:01:24.540132,"[128, 96]",leakyrelu,48,128,0.2,2e-05,,L2,prenorm,16,2,Adam,mean,sinusoidal,1e-07
6,0.1761006289308176,PRUNED,2025-11-24 22:45:09.606828,2025-11-24 22:45:15.929186,0 days 00:00:06.322358,"[64, 64, 64]",gelu,96,512,0.4,0.0001,0.0,minmax,prenorm,2,3,SGD,mean,sinusoidal,1e-05
7,0.21758419036095988,COMPLETE,2025-11-24 22:45:15.930129,2025-11-24 22:47:18.675534,0 days 00:02:02.745405,"[256, 256, 256, 256]",gelu,32,768,0.0,1e-05,,minmax,postnorm,4,4,RMSprop,cls,sinusoidal,1e-06
8,0.1761006289308176,PRUNED,2025-11-24 22:47:18.678567,2025-11-24 22:47:27.719691,0 days 00:00:09.041124,[64],leakyrelu,64,384,0.0,2e-05,,L2,prenorm,2,1,RMSprop,mean,sinusoidal,1e-05
9,0.4273407210743135,COMPLETE,2025-11-24 22:47:27.719691,2025-11-24 22:50:06.150791,0 days 00:02:38.431100,"[640, 640]",relu,48,256,0.0,0.0001,,L2,postnorm,4,2,RMSprop,max,sinusoidal,1e-05
10,0.18238993710691823,PRUNED,2025-11-24 22:50:06.153792,2025-11-24 22:53:20.519942,0 days 00:03:14.366150,"[64, 96, 128, 192]",relu,32,256,0.0,0.0002,,L2,prenorm,8,4,RMSprop,max,sinusoidal,1e-07
11,0.3363448020949985,COMPLETE,2025-11-24 22:53:20.520942,2025-11-24 22:56:37.341402,0 days 00:03:16.820460,"[768, 768, 768]",silu,48,256,0.2,5e-05,,L2,postnorm,4,3,AdamW,max,learned,0.0
12,0.1761006289308176,PRUNED,2025-11-24 22:56:37.341402,2025-11-24 22:57:24.469897,0 days 00:00:47.128495,"[768, 640]",relu,48,256,0.1,5e-05,,L2,postnorm,8,2,AdamW,max,learned,0.0
13,0.1761006289308176,PRUNED,2025-11-24 22:57:24.471903,2025-11-24 22:57:55.993589,0 days 00:00:31.521686,"[768, 768, 768]",elu,48,128,0.4,5e-05,,L2,postnorm,4,3,RMSprop,max,learned,0.0
14,0.1761006289308176,PRUNED,2025-11-24 22:57:55.994591,2025-11-24 22:58:13.131470,0 days 00:00:17.136879,"[256, 384]",silu,128,768,0.2,0.0001,,L2,postnorm,16,2,RMSprop,cls,sinusoidal,1e-05
15,0.18238993710691823,PRUNED,2025-11-24 22:58:13.132152,2025-11-24 22:59:14.876727,0 days 00:01:01.744575,"[512, 384, 256]",relu,96,256,0.0,0.001,,L2,postnorm,4,3,AdamW,mean,learned,0.0
16,0.21839080459770113,PRUNED,2025-11-24 22:59:14.876727,2025-11-24 22:59:34.192426,0 days 00:00:19.315699,[512],silu,16,128,0.2,0.0002,0.7,L2,postnorm,8,1,SGD,max,sinusoidal,1e-07
17,0.43519693283982563,COMPLETE,2025-11-24 22:59:34.192426,2025-11-24 23:00:44.188568,0 days 00:01:09.996142,"[256, 192]",elu,48,256,0.0,0.0005,,L2,postnorm,2,2,Adam,mean,learned,1e-06
18,0.18238993710691823,PRUNED,2025-11-24 23:00:44.191584,2025-11-24 23:01:31.277450,0 days 00:00:47.085866,"[96, 96, 96]",elu,48,256,0.0,0.0005,,L2,prenorm,2,3,Adam,max,learned,1e-06
19,0.48596183465894993,COMPLETE,2025-11-24 23:01:31.278470,2025-11-24 23:02:33.173224,0 days 00:01:01.894754,[192],elu,48,256,0.0,0.0005,,L2,postnorm,2,1,Adam,cls,sinusoidal,1e-06
20,0.1761006289308176,PRUNED,2025-11-24 23:02:33.174850,2025-11-24 23:03:04.357324,0 days 00:00:31.182474,[192],elu,32,256,0.0,0.0005,,L2,postnorm,2,1,Adam,cls,learned,1e-06
21,0.18238993710691823,PRUNED,2025-11-24 23:03:04.357324,2025-11-24 23:03:45.346878,0 days 00:00:40.989554,[128],elu,48,256,0.0,0.0005,,L2,postnorm,2,1,Adam,cls,sinusoidal,1e-06
22,0.21839080459770113,PRUNED,2025-11-24 23:03:45.346878,2025-11-24 23:04:06.854953,0 days 00:00:21.508075,"[256, 384]",elu,48,256,0.0,0.0005,,L2,postnorm,2,2,Adam,cls,sinusoidal,1e-06
23,0.21839080459770113,PRUNED,2025-11-24 23:04:06.854953,2025-11-24 23:04:18.913114,0 days 00:00:12.058161,"[128, 192]",prelu,48,256,0.0,0.0001,,L2,postnorm,2,2,Adam,cls,sinusoidal,1e-06
24,0.18238993710691823,PRUNED,2025-11-24 23:04:18.915120,2025-11-24 23:04:50.706963,0 days 00:00:31.791843,[384],mish,48,256,0.0,0.0005,,L2,postnorm,2,1,Adam,max,sinusoidal,1e-06
25,0.1761006289308176,PRUNED,2025-11-24 23:04:50.707623,2025-11-24 23:05:18.008850,0 days 00:00:27.301227,"[192, 256]",hardswish,16,768,0.4,0.0005,,L2,postnorm,4,2,RMSprop,cls,sinusoidal,1e-05
